pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene
35.31,80.86,2.78,19.18,37.22,0.67,14.63,114.57,28.55,43.19,1.1,337.13,2023-01-20 15:15:00,16.17,1.73
34.29,74.27,2.85,22.25,39.42,0.65,16.3,117.04,28.81,42.84,0.87,357.51,2023-01-20 15:30:00,16.94,1.63
32.67,63.91,3.02,27.15,36.98,0.6,18.99,113.18,28.95,41.45,0.98,351.37,2023-01-20 15:45:00,17.93,1.7
32.67,63.91,2.97,27.04,28.21,0.57,18.9,112.75,28.69,42.3,1.15,338.45,2023-01-20 16:00:00,17.95,1.59
32.67,63.91,2.75,22.03,33.35,0.59,16.1,117.8,28.47,42.79,1.02,324.16,2023-01-20 16:15:00,17.89,1.5
32.14,61.55,2.66,19.11,31.09,0.61,14.51,110.54,28.36,43.88,0.58,338.46,2023-01-20 16:30:00,17.74,1.42
31.31,57.84,2.65,18.4,26.12,0.64,14.13,78.12,28.16,46.0,0.07,287.5,2023-01-20 16:45:00,17.75,1.48
31.31,57.84,2.69,18.76,21.72,0.64,14.34,60.47,26.88,52.39,0.3,128.03,2023-01-20 17:00:00,17.72,1.72
31.31,57.84,2.76,24.01,17.93,0.69,17.14,38.01,25.88,56.68,0.24,127.19,2023-01-20 17:15:00,16.87,1.86
30.61,66.16,3.72,48.82,16.35,0.72,30.88,20.46,24.54,65.27,0.36,123.33,2023-01-20 17:30:00,13.76,1.91
29.5,79.23,3.78,55.9,13.14,0.73,34.63,13.97,23.48,69.45,0.32,118.99,2023-01-20 17:45:00,10.77,2.12
29.5,79.23,5.04,63.78,12.16,0.81,39.75,7.77,22.56,71.99,0.3,125.87,2023-01-20 18:00:00,9.89,2.23
29.5,79.23,4.49,57.14,10.87,0.86,35.84,8.05,21.99,73.5,0.23,139.13,2023-01-20 18:15:00,10.57,2.61
34.43,131.84,3.9,47.79,25.02,0.93,30.48,24.79,22.81,66.83,0.68,208.87,2023-01-20 18:30:00,12.58,2.72
42.19,214.5,3.92,62.08,41.83,1.11,37.96,15.27,24.29,62.8,0.43,196.97,2023-01-20 18:45:00,11.08,3.05
42.19,214.5,5.75,63.34,25.66,1.23,40.1,12.08,22.37,72.13,0.78,102.43,2023-01-20 19:00:00,11.78,3.55
42.19,214.5,9.9,64.74,13.2,0.83,44.15,4.65,21.16,78.75,0.4,112.88,2023-01-20 19:15:00,10.43,5.08
48.02,244.24,10.82,60.65,10.35,0.87,42.76,3.7,20.61,80.92,0.63,108.35,2023-01-20 19:30:00,11.53,5.17
57.17,290.96,10.96,56.62,8.91,0.88,40.76,5.38,20.34,82.17,0.47,119.57,2023-01-20 19:45:00,12.53,3.14
57.17,290.96,6.5,49.2,8.81,0.85,33.31,11.68,20.44,81.53,0.54,113.74,2023-01-20 20:00:00,14.83,3.38
57.17,290.96,7.2,57.57,9.45,0.93,38.24,9.67,20.79,80.46,0.57,116.62,2023-01-20 20:15:00,14.22,3.38
55.96,270.83,10.16,60.31,8.96,0.95,42.05,5.34,20.39,82.27,0.46,110.6,2023-01-20 20:30:00,13.37,3.5
54.05,239.2,9.12,52.82,8.12,0.88,37.3,8.46,19.95,83.94,0.52,102.12,2023-01-20 20:45:00,14.84,4.05
54.05,239.2,7.24,48.88,7.62,0.84,33.73,7.1,19.46,85.88,0.47,118.46,2023-01-20 21:00:00,15.91,4.41
54.05,239.2,10.16,52.13,6.87,0.9,37.77,4.27,19.68,85.63,0.47,109.37,2023-01-20 21:15:00,14.83,3.83
56.04,259.63,14.07,57.81,7.0,0.91,43.88,3.72,19.63,85.67,0.25,48.57,2023-01-20 21:30:00,13.39,3.52
59.18,291.73,11.9,47.96,6.12,0.89,36.99,3.95,19.27,87.55,0.21,133.51,2023-01-20 21:45:00,14.8,4.06
59.18,291.73,10.2,46.14,5.91,1.02,34.68,4.52,19.14,87.54,0.06,50.76,2023-01-20 22:00:00,15.63,3.94
59.18,291.73,9.94,42.53,5.46,0.89,32.58,3.78,18.9,89.39,0.15,45.14,2023-01-20 22:15:00,16.26,3.75
58.11,250.4,9.86,41.16,5.07,0.89,31.8,3.11,18.74,90.31,0.33,62.24,2023-01-20 22:30:00,16.88,4.71
56.43,185.46,11.16,42.76,4.75,0.88,33.68,2.62,18.4,91.43,0.38,118.46,2023-01-20 22:45:00,16.44,4.02
56.43,185.46,21.99,46.08,4.73,0.9,44.1,2.77,18.62,91.74,0.44,126.05,2023-01-20 23:00:00,16.43,3.71
56.43,185.46,13.55,45.5,5.54,0.92,37.03,6.39,18.84,90.51,0.52,127.86,2023-01-20 23:15:00,18.12,3.6
54.91,170.02,9.43,42.63,6.13,0.98,32.23,10.6,18.98,89.73,0.45,118.19,2023-01-20 23:30:00,19.52,3.75
52.52,145.76,9.54,49.57,6.26,1.02,35.94,7.57,18.76,90.54,0.6,100.96,2023-01-20 23:45:00,18.8,4.67
52.52,145.76,9.25,48.93,5.32,0.99,35.37,6.87,18.37,91.28,0.73,91.92,2023-01-21 00:00:00,,5.5
52.52,145.76,9.19,42.45,7.44,0.98,31.94,7.16,18.2,92.2,0.33,105.66,2023-01-21 00:15:00,19.42,6.26
52.06,135.35,9.81,38.96,7.38,1.0,30.61,7.29,18.27,92.19,0.35,114.69,2023-01-21 00:30:00,19.65,5.8
51.32,118.99,9.46,39.28,7.2,1.01,30.5,7.47,18.18,92.61,0.37,78.11,2023-01-21 00:45:00,19.37,5.5
51.32,118.99,10.52,37.39,6.94,1.0,30.36,6.14,17.95,93.09,0.18,302.97,2023-01-21 01:00:00,18.92,6.13
51.32,118.99,11.42,35.38,6.62,1.02,30.03,4.67,17.61,93.69,0.19,304.09,2023-01-21 01:15:00,18.71,6.27
50.02,105.82,11.13,34.72,6.19,1.01,29.45,3.72,17.36,94.11,0.06,312.61,2023-01-21 01:30:00,18.9,6.11
47.96,85.13,12.14,32.88,5.96,1.04,29.31,3.07,16.97,94.29,0.08,167.5,2023-01-21 01:45:00,19.04,6.29
47.96,85.13,11.72,32.83,5.75,1.01,28.93,2.47,16.9,94.69,0.24,99.6,2023-01-21 02:00:00,19.4,6.24
47.96,85.13,11.54,32.31,5.64,0.99,28.52,2.5,16.75,95.02,0.29,115.49,2023-01-21 02:15:00,19.42,6.32
47.01,85.06,12.02,31.71,5.53,0.99,28.59,2.27,16.54,95.26,0.18,125.25,2023-01-21 02:30:00,19.4,6.21
45.51,84.95,13.05,30.26,5.28,1.0,28.66,2.36,16.39,95.44,0.13,157.08,2023-01-21 02:45:00,19.76,6.13
45.51,84.95,12.58,30.25,5.34,0.99,28.28,2.91,16.39,95.54,0.23,86.14,2023-01-21 03:00:00,20.07,6.14
45.51,84.95,10.99,31.01,5.44,1.0,27.4,3.97,16.38,95.61,0.28,104.3,2023-01-21 03:15:00,20.44,6.24
44.3,83.05,10.96,29.47,5.31,1.0,26.57,5.17,16.26,95.69,0.23,108.0,2023-01-21 03:30:00,20.6,6.2
42.39,80.05,13.94,34.2,5.17,1.02,31.43,4.69,16.08,95.73,0.44,102.48,2023-01-21 03:45:00,20.21,6.07
42.39,80.05,20.25,38.72,5.31,1.04,38.86,3.57,16.14,95.79,0.58,126.98,2023-01-21 04:00:00,18.27,5.97
42.39,80.05,12.81,38.92,5.78,1.03,32.99,9.76,16.73,95.72,0.51,122.14,2023-01-21 04:15:00,19.44,5.96
43.98,102.92,10.84,34.76,5.91,1.04,29.24,8.51,16.61,95.4,0.25,70.71,2023-01-21 04:30:00,20.49,5.9
46.47,138.86,10.88,35.33,5.79,1.03,29.57,5.3,16.13,95.28,0.6,84.84,2023-01-21 04:45:00,20.37,5.53
46.47,138.86,12.32,32.39,5.37,1.01,29.19,4.03,15.74,95.36,0.25,91.15,2023-01-21 05:00:00,20.6,5.75
46.47,138.86,14.69,32.3,5.13,1.02,31.04,2.68,15.64,95.51,0.27,73.67,2023-01-21 05:15:00,19.66,5.65
45.48,134.07,16.75,31.12,4.97,1.04,32.08,2.34,15.4,95.62,0.2,273.2,2023-01-21 05:30:00,19.59,5.9
43.91,126.55,17.1,29.76,4.95,1.04,31.65,2.12,15.21,95.75,0.09,231.06,2023-01-21 05:45:00,19.76,5.84
43.91,126.55,18.31,27.92,5.01,1.06,31.66,2.34,15.09,95.88,0.16,232.22,2023-01-21 06:00:00,20.1,6.18
43.91,126.55,19.11,27.54,4.8,1.05,32.11,2.38,14.93,95.98,0.24,144.36,2023-01-21 06:15:00,20.33,6.34
43.55,120.66,18.74,27.23,4.65,1.05,31.64,2.31,14.95,96.05,0.25,105.3,2023-01-21 06:30:00,20.85,6.55
42.96,111.4,18.68,27.26,4.81,1.03,31.61,2.43,15.23,96.12,0.3,121.66,2023-01-21 06:45:00,20.93,6.43
42.96,111.4,15.8,31.36,4.91,1.05,31.45,3.37,15.82,96.15,0.32,104.37,2023-01-21 07:00:00,20.98,6.36
42.96,111.4,15.17,32.6,4.95,1.06,31.59,4.11,16.19,96.11,0.22,86.43,2023-01-21 07:15:00,20.88,6.18
42.2,101.15,16.17,32.19,5.12,1.06,32.18,4.03,16.52,96.05,0.48,34.94,2023-01-21 07:30:00,20.72,6.0
40.99,85.03,16.93,35.13,5.34,1.09,34.32,4.67,16.88,95.91,0.39,51.15,2023-01-21 07:45:00,20.38,6.13
40.99,85.03,17.61,35.96,4.94,1.17,35.3,4.7,17.54,95.56,0.51,332.53,2023-01-21 08:00:00,20.27,5.98
40.99,85.03,15.54,37.65,5.78,1.37,34.52,7.5,18.28,93.83,0.45,328.34,2023-01-21 08:15:00,20.21,6.2
43.82,93.21,14.02,34.5,6.1,1.19,31.65,7.41,19.49,87.9,0.31,307.57,2023-01-21 08:30:00,20.87,6.76
48.26,106.06,13.25,34.29,6.68,1.17,30.93,7.53,20.97,81.34,0.3,7.32,2023-01-21 08:45:00,20.96,7.7
48.26,106.06,10.24,31.87,9.49,1.12,27.25,22.64,21.8,77.68,1.13,13.08,2023-01-21 09:00:00,21.64,6.8
48.26,106.06,8.92,30.73,12.75,1.12,25.59,24.9,22.53,74.47,0.82,338.16,2023-01-21 09:15:00,21.65,6.65
46.93,95.85,8.08,29.85,19.23,1.16,24.46,35.39,23.67,70.5,0.78,16.37,2023-01-21 09:30:00,21.61,5.89
44.83,79.81,6.43,27.82,30.44,1.21,22.08,53.23,24.49,66.9,0.88,70.41,2023-01-21 09:45:00,21.71,6.08
44.83,79.81,5.88,27.18,35.1,1.27,21.31,53.47,25.12,64.21,0.76,67.66,2023-01-21 10:00:00,22.26,6.19
44.83,79.81,5.38,27.54,38.14,1.3,21.09,63.43,25.37,63.27,1.3,39.01,2023-01-21 10:15:00,22.45,6.42
45.41,88.44,5.36,30.09,36.28,1.32,22.41,52.94,25.93,61.06,0.8,20.22,2023-01-21 10:30:00,22.07,7.12
46.31,102.0,5.43,32.6,35.77,1.28,23.78,51.49,26.8,58.22,0.71,43.44,2023-01-21 10:45:00,21.53,6.75
46.31,102.0,5.17,33.73,42.49,1.27,24.16,69.37,27.05,57.11,1.31,43.74,2023-01-21 11:00:00,21.18,6.88
46.31,102.0,5.12,35.78,51.74,1.25,25.19,57.66,27.97,52.74,0.9,339.36,2023-01-21 11:15:00,20.7,6.47
46.59,106.18,4.87,36.84,58.49,1.25,25.55,69.7,28.12,51.83,1.4,320.86,2023-01-21 11:30:00,20.45,6.07
47.05,112.76,4.27,35.42,61.35,1.23,24.32,73.85,28.46,50.41,0.96,294.52,2023-01-21 11:45:00,20.46,6.73
47.05,112.76,3.66,32.16,50.82,1.16,22.13,82.01,29.25,47.58,0.7,20.07,2023-01-21 12:00:00,19.54,6.8
47.05,112.76,3.21,26.45,44.91,1.06,18.78,95.06,29.2,45.34,1.17,353.05,2023-01-21 12:15:00,19.62,6.65
46.27,104.46,3.01,24.55,37.87,1.0,17.63,94.37,29.61,42.61,1.01,18.6,2023-01-21 12:30:00,19.42,6.03
45.05,91.41,2.99,23.93,40.57,1.03,17.29,96.69,29.61,41.38,1.39,12.44,2023-01-21 12:45:00,19.08,4.69
45.05,91.41,3.11,25.77,37.32,1.03,18.34,81.23,30.68,35.61,0.72,354.55,2023-01-21 13:00:00,17.86,4.27
45.05,91.41,3.14,26.31,42.68,0.92,18.66,94.35,30.35,35.97,1.35,7.67,2023-01-21 13:15:00,17.4,3.93
42.24,83.15,3.26,26.81,39.06,0.86,19.01,91.17,30.06,35.96,1.37,1.08,2023-01-21 13:30:00,17.47,3.85
37.84,70.17,3.41,29.0,45.19,0.79,20.27,92.52,30.13,35.38,1.61,22.05,2023-01-21 13:45:00,17.34,3.28
37.84,70.17,3.21,26.7,37.71,0.64,18.92,100.99,30.29,32.44,1.9,27.97,2023-01-21 14:00:00,18.0,3.0
37.84,70.17,3.0,23.43,29.74,0.7,17.04,110.99,30.42,33.24,1.42,5.95,2023-01-21 14:15:00,18.42,2.65
36.95,66.66,2.69,19.56,26.17,0.72,14.77,100.72,30.69,33.0,1.05,329.37,2023-01-21 14:30:00,18.81,2.14
35.54,61.13,2.6,18.58,26.62,0.69,14.18,100.78,30.86,30.98,1.21,330.06,2023-01-21 14:45:00,18.78,2.34
35.54,61.13,2.63,18.91,28.69,0.7,14.37,101.15,30.79,32.44,0.82,330.01,2023-01-21 15:00:00,17.88,2.63
35.54,61.13,2.74,21.97,33.31,0.69,16.07,107.17,30.49,33.66,1.24,29.02,2023-01-21 15:15:00,17.13,2.47
33.91,56.99,3.02,32.19,45.9,0.69,21.63,96.25,30.3,33.82,1.13,17.08,2023-01-21 15:30:00,15.91,2.57
31.36,50.48,3.15,35.25,39.64,0.69,23.33,98.4,30.27,32.3,1.25,357.38,2023-01-21 15:45:00,14.97,2.5
31.36,50.48,2.72,21.53,14.68,0.63,15.82,99.16,30.19,29.13,1.21,329.41,2023-01-21 16:00:00,16.82,2.53
31.36,50.48,2.58,17.86,16.6,0.68,13.79,96.64,30.04,31.28,1.11,330.27,2023-01-21 16:15:00,16.96,2.55
29.84,47.95,2.71,20.68,14.37,0.68,15.36,79.15,29.81,32.51,0.77,8.12,2023-01-21 16:30:00,16.8,2.36
27.46,43.97,2.78,24.25,18.91,0.66,17.29,60.21,29.33,34.11,0.53,15.95,2023-01-21 16:45:00,16.13,2.72
27.46,43.97,2.94,28.1,17.78,0.72,19.43,32.22,28.43,38.18,0.09,150.95,2023-01-21 17:00:00,15.62,2.71
27.46,43.97,3.2,30.36,13.96,0.77,20.82,21.23,26.96,43.21,0.16,189.81,2023-01-21 17:15:00,15.64,2.77
26.86,45.8,3.36,33.04,10.59,0.83,22.35,17.19,25.33,50.25,0.27,150.33,2023-01-21 17:30:00,15.63,3.4
25.92,48.69,3.51,39.5,9.48,0.83,25.84,17.3,23.8,56.65,0.33,138.2,2023-01-21 17:45:00,15.15,3.69
25.92,48.69,4.78,51.22,9.04,0.85,32.98,14.82,22.99,60.07,0.33,112.12,2023-01-21 18:00:00,14.62,3.79
25.92,48.69,7.73,51.5,8.34,0.97,35.49,6.88,22.39,63.39,0.34,127.11,2023-01-21 18:15:00,14.28,3.51
30.47,149.64,26.29,59.32,7.93,1.14,54.46,3.8,21.65,68.0,0.29,127.51,2023-01-21 18:30:00,11.39,3.55
37.61,308.28,51.45,57.32,7.65,1.24,73.59,3.03,21.18,70.19,0.33,122.11,2023-01-21 18:45:00,6.89,4.35
37.61,308.28,41.18,60.16,7.44,2.21,66.84,3.98,20.99,71.3,0.37,133.39,2023-01-21 19:00:00,8.67,5.25
37.61,308.28,27.8,58.33,7.06,2.06,55.15,3.87,20.68,72.57,0.26,139.64,2023-01-21 19:15:00,12.22,6.22
66.92,353.9,22.71,59.28,6.77,1.9,51.57,3.33,20.8,70.92,0.29,131.43,2023-01-21 19:30:00,14.77,13.29
112.96,425.6,29.32,60.93,6.68,1.95,57.74,3.2,20.61,72.84,0.31,143.79,2023-01-21 19:45:00,14.23,12.24
112.96,425.6,23.13,63.33,7.18,1.74,54.03,4.18,20.96,70.31,0.48,119.82,2023-01-21 20:00:00,15.29,9.6
112.96,425.6,32.02,64.44,6.99,1.46,61.74,2.92,20.22,73.99,0.63,98.33,2023-01-21 20:15:00,15.07,8.94
104.4,388.14,28.06,60.67,6.88,1.16,56.59,2.85,19.78,77.28,0.61,108.71,2023-01-21 20:30:00,16.14,8.21
90.93,329.28,20.65,57.01,6.96,1.11,48.73,3.0,19.38,80.05,0.44,106.88,2023-01-21 20:45:00,18.47,6.39
90.93,329.28,23.17,53.42,6.96,1.27,48.87,2.65,19.54,78.09,0.24,115.68,2023-01-21 21:00:00,19.45,5.1
90.93,329.28,21.23,53.87,12.56,1.52,47.56,3.33,20.05,75.5,0.37,112.78,2023-01-21 21:15:00,20.5,5.2
96.82,305.38,16.41,55.76,17.1,1.33,44.68,4.34,20.17,76.51,0.44,69.73,2023-01-21 21:30:00,21.41,7.2
96.82,305.38,16.07,52.16,11.15,1.11,42.52,3.92,19.12,80.47,0.43,90.05,2023-01-21 22:00:00,21.92,8.68
96.82,305.38,15.87,45.68,8.57,1.16,38.98,4.89,19.07,80.21,0.18,62.73,2023-01-21 22:15:00,22.68,6.09
84.21,283.58,16.2,41.09,7.44,1.17,36.85,4.98,18.82,81.42,0.26,121.22,2023-01-21 22:30:00,23.0,5.19
64.4,249.32,13.52,38.67,8.23,1.11,33.43,12.26,18.88,79.94,0.42,125.83,2023-01-21 22:45:00,23.54,6.06
64.4,249.32,10.74,41.32,9.45,1.07,32.59,13.28,18.84,80.58,0.51,106.41,2023-01-21 23:00:00,22.93,6.23
64.4,249.32,13.09,42.54,7.66,1.15,35.11,7.38,18.27,83.53,0.21,92.29,2023-01-21 23:15:00,21.94,6.2
57.23,201.44,13.3,43.21,6.71,1.08,35.63,5.1,17.85,86.34,0.47,91.89,2023-01-21 23:30:00,21.48,5.85
45.96,126.19,11.86,39.45,6.39,1.07,32.51,8.0,17.82,87.34,0.33,104.37,2023-01-21 23:45:00,22.04,6.34
45.96,126.19,9.48,36.71,5.11,1.04,29.17,8.84,17.74,87.89,0.52,89.09,2023-01-22 00:00:00,,6.03
45.96,126.19,10.51,36.7,6.61,1.07,29.99,7.91,17.57,88.41,0.3,73.28,2023-01-22 00:15:00,21.36,6.17
40.92,112.8,12.25,35.97,6.57,1.08,31.0,4.83,17.28,89.65,0.41,66.12,2023-01-22 00:30:00,21.06,6.12
33.0,91.75,12.14,36.16,6.28,1.05,31.02,4.5,17.25,90.53,0.43,108.01,2023-01-22 00:45:00,21.23,6.29
33.0,91.75,11.14,33.45,6.33,1.04,28.8,6.22,17.43,90.36,0.33,113.14,2023-01-22 01:00:00,21.58,6.26
33.0,91.75,10.95,33.1,6.16,1.03,28.46,6.72,17.44,89.84,0.3,121.01,2023-01-22 01:15:00,21.48,6.27
33.54,86.91,10.6,32.81,6.22,1.03,28.04,8.22,17.43,90.08,0.28,114.05,2023-01-22 01:30:00,21.47,6.21
34.39,79.3,10.69,33.65,6.05,1.02,28.54,6.94,17.21,90.43,0.37,100.12,2023-01-22 01:45:00,21.2,6.03
34.39,79.3,12.2,34.93,5.84,1.06,30.42,4.63,17.1,90.81,0.21,108.38,2023-01-22 02:00:00,20.58,5.96
34.39,79.3,11.99,36.55,5.68,1.05,31.1,4.09,16.84,91.71,0.23,107.85,2023-01-22 02:15:00,20.29,5.9
33.17,72.71,13.26,35.18,5.55,1.05,31.4,3.17,16.56,92.51,0.14,83.32,2023-01-22 02:30:00,20.05,6.22
31.25,61.86,14.32,33.59,5.6,1.05,31.42,2.81,16.33,93.17,0.1,129.92,2023-01-22 02:45:00,19.83,6.08
31.25,61.86,14.01,32.61,5.67,1.05,30.66,2.98,16.28,93.66,0.13,70.29,2023-01-22 03:00:00,19.88,6.18
31.25,61.86,14.15,31.41,5.63,1.04,30.14,3.08,16.11,94.03,0.11,153.4,2023-01-22 03:15:00,19.8,6.15
30.21,54.1,13.64,30.55,5.56,1.06,29.29,3.35,16.1,94.39,0.11,101.0,2023-01-22 03:30:00,19.79,6.15
28.57,41.9,13.2,29.54,5.37,1.02,28.41,3.5,16.07,94.65,0.11,191.16,2023-01-22 03:45:00,19.67,6.21
28.57,41.9,13.56,29.09,5.36,1.05,28.46,3.05,16.21,94.68,0.14,259.72,2023-01-22 04:00:00,19.56,5.86
28.57,41.9,14.05,28.18,5.48,1.03,28.38,2.6,15.87,94.94,0.08,103.41,2023-01-22 04:15:00,19.64,5.96
28.68,51.46,13.57,27.72,5.38,1.02,27.75,2.43,15.77,94.79,0.1,230.91,2023-01-22 04:30:00,20.15,6.06
28.85,66.48,13.76,27.12,5.23,1.02,27.59,2.43,15.57,94.85,0.16,202.94,2023-01-22 04:45:00,19.91,6.11
28.85,66.48,13.86,27.02,5.22,1.03,27.62,2.12,15.72,95.39,0.2,255.34,2023-01-22 05:00:00,19.61,5.91
28.85,66.48,13.62,26.84,5.08,1.02,27.34,2.25,15.77,95.11,0.11,297.71,2023-01-22 05:15:00,19.44,6.09
28.39,62.2,13.55,26.72,5.14,1.04,27.21,2.42,15.66,95.19,0.08,291.72,2023-01-22 05:30:00,19.38,5.88
27.65,55.48,13.2,26.74,5.0,1.04,26.94,2.49,15.6,95.31,0.18,214.69,2023-01-22 05:45:00,19.34,6.05
27.65,55.48,13.37,26.41,4.94,1.03,26.91,2.51,15.32,95.7,0.16,162.94,2023-01-22 06:00:00,19.32,6.2
27.65,55.48,12.14,25.67,5.18,0.98,25.53,2.86,15.35,95.32,0.29,109.42,2023-01-22 06:15:00,18.99,6.12
26.48,54.44,11.34,25.5,4.87,0.97,24.81,2.83,15.26,95.34,0.2,135.75,2023-01-22 06:30:00,18.81,6.3
24.64,52.82,12.97,25.11,4.89,0.98,25.91,2.64,15.26,95.77,0.21,123.7,2023-01-22 06:45:00,18.6,5.86
24.64,52.82,12.88,24.98,4.86,0.96,25.77,3.2,15.56,95.49,0.22,120.69,2023-01-22 07:00:00,18.54,5.68
24.64,52.82,12.49,24.84,5.01,0.95,25.38,3.32,16.04,95.44,0.32,102.3,2023-01-22 07:15:00,18.63,5.65
24.85,54.39,12.66,24.94,5.09,0.96,25.57,3.7,16.61,95.36,0.43,95.4,2023-01-22 07:30:00,18.69,5.45
25.18,56.86,12.38,25.91,5.35,0.95,25.86,5.0,17.48,95.37,0.36,83.76,2023-01-22 07:45:00,18.59,5.39
25.18,56.86,11.84,28.22,4.81,0.96,26.63,6.67,18.59,91.62,0.45,57.91,2023-01-22 08:00:00,18.91,5.23
25.18,56.86,18.25,38.4,6.56,1.05,37.08,6.53,20.13,82.4,0.37,359.27,2023-01-22 08:15:00,17.7,5.3
36.63,84.59,19.81,54.63,26.3,1.46,46.82,7.19,22.23,68.59,0.16,132.15,2023-01-22 08:30:00,16.08,5.39
54.62,128.16,24.34,70.99,106.93,1.86,62.42,17.61,23.65,57.6,1.06,203.52,2023-01-22 08:45:00,11.94,6.08
54.62,128.16,21.37,76.97,116.54,1.66,59.74,23.34,24.59,54.44,0.81,182.29,2023-01-22 09:00:00,12.44,8.63
54.62,128.16,13.71,62.18,99.55,1.54,45.87,36.49,25.01,52.62,0.95,187.16,2023-01-22 09:15:00,16.33,9.63
56.31,137.44,9.91,48.82,73.32,1.35,35.85,44.03,25.61,50.91,0.88,153.99,2023-01-22 09:30:00,19.5,7.46
58.96,152.02,9.35,44.68,84.04,1.34,33.23,46.64,25.87,51.01,0.98,149.93,2023-01-22 09:45:00,21.29,7.32
58.96,152.02,10.09,48.22,79.15,1.29,35.67,45.51,26.63,48.89,0.68,164.58,2023-01-22 10:00:00,20.22,7.54
58.96,152.02,9.34,47.66,73.49,1.37,34.78,43.46,27.58,45.73,0.98,209.0,2023-01-22 10:15:00,19.57,8.38
55.62,143.79,8.72,47.27,69.98,1.44,34.08,51.7,28.06,43.7,1.1,220.15,2023-01-22 10:30:00,19.48,7.4
50.38,130.85,8.03,45.29,71.5,1.42,32.49,51.99,28.45,43.15,0.4,220.16,2023-01-22 10:45:00,19.54,6.69
50.38,130.85,7.3,44.04,73.51,1.4,31.25,58.79,28.44,43.45,0.34,133.33,2023-01-22 11:00:00,19.62,4.81
50.38,130.85,6.75,42.67,65.36,1.27,30.1,56.66,29.02,41.54,0.74,234.43,2023-01-22 11:15:00,19.82,5.07
48.29,121.42,6.78,45.55,62.07,1.23,31.63,64.72,29.22,40.76,1.16,303.37,2023-01-22 11:30:00,19.74,5.28
45.01,106.6,5.31,38.31,47.11,1.15,26.66,59.74,30.37,36.4,0.7,183.48,2023-01-22 11:45:00,20.48,5.25
45.01,106.6,4.69,36.53,47.66,1.16,25.24,77.01,30.34,36.64,1.19,228.39,2023-01-22 12:00:00,20.65,5.03
45.01,106.6,4.32,37.29,47.75,1.2,25.34,76.07,30.44,36.7,0.81,194.09,2023-01-22 12:15:00,20.64,4.62
41.96,98.32,3.85,34.83,43.27,1.04,23.68,86.48,30.34,35.79,1.57,251.71,2023-01-22 12:30:00,21.08,4.27
37.18,85.32,3.45,31.94,38.92,1.01,21.85,91.79,30.23,35.46,1.62,245.97,2023-01-22 12:45:00,21.29,4.22
37.18,85.32,3.29,31.2,38.43,0.95,21.33,94.39,30.73,33.4,1.5,214.87,2023-01-22 13:00:00,20.71,4.06
37.18,85.32,3.67,33.02,38.06,0.92,22.58,94.12,30.76,31.13,1.89,251.51,2023-01-22 13:15:00,20.49,3.69
36.62,85.88,3.58,33.1,33.41,0.86,22.55,85.76,31.08,29.35,1.09,247.35,2023-01-22 13:30:00,20.38,3.16
35.74,86.76,3.32,31.01,32.52,0.83,21.25,79.92,31.64,28.74,0.94,241.25,2023-01-22 13:45:00,19.08,2.84
35.74,86.76,3.58,31.96,30.62,0.8,21.95,86.65,31.23,29.58,0.95,219.43,2023-01-22 14:00:00,18.03,2.76
35.74,86.76,3.11,27.73,33.06,0.76,19.37,86.81,31.3,28.06,0.98,235.14,2023-01-22 14:15:00,18.21,2.93
33.17,76.46,2.91,24.87,25.31,0.72,17.72,90.1,31.2,28.24,1.07,188.06,2023-01-22 14:30:00,18.45,2.8
29.13,60.29,2.88,24.13,26.26,0.75,17.31,78.42,31.43,27.61,0.71,229.4,2023-01-22 14:45:00,18.28,2.55
29.13,60.29,3.09,27.04,26.75,0.75,18.99,80.64,31.75,26.71,0.93,237.87,2023-01-22 15:00:00,17.6,2.45
29.13,60.29,3.01,25.96,26.21,0.7,18.36,84.96,31.16,26.99,0.87,293.88,2023-01-22 15:15:00,17.55,2.8
29.57,66.11,3.43,33.78,32.35,0.73,22.78,81.11,31.04,27.45,1.3,250.4,2023-01-22 15:30:00,17.57,2.71
30.26,75.26,3.01,30.45,27.81,0.8,20.71,86.17,30.76,27.57,1.17,210.54,2023-01-22 15:45:00,18.02,2.51
30.26,75.26,2.88,28.85,22.62,0.79,19.77,71.13,30.83,27.58,0.64,201.43,2023-01-22 16:00:00,18.16,2.56
30.26,75.26,3.28,36.2,27.8,0.76,23.93,75.04,30.62,28.02,0.82,218.49,2023-01-22 16:15:00,16.65,2.46
31.73,74.64,3.41,37.85,22.77,0.73,24.9,67.11,30.2,29.17,0.75,223.32,2023-01-22 16:30:00,16.95,2.92
34.05,73.66,2.96,32.62,21.35,0.74,21.81,60.95,29.71,30.32,0.55,209.93,2023-01-22 16:45:00,17.32,2.29
34.05,73.66,2.98,36.75,21.42,0.77,23.98,42.41,28.94,32.59,0.35,204.67,2023-01-22 17:00:00,17.16,2.44
34.05,73.66,3.07,39.15,19.35,0.77,25.31,39.0,28.04,34.46,0.32,199.37,2023-01-22 17:15:00,16.49,2.68
30.69,80.21,3.34,42.26,14.83,0.83,27.14,29.26,26.63,39.99,0.28,142.19,2023-01-22 17:30:00,15.42,3.27
25.42,90.51,3.31,38.12,15.47,0.89,24.96,45.87,26.74,40.67,0.42,162.29,2023-01-22 17:45:00,15.65,3.35
