pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,toluene
,,6.52,11.97,7.6,,5.83,3.78,24.03,72.49,0.28,78.8,2024-09-19 09:45:00,0.33,0.0,0.0
,,6.52,11.97,7.55,0.0,5.83,4.13,23.97,72.63,0.23,87.5,2024-09-19 10:00:00,,0.0,0.0
,,6.31,12.47,7.54,0.0,5.81,4.93,23.87,71.64,0.21,93.3,2024-09-19 10:15:00,0.02,0.0,0.0
,,6.19,10.9,7.55,0.0,5.83,5.03,23.84,69.2,0.29,93.3,2024-09-19 10:30:00,,0.0,0.0
,,6.27,12.72,7.52,0.0,5.83,4.68,23.85,72.51,0.26,93.3,2024-09-19 10:45:00,,0.0,0.0
,,6.81,10.72,7.53,0.0,5.83,5.19,23.72,71.08,0.26,81.42,2024-09-19 11:00:00,,0.0,0.0
73.5,75.4,5.17,12.47,7.53,0.0,5.83,5.83,23.72,68.45,0.31,73.5,2024-09-19 11:15:00,,0.0,0.0
73.5,75.4,4.92,13.16,7.51,0.0,5.83,5.34,23.74,72.26,0.27,73.5,2024-09-19 11:30:00,,0.0,0.0
73.5,75.4,4.92,13.1,7.5,0.0,5.85,6.38,23.55,67.86,0.29,73.5,2024-09-19 11:45:00,,0.0,0.0
74.94,76.18,4.92,13.16,7.5,0.0,5.83,5.91,23.67,71.54,0.29,74.94,2024-09-19 12:00:00,,0.0,0.0
75.9,76.3,4.92,13.16,7.5,0.0,5.94,6.81,23.45,69.1,0.26,75.9,2024-09-19 12:15:00,,0.0,0.0
75.9,76.3,4.92,13.16,7.5,0.0,5.83,6.12,23.6,69.86,0.31,75.9,2024-09-19 12:30:00,,0.0,0.0
75.9,76.3,4.92,13.03,7.5,0.0,5.87,6.54,23.41,69.96,0.26,75.9,2024-09-19 12:45:00,,0.0,0.0
77.58,78.55,4.92,12.47,7.5,0.0,5.87,6.91,23.54,69.5,0.29,77.58,2024-09-19 13:00:00,0.02,0.0,0.0
78.7,78.9,4.92,12.91,7.5,0.0,5.87,7.57,23.32,68.93,0.28,78.7,2024-09-19 13:15:00,0.21,0.0,0.0
78.7,78.9,4.92,12.22,7.5,0.0,5.85,6.48,23.48,69.77,0.31,78.7,2024-09-19 13:30:00,0.07,0.0,0.0
78.7,78.9,4.92,12.91,7.5,0.0,5.87,7.33,23.33,70.25,0.28,78.7,2024-09-19 13:45:00,0.02,0.0,0.0
81.22,85.75,4.92,13.03,7.5,0.01,5.87,6.45,23.52,69.49,0.31,81.22,2024-09-19 14:00:00,,0.0,0.0
82.9,86.8,4.92,13.16,7.5,0.01,5.97,7.05,23.25,69.01,0.27,82.9,2024-09-19 14:15:00,0.14,0.0,0.0
82.9,86.8,4.96,13.03,7.5,0.01,5.98,6.75,23.42,69.88,0.31,82.9,2024-09-19 14:30:00,0.02,0.0,0.0
82.9,86.8,4.92,13.16,7.5,0.01,5.85,7.29,23.18,69.06,0.29,82.9,2024-09-19 14:45:00,0.09,0.0,0.0
89.87,90.87,4.92,13.1,7.5,0.01,5.83,6.86,23.45,71.39,0.3,89.87,2024-09-19 15:00:00,,0.0,0.0
,,4.92,13.16,7.5,0.01,5.95,8.39,23.25,67.3,0.34,93.9,2024-09-19 15:15:00,,0.0,0.0
,,4.96,13.1,7.5,0.0,6.22,6.78,23.33,72.68,0.26,93.9,2024-09-19 15:30:00,,0.0,0.0
,,4.92,13.16,7.5,0.0,5.83,7.4,23.38,67.33,0.32,93.9,2024-09-19 15:45:00,0.05,0.0,0.0
,,4.92,13.16,7.49,0.0,6.34,6.41,23.35,71.94,0.25,93.58,2024-09-19 16:00:00,,0.0,0.0
,,4.92,13.1,7.5,0.0,6.13,7.37,23.43,67.18,0.32,93.4,2024-09-19 16:15:00,0.23,0.0,0.0
,,4.92,13.16,7.5,0.0,5.9,7.47,23.14,70.79,0.28,93.4,2024-09-19 16:30:00,0.14,0.0,0.0
,,4.92,11.34,7.5,0.0,5.64,13.81,23.92,79.5,0.24,93.4,2024-09-19 16:45:00,0.12,0.0,0.0
39.52,91.31,4.92,8.46,7.62,0.0,4.36,18.65,26.18,81.79,0.13,39.52,2024-09-19 17:00:00,0.4,0.0,0.0
,91.1,4.92,7.9,7.76,0.0,4.47,16.4,26.68,65.88,0.08,,2024-09-19 17:15:00,0.23,0.0,0.0
,91.1,4.31,11.03,7.64,0.0,5.34,9.84,24.59,64.03,0.09,,2024-09-19 17:30:00,,0.0,0.0
,91.1,4.92,13.16,7.52,0.0,5.34,6.77,24.17,66.28,0.07,,2024-09-19 17:45:00,0.02,0.0,0.0
36.54,90.23,4.92,13.16,7.5,0.0,5.64,5.81,23.91,65.14,0.07,36.54,2024-09-19 18:00:00,0.05,0.0,0.0
57.7,90.1,4.92,13.16,7.5,0.0,5.94,4.89,23.94,67.5,0.08,57.7,2024-09-19 18:15:00,0.05,0.0,0.0
57.7,90.1,4.92,13.16,7.49,0.01,5.9,5.39,23.81,65.1,0.06,57.7,2024-09-19 18:30:00,0.05,0.0,0.0
57.7,90.1,4.92,13.16,7.48,0.0,5.85,4.76,23.87,67.51,0.05,57.7,2024-09-19 18:45:00,0.16,0.0,0.0
72.84,90.88,4.92,13.16,7.48,0.01,5.87,4.55,23.9,68.16,0.06,72.84,2024-09-19 19:00:00,,0.0,0.0
81.6,91.0,4.92,13.16,7.47,0.01,5.95,4.32,23.91,69.43,0.07,81.6,2024-09-19 19:15:00,0.02,0.0,0.0
81.6,91.0,5.82,13.16,7.5,0.01,5.85,4.17,23.94,70.16,0.04,81.6,2024-09-19 19:30:00,,0.0,0.0
81.6,91.0,5.25,13.16,7.46,0.01,5.95,3.83,23.98,72.34,0.03,81.6,2024-09-19 19:45:00,0.16,0.0,0.0
,,6.44,13.16,7.47,0.01,6.68,3.79,23.94,69.56,0.08,85.53,2024-09-19 20:00:00,,0.0,0.0
,,6.15,13.16,7.4,0.01,6.84,3.52,23.97,71.14,0.07,87.8,2024-09-19 20:15:00,0.07,0.0,0.0
,,6.27,13.1,7.45,0.01,6.89,3.49,23.98,71.62,0.05,87.8,2024-09-19 20:30:00,,0.0,0.0
,,6.15,13.16,7.49,0.01,6.89,2.92,24.09,74.03,0.06,87.8,2024-09-19 20:45:00,,0.0,0.0
85.71,89.89,6.23,12.72,7.4,0.01,6.82,3.55,23.96,71.4,0.05,85.71,2024-09-19 21:00:00,0.09,0.0,0.0
84.5,90.7,6.23,13.16,7.4,0.01,6.89,2.95,24.1,73.61,0.03,84.5,2024-09-19 21:15:00,,0.0,0.0
84.5,90.7,6.52,13.1,7.41,0.01,6.89,3.71,23.97,71.82,0.02,84.5,2024-09-19 21:30:00,,0.0,0.0
84.5,90.7,6.19,13.16,7.4,0.01,6.89,3.14,24.08,73.01,0.05,84.5,2024-09-19 21:45:00,,0.0,0.0
85.89,93.47,6.44,13.16,7.41,0.01,6.89,3.55,24.0,72.09,0.04,85.89,2024-09-19 22:00:00,,0.0,0.0
86.7,93.9,6.19,13.16,7.49,0.01,6.89,2.95,24.11,73.57,0.06,86.7,2024-09-19 22:15:00,,0.0,0.0
86.7,93.9,6.19,13.1,7.5,0.01,6.89,2.93,24.07,73.26,0.05,86.7,2024-09-19 22:30:00,,0.0,0.0
86.7,93.9,6.44,13.1,7.47,0.01,6.89,3.18,23.99,72.35,0.04,86.7,2024-09-19 22:45:00,,0.0,0.0
94.81,95.72,6.19,13.16,7.49,0.01,6.89,2.84,24.1,73.45,0.05,94.81,2024-09-19 23:00:00,,0.0,0.0
,,6.48,13.16,7.45,0.01,6.89,3.07,24.08,73.56,0.05,99.5,2024-09-19 23:15:00,,0.0,0.0
,,6.77,12.72,7.47,0.01,6.68,3.23,24.05,73.54,0.04,99.5,2024-09-19 23:30:00,0.23,0.0,0.0
,,6.31,11.72,7.48,0.01,6.5,2.97,24.07,73.09,0.06,99.5,2024-09-19 23:45:00,0.26,0.0,0.0
91.08,91.58,6.77,10.28,7.48,0.01,5.97,2.89,24.08,74.88,0.05,91.08,2024-09-20 00:00:00,0.44,0.0,0.0
86.2,90.9,6.89,10.65,7.5,0.01,6.84,2.5,24.14,75.27,0.04,86.2,2024-09-20 00:15:00,0.09,0.0,0.0
86.2,90.9,6.72,10.28,7.5,0.01,5.87,2.74,24.1,74.41,0.06,86.2,2024-09-20 00:30:00,0.28,0.0,0.0
86.2,90.9,6.4,10.03,7.49,0.01,5.92,3.02,24.03,73.61,0.04,86.2,2024-09-20 00:45:00,,0.0,0.0
,,6.6,10.47,7.49,0.01,5.83,2.71,24.13,74.65,0.04,88.92,2024-09-20 01:00:00,,0.0,0.0
,,6.36,10.84,7.5,0.01,5.83,2.81,24.11,74.33,0.07,90.5,2024-09-20 01:15:00,,0.0,0.0
,,6.56,10.21,7.5,0.01,5.85,2.76,24.1,75.21,0.04,90.5,2024-09-20 01:30:00,,0.0,0.0
,,6.64,10.09,7.5,0.01,5.83,2.49,24.11,75.64,0.04,90.5,2024-09-20 01:45:00,,0.0,0.0
84.55,89.47,6.36,10.72,7.5,0.01,5.83,2.63,24.13,75.26,0.05,84.55,2024-09-20 02:00:00,0.02,0.0,0.0
81.1,89.6,6.4,10.9,7.5,0.01,5.83,2.9,24.09,74.25,0.04,81.1,2024-09-20 02:15:00,,0.0,0.0
81.1,89.6,6.48,10.72,7.5,0.01,5.83,2.23,24.17,75.68,0.05,81.1,2024-09-20 02:30:00,,0.0,0.0
81.1,89.6,6.97,10.03,7.5,0.01,5.83,2.62,24.1,74.84,0.05,81.1,2024-09-20 02:45:00,0.02,0.0,0.0
78.82,80.76,6.6,10.53,7.51,0.01,5.85,2.46,24.13,75.22,0.03,78.82,2024-09-20 03:00:00,0.02,0.0,0.0
77.5,79.4,6.6,10.47,7.53,0.01,5.83,2.44,24.13,76.37,0.03,77.5,2024-09-20 03:15:00,0.02,0.0,0.0
77.5,79.4,6.36,10.78,7.57,0.01,5.85,2.56,24.11,75.05,0.04,77.5,2024-09-20 03:30:00,,0.0,0.0
77.5,79.4,6.68,10.4,7.52,0.01,5.83,2.19,24.17,77.02,0.03,77.5,2024-09-20 03:45:00,,0.0,0.0
77.63,79.14,6.44,10.78,7.52,0.01,5.83,2.35,24.1,75.1,0.04,77.63,2024-09-20 04:00:00,,0.0,0.0
77.7,79.1,6.97,10.03,7.55,0.01,5.83,1.78,24.18,75.87,0.04,77.7,2024-09-20 04:15:00,,0.0,0.0
77.7,79.1,6.68,10.03,7.52,0.01,5.83,1.95,24.12,75.56,0.05,77.7,2024-09-20 04:30:00,,0.0,0.0
77.7,79.1,6.68,10.34,7.51,0.01,5.88,2.07,24.14,76.31,0.03,77.7,2024-09-20 04:45:00,0.02,0.0,0.0
,,6.6,10.09,7.51,0.01,6.24,2.19,24.15,76.1,0.05,78.36,2024-09-20 05:00:00,0.14,0.0,0.0
,,6.52,10.28,7.51,0.01,6.54,2.11,24.11,75.31,0.03,78.8,2024-09-20 05:15:00,0.28,0.0,0.0
,,6.81,10.03,7.52,0.01,6.91,1.66,24.15,76.69,0.02,78.8,2024-09-20 05:30:00,0.05,0.0,0.0
,,7.01,10.34,7.51,0.01,6.55,1.62,24.21,76.51,0.03,78.8,2024-09-20 05:45:00,0.21,0.0,0.0
,,6.27,10.4,7.54,0.01,6.82,1.97,24.16,76.04,0.03,78.2,2024-09-20 06:00:00,0.12,0.0,0.0
,,6.56,10.65,7.52,0.01,6.22,2.01,24.15,75.7,0.06,77.8,2024-09-20 06:15:00,0.12,0.0,0.0
,,7.09,10.28,7.52,0.01,6.47,1.94,24.13,76.02,0.04,77.8,2024-09-20 06:30:00,0.12,0.0,0.0
,,7.38,9.46,7.52,0.01,6.89,1.94,24.13,75.97,0.04,77.8,2024-09-20 06:45:00,,0.0,0.0
93.1,96.3,8.16,9.4,7.51,0.01,6.89,2.01,24.13,76.19,0.03,93.1,2024-09-20 07:00:00,,0.0,0.0
,,8.08,9.4,7.5,0.01,6.89,2.1,24.14,75.97,0.05,103.3,2024-09-20 07:15:00,,0.0,0.0
,,7.5,11.72,7.5,0.01,6.91,2.64,24.07,73.94,0.05,103.3,2024-09-20 07:30:00,,0.0,0.0
,,7.99,12.97,7.5,0.01,6.89,2.48,24.12,76.35,0.03,103.3,2024-09-20 07:45:00,,0.0,0.0
98.26,102.02,6.44,12.03,7.51,0.01,6.89,2.95,24.06,74.2,0.05,98.26,2024-09-20 08:00:00,,0.0,0.0
94.9,102.4,6.19,13.1,7.5,0.01,6.89,3.52,24.01,72.83,0.06,94.9,2024-09-20 08:15:00,,0.0,0.0
94.9,102.4,6.27,12.97,7.5,0.01,6.89,3.7,24.01,72.77,0.07,94.9,2024-09-20 08:30:00,,0.0,0.0
94.9,102.4,6.27,13.1,7.5,0.01,6.89,3.93,24.0,73.44,0.06,94.9,2024-09-20 08:45:00,,0.0,0.0
83.02,87.41,6.36,13.1,7.5,0.01,6.71,4.46,23.95,73.11,0.05,83.02,2024-09-20 09:00:00,,0.0,0.0
75.1,85.1,6.52,13.16,7.5,0.01,6.13,4.69,23.91,72.56,0.06,75.1,2024-09-20 09:15:00,0.23,0.0,0.0
75.1,85.1,5.62,13.16,7.5,0.01,5.85,6.13,23.84,70.76,0.06,75.1,2024-09-20 09:30:00,0.19,0.0,0.0
75.1,85.1,4.92,13.16,7.5,0.01,5.95,5.57,23.89,71.07,0.08,75.1,2024-09-20 09:45:00,0.02,0.0,0.0
80.98,97.67,5.0,13.1,7.5,0.01,5.88,5.24,23.87,72.68,0.06,80.98,2024-09-20 10:00:00,,0.0,0.0
84.9,99.6,4.92,13.1,7.5,0.01,5.83,5.62,23.81,70.98,0.05,84.9,2024-09-20 10:15:00,0.19,0.0,0.0
84.9,99.6,4.92,13.16,7.5,0.01,6.01,5.91,23.8,69.31,0.06,84.9,2024-09-20 10:30:00,0.02,0.0,0.0
84.9,99.6,4.92,13.16,7.5,0.01,5.94,5.23,23.89,71.2,0.09,84.9,2024-09-20 10:45:00,0.02,0.0,0.0
84.33,100.73,4.92,13.16,7.5,0.01,5.87,5.61,23.78,71.1,0.05,84.33,2024-09-20 11:00:00,0.02,0.0,0.0
84.0,100.9,4.92,13.16,7.5,0.01,5.85,6.19,23.77,70.71,0.06,84.0,2024-09-20 11:15:00,0.02,0.0,0.0
84.0,100.9,4.92,13.16,7.5,0.01,5.99,6.29,23.8,69.81,0.1,84.0,2024-09-20 11:30:00,0.05,0.0,0.0
84.0,100.9,4.92,13.16,7.5,0.01,5.85,6.01,23.77,72.44,0.05,84.0,2024-09-20 11:45:00,0.09,0.0,0.0
87.61,95.7,4.92,13.16,7.5,0.01,5.97,7.64,23.65,67.72,0.09,87.61,2024-09-20 12:00:00,0.02,0.0,0.0
89.7,94.9,4.92,13.16,7.5,0.01,5.95,6.65,23.71,72.2,0.05,89.7,2024-09-20 12:15:00,,0.0,0.0
89.7,94.9,4.92,13.16,7.49,0.01,5.87,7.86,23.57,67.88,0.09,89.7,2024-09-20 12:30:00,0.09,0.0,0.0
89.7,94.9,4.92,13.16,7.48,0.01,5.87,6.47,23.68,71.73,0.09,89.7,2024-09-20 12:45:00,0.05,0.0,0.0
89.26,95.68,4.92,13.16,7.5,0.01,5.88,7.28,23.53,67.85,0.09,89.26,2024-09-20 13:00:00,0.07,0.0,0.0
89.0,95.8,4.92,13.16,7.49,0.01,5.83,6.16,23.65,70.53,0.07,89.0,2024-09-20 13:15:00,0.05,0.0,0.0
89.0,95.8,4.92,13.16,7.49,0.01,6.04,7.18,23.47,68.21,0.07,89.0,2024-09-20 13:30:00,0.19,0.0,0.0
89.0,95.8,4.92,13.16,7.49,0.01,6.64,6.35,23.64,71.66,0.07,89.0,2024-09-20 13:45:00,0.28,0.0,0.0
84.25,87.39,4.92,13.16,7.45,0.01,5.88,7.72,23.44,68.19,0.09,84.25,2024-09-20 14:00:00,0.19,0.0,0.0
81.5,86.1,4.92,13.16,7.45,0.01,5.88,6.29,23.58,72.91,0.07,81.5,2024-09-20 14:15:00,0.05,0.0,0.0
81.5,86.1,4.92,13.16,7.47,0.01,5.88,7.77,23.53,67.84,0.1,81.5,2024-09-20 14:30:00,0.05,0.0,0.0
81.5,86.1,4.92,13.16,7.44,0.01,5.9,7.16,23.26,72.61,0.08,81.5,2024-09-20 14:45:00,0.28,0.0,0.0
74.28,80.12,4.92,14.6,7.48,0.01,6.85,19.95,23.78,74.5,0.18,74.28,2024-09-20 15:00:00,0.63,0.0,0.0
70.1,79.2,3.98,14.79,7.54,0.02,6.34,31.32,24.49,76.59,0.26,70.1,2024-09-20 15:15:00,0.26,0.0,0.0
70.1,79.2,3.94,13.22,7.62,0.01,5.62,28.07,25.03,75.06,0.2,70.1,2024-09-20 15:30:00,0.68,0.0,0.0
70.1,79.2,3.08,9.84,7.7,0.0,4.28,29.47,25.36,73.87,0.09,70.1,2024-09-20 15:45:00,0.14,0.0,0.0
28.74,33.53,2.91,10.78,7.7,0.01,4.96,30.3,25.54,72.95,0.22,28.74,2024-09-20 16:00:00,0.28,0.0,0.0
4.8,26.5,3.08,16.48,7.69,0.02,6.31,21.13,24.77,65.78,0.31,4.8,2024-09-20 16:15:00,0.14,0.0,0.0
4.8,26.5,2.71,15.42,7.56,0.02,6.01,10.68,23.47,67.89,0.3,4.8,2024-09-20 16:30:00,0.05,0.0,0.0
4.8,26.5,2.99,15.17,7.5,0.02,6.01,7.75,23.06,71.19,0.29,4.8,2024-09-20 16:45:00,0.14,0.0,0.0
34.88,51.37,4.84,13.54,7.5,0.01,5.85,6.75,23.52,72.72,0.27,34.88,2024-09-20 17:00:00,0.05,0.0,0.0
52.3,55.2,4.92,13.16,7.5,0.01,5.88,7.26,23.55,67.26,0.29,52.3,2024-09-20 17:15:00,0.05,0.0,0.0
52.3,55.2,4.92,13.47,7.5,0.01,5.94,6.59,23.53,71.29,0.28,52.3,2024-09-20 17:30:00,0.14,0.0,0.0
52.3,55.2,4.92,13.16,7.49,0.01,5.92,7.47,23.57,66.4,0.29,52.3,2024-09-20 17:45:00,0.14,0.0,0.0
53.95,55.81,4.92,13.22,7.41,0.01,5.92,7.53,23.45,68.77,0.26,53.95,2024-09-20 18:00:00,0.21,0.0,0.0
54.9,55.9,4.92,13.16,7.42,0.01,5.85,7.55,23.52,67.44,0.27,54.9,2024-09-20 18:15:00,0.09,0.0,0.0
54.9,55.9,4.92,13.16,7.41,0.01,5.85,6.83,23.63,70.22,0.23,54.9,2024-09-20 18:30:00,0.14,0.0,0.0
54.9,55.9,4.92,13.35,7.4,0.01,6.04,6.52,23.63,70.82,0.26,54.9,2024-09-20 18:45:00,0.37,0.0,0.0
58.32,61.19,4.92,13.22,7.4,0.01,6.18,6.25,23.6,69.9,0.23,58.32,2024-09-20 19:00:00,0.26,0.0,0.0
60.3,62.0,4.92,14.6,7.4,0.02,6.89,5.68,23.63,69.2,0.28,60.3,2024-09-20 19:15:00,,0.0,0.0
60.3,62.0,4.92,15.23,7.4,0.02,6.89,5.05,23.72,70.26,0.24,60.3,2024-09-20 19:30:00,,0.0,0.0
60.3,62.0,4.92,15.42,7.4,0.02,6.89,4.91,23.73,71.3,0.24,60.3,2024-09-20 19:45:00,,0.0,0.0
59.35,62.35,5.45,15.48,7.4,0.02,6.89,4.66,23.73,70.96,0.24,59.35,2024-09-20 20:00:00,,0.0,0.0
58.8,62.4,6.23,15.17,7.4,0.02,7.21,4.26,23.71,70.92,0.22,58.8,2024-09-20 20:15:00,0.02,0.0,0.0
58.8,62.4,6.27,15.54,7.4,0.02,7.12,4.1,23.74,70.87,0.22,58.8,2024-09-20 20:30:00,0.3,0.0,0.0
58.8,62.4,6.4,15.04,7.4,0.02,7.7,3.88,23.77,70.86,0.23,58.8,2024-09-20 20:45:00,0.21,0.0,0.0
70.14,74.79,6.27,15.1,7.4,0.02,7.72,3.89,23.8,70.99,0.26,70.14,2024-09-20 21:00:00,0.14,0.0,0.0
,,6.19,15.04,7.41,0.02,7.67,3.66,23.8,71.55,0.23,76.7,2024-09-20 21:15:00,0.16,0.0,0.0
,,6.27,14.79,7.4,0.02,7.33,3.55,23.82,71.66,0.22,76.7,2024-09-20 21:30:00,0.3,0.0,0.0
,,6.23,14.1,7.4,0.02,7.03,3.59,23.81,72.02,0.24,76.7,2024-09-20 21:45:00,,0.0,0.0
69.1,69.33,6.27,14.16,7.41,0.02,7.0,3.35,23.83,72.83,0.18,69.1,2024-09-20 22:00:00,0.51,0.0,0.0
64.7,68.2,6.44,12.72,7.42,0.02,6.93,3.2,23.87,72.01,0.25,64.7,2024-09-20 22:15:00,0.23,0.0,0.0
64.7,68.2,6.27,13.66,7.44,0.02,6.96,3.58,23.85,72.57,0.21,64.7,2024-09-20 22:30:00,,0.0,0.0
64.7,68.2,6.27,13.1,7.43,0.02,6.89,3.61,23.86,73.31,0.2,64.7,2024-09-20 22:45:00,,0.0,0.0
66.03,71.15,6.23,13.1,7.47,0.02,6.89,3.76,23.87,72.57,0.26,66.03,2024-09-20 23:00:00,,0.0,0.0
66.8,71.6,6.4,13.16,7.43,0.02,6.89,3.84,23.85,73.01,0.2,66.8,2024-09-20 23:15:00,,0.0,0.0
66.8,71.6,6.31,13.1,7.44,0.02,6.89,3.71,23.88,72.97,0.22,66.8,2024-09-20 23:30:00,,0.0,0.0
66.8,71.6,6.23,13.16,7.43,0.02,6.89,3.41,23.89,74.59,0.18,66.8,2024-09-20 23:45:00,,0.0,0.0
,,6.48,13.16,7.47,0.02,6.89,3.46,23.84,72.48,0.23,65.85,2024-09-21 00:00:00,,0.0,0.0
,,6.19,13.16,7.43,0.02,6.82,3.25,23.87,72.76,0.24,65.3,2024-09-21 00:15:00,0.09,0.0,0.0
,,6.56,13.16,7.46,0.02,6.43,2.82,23.93,75.47,0.16,65.3,2024-09-21 00:30:00,0.28,0.0,0.0
,,6.48,13.16,7.49,0.02,6.11,3.4,23.8,71.71,0.24,65.3,2024-09-21 00:45:00,,0.0,0.0
59.35,60.41,6.68,11.41,7.46,0.02,5.87,1.11,23.98,75.38,0.21,59.35,2024-09-21 01:00:00,0.05,0.0,0.0
55.9,60.3,6.68,12.47,7.48,0.02,5.83,0.86,23.85,73.04,0.2,55.9,2024-09-21 01:15:00,0.02,0.0,0.0
55.9,60.3,6.23,11.84,7.49,0.01,6.09,4.73,24.0,74.85,0.26,55.9,2024-09-21 01:30:00,0.4,0.0,0.0
55.9,60.3,6.4,11.41,7.5,0.02,6.08,4.39,23.88,73.92,0.23,55.9,2024-09-21 01:45:00,,0.0,0.0
55.22,57.13,6.48,12.6,7.5,0.01,6.15,4.05,23.92,74.36,0.22,55.22,2024-09-21 02:00:00,0.61,0.0,0.0
54.8,56.5,6.56,11.59,7.5,0.01,6.08,4.16,23.93,75.94,0.15,54.8,2024-09-21 02:15:00,0.09,0.0,0.0
54.8,56.5,6.64,12.41,7.5,0.01,6.24,4.17,23.87,73.02,0.25,54.8,2024-09-21 02:30:00,0.23,0.0,0.0
54.8,56.5,6.81,10.21,7.5,0.01,5.97,3.5,23.98,75.72,0.19,54.8,2024-09-21 02:45:00,0.09,0.0,0.0
55.04,59.83,6.6,12.47,7.5,0.01,6.4,3.81,23.91,73.67,0.22,55.04,2024-09-21 03:00:00,0.26,0.0,0.0
55.2,60.5,6.31,12.09,7.5,0.01,6.89,3.35,24.01,75.39,0.21,55.2,2024-09-21 03:15:00,,0.0,0.0
55.2,60.5,6.81,12.03,7.5,0.01,6.85,3.11,24.02,75.54,0.24,55.2,2024-09-21 03:30:00,,0.0,0.0
55.2,60.5,6.72,13.16,7.5,0.01,6.22,3.7,23.89,73.94,0.19,55.2,2024-09-21 03:45:00,0.05,0.0,0.0
53.4,54.92,6.56,11.78,7.5,0.01,6.34,3.5,23.91,73.85,0.23,53.4,2024-09-21 04:00:00,0.05,0.0,0.0
52.2,53.8,6.36,13.16,7.5,0.01,6.75,3.27,23.95,74.63,0.2,52.2,2024-09-21 04:15:00,0.14,0.0,0.0
52.2,53.8,6.4,13.1,7.5,0.01,6.78,3.24,23.93,74.46,0.2,52.2,2024-09-21 04:30:00,0.05,0.0,0.0
52.2,53.8,6.6,11.91,7.49,0.01,5.83,3.29,23.94,75.04,0.19,52.2,2024-09-21 04:45:00,0.07,0.0,0.0
51.78,52.67,6.56,12.41,7.5,0.01,6.11,3.03,23.95,74.69,0.22,51.78,2024-09-21 05:00:00,0.14,0.0,0.0
51.5,52.5,6.52,10.59,7.5,0.01,5.94,2.94,23.96,75.66,0.18,51.5,2024-09-21 05:15:00,0.05,0.0,0.0
51.5,52.5,6.6,11.66,7.5,0.01,6.02,2.85,23.97,75.19,0.22,51.5,2024-09-21 05:30:00,0.3,0.0,0.0
51.5,52.5,6.31,10.72,7.5,0.01,5.83,2.61,24.02,76.14,0.2,51.5,2024-09-21 05:45:00,0.07,0.0,0.0
51.38,51.89,6.48,10.65,7.49,0.01,5.87,3.13,23.9,74.66,0.19,51.38,2024-09-21 06:00:00,0.05,0.0,0.0
51.3,51.8,6.72,10.34,7.5,0.01,5.83,2.4,24.05,75.74,0.21,51.3,2024-09-21 06:15:00,,0.0,0.0
51.3,51.8,6.68,10.28,7.5,0.01,5.85,2.52,23.99,75.48,0.21,51.3,2024-09-21 06:30:00,0.05,0.0,0.0
51.3,51.8,6.93,9.84,7.5,0.01,6.17,2.89,23.91,74.39,0.2,51.3,2024-09-21 06:45:00,0.05,0.0,0.0
,,7.05,9.71,7.5,0.01,6.29,2.81,23.93,74.43,0.2,65.22,2024-09-21 07:00:00,0.56,0.0,0.0
,,6.64,11.09,7.5,0.01,6.02,2.7,24.01,75.16,0.22,74.5,2024-09-21 07:15:00,0.51,0.0,0.0
,,6.64,10.84,7.5,0.01,5.94,3.06,23.91,74.19,0.2,74.5,2024-09-21 07:30:00,0.54,0.0,0.0
,,6.52,12.72,7.5,0.01,6.64,2.78,23.97,74.96,0.23,74.5,2024-09-21 07:45:00,0.26,0.0,0.0
,,6.68,12.03,7.49,0.01,6.15,3.57,23.82,73.1,0.23,57.4,2024-09-21 08:00:00,0.23,0.0,0.0
47.5,56.5,6.72,11.78,7.49,0.01,5.97,4.04,23.78,71.95,0.24,47.5,2024-09-21 08:15:00,0.19,0.0,0.0
47.5,56.5,6.4,13.03,7.48,0.01,5.88,4.13,23.8,72.06,0.26,47.5,2024-09-21 08:30:00,,0.0,0.0
47.5,56.5,6.4,12.16,7.47,0.01,5.9,4.16,23.83,73.73,0.24,47.5,2024-09-21 08:45:00,,0.0,0.0
43.89,50.0,5.66,13.16,7.46,0.01,5.88,5.01,23.77,73.37,0.26,43.89,2024-09-21 09:00:00,0.05,0.0,0.0
41.8,49.0,4.92,13.16,7.47,0.01,5.96,5.33,23.66,71.25,0.24,41.8,2024-09-21 09:15:00,,0.0,0.0
41.8,49.0,5.17,11.78,7.49,0.01,5.87,5.09,23.74,70.87,0.3,41.8,2024-09-21 09:30:00,0.02,0.0,0.0
41.8,49.0,4.92,13.16,7.48,0.01,6.06,4.88,23.7,72.26,0.23,41.8,2024-09-21 09:45:00,0.02,0.0,0.0
18.94,51.51,4.92,13.16,7.41,0.02,5.97,4.86,23.65,71.49,0.25,18.94,2024-09-21 10:00:00,0.09,0.0,0.0
5.7,51.9,4.92,13.16,7.46,0.02,5.95,5.4,23.62,68.77,0.3,5.7,2024-09-21 10:15:00,0.05,0.0,0.0
5.7,51.9,4.92,13.16,7.41,0.02,5.94,4.86,23.68,72.01,0.26,5.7,2024-09-21 10:30:00,0.12,0.0,0.0
5.7,51.9,4.92,13.16,7.41,0.02,5.97,5.75,23.47,67.94,0.27,5.7,2024-09-21 10:45:00,0.23,0.0,0.0
6.02,53.98,4.92,13.16,7.44,0.02,5.97,4.86,23.63,70.1,0.29,6.02,2024-09-21 11:00:00,0.12,0.0,0.0
