pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
,,12.0,13.76,,,25.43,4.9,23.51,37.97,0.07,43.92,2023-12-21 16:15:00,,0.06,0.05,1.13,0.03
33.3,,12.0,14.63,24.4,0.74,26.0,4.44,22.94,39.41,0.05,32.71,2023-12-21 16:30:00,10.53,0.06,0.06,1.13,0.03
33.3,,12.0,14.73,24.42,0.75,26.5,4.15,22.18,41.48,0.14,73.75,2023-12-21 16:45:00,,0.06,0.05,1.12,0.03
40.18,,12.0,14.71,24.49,0.75,26.76,3.7,21.45,43.08,0.08,77.65,2023-12-21 17:00:00,,0.06,0.05,1.13,0.04
40.9,,12.0,15.9,24.51,0.76,27.9,3.28,20.81,45.67,0.04,46.66,2023-12-21 17:15:00,,0.06,0.07,1.12,0.04
40.9,,12.4,16.75,24.57,0.76,29.45,3.59,20.39,47.53,0.16,112.17,2023-12-21 17:30:00,5.0,0.06,0.08,1.11,0.03
40.9,,12.1,17.43,24.73,0.77,29.52,3.42,19.82,48.75,0.03,37.27,2023-12-21 17:45:00,,0.06,0.07,1.13,0.04
59.09,,12.52,18.19,24.75,0.79,30.67,2.49,19.47,48.72,0.05,60.58,2023-12-21 18:00:00,4.76,0.06,0.06,1.14,0.04
61.0,,12.81,19.29,24.71,0.8,31.86,2.16,19.21,50.85,0.06,79.78,2023-12-21 18:15:00,4.76,0.07,0.07,1.14,0.05
61.0,,13.05,21.2,24.71,0.83,34.1,2.09,18.99,52.59,0.09,66.08,2023-12-21 18:30:00,10.0,0.07,0.05,1.16,0.05
61.0,,13.95,22.81,24.75,0.85,36.57,1.9,18.95,55.17,0.2,181.52,2023-12-21 18:45:00,4.76,0.07,0.05,1.18,0.06
79.28,,14.24,22.95,24.83,0.88,37.48,1.69,18.55,58.11,0.03,51.43,2023-12-21 19:00:00,4.76,0.07,0.07,1.17,0.06
81.2,,14.48,23.86,24.89,0.9,38.29,1.6,18.18,59.33,0.06,46.32,2023-12-21 19:15:00,,0.07,0.09,1.18,0.09
81.2,,15.85,25.1,24.86,0.92,40.6,1.66,18.37,57.95,0.05,44.91,2023-12-21 19:30:00,,0.08,0.1,1.2,0.09
81.2,,16.0,25.24,24.82,0.95,41.38,1.91,18.61,58.12,0.09,68.1,2023-12-21 19:45:00,,0.08,0.1,1.22,0.09
87.08,,16.0,26.05,24.93,0.95,42.1,2.06,18.74,57.82,0.18,144.89,2023-12-21 20:00:00,,0.08,0.1,1.23,0.1
87.7,,16.0,25.76,24.87,0.97,41.48,2.39,18.59,58.92,0.1,138.78,2023-12-21 20:15:00,4.76,0.09,0.08,1.22,0.08
87.7,,16.0,26.45,24.82,0.98,42.05,2.41,18.5,57.13,0.07,38.9,2023-12-21 20:30:00,5.0,0.09,0.07,1.22,0.09
87.7,,16.0,25.86,24.8,1.0,41.76,1.64,18.35,58.18,0.12,107.52,2023-12-21 20:45:00,,0.09,0.09,1.21,0.12
78.92,,16.0,26.19,24.87,1.01,41.95,2.22,18.09,58.55,0.1,91.07,2023-12-21 21:00:00,4.76,0.09,0.07,1.21,0.11
78.0,,16.0,26.2,24.86,1.02,41.9,2.67,18.06,57.97,0.07,63.07,2023-12-21 21:15:00,10.0,0.09,0.07,1.21,0.11
78.0,,16.0,26.1,24.96,1.02,41.6,2.27,18.19,57.87,0.17,144.53,2023-12-21 21:30:00,10.0,0.1,0.09,1.22,0.1
78.0,,16.0,26.57,24.92,1.03,42.1,2.14,18.16,57.81,0.11,145.73,2023-12-21 21:45:00,,0.11,0.08,1.22,0.11
73.93,,16.0,25.33,24.86,1.04,40.81,2.9,18.09,57.98,0.08,58.77,2023-12-21 22:00:00,4.76,0.1,0.08,1.22,0.12
73.5,,15.05,24.2,24.88,1.04,39.1,2.99,18.04,57.98,0.11,88.57,2023-12-21 22:15:00,,0.1,0.07,1.24,0.11
73.5,,14.55,23.75,24.85,1.03,38.05,2.83,18.05,58.18,0.19,133.46,2023-12-21 22:30:00,10.0,0.09,0.08,1.23,0.11
73.5,,14.1,23.43,24.86,1.02,37.52,2.6,17.63,62.62,0.11,84.41,2023-12-21 22:45:00,14.29,0.09,0.09,1.21,0.12
59.75,,14.0,22.67,24.74,1.02,36.76,2.34,16.98,64.62,0.06,3.15,2023-12-21 23:00:00,9.52,0.1,0.07,1.21,0.11
58.3,,14.1,22.45,24.9,1.01,36.3,2.6,16.97,61.92,0.1,97.35,2023-12-21 23:15:00,20.0,0.1,0.07,1.21,0.11
58.3,,14.0,21.55,24.85,1.0,35.3,2.88,16.95,61.23,0.02,24.92,2023-12-21 23:30:00,15.0,0.09,0.09,1.19,0.1
58.3,,14.0,21.95,24.85,1.0,35.86,2.2,16.86,61.7,0.1,54.28,2023-12-21 23:45:00,9.52,0.09,0.08,1.19,0.1
61.56,,14.14,22.0,24.97,0.99,36.14,2.03,17.16,60.49,0.13,89.85,2023-12-22 00:00:00,4.76,0.09,0.08,1.18,0.11
61.9,,14.3,21.5,24.91,0.98,35.75,2.58,17.2,59.5,0.04,35.69,2023-12-22 00:15:00,10.0,0.09,0.07,1.18,0.1
61.9,,14.05,20.95,24.97,0.97,34.7,2.25,17.1,59.71,0.1,83.52,2023-12-22 00:30:00,10.0,0.1,0.06,1.17,0.09
61.9,,14.0,20.86,25.05,0.96,34.71,2.92,16.65,61.82,0.03,60.14,2023-12-22 00:45:00,4.76,0.09,0.07,1.18,0.1
