pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
,,17.67,27.76,12.35,,27.83,17.1,24.23,55.28,0.04,18.3,2023-12-28 17:00:00,0.19,0.01,,0.0,
65.5,93.5,18.16,27.07,12.1,0.26,28.33,16.43,23.36,57.86,,,2023-12-28 17:15:00,0.09,0.01,,0.01,
65.5,93.5,18.9,26.32,12.0,0.26,28.67,15.66,22.33,61.63,0.01,,2023-12-28 17:30:00,0.14,0.01,0.01,0.09,
69.28,93.5,18.94,26.63,11.97,0.26,28.47,14.91,21.47,65.92,,,2023-12-28 17:45:00,0.02,0.02,,0.12,0.01
69.7,90.7,18.61,28.83,11.86,0.27,29.3,14.04,20.82,68.47,0.02,,2023-12-28 18:00:00,0.3,0.02,0.01,0.13,0.01
69.7,90.6,18.78,38.79,11.85,0.28,35.57,12.79,20.32,69.7,0.02,0.48,2023-12-28 18:15:00,0.02,0.02,,0.12,
69.7,90.6,21.61,35.09,11.9,0.3,35.57,12.0,19.98,71.52,0.04,1.27,2023-12-28 18:30:00,0.72,0.02,0.02,0.13,0.01
73.03,90.6,24.4,37.66,11.96,0.3,40.17,11.87,19.79,72.61,0.05,42.58,2023-12-28 18:45:00,0.58,0.02,0.02,0.12,0.01
73.4,114.59,25.13,37.6,11.93,0.29,39.6,12.36,19.81,73.31,0.07,61.96,2023-12-28 19:00:00,0.28,0.02,0.02,0.13,
73.4,116.3,24.72,37.73,11.91,0.28,39.47,12.56,19.71,73.73,0.08,30.19,2023-12-28 19:15:00,0.12,0.02,0.01,0.13,0.01
73.4,116.3,43.67,30.77,11.88,0.29,51.23,12.28,19.59,74.08,0.04,33.08,2023-12-28 19:30:00,2.05,0.02,0.02,0.14,0.01
59.45,116.3,42.89,32.46,11.91,0.29,53.47,12.47,19.26,74.5,0.03,24.41,2023-12-28 19:45:00,3.1,0.02,0.03,0.14,0.01
57.3,93.34,33.21,36.72,11.91,0.29,46.83,12.39,18.92,75.32,0.03,38.76,2023-12-28 20:00:00,1.38,0.02,0.02,0.15,0.01
57.3,91.7,22.26,35.34,11.89,0.28,36.67,12.65,18.74,76.06,0.02,28.85,2023-12-28 20:15:00,0.33,0.02,0.01,0.14,0.01
57.3,91.7,22.39,35.91,11.85,0.29,36.43,12.1,18.46,76.94,,,2023-12-28 20:30:00,0.05,0.02,0.02,0.15,0.01
51.41,91.7,32.14,32.9,11.87,0.29,40.37,12.11,18.15,78.14,0.03,40.55,2023-12-28 20:45:00,2.66,0.03,0.01,0.15,
50.5,82.65,40.26,29.27,11.9,0.3,41.03,11.58,17.92,78.62,0.01,11.69,2023-12-28 21:00:00,3.62,0.02,0.01,0.15,0.02
50.5,82.0,53.14,20.87,11.94,0.3,50.3,11.9,17.73,78.79,,,2023-12-28 21:15:00,7.07,0.02,0.02,0.14,0.01
