pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp
68.05,181.65,43.34,26.41,120.39,3.2,38.96,36.49,2023-12-21 10:15:00
68.05,181.65,43.51,25.94,119.03,2.88,38.79,35.99,2023-12-21 10:30:00
68.32,177.99,43.61,25.01,121.01,2.99,38.33,36.07,2023-12-21 10:45:00
72.17,126.74,43.71,25.8,120.33,2.83,38.82,36.7,2023-12-21 11:00:00
72.17,126.74,43.59,26.44,120.72,3.54,39.11,36.79,2023-12-21 11:15:00
72.17,126.74,43.48,25.99,124.14,3.56,38.8,37.03,2023-12-21 11:30:00
69.89,124.88,42.73,26.3,120.41,3.23,38.56,37.74,2023-12-21 11:45:00
38.02,98.87,42.88,25.3,121.43,3.58,38.08,36.89,2023-12-21 12:00:00
38.02,98.87,42.89,25.44,123.24,3.21,38.16,37.46,2023-12-21 12:15:00
38.02,98.87,42.98,25.27,123.64,3.34,38.12,36.64,2023-12-21 12:30:00
36.97,96.97,42.63,27.28,120.14,3.25,39.04,36.42,2023-12-21 12:45:00
22.24,70.39,42.59,26.23,123.44,2.84,38.44,36.33,2023-12-21 13:00:00
22.24,70.39,43.09,26.37,126.03,3.29,38.79,35.37,2023-12-21 13:15:00
22.24,70.39,43.5,24.96,120.62,3.44,38.23,36.22,2023-12-21 13:30:00
22.14,69.65,43.73,24.7,123.3,3.49,38.22,36.21,2023-12-21 13:45:00
20.8,59.26,43.1,25.89,125.83,3.23,38.53,36.08,2023-12-21 14:00:00
20.8,59.26,43.59,25.64,122.62,2.97,38.66,35.65,2023-12-21 14:15:00
20.8,59.26,42.32,26.81,122.47,3.25,38.61,34.66,2023-12-21 14:30:00
19.66,58.76,43.56,25.78,121.35,3.58,38.73,34.14,2023-12-21 14:45:00
3.64,51.81,42.92,25.73,124.16,3.48,38.34,33.89,2023-12-21 15:00:00
56.63,79.34,44.32,30.91,118.57,3.67,42.02,31.15,2023-12-21 15:15:00
56.63,79.34,43.34,25.38,117.93,3.31,38.38,32.56,2023-12-21 15:30:00
52.85,79.69,44.05,25.19,119.85,3.13,38.67,30.75,2023-12-21 15:45:00
,84.61,42.88,25.72,120.62,3.21,38.31,30.85,2023-12-21 16:00:00
,84.61,43.18,24.86,117.18,3.56,38.0,29.95,2023-12-21 16:15:00
,84.61,42.88,26.35,122.9,3.07,38.66,28.66,2023-12-21 16:30:00
0.75,88.31,42.37,26.86,119.08,2.85,38.66,28.5,2023-12-21 16:45:00
11.31,140.14,42.19,26.46,120.85,3.12,38.34,27.98,2023-12-21 17:00:00
11.31,140.14,42.73,26.01,119.32,2.75,38.39,27.77,2023-12-21 17:15:00
11.31,140.14,43.45,26.17,115.44,3.45,38.88,27.46,2023-12-21 17:30:00
13.51,147.24,43.91,26.02,116.48,3.3,39.05,27.08,2023-12-21 17:45:00
44.26,246.57,42.87,25.27,118.85,3.2,38.06,26.95,2023-12-21 18:00:00
44.26,246.57,43.32,26.2,117.77,3.33,38.83,26.77,2023-12-21 18:15:00
44.26,246.57,42.63,26.65,119.43,3.11,38.7,25.94,2023-12-21 18:30:00
46.82,249.79,42.81,26.38,120.61,3.14,38.64,26.42,2023-12-21 18:45:00
82.62,294.93,43.47,25.94,118.23,3.0,38.77,24.96,2023-12-21 19:00:00
82.62,294.93,42.98,25.88,117.41,4.01,38.46,25.3,2023-12-21 19:15:00
82.62,294.93,43.07,25.28,119.39,2.89,38.18,23.72,2023-12-21 19:30:00
83.62,299.27,42.87,25.89,119.29,3.41,38.4,23.05,2023-12-21 19:45:00
97.58,360.09,42.62,27.3,119.03,2.84,39.05,22.31,2023-12-21 20:00:00
97.58,360.09,43.01,26.7,118.37,3.05,38.94,22.13,2023-12-21 20:15:00
97.58,360.09,43.86,24.58,116.39,3.24,38.23,21.5,2023-12-21 20:30:00
99.38,352.34,43.46,26.86,119.46,3.12,39.27,20.9,2023-12-21 20:45:00
124.59,243.89,42.18,26.71,120.04,2.84,38.47,20.62,2023-12-21 21:00:00
124.59,243.89,42.85,25.59,119.69,2.85,38.22,20.4,2023-12-21 21:15:00
124.59,243.89,42.79,26.05,121.4,2.91,38.45,20.48,2023-12-21 21:30:00
121.43,238.23,43.06,25.89,120.94,3.26,38.5,20.01,2023-12-21 21:45:00
77.16,159.03,43.52,24.75,121.51,3.31,38.13,19.51,2023-12-21 22:00:00
77.16,159.03,42.45,27.43,121.3,2.85,39.03,19.1,2023-12-21 22:15:00
77.16,159.03,42.15,26.03,121.23,2.88,38.08,18.99,2023-12-21 22:30:00
74.75,157.05,42.47,26.68,124.02,2.99,38.62,18.84,2023-12-21 22:45:00
40.96,129.38,42.34,25.66,120.63,2.9,37.98,19.56,2023-12-21 23:00:00
40.96,129.38,42.23,27.46,123.77,3.24,38.92,19.04,2023-12-21 23:15:00
40.96,129.38,42.52,26.15,125.21,2.94,38.35,19.08,2023-12-21 23:30:00
40.27,129.68,42.36,25.58,124.09,2.42,37.94,19.54,2023-12-21 23:45:00
30.57,133.86,42.29,26.1,122.03,2.96,38.19,19.85,2023-12-22 00:00:00
30.57,133.86,42.56,27.36,122.04,3.19,39.05,20.19,2023-12-22 00:15:00
30.57,133.86,42.59,25.82,121.61,2.82,38.21,20.75,2023-12-22 00:30:00
31.2,133.97,42.43,26.43,121.28,3.22,38.46,20.34,2023-12-22 00:45:00
40.0,135.46,42.08,27.19,119.65,2.7,38.69,20.41,2023-12-22 01:00:00
40.0,135.46,42.31,26.18,124.46,3.11,38.25,21.04,2023-12-22 01:15:00
40.0,135.46,42.57,26.66,123.22,3.06,38.66,21.03,2023-12-22 01:30:00
39.2,134.4,42.96,25.91,124.41,2.81,38.46,21.07,2023-12-22 01:45:00
27.99,119.5,42.83,26.55,122.93,3.46,38.75,21.69,2023-12-22 02:00:00
27.99,119.5,42.63,26.31,121.61,3.27,38.5,21.66,2023-12-22 02:15:00
27.99,119.5,42.44,26.48,122.15,3.25,38.49,22.41,2023-12-22 02:30:00
28.39,119.56,42.46,26.01,121.4,2.9,38.24,23.73,2023-12-22 02:45:00
34.0,120.47,42.77,26.23,122.48,3.26,38.54,22.59,2023-12-22 03:00:00
34.0,120.47,42.97,25.74,122.11,3.03,38.38,22.65,2023-12-22 03:15:00
34.0,120.47,42.38,25.42,122.87,3.39,37.87,23.64,2023-12-22 03:30:00
33.47,119.97,42.4,26.26,121.06,3.44,38.35,23.8,2023-12-22 03:45:00
25.99,112.96,42.47,26.02,121.22,2.72,38.25,23.82,2023-12-22 04:00:00
25.99,112.96,43.16,25.05,120.65,3.13,38.1,24.21,2023-12-22 04:15:00
25.99,112.96,42.96,26.26,121.11,2.85,38.66,24.81,2023-12-22 04:30:00
25.9,113.15,42.85,25.37,122.34,2.81,38.1,25.15,2023-12-22 04:45:00
24.66,115.74,43.11,26.01,118.48,3.31,38.6,25.54,2023-12-22 05:00:00
24.66,115.74,42.34,26.84,119.52,3.23,38.64,25.21,2023-12-22 05:15:00
24.66,115.74,42.34,26.12,122.84,3.07,38.23,25.97,2023-12-22 05:30:00
24.95,116.91,41.15,26.74,119.58,3.14,37.91,25.65,2023-12-22 05:45:00
28.98,133.3,42.43,25.99,120.88,3.7,38.21,26.39,2023-12-22 06:00:00
28.98,133.3,42.98,25.64,120.59,3.45,38.33,26.24,2023-12-22 06:15:00
28.98,133.3,42.81,25.29,118.07,3.34,38.03,25.99,2023-12-22 06:30:00
28.15,134.71,42.37,25.86,121.18,3.2,38.11,26.26,2023-12-22 06:45:00
16.57,154.38,42.73,26.09,120.57,2.89,38.44,25.92,2023-12-22 07:00:00
16.57,154.38,43.11,24.42,120.57,3.0,37.72,25.91,2023-12-22 07:15:00
16.57,154.38,42.0,27.06,123.7,3.25,38.57,25.44,2023-12-22 07:30:00
18.56,158.27,41.65,25.92,121.35,2.7,37.74,25.12,2023-12-22 07:45:00
46.48,212.77,42.37,24.96,120.53,3.17,37.61,25.37,2023-12-22 08:00:00
46.48,212.77,42.64,25.9,121.59,3.17,38.28,26.17,2023-12-22 08:15:00
46.48,212.77,42.47,26.14,118.14,2.99,38.31,26.52,2023-12-22 08:30:00
48.05,216.57,42.03,25.78,115.52,2.82,37.87,26.0,2023-12-22 08:45:00
70.06,269.7,43.23,25.6,117.12,2.88,38.44,26.75,2023-12-22 09:00:00
70.06,269.7,43.08,25.8,117.14,2.78,38.47,27.24,2023-12-22 09:15:00
70.06,269.7,43.59,25.95,118.97,2.8,38.84,26.97,2023-12-22 09:30:00
72.17,269.98,44.16,25.96,120.82,2.67,39.16,27.51,2023-12-22 09:45:00
101.67,273.93,43.25,25.81,119.08,3.08,38.57,27.8,2023-12-22 10:00:00
101.67,273.93,43.11,26.57,118.15,3.2,38.91,28.31,2023-12-22 10:15:00
101.67,273.93,43.21,25.01,120.75,2.76,38.1,28.77,2023-12-22 10:30:00
94.89,255.93,43.19,25.7,118.74,3.21,38.48,29.03,2023-12-22 10:45:00
,3.95,43.94,26.14,121.19,3.21,39.14,29.85,2023-12-22 11:00:00
,3.95,43.62,26.19,118.46,3.35,38.99,30.3,2023-12-22 11:15:00
,3.95,42.85,25.58,123.65,2.91,38.22,30.54,2023-12-22 11:30:00
2.13,9.13,44.05,25.98,121.79,2.96,39.11,30.32,2023-12-22 11:45:00
31.89,81.62,42.45,25.87,121.72,2.59,38.16,30.99,2023-12-22 12:00:00
31.89,81.62,43.8,25.56,121.46,3.31,38.73,30.78,2023-12-22 12:15:00
31.89,81.62,43.09,26.96,121.06,3.22,39.12,31.88,2023-12-22 12:30:00
32.19,80.95,42.5,25.78,122.31,3.34,38.13,31.79,2023-12-22 12:45:00
36.45,71.54,42.91,26.15,121.14,2.94,38.57,32.03,2023-12-22 13:00:00
36.45,71.54,42.25,28.24,121.71,2.97,39.37,31.83,2023-12-22 13:15:00
36.45,71.54,43.59,25.78,120.48,3.15,38.74,31.9,2023-12-22 13:30:00
35.87,70.57,42.94,25.81,120.71,3.47,38.4,31.22,2023-12-22 13:45:00
27.68,56.96,44.11,25.12,121.88,3.28,38.66,31.82,2023-12-22 14:00:00
27.68,56.96,42.99,26.19,122.54,3.15,38.64,31.99,2023-12-22 14:15:00
27.68,56.96,43.15,25.93,120.47,3.47,38.58,30.86,2023-12-22 14:30:00
26.2,57.52,42.65,27.61,119.24,3.42,39.24,30.53,2023-12-22 14:45:00
5.52,65.29,43.31,25.92,119.03,2.81,38.66,29.26,2023-12-22 15:00:00
5.52,65.29,43.76,25.86,119.06,2.92,38.89,29.85,2023-12-22 15:15:00
5.52,65.29,43.43,25.26,118.47,3.19,38.36,28.13,2023-12-22 15:30:00
5.18,65.66,44.3,25.05,119.32,3.13,38.73,27.48,2023-12-22 15:45:00
0.41,70.84,42.77,25.2,120.72,3.33,37.96,26.8,2023-12-22 16:00:00
0.41,70.84,43.22,26.35,117.37,3.13,38.85,26.03,2023-12-22 16:15:00
0.41,70.84,43.53,25.62,119.13,3.04,38.62,24.98,2023-12-22 16:30:00
2.6,74.15,43.85,24.75,117.62,3.44,38.31,24.42,2023-12-22 16:45:00
33.33,120.46,43.59,26.04,121.0,2.95,38.89,24.08,2023-12-22 17:00:00
33.33,120.46,42.07,27.07,117.95,3.53,38.62,23.85,2023-12-22 17:15:00
33.33,120.46,42.88,26.43,118.18,3.58,38.71,23.26,2023-12-22 17:30:00
33.81,132.69,43.97,25.46,117.68,3.31,38.77,22.72,2023-12-22 17:45:00
40.51,303.93,43.2,25.95,118.76,3.02,38.62,22.28,2023-12-22 18:00:00
40.51,303.93,42.97,25.74,118.08,3.13,38.38,22.63,2023-12-22 18:15:00
40.51,303.93,43.05,26.0,117.75,3.28,38.56,22.48,2023-12-22 18:30:00
44.7,305.59,43.21,26.41,117.23,3.45,38.88,21.33,2023-12-22 18:45:00
103.3,328.77,42.25,27.02,119.68,3.1,38.69,21.25,2023-12-22 19:00:00
103.3,328.77,42.89,26.3,119.98,3.17,38.64,20.4,2023-12-22 19:15:00
103.3,328.77,43.35,26.34,116.86,2.72,38.93,20.19,2023-12-22 19:30:00
103.85,329.11,43.03,27.0,117.37,3.33,39.11,19.72,2023-12-22 19:45:00
111.55,333.82,43.89,25.15,119.12,3.22,38.56,19.15,2023-12-22 20:00:00
111.55,333.82,43.61,26.38,120.73,2.82,39.09,19.4,2023-12-22 20:15:00
111.55,333.82,43.28,26.49,118.45,3.03,38.96,18.1,2023-12-22 20:30:00
108.28,327.65,44.08,25.74,117.43,3.05,38.99,17.92,2023-12-22 20:45:00
62.57,241.26,42.83,26.02,115.67,2.89,38.45,19.36,2023-12-22 21:00:00
62.57,241.26,43.09,26.61,117.56,2.81,38.93,18.7,2023-12-22 21:15:00
62.57,241.26,43.59,25.55,117.17,2.66,38.62,18.25,2023-12-22 21:30:00
63.03,232.57,43.47,26.11,119.02,3.12,38.86,18.03,2023-12-22 21:45:00
69.54,110.89,42.44,27.4,117.51,3.24,39.01,18.63,2023-12-22 22:00:00
69.54,110.89,43.22,25.8,119.36,2.73,38.55,18.71,2023-12-22 22:15:00
69.54,110.89,42.77,25.12,120.37,2.68,37.92,18.91,2023-12-22 22:30:00
66.53,109.68,42.91,25.54,117.79,3.13,38.23,19.15,2023-12-22 22:45:00
24.45,92.8,43.27,26.38,121.47,3.08,38.9,18.62,2023-12-22 23:00:00
24.45,92.8,42.93,26.82,118.28,2.55,38.95,18.85,2023-12-22 23:15:00
24.45,92.8,43.48,26.9,122.63,2.97,39.3,18.25,2023-12-22 23:30:00
24.67,92.55,43.1,26.17,119.8,3.31,38.69,18.82,2023-12-22 23:45:00
27.77,89.11,42.84,25.76,119.38,3.1,38.31,19.0,2023-12-23 00:00:00
27.77,89.11,42.96,26.12,121.26,2.9,38.58,18.27,2023-12-23 00:15:00
27.77,89.11,42.96,25.91,121.84,2.95,38.46,19.21,2023-12-23 00:30:00
26.42,87.96,42.58,25.29,118.47,2.6,37.91,18.87,2023-12-23 00:45:00
7.49,71.87,42.98,25.89,122.68,3.14,38.47,18.71,2023-12-23 01:00:00
7.49,71.87,41.62,27.52,121.43,3.11,38.61,19.48,2023-12-23 01:15:00
7.49,71.87,42.78,24.88,121.09,3.18,37.79,19.19,2023-12-23 01:30:00
7.18,71.75,43.08,25.71,118.23,3.03,38.42,19.29,2023-12-23 01:45:00
2.78,70.04,43.12,26.27,119.11,2.99,38.75,19.16,2023-12-23 02:00:00
2.78,70.04,43.11,26.19,119.98,3.49,38.7,19.34,2023-12-23 02:15:00
2.78,70.04,43.32,26.0,120.19,3.15,38.72,18.96,2023-12-23 02:30:00
3.78,70.24,42.73,25.67,122.28,3.38,38.2,19.25,2023-12-23 02:45:00
17.71,73.01,42.48,26.19,122.0,3.05,38.35,19.26,2023-12-23 03:00:00
17.71,73.01,43.7,25.8,122.63,2.79,38.82,19.5,2023-12-23 03:15:00
17.71,73.01,43.01,24.88,119.04,2.77,37.91,19.58,2023-12-23 03:30:00
17.5,72.3,42.75,26.06,124.79,3.22,38.43,18.9,2023-12-23 03:45:00
14.53,62.43,43.54,25.06,120.66,3.1,38.31,19.54,2023-12-23 04:00:00
14.53,62.43,43.18,26.34,122.39,3.19,38.82,18.75,2023-12-23 04:15:00
14.53,62.43,42.55,26.73,119.03,3.32,38.69,19.07,2023-12-23 04:30:00
14.03,62.08,43.11,25.09,118.01,3.23,38.09,19.46,2023-12-23 04:45:00
6.96,57.14,42.45,26.45,121.62,3.46,38.48,18.99,2023-12-23 05:00:00
6.96,57.14,43.35,26.94,119.38,2.9,39.26,19.24,2023-12-23 05:15:00
6.96,57.14,43.26,26.55,124.27,3.02,38.99,18.24,2023-12-23 05:30:00
6.92,58.89,42.14,25.93,122.61,2.84,38.02,18.79,2023-12-23 05:45:00
6.37,83.34,43.49,24.5,121.02,2.91,37.97,19.13,2023-12-23 06:00:00
6.37,83.34,43.71,24.81,121.96,3.29,38.27,19.12,2023-12-23 06:15:00
6.37,83.34,43.97,25.04,122.09,2.65,38.54,18.39,2023-12-23 06:30:00
7.44,82.84,43.09,24.88,121.42,3.22,37.96,19.46,2023-12-23 06:45:00
22.43,75.91,43.97,26.01,116.92,2.86,39.08,19.74,2023-12-23 07:00:00
22.43,75.91,43.29,26.45,120.18,2.99,38.94,19.87,2023-12-23 07:15:00
22.43,75.91,43.32,25.63,118.02,3.13,38.51,19.26,2023-12-23 07:30:00
23.18,77.52,43.0,26.59,119.5,3.15,38.86,19.33,2023-12-23 07:45:00
33.75,100.0,42.87,25.25,121.27,3.13,38.04,19.38,2023-12-23 08:00:00
33.75,100.0,43.97,26.52,119.47,3.08,39.37,18.96,2023-12-23 08:15:00
33.75,100.0,43.63,25.71,119.99,2.94,38.73,19.3,2023-12-23 08:30:00
32.97,99.93,42.55,25.9,121.06,3.12,38.23,19.69,2023-12-23 08:45:00
21.99,98.98,42.58,27.64,118.94,3.02,39.22,19.4,2023-12-23 09:00:00
21.99,98.98,43.04,25.94,117.2,2.52,38.52,19.36,2023-12-23 09:15:00
21.99,98.98,43.09,26.62,116.29,2.9,38.93,19.36,2023-12-23 09:30:00
22.04,99.06,42.95,25.79,116.33,2.91,38.39,19.61,2023-12-23 09:45:00
22.73,100.17,43.44,25.14,115.69,3.04,38.3,19.23,2023-12-23 10:00:00
22.73,100.17,43.39,25.83,120.22,2.92,38.66,20.16,2023-12-23 10:15:00
22.73,100.17,43.7,26.24,120.16,2.99,39.06,19.97,2023-12-23 10:30:00
22.88,100.25,42.56,26.43,120.97,2.99,38.53,20.52,2023-12-23 10:45:00
24.99,101.41,43.26,26.26,121.4,2.96,38.83,20.85,2023-12-23 11:00:00
24.99,101.41,42.93,26.46,119.5,2.65,38.76,21.12,2023-12-23 11:15:00
24.99,101.41,43.36,25.96,120.28,3.11,38.72,21.22,2023-12-23 11:30:00
24.62,98.65,42.58,26.86,120.78,2.95,38.78,21.33,2023-12-23 11:45:00
19.48,60.0,43.33,26.21,119.99,3.18,38.84,21.41,2023-12-23 12:00:00
19.48,60.0,43.11,24.89,120.16,2.67,37.98,21.32,2023-12-23 12:15:00
19.48,60.0,43.65,25.68,118.07,3.08,38.72,21.57,2023-12-23 12:30:00
19.17,60.33,42.82,25.95,116.88,3.17,38.41,21.94,2023-12-23 12:45:00
14.8,64.92,43.21,25.13,118.55,2.7,38.17,21.37,2023-12-23 13:00:00
14.8,64.92,43.17,27.18,118.52,3.2,39.29,22.09,2023-12-23 13:15:00
14.8,64.92,43.62,26.11,120.54,3.04,38.95,22.49,2023-12-23 13:30:00
14.95,64.33,43.75,26.69,118.73,3.13,39.34,23.1,2023-12-23 13:45:00
16.99,56.07,43.5,24.83,121.61,3.19,38.16,23.07,2023-12-23 14:00:00
16.99,56.07,43.54,25.82,119.18,2.8,38.74,23.31,2023-12-23 14:15:00
16.99,56.07,43.31,26.25,118.92,3.12,38.85,23.29,2023-12-23 14:30:00
17.04,55.22,42.61,26.88,118.89,2.98,38.81,22.11,2023-12-23 14:45:00
17.76,43.36,43.61,25.79,115.52,2.66,38.76,23.07,2023-12-23 15:00:00
17.76,43.36,43.25,26.68,114.95,3.34,39.06,21.95,2023-12-23 15:15:00
17.76,43.36,43.15,26.25,114.13,3.0,38.76,21.67,2023-12-23 15:30:00
16.58,43.05,42.67,25.54,115.1,3.04,38.09,21.47,2023-12-23 15:45:00
,38.74,43.38,25.02,117.44,3.15,38.2,20.94,2023-12-23 16:00:00
,38.74,43.59,26.95,113.06,2.7,39.39,20.84,2023-12-23 16:15:00
,38.74,42.9,27.42,116.93,2.95,39.28,21.2,2023-12-23 16:30:00
2.11,42.86,42.62,25.78,116.0,3.0,38.2,20.92,2023-12-23 16:45:00
31.64,100.5,43.58,26.23,117.24,3.18,38.99,20.61,2023-12-23 17:00:00
31.64,100.5,42.99,26.28,114.74,3.01,38.69,20.48,2023-12-23 17:15:00
31.64,100.5,43.19,25.73,114.89,3.1,38.49,20.98,2023-12-23 17:30:00
34.9,112.0,43.31,26.51,112.21,3.1,38.99,20.09,2023-12-23 17:45:00
80.54,272.93,43.56,25.19,114.48,3.44,38.4,20.43,2023-12-23 18:00:00
80.54,272.93,43.73,25.69,117.7,2.89,38.77,20.9,2023-12-23 18:15:00
80.54,272.93,44.4,27.52,114.45,3.28,40.16,20.39,2023-12-23 18:30:00
83.54,278.7,43.33,25.66,115.02,2.93,38.53,20.68,2023-12-23 18:45:00
125.53,359.55,43.36,26.74,110.41,3.55,39.15,19.38,2023-12-23 19:00:00
125.53,359.55,43.3,26.75,115.3,2.82,39.12,19.43,2023-12-23 19:15:00
125.53,359.55,43.7,27.23,114.89,2.91,39.61,19.2,2023-12-23 19:30:00
126.08,364.72,43.87,25.85,114.66,2.68,38.94,19.01,2023-12-23 19:45:00
133.81,437.07,42.95,26.38,114.3,3.0,38.73,19.34,2023-12-23 20:00:00
133.81,437.07,43.54,26.39,115.5,2.77,39.06,19.2,2023-12-23 20:15:00
133.81,437.07,43.02,26.51,115.38,2.78,38.83,19.4,2023-12-23 20:30:00
134.17,431.31,43.58,26.73,111.88,2.87,39.27,19.24,2023-12-23 20:45:00
139.22,350.71,43.36,25.91,114.74,2.82,38.69,18.17,2023-12-23 21:00:00
139.22,350.71,42.79,25.32,114.89,3.29,38.04,18.86,2023-12-23 21:15:00
139.22,350.71,42.82,26.55,116.32,2.85,38.74,19.11,2023-12-23 21:30:00
136.91,337.57,43.46,26.13,114.68,3.24,38.87,19.13,2023-12-23 21:45:00
104.59,153.6,43.51,26.72,118.75,2.87,39.23,18.27,2023-12-23 22:00:00
104.59,153.6,43.62,25.34,115.67,2.68,38.51,18.5,2023-12-23 22:15:00
104.59,153.6,43.18,25.22,114.46,2.89,38.21,18.09,2023-12-23 22:30:00
98.47,148.71,43.53,26.37,113.15,2.83,39.04,17.99,2023-12-23 22:45:00
12.81,80.3,43.59,25.55,112.13,2.81,38.62,18.7,2023-12-23 23:00:00
12.81,80.3,43.84,25.83,117.06,3.08,38.91,18.57,2023-12-23 23:15:00
12.81,80.3,43.59,26.96,119.33,2.83,39.41,18.39,2023-12-23 23:30:00
12.7,79.39,43.43,26.27,120.59,3.0,38.92,19.11,2023-12-23 23:45:00
11.17,66.71,43.18,26.2,116.82,2.77,38.75,18.63,2023-12-24 00:00:00
11.17,66.71,43.53,26.7,119.05,2.78,39.22,18.33,2023-12-24 00:15:00
11.17,66.71,43.45,26.77,118.98,2.77,39.22,18.97,2023-12-24 00:30:00
10.84,66.98,43.15,24.94,119.55,2.96,38.03,18.91,2023-12-24 00:45:00
6.15,70.71,42.5,25.95,121.14,2.81,38.22,18.97,2023-12-24 01:00:00
6.15,70.71,43.25,25.39,119.18,3.13,38.34,18.9,2023-12-24 01:15:00
6.15,70.71,42.59,25.85,119.33,3.14,38.22,18.91,2023-12-24 01:30:00
5.74,70.37,42.45,26.82,119.77,2.96,38.68,18.56,2023-12-24 01:45:00
,65.54,42.88,26.62,120.86,2.64,38.82,19.16,2023-12-24 02:00:00
,65.54,43.05,26.51,121.41,2.96,38.85,20.02,2023-12-24 02:15:00
,65.54,41.82,26.63,121.81,2.93,38.22,19.72,2023-12-24 02:30:00
0.34,65.99,42.87,27.63,124.49,2.58,39.37,20.12,2023-12-24 02:45:00
5.09,72.29,43.28,25.86,121.12,2.8,38.61,19.58,2023-12-24 03:00:00
5.09,72.29,42.14,27.11,120.03,3.27,38.67,19.14,2023-12-24 03:15:00
5.09,72.29,43.03,25.48,123.09,2.47,38.27,19.21,2023-12-24 03:30:00
4.75,71.5,43.94,26.47,121.74,3.02,39.33,19.87,2023-12-24 03:45:00
,60.43,43.97,24.93,122.42,2.89,38.48,19.28,2023-12-24 04:00:00
,60.43,44.03,26.41,121.92,2.91,39.34,19.64,2023-12-24 04:15:00
,60.43,43.91,25.49,121.21,3.38,38.76,18.75,2023-12-24 04:30:00
0.75,60.99,42.64,26.31,122.95,3.17,38.51,19.99,2023-12-24 04:45:00
11.18,68.89,42.7,27.01,122.95,2.99,38.93,18.98,2023-12-24 05:00:00
11.18,68.89,42.99,26.72,122.47,3.17,38.93,19.28,2023-12-24 05:15:00
11.18,68.89,42.41,28.01,122.43,3.21,39.33,19.63,2023-12-24 05:30:00
11.08,69.16,44.13,26.07,123.09,3.14,39.21,19.91,2023-12-24 05:45:00
9.73,72.96,43.18,25.49,123.75,3.54,38.35,18.55,2023-12-24 06:00:00
9.73,72.96,42.7,25.26,122.1,3.02,37.96,19.25,2023-12-24 06:15:00
9.73,72.96,43.32,25.71,122.13,3.08,38.55,18.56,2023-12-24 06:30:00
9.73,74.93,43.19,27.05,124.63,3.16,39.23,17.99,2023-12-24 06:45:00
9.72,102.51,43.43,25.27,119.38,3.05,38.37,17.45,2023-12-24 07:00:00
9.72,102.51,44.93,24.57,122.82,2.87,38.82,18.37,2023-12-24 07:15:00
9.72,102.51,43.63,25.5,120.11,3.01,38.61,18.17,2023-12-24 07:30:00
12.02,106.05,45.04,24.23,124.22,2.88,38.69,18.47,2023-12-24 07:45:00
44.18,155.6,43.3,26.49,121.55,3.1,38.98,18.94,2023-12-24 08:00:00
44.18,155.6,43.22,26.32,121.9,2.92,38.84,18.99,2023-12-24 08:15:00
44.18,155.6,44.49,25.2,120.52,3.23,38.92,19.07,2023-12-24 08:30:00
44.88,154.2,43.73,27.11,119.88,3.29,39.57,19.69,2023-12-24 08:45:00
54.65,134.6,44.7,25.74,122.64,3.15,39.34,19.86,2023-12-24 09:00:00
54.65,134.6,44.72,26.26,121.67,2.74,39.64,20.05,2023-12-24 09:15:00
54.65,134.6,44.64,25.68,120.54,2.91,39.27,20.94,2023-12-24 09:30:00
52.84,130.89,43.85,26.95,126.19,2.73,39.55,20.93,2023-12-24 09:45:00
27.43,79.0,44.59,25.29,126.49,3.09,39.03,22.35,2023-12-24 10:00:00
27.43,79.0,44.45,24.97,121.63,3.09,38.77,22.02,2023-12-24 10:15:00
27.43,79.0,43.58,26.09,120.72,2.75,38.91,21.36,2023-12-24 10:30:00
25.82,75.97,43.44,25.82,122.02,2.77,38.68,22.71,2023-12-24 10:45:00
3.21,33.49,43.6,26.82,121.41,3.21,39.33,23.28,2023-12-24 11:00:00
3.21,33.49,43.85,26.71,119.82,2.92,39.41,23.17,2023-12-24 11:15:00
3.21,33.49,44.19,25.59,116.34,2.95,38.97,21.96,2023-12-24 11:30:00
3.46,32.41,43.76,26.5,121.57,3.33,39.24,23.09,2023-12-24 11:45:00
6.95,17.22,43.58,26.55,121.31,3.13,39.17,24.69,2023-12-24 12:00:00
6.95,17.22,43.29,26.19,122.01,2.83,38.8,24.7,2023-12-24 12:15:00
6.95,17.22,44.66,25.4,116.82,2.92,39.13,25.0,2023-12-24 12:30:00
6.49,17.95,44.72,24.58,122.16,3.02,38.7,23.49,2023-12-24 12:45:00
,28.16,43.99,26.12,117.02,3.29,39.16,26.29,2023-12-24 13:00:00
,28.16,44.85,25.59,118.78,2.84,39.34,26.3,2023-12-24 13:15:00
,28.16,44.35,26.58,118.53,3.06,39.62,25.88,2023-12-24 13:30:00
,28.08,43.86,25.85,117.06,3.02,38.93,25.8,2023-12-24 13:45:00
,26.93,44.36,26.02,115.31,3.25,39.31,25.31,2023-12-24 14:00:00
,26.93,44.68,25.6,115.58,3.02,39.25,24.94,2023-12-24 14:15:00
,26.93,44.65,25.75,115.06,3.64,39.31,25.38,2023-12-24 14:30:00
,27.06,44.54,25.6,114.39,2.94,39.17,25.01,2023-12-24 14:45:00
,28.81,44.3,27.22,114.67,3.26,39.94,25.34,2023-12-24 15:00:00
56.63,79.34,44.42,25.78,127.99,3.76,39.21,24.65,2023-12-24 15:15:00
56.63,79.34,43.82,25.91,119.36,3.31,38.94,24.52,2023-12-24 15:30:00
52.85,76.0,43.98,24.63,120.37,3.28,38.32,23.89,2023-12-24 15:45:00
,29.19,43.92,26.77,116.4,3.39,39.48,22.88,2023-12-24 16:00:00
