pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
67.32,105.05,6.2,50.88,7.59,,32.1,18.09,31.16,97.83,1.18,332.79,742.3,2024-06-21 10:15:00,,5.4,3.33,21.51,5.35,3.49
66.43,120.35,10.06,61.71,18.73,,41.0,17.15,31.25,96.64,1.46,324.38,742.2,2024-06-21 10:30:00,,6.03,3.4,21.47,5.2,3.45
70.55,127.71,8.87,54.05,33.94,,35.96,20.97,31.83,93.93,1.13,342.36,742.2,2024-06-21 10:45:00,,6.56,3.05,20.27,4.86,3.16
56.23,112.71,9.81,57.22,39.63,,38.41,18.05,31.71,94.3,1.09,351.11,742.1,2024-06-21 11:00:00,0.71,6.94,2.88,17.79,5.2,3.42
60.15,107.86,9.84,57.05,50.41,,38.35,17.12,31.98,93.07,1.29,331.48,742.0,2024-06-21 11:15:00,2.57,6.94,2.88,17.79,5.2,3.42
77.06,126.85,8.89,57.65,63.97,,37.89,17.86,31.77,93.83,1.45,312.44,742.0,2024-06-21 11:30:00,2.64,6.94,1.47,9.34,3.01,2.02
104.43,164.54,7.52,58.5,77.32,,37.23,18.44,31.66,95.65,1.09,330.48,741.9,2024-06-21 11:45:00,0.3,6.66,3.17,18.73,6.06,3.92
109.44,183.14,10.95,73.23,99.96,,47.85,14.33,31.63,94.75,1.17,357.78,741.8,2024-06-21 12:00:00,0.86,6.3,3.61,19.49,6.17,4.13
90.61,180.69,14.08,81.93,149.95,,55.03,11.8,31.95,94.26,1.21,359.72,741.6,2024-06-21 12:15:00,2.74,6.3,3.65,19.49,6.26,4.16
87.42,179.63,9.92,69.1,153.13,,44.82,16.88,31.76,94.45,1.37,352.77,741.5,2024-06-21 12:30:00,3.04,6.3,4.13,19.49,13.75,10.63
108.48,195.46,6.84,61.05,116.87,,38.03,21.61,31.69,95.37,1.73,4.06,741.3,2024-06-21 12:45:00,,6.3,3.78,21.56,7.14,4.35
118.76,203.16,4.63,51.58,105.47,,31.2,27.95,31.55,96.33,1.86,340.87,741.2,2024-06-21 13:00:00,,7.23,4.32,23.06,6.75,4.49
120.66,190.48,3.6,43.71,101.43,,26.18,35.52,31.49,97.17,1.26,50.06,741.0,2024-06-21 13:15:00,,7.1,3.81,23.49,6.66,4.5
105.08,170.73,3.31,40.78,80.44,,24.38,37.02,31.5,97.25,1.74,356.3,740.8,2024-06-21 13:30:00,,7.32,3.65,18.99,5.94,4.06
88.87,169.09,3.62,46.06,97.29,,27.44,35.15,31.51,96.74,2.01,19.45,740.6,2024-06-21 13:45:00,,7.19,3.17,18.11,5.21,3.53
79.18,163.1,4.66,58.01,126.85,,34.65,33.37,31.55,96.35,1.35,11.81,740.6,2024-06-21 14:00:00,,7.27,3.3,18.48,5.25,3.48
72.9,162.57,6.25,73.05,160.11,,43.94,29.9,31.61,95.81,1.51,24.69,740.4,2024-06-21 14:15:00,,6.91,3.08,17.88,4.95,3.34
71.28,170.61,8.54,86.39,186.7,,52.9,27.48,31.65,95.32,1.33,2.74,740.1,2024-06-21 14:30:00,,7.16,2.9,16.7,4.67,3.07
62.66,166.44,6.02,64.11,158.07,,39.0,37.61,32.03,92.79,1.79,1.03,740.0,2024-06-21 14:45:00,,7.23,2.83,16.12,4.51,2.97
58.88,154.71,4.41,62.79,139.03,,36.98,40.44,32.75,89.87,1.34,14.21,740.0,2024-06-21 15:00:00,,6.64,2.73,13.6,5.26,3.29
68.44,160.59,3.68,56.48,145.84,,33.03,44.55,32.29,91.41,1.62,330.39,739.8,2024-06-21 15:15:00,,6.71,2.82,14.83,5.02,3.42
72.48,172.65,3.3,51.59,112.14,,30.12,43.35,32.14,91.69,1.45,12.73,739.7,2024-06-21 15:30:00,,6.76,2.88,16.51,4.76,3.27
73.95,174.2,3.83,59.2,130.21,,34.6,37.06,32.2,90.86,1.4,1.17,739.6,2024-06-21 15:45:00,,6.05,2.83,14.76,4.7,3.25
70.59,171.33,4.67,73.34,145.78,,42.81,36.61,32.21,89.53,1.55,11.97,739.6,2024-06-21 16:00:00,,5.89,2.85,14.89,4.88,3.2
61.4,170.32,4.13,74.79,187.63,,43.14,36.34,31.89,88.94,1.45,336.16,739.7,2024-06-21 16:15:00,,5.14,2.69,14.01,4.56,3.08
47.99,168.31,3.28,60.2,150.87,,34.69,41.52,31.92,88.34,1.31,4.54,739.7,2024-06-21 16:30:00,,5.02,2.61,13.24,4.64,3.14
30.11,162.84,2.51,48.65,129.32,,27.92,44.59,31.93,87.39,1.11,7.87,739.9,2024-06-21 16:45:00,,4.86,2.49,12.75,4.49,3.06
1.22,165.53,2.57,54.89,114.69,,31.29,42.09,31.88,88.97,1.35,349.54,739.9,2024-06-21 17:00:00,,4.91,2.32,13.08,4.31,2.99
,162.33,1.92,25.9,80.78,,15.34,63.12,31.93,89.01,1.27,340.57,739.9,2024-06-21 17:15:00,3.27,4.75,2.36,13.18,4.39,3.06
,142.64,1.7,31.72,56.2,,18.25,59.03,31.94,88.06,1.3,339.71,740.0,2024-06-21 17:30:00,4.11,3.82,1.85,10.2,4.06,2.85
,147.91,4.2,98.8,182.79,,55.97,25.16,31.77,90.03,1.5,354.55,740.2,2024-06-21 17:45:00,,3.09,2.04,8.21,5.66,3.96
,174.51,2.77,67.4,150.83,,38.1,32.72,31.53,91.23,1.27,9.12,740.4,2024-06-21 18:00:00,,3.3,2.11,10.88,5.5,3.86
,176.27,2.61,52.41,107.7,,30.0,32.52,31.4,92.03,0.99,9.47,740.6,2024-06-21 18:15:00,2.42,4.0,2.2,10.8,5.24,3.71
,167.31,2.01,28.97,74.7,,17.04,45.42,31.21,94.07,0.98,86.98,740.8,2024-06-21 18:30:00,4.6,4.0,2.2,10.8,5.24,3.71
,174.39,1.52,16.04,44.79,,9.77,47.99,30.89,97.03,0.41,100.49,741.0,2024-06-21 18:45:00,3.84,4.34,2.23,10.27,5.58,3.89
,180.81,1.37,14.41,30.05,,8.78,56.83,30.8,97.82,0.65,74.02,741.1,2024-06-21 19:00:00,4.18,4.0,2.03,10.41,5.07,3.61
,149.97,1.23,15.47,25.14,,9.23,53.33,30.71,97.97,0.73,81.26,741.1,2024-06-21 19:15:00,6.39,3.16,1.81,8.19,4.92,3.53
,139.84,1.13,15.54,19.06,,9.18,42.28,30.71,98.88,0.97,61.85,741.1,2024-06-21 19:30:00,4.77,3.3,1.9,9.01,6.1,4.31
,158.33,1.32,17.79,16.72,,10.54,39.57,30.63,99.48,0.71,62.25,741.1,2024-06-21 19:45:00,3.13,3.4,2.29,12.04,6.75,4.77
14.77,160.56,1.59,20.32,16.73,,12.1,41.14,30.57,99.45,1.22,9.13,741.2,2024-06-21 20:00:00,2.63,3.43,2.65,14.53,6.91,4.89
19.19,154.05,1.36,13.74,15.25,,8.41,36.35,30.45,99.54,1.13,36.08,741.4,2024-06-21 20:15:00,2.87,3.46,2.7,15.08,7.39,5.25
11.42,143.04,1.21,12.65,14.58,,7.71,34.57,30.29,99.46,1.47,9.27,741.4,2024-06-21 20:30:00,3.11,3.53,2.72,16.68,7.11,4.97
5.3,132.99,1.2,11.69,13.8,,7.19,31.32,30.11,99.42,1.09,24.31,741.5,2024-06-21 20:45:00,3.08,3.32,2.91,17.1,7.31,5.07
7.69,124.82,1.21,11.97,11.92,,7.35,29.67,29.88,99.42,0.97,110.18,741.6,2024-06-21 21:00:00,3.09,3.33,3.07,18.87,7.53,5.09
10.97,120.87,1.15,13.58,11.67,,8.16,27.95,29.77,99.56,0.96,114.46,741.6,2024-06-21 21:15:00,2.9,3.32,2.88,18.81,6.7,4.65
12.32,123.36,1.23,17.93,11.2,,10.54,24.62,29.72,99.46,0.85,126.97,741.7,2024-06-21 21:30:00,2.4,3.2,3.11,19.37,7.18,4.77
16.11,120.15,1.01,12.42,11.93,,7.43,26.44,29.52,99.47,1.22,147.87,741.8,2024-06-21 21:45:00,1.92,3.21,3.12,20.27,6.72,4.49
17.16,108.59,1.02,14.71,11.27,,8.65,24.27,29.31,99.45,1.02,137.99,741.8,2024-06-21 22:00:00,1.43,3.12,3.11,19.15,6.53,4.3
12.94,92.2,0.99,13.62,11.54,,8.05,23.57,29.11,99.44,0.79,140.81,741.8,2024-06-21 22:15:00,1.55,3.02,3.32,20.66,6.56,4.38
12.14,82.56,1.04,13.91,10.91,,8.24,22.13,28.95,99.52,0.09,142.6,741.8,2024-06-21 22:30:00,1.7,2.94,3.06,20.2,6.06,4.01
17.62,78.03,1.21,14.91,10.52,,8.91,19.15,28.79,99.57,0.11,144.67,741.8,2024-06-21 22:45:00,1.81,2.84,3.09,19.78,5.86,3.91
17.16,71.61,1.15,15.39,9.3,,9.12,18.14,28.65,99.46,0.36,135.94,741.8,2024-06-21 23:00:00,1.43,2.7,3.41,20.63,6.29,4.23
9.91,64.69,1.14,14.23,9.34,,8.5,18.64,28.53,99.5,0.26,131.36,741.7,2024-06-21 23:15:00,1.57,2.73,3.3,21.13,6.03,4.01
9.9,69.11,1.08,12.73,8.38,,7.65,18.6,28.4,99.49,0.24,173.23,741.6,2024-06-21 23:30:00,1.51,2.63,3.18,20.27,5.98,3.88
9.75,69.18,1.03,13.13,7.98,,7.82,16.7,28.4,99.61,0.37,245.63,741.5,2024-06-21 23:45:00,1.45,2.61,3.42,21.25,6.09,4.1
11.21,62.67,0.9,13.62,7.66,,7.98,17.83,28.4,99.57,0.19,38.38,741.5,2024-06-22 00:00:00,1.54,2.6,3.23,21.6,5.74,3.89
13.1,53.13,0.93,13.52,7.16,,7.95,16.23,28.25,99.49,0.47,87.93,741.4,2024-06-22 00:15:00,1.68,2.48,3.05,20.44,5.52,3.61
18.52,48.66,0.97,13.2,7.85,,7.81,15.82,28.28,99.49,0.54,90.8,741.4,2024-06-22 00:30:00,1.64,2.44,3.35,20.85,5.86,3.81
27.12,55.69,0.96,14.18,6.63,,8.32,14.26,28.29,99.43,,100.42,741.4,2024-06-22 00:45:00,1.45,2.43,3.22,21.25,5.45,3.57
38.37,63.47,1.01,17.13,6.71,,9.93,13.87,28.25,99.51,0.38,103.53,741.4,2024-06-22 01:00:00,1.05,2.32,3.18,20.5,5.47,3.53
37.89,62.39,0.98,14.53,6.06,,8.53,13.59,28.22,99.49,0.43,93.05,741.3,2024-06-22 01:15:00,1.51,2.24,3.38,21.23,5.63,3.68
37.24,73.52,3.06,23.12,5.41,,14.79,12.35,28.21,99.39,,112.27,741.2,2024-06-22 01:30:00,0.61,2.48,3.27,21.34,5.31,3.55
41.62,81.62,1.57,23.43,5.95,,13.74,11.21,28.15,99.52,0.31,64.54,741.1,2024-06-22 01:45:00,0.8,2.48,3.27,21.34,5.31,3.55
43.69,84.34,1.24,28.66,5.77,,16.25,9.67,28.06,99.5,,71.5,741.1,2024-06-22 02:00:00,,2.96,3.11,23.25,5.67,3.75
42.62,91.5,2.36,33.41,4.81,,19.69,6.78,27.9,99.42,,95.68,741.0,2024-06-22 02:15:00,,3.02,3.22,21.74,5.37,3.6
43.11,97.95,1.84,29.37,5.26,,17.12,7.34,27.9,99.43,0.24,332.62,740.9,2024-06-22 02:30:00,,2.97,3.37,22.09,5.83,3.93
51.32,100.06,1.56,24.54,5.21,,14.32,8.99,28.04,99.45,0.59,343.28,740.9,2024-06-22 02:45:00,0.42,2.99,3.53,23.2,5.85,3.91
53.74,99.53,1.39,16.74,5.76,,10.03,12.38,28.18,99.56,0.62,34.84,740.8,2024-06-22 03:00:00,1.01,3.09,3.48,23.15,5.84,3.84
54.31,89.89,1.21,14.08,5.75,,8.47,13.43,28.27,99.46,0.64,73.36,740.6,2024-06-22 03:15:00,1.56,2.97,3.35,21.74,5.85,3.8
51.65,84.05,1.18,12.04,5.56,,7.36,12.98,28.2,99.48,0.5,79.43,740.6,2024-06-22 03:30:00,1.42,2.98,3.57,23.84,6.04,3.94
50.69,71.26,1.13,13.77,5.65,,8.24,12.49,28.2,99.42,0.63,35.56,740.6,2024-06-22 03:45:00,1.25,2.91,3.37,21.88,5.42,3.61
51.78,65.48,0.95,12.01,5.6,,7.16,11.85,28.21,99.46,0.83,21.01,740.5,2024-06-22 04:00:00,1.47,2.77,3.4,21.86,5.77,3.71
50.93,63.4,0.91,11.28,5.06,,6.74,11.78,28.2,99.48,0.94,353.04,740.6,2024-06-22 04:15:00,1.39,2.72,3.48,23.25,5.74,3.73
58.64,60.94,0.81,11.81,5.47,,6.94,12.75,28.16,99.62,1.22,7.22,740.7,2024-06-22 04:30:00,1.69,2.8,3.38,22.32,5.56,3.6
58.37,65.58,0.88,11.5,5.67,,6.83,11.37,28.11,99.53,0.55,26.88,740.8,2024-06-22 04:45:00,1.57,2.67,3.57,22.31,5.66,3.75
64.98,72.15,0.92,12.11,5.7,,7.19,13.69,28.1,99.54,0.92,11.62,740.8,2024-06-22 05:00:00,1.76,2.83,3.35,22.54,5.55,3.59
74.47,79.84,1.05,13.57,5.18,,8.07,13.07,28.19,99.56,0.97,21.63,740.9,2024-06-22 05:15:00,2.41,2.81,3.3,21.17,5.32,3.51
90.76,105.47,1.1,12.62,5.2,,7.61,12.1,28.2,99.48,0.39,106.99,741.0,2024-06-22 05:30:00,2.24,2.93,3.53,22.67,5.78,3.76
112.93,122.84,1.02,11.55,5.09,,6.97,14.44,28.31,99.54,0.89,28.19,741.0,2024-06-22 05:45:00,1.88,3.23,3.25,21.84,5.32,3.48
121.39,130.67,1.11,12.28,5.59,,7.43,15.29,28.37,99.54,1.07,16.79,741.2,2024-06-22 06:00:00,2.36,3.18,3.26,21.49,5.45,3.53
124.75,137.82,1.09,11.95,5.85,,7.24,15.73,28.48,99.41,1.02,354.21,741.2,2024-06-22 06:15:00,2.1,3.27,3.49,22.17,5.69,3.7
122.32,158.1,1.05,11.42,5.4,,6.93,18.29,28.91,99.42,0.99,4.11,741.4,2024-06-22 06:30:00,2.21,3.43,3.34,22.91,5.51,3.63
126.5,171.35,0.87,9.81,6.18,,5.93,20.78,29.26,99.43,1.02,339.75,741.5,2024-06-22 06:45:00,2.19,3.38,3.28,20.59,5.48,3.58
122.09,166.41,1.03,13.03,6.57,,7.77,21.75,29.47,99.48,0.93,344.37,741.5,2024-06-22 07:00:00,1.78,3.43,3.39,22.3,5.68,3.73
116.69,157.35,0.92,11.3,6.23,,6.76,23.55,29.53,99.59,1.23,316.08,741.6,2024-06-22 07:15:00,1.64,3.42,3.29,21.09,5.46,3.58
104.77,139.37,0.72,8.81,6.4,,5.27,23.34,29.77,99.49,0.85,56.26,741.7,2024-06-22 07:30:00,2.49,3.25,3.41,20.72,5.55,3.63
84.29,107.1,0.7,9.18,6.28,,5.45,25.42,30.2,99.53,1.1,26.6,741.8,2024-06-22 07:45:00,2.46,3.26,3.15,20.85,5.15,3.42
67.66,92.57,0.94,10.87,6.11,,6.55,26.12,31.03,99.47,1.03,25.35,741.9,2024-06-22 08:00:00,1.98,3.2,3.08,20.17,5.01,3.31
55.72,83.87,1.71,22.87,6.99,,13.56,24.22,31.12,99.51,1.03,348.93,742.0,2024-06-22 08:15:00,0.68,3.23,3.13,19.87,5.17,3.39
,,,,,,,,,,,,,2024-06-22 13:15:00,,3.52,0.97,20.94,2.2,2.12
,,,,,,,,,,,,,2024-06-22 13:30:00,,3.52,0.97,20.94,2.2,2.12
,,,,,,,,,,,,,2024-06-22 13:45:00,,3.52,0.97,20.94,2.2,2.12
,,,,,,,,36.79,61.34,1.77,30.38,739.8,2024-06-22 14:00:00,,3.52,0.97,20.94,2.2,2.12
,1.36,,,,,,,35.55,64.79,1.33,0.25,739.6,2024-06-22 14:15:00,,2.66,1.46,6.48,2.97,1.81
,20.23,,,,,,,34.54,70.46,2.06,19.09,739.7,2024-06-22 14:30:00,,3.27,2.88,20.55,3.37,2.2
28.09,77.16,,,,,,,32.83,79.73,2.18,352.89,739.8,2024-06-22 14:45:00,,2.94,3.18,15.51,6.56,5.35
