pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
77.27,95.92,0.81,17.62,9.93,2.06,10.03,80.25,35.72,99.49,1.18,55.34,749.0,2024-06-14 11:15:00,4.21,7.38,5.13,9.86,2.33,1.85
76.67,86.74,1.08,24.62,10.67,2.06,13.97,87.66,36.08,99.58,1.14,19.71,748.9,2024-06-14 11:30:00,4.04,7.57,3.94,9.48,2.24,1.87
72.38,89.83,0.78,18.39,10.89,2.06,10.42,90.43,35.93,99.57,0.65,48.4,748.8,2024-06-14 11:45:00,5.0,7.27,4.05,11.67,2.59,2.24
73.46,95.76,0.81,18.41,11.93,2.08,10.45,97.98,36.11,99.49,,52.16,748.6,2024-06-14 12:00:00,4.62,8.12,3.54,13.65,2.05,1.7
75.76,104.14,1.98,34.14,12.0,2.13,19.77,94.77,36.23,99.51,0.37,48.37,748.4,2024-06-14 12:15:00,4.35,8.73,3.66,11.32,2.13,1.78
74.3,116.46,0.69,17.24,11.75,2.08,9.73,104.08,36.26,99.44,0.35,28.31,748.3,2024-06-14 12:30:00,4.74,9.03,3.52,12.73,2.66,2.13
69.61,115.3,0.75,14.59,11.88,2.11,8.37,103.95,36.14,99.5,1.31,30.37,748.2,2024-06-14 12:45:00,4.92,8.54,2.76,11.59,2.13,1.86
63.94,104.64,1.12,17.07,11.65,2.11,9.99,99.74,35.81,99.47,0.79,18.28,748.1,2024-06-14 13:00:00,4.8,9.12,2.48,12.64,2.05,1.77
72.69,95.35,0.79,12.97,12.8,2.1,7.54,101.7,36.18,99.5,1.27,27.84,747.9,2024-06-14 13:15:00,5.58,7.8,2.7,11.67,2.44,2.16
54.56,92.33,0.73,10.18,13.98,2.07,6.01,106.54,36.03,99.57,1.3,11.77,747.7,2024-06-14 13:30:00,6.94,8.43,2.74,10.08,2.38,2.1
51.9,99.93,1.27,17.59,13.84,2.05,10.39,103.24,36.15,99.46,1.29,44.89,747.6,2024-06-14 13:45:00,7.45,9.56,2.94,9.17,2.5,2.22
96.49,107.38,0.8,12.94,14.44,2.04,7.53,104.98,36.39,99.61,1.21,32.47,747.5,2024-06-14 14:00:00,9.21,9.34,2.79,8.57,2.51,2.19
77.84,112.07,0.6,9.53,14.16,2.03,5.56,108.11,36.18,99.49,1.44,42.57,747.5,2024-06-14 14:15:00,10.62,8.47,2.66,7.92,3.05,2.2
62.61,115.31,0.84,16.19,13.63,2.02,9.29,105.6,36.22,99.45,1.48,42.42,747.4,2024-06-14 14:30:00,11.9,8.4,2.34,9.02,2.66,2.06
59.42,110.19,1.14,23.24,15.28,2.02,13.29,103.73,36.59,99.51,0.91,6.28,747.3,2024-06-14 14:45:00,12.27,8.13,2.41,8.54,2.33,2.01
57.78,110.83,0.83,11.6,13.71,2.0,6.85,97.61,36.2,99.44,2.27,28.3,747.2,2024-06-14 15:00:00,14.01,7.39,2.84,9.6,3.06,2.07
48.84,109.85,0.72,8.48,7.58,1.99,5.1,91.83,35.57,99.38,2.61,31.81,747.3,2024-06-14 15:15:00,14.61,7.97,2.55,8.47,2.92,2.03
50.36,109.43,0.64,7.01,5.73,1.96,4.25,82.92,35.01,99.59,3.39,43.47,747.3,2024-06-14 15:30:00,15.62,7.04,2.91,8.56,2.56,2.11
57.25,106.91,0.47,6.69,5.39,1.94,3.94,76.29,34.55,99.52,3.36,25.94,747.3,2024-06-14 15:45:00,16.09,8.53,2.97,8.96,2.5,2.17
17.68,103.11,0.38,7.84,5.37,1.96,4.48,73.08,34.24,99.56,3.34,37.84,747.3,2024-06-14 16:00:00,14.89,8.41,2.92,11.8,2.57,2.24
17.54,100.21,0.37,7.96,5.3,1.95,4.53,72.44,34.01,99.56,2.39,4.89,747.4,2024-06-14 16:15:00,13.47,7.45,3.05,9.37,2.13,1.8
39.48,86.64,0.46,9.63,4.98,1.98,5.5,67.52,33.88,99.55,2.38,13.97,747.4,2024-06-14 16:30:00,13.17,5.66,3.08,7.48,2.96,2.66
49.19,77.33,0.4,9.6,5.06,1.97,5.43,64.75,33.54,99.49,2.77,14.53,747.5,2024-06-14 16:45:00,15.98,5.66,4.83,10.33,4.13,3.64
58.39,79.27,0.39,8.99,5.03,1.99,5.1,64.11,33.32,99.61,2.75,12.25,747.6,2024-06-14 17:00:00,14.79,4.82,4.77,7.31,2.82,2.4
69.52,84.26,0.42,9.44,4.87,2.01,5.36,63.29,33.1,99.53,3.23,8.61,747.6,2024-06-14 17:15:00,13.77,4.47,5.76,6.69,2.54,2.13
,,0.37,9.6,5.23,2.02,5.41,65.02,32.76,99.52,2.7,25.09,747.7,2024-06-14 17:30:00,13.19,4.9,6.02,8.4,2.29,1.9
,,0.42,10.34,5.17,2.02,5.84,64.95,32.63,99.49,2.95,8.59,747.9,2024-06-14 17:45:00,12.64,4.43,4.6,6.88,2.35,2.01
61.94,90.78,0.37,9.8,4.85,2.0,5.51,64.99,32.44,99.52,2.43,12.95,748.1,2024-06-14 18:00:00,12.15,4.29,4.2,7.01,2.55,2.06
30.3,85.11,0.41,14.66,4.5,2.01,8.13,62.58,32.39,99.53,2.3,6.14,748.1,2024-06-14 18:15:00,11.52,4.25,4.12,6.78,2.36,2.0
49.67,89.79,0.85,17.97,4.48,1.99,10.25,63.37,32.3,99.53,2.21,9.52,748.3,2024-06-14 18:30:00,11.96,5.43,3.98,6.36,2.44,1.9
41.32,90.71,0.84,26.68,4.3,1.99,14.87,52.48,32.23,99.57,2.01,8.01,748.5,2024-06-14 18:45:00,10.66,5.72,4.67,5.88,2.61,2.01
36.89,98.57,0.79,25.72,3.95,1.99,14.32,53.77,32.11,99.41,2.01,352.42,748.6,2024-06-14 19:00:00,10.12,6.55,6.45,6.52,2.7,1.6
40.57,98.25,0.58,12.13,4.15,1.96,6.92,64.52,31.86,99.47,1.94,0.51,748.7,2024-06-14 19:15:00,9.89,5.87,5.3,6.58,2.49,1.85
