pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
95.0,138.55,2.13,28.85,,0.92,17.08,128.5,32.71,56.84,0.83,152.63,764.1,2024-10-15 16:30:00,22.67,2.15,0.8,2.71,1.7,1.1
90.71,135.46,2.26,35.55,,0.98,20.75,117.7,32.09,60.44,0.58,267.01,764.3,2024-10-15 16:45:00,20.39,2.76,1.35,4.93,2.45,1.61
85.37,131.68,2.11,21.29,,0.93,13.04,99.48,31.39,67.4,1.43,11.41,764.2,2024-10-15 17:00:00,20.18,2.87,1.34,5.56,2.59,1.76
85.36,132.42,2.13,15.98,,0.9,10.23,104.1,31.1,68.1,1.37,347.01,764.4,2024-10-15 17:15:00,19.55,2.01,1.42,4.82,1.97,1.44
87.53,132.17,2.29,19.2,75.42,0.94,12.07,99.08,30.89,68.39,1.02,306.17,764.5,2024-10-15 17:30:00,21.06,1.96,1.25,3.89,1.96,1.25
86.81,131.81,2.27,24.6,6.48,0.99,14.93,88.85,30.85,68.33,1.24,312.24,764.6,2024-10-15 17:45:00,19.52,2.39,1.29,3.39,2.51,1.58
85.62,132.28,2.41,33.37,5.72,1.03,19.71,76.56,30.83,66.77,1.15,310.96,764.7,2024-10-15 18:00:00,18.09,2.61,1.79,4.09,3.54,2.28
85.53,135.63,2.3,33.34,5.27,0.97,19.6,73.77,30.81,65.89,1.19,302.96,764.6,2024-10-15 18:15:00,16.61,4.36,1.88,8.35,3.69,2.29
85.5,139.99,2.53,43.41,4.51,1.18,25.15,53.84,30.6,68.76,1.27,319.18,764.7,2024-10-15 18:30:00,15.53,5.71,1.88,14.97,3.51,2.14
85.02,143.78,2.56,41.73,4.13,1.14,24.28,49.2,30.43,71.21,1.04,357.04,764.9,2024-10-15 18:45:00,15.32,6.94,2.86,11.27,5.02,2.86
84.13,146.44,2.49,36.71,4.2,1.07,21.55,52.98,30.37,71.31,0.89,17.31,765.1,2024-10-15 19:00:00,14.88,5.71,5.31,9.67,6.85,4.33
84.03,148.28,2.43,29.7,4.68,1.03,17.77,55.13,30.23,72.39,0.93,307.95,765.2,2024-10-15 19:15:00,13.91,5.18,4.22,9.55,5.62,3.5
83.5,149.66,2.47,29.91,5.27,1.17,17.92,52.28,30.13,73.26,1.04,297.24,765.3,2024-10-15 19:30:00,13.96,2.7,2.47,11.77,3.92,2.43
82.46,150.59,2.7,43.12,5.2,1.26,25.13,34.23,29.95,74.49,0.78,259.66,765.4,2024-10-15 19:45:00,13.94,3.79,2.77,14.55,4.58,2.81
82.03,149.99,2.84,37.67,3.86,1.25,22.35,36.08,29.75,76.11,0.85,251.29,765.7,2024-10-15 20:00:00,14.05,3.72,2.83,17.54,5.42,3.27
82.26,154.38,2.74,36.08,3.4,1.26,21.42,33.1,29.47,77.52,0.63,269.96,765.8,2024-10-15 20:15:00,13.29,3.5,3.18,14.06,6.06,3.65
82.24,158.35,2.64,30.31,2.91,1.1,18.27,42.81,29.4,76.14,1.18,292.07,765.8,2024-10-15 20:30:00,12.8,3.44,2.75,10.83,5.65,3.58
81.89,158.63,2.51,26.63,2.43,1.09,16.21,49.48,29.31,75.24,0.71,259.25,766.0,2024-10-15 20:45:00,12.37,2.46,1.68,6.45,4.03,2.63
81.8,156.69,2.5,29.66,2.0,1.13,17.81,45.03,29.14,76.23,0.61,256.99,766.0,2024-10-15 21:00:00,12.28,2.11,1.42,5.34,3.79,2.46
81.74,154.1,2.47,26.41,1.66,1.13,16.06,42.91,29.08,76.66,0.66,258.2,766.0,2024-10-15 21:15:00,11.96,2.48,1.47,6.14,3.85,2.68
81.39,150.46,2.43,28.85,1.84,1.15,17.32,39.95,28.99,77.18,0.6,254.77,766.0,2024-10-15 21:30:00,11.48,2.85,1.25,5.55,3.31,2.31
80.3,145.35,2.58,31.38,1.36,1.26,18.79,29.76,28.83,78.28,0.42,253.83,766.0,2024-10-15 21:45:00,11.28,5.11,1.35,5.95,3.57,2.51
79.71,141.19,2.54,27.19,1.32,1.08,16.53,41.31,28.81,77.59,0.52,276.17,765.9,2024-10-15 22:00:00,11.81,5.78,1.59,6.96,4.3,3.01
79.11,137.94,2.49,31.6,1.17,1.14,18.83,32.62,28.87,77.48,0.35,282.4,766.0,2024-10-15 22:15:00,11.15,6.74,1.3,5.13,3.27,2.3
78.87,134.97,2.6,32.97,1.24,1.16,19.65,29.13,28.8,77.75,0.69,262.69,765.9,2024-10-15 22:30:00,11.55,5.54,1.53,5.72,4.07,2.85
79.0,132.67,2.55,29.7,1.23,1.07,17.87,27.14,28.66,78.86,0.62,263.88,765.9,2024-10-15 22:45:00,11.42,6.18,1.81,6.79,4.72,3.29
81.94,130.11,2.5,27.03,0.74,0.99,16.41,26.06,28.45,79.97,0.43,254.16,765.9,2024-10-15 23:00:00,11.05,4.78,1.28,5.45,3.3,2.31
91.08,126.03,2.54,29.16,0.81,1.06,17.58,22.72,28.17,81.4,0.29,224.0,765.9,2024-10-15 23:15:00,11.44,3.59,1.12,4.52,2.86,2.01
