pm2.5,pm10,no,no2,co,nox,ozone,at,rh,ws,wd,timestamp,benzene,eth_benzene,toluene,mp_xylene
75.16,76.56,12.08,43.9,2.2,33.17,64.09,35.7,35.91,,,2024-05-21 13:15:00,1.03,0.51,3.21,0.45
75.16,76.56,11.79,41.57,2.11,31.69,31.0,35.95,35.48,,,2024-05-21 13:30:00,1.13,0.51,3.77,0.54
75.16,76.56,11.72,41.46,2.12,31.58,32.0,36.14,34.82,,,2024-05-21 13:45:00,0.95,0.47,3.72,0.53
,,12.02,41.57,2.08,31.88,30.0,36.22,34.16,,,2024-05-21 14:00:00,0.67,0.48,3.59,0.5
,,12.47,40.6,1.98,31.73,34.0,36.34,34.14,,,2024-05-21 14:15:00,0.66,0.48,3.41,0.48
26.6,30.81,8.5,30.53,0.42,23.15,53.3,,94.65,,,2024-06-10 09:45:00,0.78,0.05,0.76,0.11
26.6,30.81,8.74,29.52,0.66,22.81,58.91,,94.65,,,2024-06-10 10:00:00,0.29,0.04,0.53,0.08
18.25,25.91,8.79,29.3,0.83,22.73,59.11,,94.65,,,2024-06-10 10:15:00,0.0,,0.0,
15.55,24.32,8.63,29.15,0.71,22.52,57.46,26.28,94.64,,,2024-06-10 10:30:00,0.0,,0.0,
15.55,24.32,9.9,31.44,0.71,24.77,53.07,26.71,94.54,,,2024-06-10 10:45:00,0.0,,0.0,
15.55,24.32,9.11,30.44,0.73,23.6,53.12,26.86,89.47,,,2024-06-10 11:00:00,0.0,,0.0,
10.23,34.75,8.85,29.13,0.61,22.7,54.99,27.06,77.3,,,2024-06-10 11:15:00,0.0,,0.0,
8.51,38.12,8.65,28.39,0.66,22.14,54.45,27.54,75.15,,,2024-06-10 11:30:00,0.0,,0.0,
8.51,38.12,8.81,27.82,0.55,21.96,58.3,27.84,73.68,,,2024-06-10 11:45:00,0.0,,0.0,
8.51,38.12,9.0,27.83,0.7,22.12,59.15,27.77,73.56,,,2024-06-10 12:00:00,0.33,,0.32,0.06
6.11,34.8,8.95,27.8,0.62,22.07,58.73,27.74,73.66,,,2024-06-10 12:15:00,0.36,0.04,0.28,0.05
5.33,33.73,9.25,28.17,0.5,22.5,58.91,27.79,72.6,,,2024-06-10 12:30:00,0.46,0.05,0.38,0.07
5.33,33.73,8.94,28.11,0.66,22.22,58.78,28.11,71.81,,,2024-06-10 12:45:00,0.29,0.09,0.34,0.08
5.33,33.73,8.7,28.36,0.42,22.16,60.2,28.22,71.43,,,2024-06-10 13:00:00,0.32,0.07,0.37,0.09
11.86,34.93,9.01,27.52,0.52,21.97,61.33,28.42,70.36,,,2024-06-10 13:15:00,0.32,0.05,0.34,0.05
13.97,35.31,8.13,27.26,0.46,21.1,65.1,28.28,70.12,,,2024-06-10 13:30:00,0.22,0.04,0.25,0.04
13.97,35.31,8.61,27.18,0.51,21.45,70.91,28.15,71.74,,,2024-06-10 13:45:00,0.23,0.03,0.24,0.04
13.97,35.31,8.37,28.94,0.66,22.2,72.11,28.27,72.54,,,2024-06-10 14:00:00,0.22,0.03,0.24,0.05
19.52,40.62,8.65,29.77,0.62,22.87,72.16,28.29,71.49,,,2024-06-10 14:15:00,0.28,0.03,0.22,0.04
21.31,42.33,8.33,27.98,0.62,21.65,78.09,27.99,70.97,,,2024-06-10 14:30:00,0.35,0.04,0.26,0.04
