pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
64.81,198.85,0.34,22.49,19.5,0.68,12.02,101.08,32.0,79.24,0.38,218.43,2023-11-14 15:45:00,21.55,7.01,6.0,2.07,6.26
65.1,199.4,0.41,27.08,19.63,0.77,14.47,102.04,31.96,79.25,0.52,254.0,2023-11-14 16:00:00,20.15,6.8,5.75,1.98,5.97
66.17,201.45,0.38,22.87,18.35,0.7,12.25,105.0,31.65,79.05,0.49,249.51,2023-11-14 16:15:00,21.47,6.88,5.69,1.97,6.02
66.17,201.45,0.35,21.44,18.86,0.71,11.48,101.57,31.38,78.83,0.49,225.53,2023-11-14 16:30:00,21.84,6.98,5.61,1.95,6.0
66.17,201.45,0.36,23.95,18.31,0.7,12.8,104.2,31.17,78.67,0.53,207.89,2023-11-14 16:45:00,21.11,6.86,5.46,1.88,5.83
66.59,203.4,0.36,20.15,17.63,0.73,10.81,103.52,31.04,78.62,0.51,227.13,2023-11-14 17:00:00,22.37,6.87,5.36,1.83,5.73
68.15,210.23,0.37,22.13,15.64,0.72,11.86,100.93,31.01,78.55,0.18,209.01,2023-11-14 17:15:00,21.78,6.85,5.15,1.76,5.46
68.15,210.23,0.55,21.78,15.28,0.79,11.82,99.15,30.73,78.35,0.43,170.32,2023-11-14 17:30:00,21.67,6.99,5.11,1.75,5.43
68.15,210.23,0.56,21.63,16.74,0.76,11.75,101.25,30.49,78.19,0.43,216.48,2023-11-14 17:45:00,21.69,7.1,5.21,1.78,5.57
68.34,210.44,0.56,21.78,15.4,0.78,11.83,89.72,30.29,78.12,0.12,290.86,2023-11-14 18:00:00,21.68,7.0,5.17,1.76,5.52
69.07,211.21,0.6,21.91,11.09,0.64,11.92,63.38,29.95,77.87,0.25,196.18,2023-11-14 18:15:00,21.57,6.94,5.13,1.74,5.44
69.07,211.21,0.5,19.12,9.36,0.65,10.39,56.86,29.63,77.64,0.43,126.64,2023-11-14 18:30:00,22.5,6.72,5.35,1.71,5.57
69.07,211.21,0.46,18.34,8.44,0.66,9.95,53.53,29.39,77.45,0.55,111.2,2023-11-14 18:45:00,22.82,6.18,5.47,1.69,5.87
68.16,207.36,0.45,18.23,8.95,0.67,9.88,51.92,29.26,77.38,0.5,114.29,2023-11-14 19:00:00,22.84,5.85,5.32,1.65,5.84
64.74,193.9,0.5,18.91,10.45,0.7,10.29,50.07,29.22,77.3,0.58,86.68,2023-11-14 19:15:00,22.66,5.87,5.04,1.59,5.54
64.74,193.9,0.48,18.81,10.87,0.7,10.21,48.92,29.13,77.25,0.63,122.28,2023-11-14 19:30:00,22.65,6.13,4.94,1.57,5.56
64.74,193.9,0.48,21.54,13.7,0.81,11.64,43.94,28.96,77.1,0.65,144.12,2023-11-14 19:45:00,21.89,6.47,5.01,1.57,5.71
66.85,203.34,0.57,27.73,14.65,0.94,14.95,36.44,28.87,77.06,0.49,127.2,2023-11-14 20:00:00,19.92,6.8,5.14,1.56,5.77
74.71,238.63,1.19,51.39,16.88,1.26,27.81,17.68,28.88,77.12,0.37,203.95,2023-11-14 20:15:00,12.82,7.24,5.43,1.62,6.1
74.71,238.63,1.16,47.62,22.77,1.15,25.81,21.84,28.73,76.98,0.45,108.37,2023-11-14 20:30:00,14.0,8.1,6.05,1.77,6.87
74.71,238.63,0.9,40.45,23.51,0.92,21.86,27.51,28.59,76.86,0.56,108.82,2023-11-14 20:45:00,16.26,8.37,6.88,1.82,7.45
83.24,281.27,0.77,34.01,24.22,0.95,18.39,30.48,28.44,76.78,0.41,90.53,2023-11-14 21:00:00,18.31,7.85,6.65,1.74,7.29
115.1,440.62,0.7,29.92,21.52,1.01,16.2,28.18,28.57,76.89,0.47,77.89,2023-11-14 21:15:00,19.47,7.54,5.91,1.67,6.93
115.1,440.62,0.79,34.73,26.46,1.32,18.78,19.37,28.44,76.77,0.63,104.08,2023-11-14 21:30:00,17.99,7.62,5.7,1.65,6.84
115.1,467.38,4.32,52.27,48.8,1.7,30.77,8.3,28.34,76.73,0.55,103.9,2023-11-14 21:45:00,11.31,8.25,5.97,1.72,7.15
124.96,467.38,20.04,75.57,44.05,2.29,55.56,2.08,28.28,76.69,0.46,157.2,2023-11-14 22:00:00,,9.56,6.57,1.85,6.89
161.78,,17.5,80.78,38.49,1.91,56.24,1.56,28.34,76.72,0.55,141.39,2023-11-14 22:15:00,,11.4,7.71,2.18,7.53
161.78,,10.47,82.36,38.1,1.86,51.42,2.29,28.32,76.71,0.6,146.08,2023-11-14 22:30:00,,12.66,8.87,2.54,9.01
161.78,,5.1,76.73,33.64,1.71,44.17,10.8,28.23,76.69,0.53,168.79,2023-11-14 22:45:00,3.57,12.28,8.91,2.52,9.06
172.71,625.97,3.22,78.39,33.27,1.45,43.54,15.18,28.14,76.57,0.44,166.64,2023-11-14 23:00:00,3.79,11.78,8.65,2.43,8.74
213.57,,1.92,66.08,40.42,1.21,36.06,21.87,28.16,76.55,0.57,152.22,2023-11-14 23:15:00,8.04,11.35,8.49,2.46,8.63
213.57,,9.18,85.99,84.55,1.45,52.29,8.36,28.11,76.52,0.61,142.36,2023-11-14 23:30:00,,10.27,7.89,2.34,8.79
213.57,,11.77,91.25,80.34,1.7,57.11,3.52,28.13,76.52,0.6,114.44,2023-11-14 23:45:00,,9.72,7.47,2.28,8.97
273.17,,8.81,76.41,31.67,1.42,46.99,2.01,27.8,76.31,0.64,134.44,2023-11-15 00:00:00,2.01,10.6,7.89,2.44,8.6
495.89,,5.86,75.27,40.28,1.42,44.03,1.76,27.58,76.15,0.51,171.93,2023-11-15 00:15:00,3.37,11.85,8.7,2.6,8.72
495.89,,7.23,77.76,45.08,1.53,46.42,1.17,27.54,76.1,0.58,128.74,2023-11-15 00:30:00,1.93,11.89,8.86,2.54,8.65
