pm2.5,pm10,no,no2,so2,co,nox,ozone,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
,,10.99,26.64,,0.68,,,1.24,236.23,2016-08-23 10:00:00,,,,,
16.76,84.11,12.36,23.82,6.91,0.69,,25.5,1.39,243.06,2016-08-23 10:15:00,4.61,,,,
15.44,67.51,7.17,20.23,6.66,0.62,,28.54,1.87,225.1,2016-08-23 10:30:00,5.76,,,,
13.55,43.73,6.55,18.5,6.12,0.54,,31.28,1.42,230.2,2016-08-23 10:45:00,5.79,,,,
10.83,35.07,6.69,17.25,6.1,0.54,,31.29,1.36,226.92,2016-08-23 11:00:00,6.37,,,,
6.94,22.67,7.4,18.95,5.66,0.57,,31.39,0.96,224.29,2016-08-23 11:15:00,5.54,,,,
6.65,19.1,8.43,22.54,5.51,0.59,,30.3,0.52,213.11,2016-08-23 11:30:00,5.26,,,,
6.23,13.98,8.0,20.95,5.25,0.59,,35.88,0.65,233.95,2016-08-23 11:45:00,5.87,,,,
7.72,13.58,8.18,19.87,5.59,0.58,,35.88,0.42,188.53,2016-08-23 12:00:00,6.29,,,,
9.86,13.0,10.77,27.17,15.77,0.67,,24.09,1.06,146.79,2016-08-23 12:15:00,4.68,,,,
12.35,17.09,10.89,30.58,16.6,0.72,,21.6,0.79,157.56,2016-08-23 12:30:00,4.02,,,,
15.9,22.96,7.79,25.56,11.54,0.62,,27.84,0.76,142.88,2016-08-23 12:45:00,5.78,,,,
15.66,18.96,9.6,31.27,8.93,0.66,,29.67,0.87,154.3,2016-08-23 13:00:00,5.06,,,,
15.3,13.23,8.93,25.94,8.44,0.65,,30.4,0.9,158.5,2016-08-23 13:15:00,5.67,,,,
13.45,14.57,8.41,25.8,7.87,0.64,,31.02,0.77,162.85,2016-08-23 13:30:00,5.55,,,,
10.8,16.48,9.82,27.29,7.26,0.6,,29.41,1.02,222.5,2016-08-23 13:45:00,5.16,,,,
9.31,30.46,13.67,34.57,7.46,0.77,,25.19,0.64,205.25,2016-08-23 14:00:00,3.69,,,,
7.19,50.48,9.85,31.28,7.17,0.83,,24.35,0.75,233.69,2016-08-23 14:15:00,4.08,,,,
6.91,41.17,5.32,22.33,6.99,0.53,,27.98,0.6,244.17,2016-08-23 14:30:00,5.95,,,,
6.52,27.83,6.44,18.66,6.75,0.54,,29.23,0.24,145.1,2016-08-23 14:45:00,6.47,,,,
5.26,27.06,11.48,26.35,5.79,0.65,,27.92,0.64,132.14,2016-08-23 15:00:00,5.86,,,,
3.45,25.96,12.36,29.47,7.68,0.73,,26.07,1.14,142.07,2016-08-23 15:15:00,5.79,,,,
3.1,25.95,13.08,27.82,10.21,0.71,,20.9,0.75,168.19,2016-08-23 15:30:00,5.18,,,,
2.6,25.93,11.7,25.14,7.71,0.8,,24.36,1.0,216.54,2016-08-23 15:45:00,5.31,,,,
8.08,32.71,9.33,24.64,6.83,0.69,,28.98,1.34,221.51,2016-08-23 16:00:00,4.97,,,,
15.92,42.42,4.8,21.55,6.57,0.6,,31.89,1.48,231.04,2016-08-23 16:15:00,5.82,,,,
14.26,39.43,5.69,19.91,6.74,0.69,,30.27,1.14,233.85,2016-08-23 16:30:00,6.68,,,,
11.88,35.14,5.81,19.18,6.65,0.63,,28.2,0.92,216.31,2016-08-23 16:45:00,6.39,,,,
16.86,43.37,6.39,18.77,6.52,0.66,,27.31,0.8,223.65,2016-08-23 17:00:00,6.4,,,,
23.98,55.15,4.11,19.59,6.03,0.7,,26.01,0.91,221.39,2016-08-23 17:15:00,7.23,0.49,12.11,45.79,5.77
20.48,43.99,5.79,21.34,6.12,0.76,,27.94,1.16,233.31,2016-08-23 17:30:00,6.56,2.55,60.19,224.87,29.01
15.46,28.01,9.71,28.42,6.51,0.87,,23.71,0.92,218.2,2016-08-23 17:45:00,4.04,2.82,58.59,206.97,29.53
12.92,28.87,8.4,29.2,5.45,0.76,,23.59,0.82,242.21,2016-08-23 18:00:00,4.14,2.81,57.8,199.66,29.17
9.29,30.11,8.01,25.92,6.16,0.67,,23.57,1.03,248.62,2016-08-23 18:15:00,5.01,2.8,57.64,195.29,29.21
12.95,40.53,4.12,21.12,6.15,0.52,,21.2,0.59,238.12,2016-08-23 18:30:00,5.61,2.86,57.01,188.92,29.05
18.2,55.47,4.09,19.89,6.42,0.71,,20.73,1.13,238.88,2016-08-23 18:45:00,6.2,2.89,56.38,181.72,28.96
16.02,47.76,5.37,21.46,6.51,0.59,,22.4,0.93,246.41,2016-08-23 19:00:00,5.75,2.92,54.97,173.46,28.41
12.91,36.72,4.95,19.15,6.68,0.65,,18.74,0.46,226.11,2016-08-23 19:15:00,6.37,3.04,55.15,170.26,28.34
16.52,41.03,9.37,23.68,6.68,0.79,,15.87,0.62,196.29,2016-08-23 19:30:00,4.94,3.09,55.0,167.05,27.71
21.71,47.21,17.17,27.11,7.79,0.82,,14.05,0.51,190.22,2016-08-23 19:45:00,2.51,3.11,54.49,163.26,27.98
23.16,45.09,20.13,27.48,8.3,0.84,,12.31,0.65,210.43,2016-08-23 20:00:00,2.26,3.18,52.96,160.9,26.21
25.24,42.06,13.81,31.03,8.53,0.81,,13.49,1.0,211.49,2016-08-23 20:15:00,3.39,3.29,54.16,162.78,27.07
22.95,44.51,8.03,29.47,9.11,0.7,,15.81,0.63,195.27,2016-08-23 20:30:00,4.79,3.39,55.66,163.77,28.44
19.65,48.01,7.57,26.58,9.44,0.76,,15.76,0.61,196.67,2016-08-23 20:45:00,5.31,3.34,54.72,163.1,26.94
20.5,53.99,26.85,31.88,26.18,1.07,,20.67,0.72,147.89,2016-08-23 21:00:00,1.77,3.21,54.82,160.03,27.07
21.7,62.54,25.28,33.59,43.26,1.05,,10.73,1.08,143.49,2016-08-23 21:15:00,1.21,3.16,56.3,164.37,28.88
19.57,55.13,21.96,30.59,24.31,0.92,,11.69,0.75,158.27,2016-08-23 21:30:00,2.15,3.25,55.54,251.95,28.3
16.52,44.51,18.23,26.78,15.56,0.97,,12.37,0.67,155.23,2016-08-23 21:45:00,3.6,3.29,56.57,,28.0
18.25,43.4,15.0,28.44,20.47,0.95,,12.13,0.89,149.35,2016-08-23 22:00:00,3.61,3.31,57.98,,29.75
20.71,41.81,12.59,28.21,17.72,0.85,,11.55,0.42,172.8,2016-08-23 22:15:00,3.62,3.49,53.49,,27.74
16.97,35.31,15.26,28.07,12.5,0.83,,10.76,0.73,203.84,2016-08-23 22:30:00,3.67,3.55,51.57,,25.77
11.6,26.0,12.6,33.54,10.81,0.86,,10.81,0.59,187.61,2016-08-23 22:45:00,3.53,3.54,51.87,,26.22
14.77,37.45,14.12,29.29,8.74,0.88,,12.15,0.42,179.0,2016-08-23 23:00:00,3.96,3.66,54.09,,28.19
19.32,53.85,22.02,28.74,10.99,0.86,,11.84,0.38,165.86,2016-08-23 23:15:00,2.26,3.81,54.89,,28.57
19.66,43.95,17.88,26.91,9.45,0.8,,11.49,0.37,166.7,2016-08-23 23:30:00,3.24,3.87,55.18,,28.45
20.16,29.77,18.54,28.47,8.98,0.88,,11.48,0.66,186.29,2016-08-23 23:45:00,2.65,3.82,55.37,,28.01
16.08,25.3,11.42,30.95,6.59,0.43,,14.11,0.83,200.11,2016-08-24 00:00:00,3.46,3.83,56.02,494.39,28.66
10.24,18.89,5.93,23.35,6.99,0.65,,20.12,0.92,209.67,2016-08-24 00:15:00,5.84,3.76,54.68,481.7,27.19
8.33,25.38,7.31,25.08,6.56,0.64,,19.65,0.8,206.04,2016-08-24 00:30:00,5.38,3.63,54.23,466.79,27.81
5.58,34.68,10.05,29.26,6.4,0.58,,17.09,0.56,177.22,2016-08-24 00:45:00,4.15,3.64,58.48,461.52,29.69
10.59,32.49,12.18,29.95,9.83,0.66,,13.06,0.66,153.03,2016-08-24 01:00:00,3.33,3.49,57.12,440.08,28.74
17.76,29.35,11.38,28.14,23.66,0.58,,16.58,0.91,142.2,2016-08-24 01:15:00,4.27,3.42,56.21,432.82,27.52
14.5,24.27,6.56,26.47,27.58,0.53,,11.81,0.8,149.2,2016-08-24 01:30:00,5.15,3.4,57.76,463.24,28.92
9.84,16.99,10.46,26.44,12.96,0.56,,14.02,0.92,146.2,2016-08-24 01:45:00,4.25,3.3,57.0,,27.51
8.07,14.97,11.75,25.81,11.2,0.56,,11.79,0.97,145.56,2016-08-24 02:00:00,4.55,3.19,58.42,,28.26
5.55,12.07,9.74,24.82,6.65,0.74,,12.62,0.81,155.01,2016-08-24 02:15:00,5.2,3.14,61.02,,30.43
9.03,16.96,8.3,25.66,6.17,0.98,,12.57,0.55,166.2,2016-08-24 02:30:00,4.96,3.13,61.49,,30.56
14.01,23.97,10.75,26.5,5.87,0.81,,12.22,0.46,179.04,2016-08-24 02:45:00,5.22,3.11,61.56,,30.27
14.18,34.76,16.23,26.08,8.09,1.14,,12.28,0.44,194.09,2016-08-24 03:00:00,5.26,3.17,61.29,,29.01
14.42,50.21,18.2,26.44,9.5,0.94,,11.85,0.45,185.1,2016-08-24 03:15:00,4.12,3.3,64.19,,30.58
15.13,40.23,,,7.75,0.57,,12.13,0.69,211.5,2016-08-24 03:30:00,,3.8,64.41,492.18,30.31
16.14,25.94,,,7.02,0.35,,13.86,0.43,188.77,2016-08-24 03:45:00,,3.74,65.98,477.13,31.46
12.9,21.1,,,6.67,0.42,,12.8,0.35,170.86,2016-08-24 04:00:00,,3.53,65.45,460.22,31.48
8.27,14.17,,,6.85,0.57,,12.5,0.52,204.09,2016-08-24 04:15:00,,3.33,63.57,442.69,29.65
9.77,11.77,,,6.71,0.69,,13.28,0.41,178.54,2016-08-24 04:30:00,,3.21,64.63,425.16,30.69
11.91,8.34,,,6.74,0.75,,13.3,0.44,200.36,2016-08-24 04:45:00,,3.06,64.05,406.19,31.05
11.38,25.71,,,6.67,0.69,,13.94,0.51,151.96,2016-08-24 05:00:00,,2.9,62.03,386.96,29.86
10.62,50.61,,,7.21,0.67,,11.98,0.7,148.07,2016-08-24 05:15:00,,2.74,58.69,368.74,27.34
12.72,53.79,,,7.18,0.72,,11.51,0.67,143.79,2016-08-24 05:30:00,,2.59,58.13,354.44,27.22
15.74,58.35,,,7.23,0.73,,11.85,0.63,207.2,2016-08-24 05:45:00,,2.46,58.22,344.54,27.63
17.8,59.53,,,5.95,0.6,,14.01,0.84,220.96,2016-08-24 06:00:00,,2.34,55.5,330.98,26.32
20.75,61.24,,,7.27,0.62,,15.35,0.43,158.64,2016-08-24 06:15:00,,2.33,53.68,316.24,26.26
21.56,60.85,,,8.21,1.06,,13.69,0.86,147.62,2016-08-24 06:30:00,,2.21,51.22,300.27,24.17
22.73,60.29,,,8.13,0.96,,12.16,0.8,153.66,2016-08-24 06:45:00,,2.24,52.94,296.72,24.97
18.27,60.77,,,7.78,0.99,,11.63,0.44,183.68,2016-08-24 07:00:00,,2.38,54.53,294.86,26.0
11.89,61.44,,,11.5,0.96,,11.2,0.64,202.16,2016-08-24 07:15:00,,2.49,54.45,289.28,25.95
17.06,53.1,,,9.69,0.8,,12.18,0.93,215.66,2016-08-24 07:30:00,,2.61,56.23,286.44,27.76
24.46,41.16,,,7.79,0.8,,14.02,0.76,205.11,2016-08-24 07:45:00,,2.68,56.76,303.72,28.08
19.79,37.3,,,7.71,0.71,,13.6,0.67,217.22,2016-08-24 08:00:00,,2.66,56.98,306.91,28.2
13.1,31.77,,,7.96,0.69,,12.83,0.66,209.75,2016-08-24 08:15:00,,2.6,56.98,295.35,28.07
14.96,43.64,,,8.63,0.86,,12.22,0.66,199.21,2016-08-24 08:30:00,,2.57,56.79,287.4,27.49
17.62,60.65,,,9.51,1.22,,12.08,0.5,210.43,2016-08-24 08:45:00,,2.53,57.17,278.69,28.36
23.0,62.15,,,6.94,1.02,,12.15,0.62,199.83,2016-08-24 09:00:00,,2.66,57.44,272.85,28.61
30.71,64.31,,,8.17,0.8,,12.68,0.47,176.7,2016-08-24 09:15:00,,3.22,57.61,269.67,28.85
28.56,59.83,,,8.48,0.78,,12.61,0.8,206.11,2016-08-24 09:30:00,,3.57,57.98,261.37,29.03
25.49,53.42,,,7.62,0.76,,13.41,0.89,205.56,2016-08-24 09:45:00,,3.78,59.17,259.38,29.45
20.53,53.13,,,7.89,0.68,,15.82,1.04,211.46,2016-08-24 10:00:00,,4.21,59.93,256.62,29.25
13.43,52.7,,,9.54,0.74,,16.18,0.8,210.89,2016-08-24 10:15:00,,3.91,61.3,251.34,30.65
12.71,55.42,,,11.75,0.7,,20.47,0.92,204.74,2016-08-24 10:30:00,,3.8,61.78,247.89,30.91
11.69,59.32,,,13.93,0.69,,22.27,1.29,216.09,2016-08-24 10:45:00,,3.73,62.1,251.05,30.85
12.24,67.22,15.23,37.71,15.97,0.82,,26.25,1.44,,2016-08-24 11:45:00,1.7,,,,
16.1,71.11,10.52,35.67,11.88,0.78,,29.77,1.59,231.64,2016-08-24 12:00:00,2.53,3.77,64.11,234.6,32.29
21.62,76.69,10.14,33.36,13.46,0.73,,29.78,1.78,236.31,2016-08-24 12:15:00,2.63,3.75,64.79,231.02,32.65
20.59,64.81,7.88,30.34,12.19,0.72,,35.43,1.73,235.07,2016-08-24 12:30:00,2.96,3.63,64.21,224.17,32.28
19.11,47.78,7.42,28.41,10.78,0.7,,37.38,1.58,233.1,2016-08-24 12:45:00,3.34,3.51,63.73,218.66,31.32
18.94,48.93,7.49,25.53,9.3,0.64,,35.51,1.72,234.86,2016-08-24 13:00:00,3.71,3.42,63.08,211.91,31.2
18.69,50.58,7.31,23.22,8.45,0.67,,34.28,1.5,235.2,2016-08-24 13:15:00,4.18,3.33,62.86,206.28,31.71
17.52,43.66,7.37,22.78,7.67,0.69,,33.15,1.22,234.95,2016-08-24 13:30:00,4.26,3.23,61.93,201.58,30.57
15.85,33.75,6.19,22.68,6.93,0.66,,33.36,1.58,237.99,2016-08-24 13:45:00,4.33,3.2,61.69,196.82,30.66
14.7,39.76,,,6.53,0.61,,34.94,2.24,237.45,2016-08-24 14:00:00,,3.46,61.59,191.8,31.33
13.05,48.38,,,6.38,0.62,,40.18,1.85,236.23,2016-08-24 14:15:00,,3.76,61.06,186.67,31.07
13.39,48.5,,,6.08,0.59,,39.44,2.22,237.56,2016-08-24 14:30:00,,3.7,58.89,179.06,29.77
13.87,48.66,,,6.04,0.54,,37.71,1.81,235.75,2016-08-24 14:45:00,,3.6,57.44,175.22,28.28
11.54,40.7,,,5.42,0.63,,37.39,2.13,240.11,2016-08-24 15:00:00,,3.54,59.46,172.67,30.21
8.19,29.29,,,5.59,0.62,,36.98,2.31,240.76,2016-08-24 15:15:00,,3.48,60.0,169.03,30.47
12.34,25.26,25.36,20.28,5.05,0.6,,34.39,2.19,237.06,2016-08-24 15:30:00,12.53,3.47,57.77,160.87,29.27
18.28,19.48,4.78,23.14,3.98,0.69,,30.22,1.46,232.83,2016-08-24 15:45:00,12.54,3.58,56.82,156.8,28.62
19.48,35.3,4.57,23.83,3.79,0.68,,29.9,1.46,240.78,2016-08-24 16:00:00,8.88,3.69,53.49,148.59,26.29
21.21,57.96,4.83,24.78,3.18,0.71,,29.01,1.41,233.19,2016-08-24 16:15:00,7.42,3.76,52.08,145.04,25.53
21.43,47.89,6.25,24.22,3.43,0.65,,29.08,1.56,231.64,2016-08-24 16:30:00,6.22,3.83,53.33,142.42,27.07
21.76,33.45,9.23,23.8,3.08,0.69,,25.29,0.96,231.8,2016-08-24 16:45:00,5.47,4.02,53.04,139.83,26.98
23.93,41.96,8.45,24.43,2.91,0.7,,22.63,0.78,252.5,2016-08-24 17:00:00,4.52,3.98,52.92,138.31,26.78
27.05,54.16,8.66,21.03,2.63,0.6,,25.05,0.73,248.14,2016-08-24 17:15:00,6.12,3.86,52.57,136.66,26.05
22.53,50.74,3.88,17.43,2.53,0.62,,24.08,0.39,216.86,2016-08-24 17:30:00,6.82,3.76,53.91,135.0,27.34
16.07,45.85,15.05,24.71,3.08,0.71,,19.34,0.91,144.07,2016-08-24 17:45:00,3.16,3.63,54.0,133.31,27.36
14.37,37.86,18.42,30.63,5.46,0.83,,15.57,1.09,145.52,2016-08-24 18:00:00,0.57,3.5,54.2,132.19,27.41
11.94,26.41,19.33,29.27,5.59,0.77,,14.74,0.86,139.45,2016-08-24 18:15:00,1.99,3.52,55.41,134.16,27.95
15.92,32.79,13.03,24.25,6.26,0.73,,13.7,0.37,131.04,2016-08-24 18:30:00,3.35,3.63,54.02,136.89,27.55
21.63,41.92,12.85,20.0,6.53,0.73,,12.97,0.35,170.93,2016-08-24 18:45:00,3.88,3.59,56.14,139.3,28.33
19.37,46.62,36.93,25.3,6.54,1.02,,11.72,0.41,148.24,2016-08-24 19:00:00,0.2,3.61,61.67,141.02,29.95
16.13,53.35,25.72,22.91,6.6,1.02,,11.48,0.32,185.76,2016-08-24 19:15:00,2.98,3.6,64.77,143.65,30.15
21.84,55.0,12.94,21.12,6.11,0.85,,12.12,0.57,217.65,2016-08-24 19:30:00,4.9,3.61,69.22,145.73,33.24
30.02,57.36,10.67,20.72,5.47,0.82,,12.2,0.38,200.11,2016-08-24 19:45:00,4.35,3.66,71.61,149.29,34.35
32.69,58.67,15.32,24.93,5.7,0.82,,12.52,0.56,208.57,2016-08-24 20:00:00,4.25,3.69,73.25,147.84,35.12
36.52,60.56,15.83,27.85,5.81,0.72,,12.53,0.68,209.2,2016-08-24 20:15:00,2.86,3.65,71.83,146.63,34.79
31.94,66.93,18.44,25.37,6.26,0.78,,11.91,0.39,163.23,2016-08-24 20:30:00,2.02,3.77,71.37,146.11,34.62
25.38,76.07,21.19,24.67,7.55,0.98,,12.07,0.55,211.94,2016-08-24 20:45:00,1.96,3.76,70.82,146.32,34.47
30.55,80.43,14.53,22.73,6.28,0.94,,13.09,0.59,198.04,2016-08-24 21:00:00,2.56,3.82,69.94,147.91,34.18
37.95,86.68,31.83,23.85,7.5,1.14,,12.57,0.41,189.44,2016-08-24 21:15:00,0.56,3.98,69.77,147.53,33.74
34.6,82.03,52.87,28.26,8.21,1.46,,12.59,0.51,150.83,2016-08-24 21:30:00,,4.22,66.86,146.21,31.32
29.8,75.36,46.74,30.89,9.24,1.69,,12.05,0.65,146.7,2016-08-24 21:45:00,,4.54,67.84,148.44,32.23
35.0,79.68,63.73,24.17,9.87,1.78,,11.82,0.58,142.6,2016-08-24 22:00:00,,5.01,70.12,152.2,34.72
42.44,85.86,56.26,27.2,9.6,1.59,,11.44,0.9,139.8,2016-08-24 22:15:00,,5.43,69.74,160.7,34.82
41.37,90.63,50.9,28.17,9.38,1.31,,11.32,0.93,143.44,2016-08-24 22:30:00,,5.8,67.36,170.74,33.75
39.84,97.46,46.02,31.91,8.21,1.35,,11.32,1.12,139.59,2016-08-24 22:45:00,,6.0,64.46,182.29,31.79
32.95,79.25,42.56,34.25,8.23,1.29,,11.19,1.13,143.62,2016-08-24 23:00:00,,6.12,65.93,188.0,33.69
23.07,53.17,45.12,34.74,7.81,1.32,,11.22,1.02,146.24,2016-08-24 23:15:00,,6.24,66.25,187.97,33.85
21.86,52.47,36.78,28.34,7.47,1.38,,11.47,0.63,153.14,2016-08-24 23:30:00,,6.36,66.33,191.22,33.92
20.13,51.46,38.74,26.88,7.03,1.38,,11.7,0.5,150.44,2016-08-24 23:45:00,,6.52,66.48,191.01,34.03
16.29,56.77,51.61,30.6,9.25,1.34,,11.83,0.84,151.48,2016-08-25 00:00:00,,6.67,66.25,189.11,33.84
10.79,64.39,41.59,32.28,8.66,1.44,,11.78,0.96,146.29,2016-08-25 00:15:00,,6.88,65.12,187.43,33.02
12.56,62.63,39.88,32.73,8.01,1.38,,11.88,0.78,148.35,2016-08-25 00:30:00,,7.38,60.4,190.65,30.11
15.1,60.1,41.62,28.39,7.54,1.2,,11.72,0.52,155.21,2016-08-25 00:45:00,,7.2,66.41,200.12,33.48
18.27,55.65,38.21,33.88,7.7,1.01,,12.23,0.6,187.44,2016-08-25 01:00:00,,7.29,65.23,197.62,32.01
22.81,49.26,37.13,33.57,7.73,0.95,,13.51,0.52,157.69,2016-08-25 01:15:00,,7.29,67.04,194.38,33.79
19.84,44.35,37.01,31.99,7.87,0.9,,14.08,0.46,171.49,2016-08-25 01:30:00,,7.24,66.52,191.81,33.02
15.58,37.33,31.52,32.13,7.93,0.86,,13.49,0.45,190.94,2016-08-25 01:45:00,,7.3,65.95,186.08,33.48
15.93,45.24,18.6,33.36,7.76,0.79,,12.59,0.46,208.56,2016-08-25 02:00:00,,7.42,65.92,184.48,33.21
16.42,56.57,13.27,27.41,7.72,0.75,,12.78,0.62,225.92,2016-08-25 02:15:00,0.32,7.48,66.3,183.04,32.77
18.06,47.58,17.79,24.62,9.05,0.66,,12.86,0.4,180.81,2016-08-25 02:30:00,0.68,7.32,67.13,182.4,33.77
20.4,34.69,35.79,25.42,11.89,0.8,,12.46,0.39,176.82,2016-08-25 02:45:00,,7.16,68.25,182.26,34.27
16.22,34.36,28.97,24.77,5.45,0.81,,11.69,0.25,166.75,2016-08-25 03:00:00,,7.13,70.1,182.35,35.12
10.24,33.88,25.11,24.0,4.03,0.71,,11.58,0.42,196.7,2016-08-25 03:15:00,,7.4,69.98,179.53,34.91
8.32,27.97,19.59,23.19,2.46,0.67,,11.56,0.41,198.94,2016-08-25 03:30:00,0.13,7.84,68.28,174.8,34.0
5.58,19.51,16.14,22.32,1.14,0.71,,11.46,0.4,208.84,2016-08-25 03:45:00,1.09,8.23,68.05,173.81,33.5
4.95,28.22,16.45,22.05,1.04,0.68,,11.42,0.37,189.97,2016-08-25 04:00:00,0.78,8.58,65.85,170.94,31.57
4.05,40.69,26.55,25.34,0.98,0.63,,11.59,0.31,176.84,2016-08-25 04:15:00,,8.72,67.35,169.63,33.37
9.57,40.86,29.03,28.85,0.38,0.63,,11.14,0.52,160.57,2016-08-25 04:30:00,,8.71,66.76,170.95,33.07
17.49,41.09,24.26,30.56,0.35,0.56,,11.06,0.29,148.91,2016-08-25 04:45:00,,8.61,66.02,171.06,32.41
19.13,42.62,27.6,33.23,0.26,0.58,,11.23,0.47,162.79,2016-08-25 05:00:00,,8.55,64.11,168.03,30.59
21.48,44.81,25.62,34.06,0.47,0.61,,11.62,0.63,211.39,2016-08-25 05:15:00,,8.58,65.64,165.59,32.42
22.1,45.72,22.32,34.28,0.44,0.6,,11.39,0.76,219.19,2016-08-25 05:30:00,,8.64,65.0,162.62,31.76
22.99,47.03,20.96,35.45,0.58,0.5,,11.32,0.54,175.79,2016-08-25 05:45:00,0.36,8.78,63.07,159.78,29.55
18.39,55.76,16.39,33.87,5.29,0.46,,11.6,0.56,205.71,2016-08-25 06:00:00,0.83,9.1,62.2,155.55,29.34
11.79,68.25,51.1,36.37,6.06,0.65,,11.3,0.44,180.68,2016-08-25 06:15:00,0.12,9.23,63.37,153.83,30.56
16.1,59.79,47.57,33.74,5.95,0.86,,11.54,0.39,212.26,2016-08-25 06:30:00,,9.18,61.03,149.95,28.66
22.28,47.68,41.18,33.0,5.93,0.89,,11.39,0.63,155.64,2016-08-25 06:45:00,,9.38,61.58,145.48,29.75
17.95,42.71,44.56,28.8,6.15,0.93,,11.25,0.53,155.3,2016-08-25 07:00:00,,9.74,61.4,144.32,29.15
11.75,35.58,37.93,24.5,6.09,0.89,,11.52,0.65,158.45,2016-08-25 07:15:00,0.82,9.95,62.23,144.18,30.1
15.98,60.44,,,5.9,0.91,,11.76,0.71,150.15,2016-08-25 07:30:00,,10.11,62.46,144.36,30.06
22.03,96.06,,,5.92,0.86,,12.06,0.22,178.59,2016-08-25 07:45:00,,10.19,62.1,143.91,29.28
21.36,79.1,,,5.9,0.8,,12.26,0.49,159.08,2016-08-25 08:00:00,,10.26,60.76,142.83,28.27
20.39,54.82,,,6.13,0.86,,12.55,0.61,161.61,2016-08-25 08:15:00,,10.3,61.05,142.12,28.33
21.84,44.88,16.54,22.39,6.93,1.01,,13.3,0.4,142.88,2016-08-25 08:30:00,3.67,10.27,61.44,140.9,28.84
23.92,30.64,15.99,23.22,7.05,0.94,,14.87,0.75,155.02,2016-08-25 08:45:00,2.54,10.24,63.19,140.17,30.95
27.34,46.94,17.91,26.57,5.46,0.89,,15.9,0.79,160.14,2016-08-25 09:00:00,0.08,10.06,63.39,139.48,31.05
32.23,70.27,16.11,22.57,5.95,0.86,,17.2,0.75,154.17,2016-08-25 09:15:00,0.48,9.87,63.84,139.68,31.09
26.87,70.37,15.05,23.57,6.0,0.82,,19.09,0.78,153.06,2016-08-25 09:30:00,,9.68,63.26,139.64,30.12
19.17,70.52,17.21,25.8,5.69,0.77,,21.3,0.7,196.9,2016-08-25 09:45:00,0.1,9.44,64.51,141.06,30.99
18.5,78.71,15.33,28.94,5.43,0.76,,21.41,0.83,214.41,2016-08-25 10:00:00,0.05,9.21,65.47,142.05,32.37
17.54,90.44,12.56,31.94,5.45,0.72,,27.66,1.35,231.25,2016-08-25 10:15:00,,8.9,65.56,141.43,32.45
15.72,73.39,11.05,31.68,5.66,0.71,,31.29,1.52,237.41,2016-08-25 10:30:00,0.18,8.57,65.18,140.64,32.01
13.13,48.96,9.09,26.09,5.91,0.7,,37.39,1.6,239.46,2016-08-25 10:45:00,0.67,8.06,64.71,139.75,31.31
16.2,41.02,10.39,23.77,5.79,0.68,,38.14,1.72,234.3,2016-08-25 11:00:00,1.2,7.56,64.1,137.71,31.26
20.61,29.65,8.76,22.9,5.73,0.67,,37.49,1.61,234.67,2016-08-25 11:15:00,1.67,7.04,63.33,134.82,31.51
18.06,36.69,6.41,20.48,5.66,0.67,,38.91,1.89,233.44,2016-08-25 11:30:00,1.43,6.63,62.21,132.66,30.79
14.4,46.78,6.65,18.93,5.33,0.63,,39.85,1.64,232.14,2016-08-25 11:45:00,2.5,6.2,60.33,131.21,29.22
14.79,47.85,8.01,21.03,5.28,0.66,,41.6,2.03,233.9,2016-08-25 12:00:00,2.32,5.77,60.44,128.84,30.01
15.34,49.38,7.67,25.88,6.09,0.65,,38.26,1.49,231.14,2016-08-25 12:15:00,0.52,5.45,58.71,127.29,28.38
13.11,46.19,7.08,22.74,5.9,0.62,,41.34,1.77,238.73,2016-08-25 12:30:00,1.69,5.11,59.32,125.32,29.25
9.93,41.62,3.77,17.89,5.76,0.63,,44.19,1.55,238.04,2016-08-25 12:45:00,4.6,4.82,58.92,123.57,29.6
13.81,40.56,5.64,16.66,5.76,0.6,,43.38,1.6,228.28,2016-08-25 13:00:00,4.7,4.57,58.3,122.26,28.81
19.37,39.03,5.3,15.8,5.84,0.54,,42.25,1.71,224.98,2016-08-25 13:15:00,4.71,4.32,57.86,120.35,29.1
19.02,51.12,5.87,15.73,5.73,0.54,,43.13,1.92,228.42,2016-08-25 13:30:00,4.89,4.08,56.87,118.51,28.16
18.53,68.44,4.8,14.87,5.68,0.5,,42.68,1.56,219.87,2016-08-25 13:45:00,5.1,3.89,57.39,118.43,29.13
18.05,67.33,5.46,14.96,5.91,0.53,,44.44,1.83,231.24,2016-08-25 14:00:00,4.89,3.69,57.4,118.28,29.17
17.36,65.76,5.76,17.82,6.91,0.52,,41.53,1.44,229.85,2016-08-25 14:15:00,4.87,3.47,57.01,117.43,28.83
13.82,52.65,5.04,18.23,10.67,0.49,,42.63,1.71,234.19,2016-08-25 14:30:00,4.05,3.32,56.4,117.12,27.77
8.74,33.87,5.38,17.29,10.5,0.55,,40.49,1.7,221.15,2016-08-25 14:45:00,2.92,3.23,56.34,117.96,27.33
7.1,27.07,6.7,16.22,4.09,0.49,,41.94,1.64,211.82,2016-08-25 15:00:00,2.82,3.08,56.3,116.57,27.19
4.74,17.32,7.5,17.59,2.74,0.54,,41.8,1.84,224.31,2016-08-25 15:15:00,3.0,2.88,55.73,114.06,27.24
