pm2.5,pm10,no,no2,co,nox,ozone,timestamp
62.6,113.3,8.53,21.96,1.75,18.62,16.0,2021-01-12 14:15:00
61.3,109.8,9.13,22.0,1.68,19.13,19.0,2021-01-12 14:30:00
61.0,108.0,8.59,22.21,1.63,18.79,20.0,2021-01-12 14:45:00
61.8,108.4,8.49,22.64,1.64,18.95,18.0,2021-01-12 15:00:00
60.7,105.6,8.67,22.33,1.58,18.93,22.0,2021-01-12 15:15:00
58.2,101.3,9.02,22.36,1.58,19.23,22.0,2021-01-12 15:30:00
56.0,96.8,8.93,22.78,1.54,19.38,21.0,2021-01-12 15:45:00
52.9,90.7,8.36,22.55,1.57,18.79,16.0,2021-01-12 16:00:00
52.0,87.5,8.63,22.69,1.54,19.09,23.0,2021-01-12 16:15:00
55.0,91.3,8.49,22.6,1.55,18.92,17.0,2021-01-12 16:30:00
55.2,90.4,8.45,22.68,1.55,18.93,18.0,2021-01-12 16:45:00
54.8,88.0,8.42,22.52,1.57,18.82,20.0,2021-01-12 17:00:00
55.0,88.4,8.71,22.11,1.62,18.84,16.0,2021-01-12 17:15:00
63.1,118.2,9.05,22.29,1.66,19.22,16.0,2021-01-12 17:30:00
86.6,191.3,8.85,22.16,1.7,18.98,16.0,2021-01-12 17:45:00
104.6,249.1,8.76,22.62,1.74,19.15,13.0,2021-01-12 18:00:00
108.4,267.9,8.49,22.72,1.79,18.99,13.0,2021-01-12 18:15:00
100.4,252.9,8.42,22.51,1.82,18.82,16.0,2021-01-12 18:30:00
74.9,187.5,8.23,22.63,1.87,18.73,17.0,2021-01-12 18:45:00
47.6,113.5,8.51,22.28,1.85,18.78,17.0,2021-01-12 19:00:00
41.6,92.8,8.0,22.43,1.83,18.43,17.0,2021-01-12 19:15:00
50.2,104.0,7.93,22.49,1.87,18.41,12.0,2021-01-12 19:30:00
60.1,119.1,7.82,22.34,1.92,18.24,9.0,2021-01-12 19:45:00
70.7,135.3,8.55,22.73,2.01,19.04,9.0,2021-01-12 20:00:00
76.5,144.3,8.57,22.46,2.14,18.91,8.0,2021-01-12 20:15:00
76.5,149.0,7.8,22.66,2.26,18.4,9.0,2021-01-12 20:30:00
72.6,146.2,7.96,22.98,2.37,18.69,9.0,2021-01-12 20:45:00
68.9,142.8,8.69,22.53,2.43,19.05,8.0,2021-01-12 21:00:00
64.8,138.0,8.9,22.52,2.47,19.22,12.0,2021-01-12 21:15:00
59.4,126.6,8.62,22.69,2.47,19.07,13.0,2021-01-12 21:30:00
55.8,111.9,8.86,22.6,2.47,19.22,11.0,2021-01-12 21:45:00
53.3,101.9,8.44,22.58,2.41,18.87,10.0,2021-01-12 22:00:00
54.6,101.5,8.16,22.68,2.43,18.69,10.0,2021-01-12 22:15:00
59.9,108.7,8.47,22.6,2.44,18.9,11.0,2021-01-12 22:30:00
64.1,114.6,8.62,22.6,2.43,19.04,10.0,2021-01-12 22:45:00
68.7,122.9,8.38,22.79,2.41,18.93,11.0,2021-01-12 23:00:00
70.9,127.8,8.15,22.76,2.42,18.73,11.0,2021-01-12 23:15:00
71.1,131.1,8.01,22.74,2.41,18.61,8.0,2021-01-12 23:30:00
,,,,0.0,0.0,,2021-01-13 00:00:00
,,,,0.0,0.0,,2021-01-13 00:15:00
,,,,0.0,0.0,,2021-01-13 00:30:00
,,,,0.0,0.0,,2021-01-13 00:45:00
,,,,0.0,0.0,,2021-01-13 01:00:00
,,,,0.0,0.0,,2021-01-13 01:15:00
,,,,0.0,0.0,,2021-01-13 01:30:00
61.5,105.6,8.7,22.02,1.09,18.78,10.0,2021-01-13 01:45:00
59.5,101.9,8.71,22.55,0.99,19.08,9.0,2021-01-13 02:00:00
58.9,101.5,9.12,22.53,0.92,19.4,11.0,2021-01-13 02:15:00
62.4,118.2,9.08,22.33,0.83,19.27,14.0,2021-01-13 02:30:00
66.7,138.4,8.64,22.31,0.76,18.9,11.0,2021-01-13 02:45:00
68.8,151.2,8.86,22.35,0.69,19.09,9.0,2021-01-13 03:00:00
68.7,156.2,8.92,22.34,0.67,19.13,8.0,2021-01-13 03:15:00
59.1,137.7,8.79,22.28,0.61,19.0,10.0,2021-01-13 03:30:00
47.7,106.3,9.04,22.23,0.56,19.17,12.0,2021-01-13 03:45:00
38.5,83.2,8.87,22.32,0.51,19.09,8.0,2021-01-13 04:00:00
34.1,71.2,8.33,22.07,0.51,18.51,9.0,2021-01-13 04:15:00
35.0,69.4,8.78,22.0,0.44,18.84,9.0,2021-01-13 04:30:00
36.9,70.7,8.48,22.14,0.38,18.67,9.0,2021-01-13 04:45:00
38.6,71.3,8.79,22.06,0.32,18.88,11.0,2021-01-13 05:00:00
39.6,72.0,8.92,21.91,0.35,18.91,10.0,2021-01-13 05:15:00
41.0,78.2,8.7,21.98,0.33,18.76,10.0,2021-01-13 05:30:00
41.9,83.8,8.51,22.45,0.28,18.87,11.0,2021-01-13 05:45:00
43.7,90.5,8.54,22.3,0.28,18.81,11.0,2021-01-13 06:00:00
44.8,94.5,8.29,22.14,0.32,18.51,10.0,2021-01-13 06:15:00
44.0,93.2,8.58,21.96,0.28,18.66,9.0,2021-01-13 06:30:00
43.0,88.2,8.49,22.51,0.33,18.87,10.0,2021-01-13 06:45:00
42.2,82.7,8.45,22.4,0.35,18.79,8.0,2021-01-13 07:00:00
42.7,80.4,8.99,22.64,0.45,19.35,9.0,2021-01-13 07:15:00
47.3,85.1,8.99,22.77,0.59,19.42,8.0,2021-01-13 07:30:00
52.0,90.3,9.23,22.6,0.68,19.52,7.0,2021-01-13 07:45:00
55.7,94.6,8.97,22.58,0.78,19.3,9.0,2021-01-13 08:00:00
58.4,98.2,9.11,22.58,0.88,19.42,9.0,2021-01-13 08:15:00
63.5,113.1,8.87,22.54,0.9,19.2,9.0,2021-01-13 08:30:00
66.3,125.3,8.5,22.55,0.94,18.9,8.0,2021-01-13 08:45:00
70.9,135.5,8.95,22.08,0.96,19.02,8.0,2021-01-13 09:00:00
73.5,142.5,8.89,21.77,1.02,18.81,9.0,2021-01-13 09:15:00
70.5,136.8,9.46,22.0,1.04,19.39,12.0,2021-01-13 09:30:00
66.6,124.6,9.33,21.85,1.04,19.2,11.0,2021-01-13 09:45:00
62.1,114.6,8.94,22.14,1.0,19.04,12.0,2021-01-13 10:00:00
59.6,107.1,8.88,22.27,1.01,19.07,14.0,2021-01-13 10:15:00
59.7,102.6,8.81,22.35,1.0,19.05,17.0,2021-01-13 10:30:00
61.3,100.0,8.84,22.41,1.02,19.11,16.0,2021-01-13 10:45:00
63.5,98.2,8.14,22.47,1.04,18.57,15.0,2021-01-13 11:00:00
64.2,98.3,8.18,22.86,1.03,18.81,15.0,2021-01-13 11:15:00
65.4,102.7,8.5,22.85,0.98,19.06,12.0,2021-01-13 11:30:00
65.5,105.4,8.6,22.91,0.92,19.18,9.0,2021-01-13 11:45:00
65.2,107.1,8.75,22.4,0.89,19.03,9.0,2021-01-13 12:00:00
65.1,108.5,8.76,22.14,0.86,18.9,12.0,2021-01-13 12:15:00
63.9,104.7,9.13,22.12,0.79,19.19,9.0,2021-01-13 12:30:00
62.0,101.2,9.01,22.24,0.75,19.15,13.0,2021-01-13 12:45:00
59.6,99.1,8.83,22.66,0.65,19.23,12.0,2021-01-13 13:00:00
57.7,97.6,8.74,22.63,0.68,19.15,13.0,2021-01-13 13:15:00
56.8,97.0,8.71,22.93,0.58,19.27,15.0,2021-01-13 13:30:00
56.9,98.2,8.06,22.78,0.54,18.67,16.0,2021-01-13 13:45:00
58.7,102.5,8.74,22.7,0.49,19.18,14.0,2021-01-13 14:00:00
59.7,105.2,9.07,22.45,0.47,19.32,18.0,2021-01-13 14:15:00
61.8,121.4,8.8,22.17,0.42,18.94,15.0,2021-01-13 14:30:00
65.4,145.1,9.13,22.39,0.36,19.33,16.0,2021-01-13 14:45:00
66.8,159.4,8.62,22.31,0.31,18.88,17.0,2021-01-13 15:00:00
64.7,160.2,8.15,22.17,0.3,18.42,21.0,2021-01-13 15:15:00
56.2,139.7,7.82,22.02,0.27,18.07,19.0,2021-01-13 15:30:00
45.6,108.2,8.19,22.47,0.25,18.61,20.0,2021-01-13 15:45:00
36.0,80.0,8.41,22.31,0.19,18.71,18.0,2021-01-13 16:00:00
31.5,65.9,8.54,21.94,0.23,18.61,21.0,2021-01-13 16:15:00
33.1,65.5,8.34,22.46,0.18,18.73,17.0,2021-01-13 16:30:00
38.0,73.1,8.27,22.62,0.23,18.75,16.0,2021-01-13 16:45:00
41.7,78.5,9.06,22.6,0.23,19.39,17.0,2021-01-13 17:00:00
44.2,82.8,8.36,22.44,0.26,18.74,17.0,2021-01-13 17:15:00
49.8,94.0,8.31,22.69,0.28,18.82,17.0,2021-01-13 17:30:00
54.0,103.8,8.16,22.5,0.32,18.6,14.0,2021-01-13 17:45:00
55.3,106.3,8.57,22.5,0.37,18.93,11.0,2021-01-13 18:00:00
57.1,109.3,8.67,22.49,0.45,19.01,15.0,2021-01-13 18:15:00
53.7,102.9,8.67,22.62,0.51,19.08,15.0,2021-01-13 18:30:00
49.2,91.4,9.15,22.04,0.56,19.16,14.0,2021-01-13 18:45:00
47.1,84.8,8.46,22.43,0.63,18.8,13.0,2021-01-13 19:00:00
48.0,84.7,8.12,22.59,0.69,18.62,11.0,2021-01-13 19:15:00
52.0,89.7,8.0,22.71,0.78,18.58,11.0,2021-01-13 19:30:00
56.9,96.3,7.54,23.07,0.79,18.4,12.0,2021-01-13 19:45:00
60.9,103.5,8.48,22.3,0.82,18.76,11.0,2021-01-13 20:00:00
62.4,106.8,9.1,22.07,0.83,19.13,12.0,2021-01-13 20:15:00
61.0,104.4,8.96,22.32,0.9,19.16,10.0,2021-01-13 20:30:00
58.7,101.7,8.99,22.3,0.93,19.17,12.0,2021-01-13 20:45:00
56.0,96.6,8.27,22.54,0.89,18.71,13.0,2021-01-13 21:00:00
54.7,94.5,8.23,22.74,0.85,18.79,13.0,2021-01-13 21:15:00
54.9,95.2,8.75,22.56,0.86,19.12,9.0,2021-01-13 21:30:00
57.1,98.7,8.72,22.68,0.91,19.15,8.0,2021-01-13 21:45:00
60.1,103.7,8.37,22.55,0.95,18.8,9.0,2021-01-13 22:00:00
62.1,106.5,8.43,22.91,0.96,19.04,10.0,2021-01-13 22:15:00
62.4,105.7,7.9,22.97,0.98,18.64,10.0,2021-01-13 22:30:00
59.7,99.6,8.2,23.17,1.01,18.99,11.0,2021-01-13 22:45:00
56.1,91.7,8.97,22.43,0.96,19.24,11.0,2021-01-13 23:00:00
55.4,90.4,9.84,22.52,0.95,19.97,10.0,2021-01-13 23:15:00
58.9,105.0,9.55,22.46,0.95,19.71,11.0,2021-01-13 23:30:00
,,,,0.0,0.0,,2021-01-14 00:00:00
,,,,0.0,0.0,,2021-01-14 00:15:00
,,,,0.0,0.0,,2021-01-14 00:30:00
,,,,0.0,0.0,,2021-01-14 00:45:00
,,,,0.0,0.0,,2021-01-14 01:00:00
,,,,0.0,0.0,,2021-01-14 01:15:00
,,,,0.0,0.0,,2021-01-14 01:30:00
31.6,69.6,6.16,12.19,0.54,18.35,10.0,2021-01-14 01:45:00
33.9,72.6,6.6,12.14,0.51,18.73,9.0,2021-01-14 02:00:00
35.3,74.4,6.88,12.14,0.52,19.02,10.0,2021-01-14 02:15:00
37.8,81.6,7.14,12.18,0.44,19.32,11.0,2021-01-14 02:30:00
39.3,87.5,6.92,11.9,0.39,18.82,12.0,2021-01-14 02:45:00
40.9,92.4,7.27,11.96,0.36,19.24,8.0,2021-01-14 03:00:00
41.4,95.0,6.91,11.97,0.31,18.89,11.0,2021-01-14 03:15:00
38.7,88.3,6.53,11.91,0.27,18.44,10.0,2021-01-14 03:30:00
35.0,76.8,7.07,12.01,0.26,19.08,12.0,2021-01-14 03:45:00
31.3,66.6,7.13,11.96,0.25,19.1,12.0,2021-01-14 04:00:00
29.4,60.8,7.26,11.85,0.21,19.11,10.0,2021-01-14 04:15:00
29.4,59.4,7.1,22.36,0.23,18.99,9.0,2021-01-14 04:30:00
30.0,59.2,6.54,11.83,0.18,18.37,12.0,2021-01-14 04:45:00
30.7,59.2,7.63,11.84,0.15,19.47,10.0,2021-01-14 05:00:00
31.2,59.3,7.02,11.76,0.17,18.77,10.0,2021-01-14 05:15:00
31.5,56.8,7.04,11.86,0.16,18.91,11.0,2021-01-14 05:30:00
32.8,57.2,7.26,11.94,0.16,19.21,9.0,2021-01-14 05:45:00
34.7,59.5,7.34,12.15,0.15,19.48,10.0,2021-01-14 06:00:00
35.8,61.3,7.31,12.06,0.19,19.36,11.0,2021-01-14 06:15:00
35.9,64.5,6.87,12.14,0.19,19.01,13.0,2021-01-14 06:30:00
35.8,67.1,6.92,12.12,0.19,19.04,12.0,2021-01-14 06:45:00
35.3,67.7,7.31,12.01,0.24,19.32,11.0,2021-01-14 07:00:00
34.7,67.8,7.54,11.96,0.22,19.5,10.0,2021-01-14 07:15:00
34.2,66.4,7.45,11.85,0.25,19.3,8.0,2021-01-14 07:30:00
42.2,77.9,7.74,11.89,0.26,19.63,10.0,2021-01-14 07:45:00
47.1,84.4,7.19,11.99,0.33,19.18,9.0,2021-01-14 08:00:00
47.1,83.3,6.99,11.95,0.33,18.94,9.0,2021-01-14 08:15:00
49.3,92.8,6.59,12.12,0.42,18.71,10.0,2021-01-14 08:30:00
51.2,104.9,6.95,12.04,0.43,18.99,10.0,2021-01-14 08:45:00
43.6,100.7,7.35,11.9,0.45,19.25,10.0,2021-01-14 09:00:00
42.9,104.8,7.42,11.7,0.5,19.12,10.0,2021-01-14 09:15:00
43.3,106.8,7.16,11.77,0.53,18.93,10.0,2021-01-14 09:30:00
42.9,100.9,6.84,11.79,0.57,18.63,11.0,2021-01-14 09:45:00
43.8,95.7,7.04,11.97,0.63,19.01,10.0,2021-01-14 10:00:00
45.9,95.7,7.03,11.78,0.66,18.81,11.0,2021-01-14 10:15:00
52.3,101.0,7.37,11.83,0.69,19.2,11.0,2021-01-14 10:30:00
58.2,105.5,7.24,11.78,0.73,19.02,14.0,2021-01-14 10:45:00
61.5,105.9,7.28,11.96,0.73,19.23,12.0,2021-01-14 11:00:00
63.1,107.3,7.04,11.94,0.74,18.98,12.0,2021-01-14 11:15:00
64.2,121.3,7.09,12.06,0.72,19.16,12.0,2021-01-14 11:30:00
63.8,136.6,6.75,12.07,0.66,18.82,11.0,2021-01-14 11:45:00
63.5,148.6,7.46,11.86,0.65,19.32,13.0,2021-01-14 12:00:00
63.5,156.3,7.26,11.74,0.64,19.0,11.0,2021-01-14 12:15:00
60.0,144.6,7.44,11.7,0.64,19.14,12.0,2021-01-14 12:30:00
55.3,123.9,7.82,11.57,0.6,19.39,9.0,2021-01-14 12:45:00
50.9,108.6,6.96,11.99,0.56,18.95,10.0,2021-01-14 13:00:00
48.8,100.4,7.25,12.11,0.49,19.36,12.0,2021-01-14 13:15:00
48.3,97.8,7.15,12.11,0.45,19.26,17.0,2021-01-14 13:30:00
49.5,100.8,7.18,12.25,0.42,19.43,17.0,2021-01-14 13:45:00
50.7,101.1,7.25,11.83,0.41,19.09,18.0,2021-01-14 14:00:00
50.9,100.4,7.53,11.61,0.36,19.14,15.0,2021-01-14 14:15:00
50.8,99.9,6.99,11.8,0.37,18.8,14.0,2021-01-14 14:30:00
51.5,102.0,7.27,11.91,0.3,19.17,17.0,2021-01-14 14:45:00
51.4,101.0,6.63,12.07,0.28,18.71,19.0,2021-01-14 15:00:00
51.4,100.3,6.74,11.85,0.23,18.59,22.0,2021-01-14 15:15:00
52.9,103.1,6.88,11.76,0.2,18.63,18.0,2021-01-14 15:30:00
54.1,105.2,7.15,11.8,0.21,18.95,21.0,2021-01-14 15:45:00
54.9,104.3,6.74,11.9,0.15,18.64,14.0,2021-01-14 16:00:00
55.6,103.8,6.9,11.94,0.19,18.84,23.0,2021-01-14 16:15:00
53.3,98.8,7.2,11.98,0.22,19.18,22.0,2021-01-14 16:30:00
50.3,91.5,7.4,11.94,0.19,19.34,18.0,2021-01-14 16:45:00
48.3,86.1,7.04,12.02,0.24,19.05,17.0,2021-01-14 17:00:00
48.5,86.5,7.09,12.12,0.26,19.2,19.0,2021-01-14 17:15:00
65.9,117.8,6.52,12.09,0.33,18.6,20.0,2021-01-14 17:30:00
101.1,187.4,6.96,12.24,0.34,19.21,17.0,2021-01-14 17:45:00
128.5,239.0,6.98,11.87,0.42,18.85,13.0,2021-01-14 18:00:00
147.5,275.4,6.73,11.52,0.49,18.25,14.0,2021-01-14 18:15:00
152.9,287.9,6.67,11.67,0.56,18.34,16.0,2021-01-14 18:30:00
139.6,259.4,6.51,11.89,0.59,18.4,15.0,2021-01-14 18:45:00
132.3,241.5,7.17,11.79,0.66,18.96,11.0,2021-01-14 19:00:00
125.4,226.0,6.97,11.84,0.73,18.82,12.0,2021-01-14 19:15:00
123.8,221.1,7.44,11.91,0.77,19.35,10.0,2021-01-14 19:30:00
118.3,206.2,7.33,11.79,0.84,19.11,10.0,2021-01-14 19:45:00
107.1,182.2,6.86,12.16,0.91,19.02,9.0,2021-01-14 20:00:00
100.5,170.4,6.42,12.2,0.97,18.62,10.0,2021-01-14 20:15:00
105.9,192.7,8.47,12.27,1.04,19.15,10.0,2021-01-14 20:30:00
104.0,200.4,6.66,12.23,1.02,18.89,12.0,2021-01-14 20:45:00
103.3,214.2,6.83,12.01,1.03,18.84,12.0,2021-01-14 21:00:00
101.4,222.2,6.78,12.04,1.06,18.82,13.0,2021-01-14 21:15:00
83.1,187.7,6.54,12.06,1.05,18.6,13.0,2021-01-14 21:30:00
63.1,148.4,6.65,12.1,1.03,18.76,15.0,2021-01-14 21:45:00
49.4,118.6,7.3,11.88,0.98,19.18,14.0,2021-01-14 22:00:00
43.1,102.0,7.16,11.89,1.02,19.05,11.0,2021-01-14 22:15:00
42.8,99.1,6.81,11.91,1.03,18.72,10.0,2021-01-14 22:30:00
44.7,99.4,6.97,11.79,1.05,18.76,10.0,2021-01-14 22:45:00
47.6,100.8,9.01,22.48,1.22,19.28,9.0,2021-01-14 23:00:00
49.6,103.4,9.54,22.61,1.28,19.78,11.0,2021-01-14 23:15:00
53.4,114.6,9.11,22.68,1.22,19.48,11.0,2021-01-14 23:30:00
,,,,0.0,0.0,,2021-01-15 00:00:00
,,,,0.0,0.0,,2021-01-15 00:15:00
,,,,0.0,0.0,,2021-01-15 00:30:00
,,,,0.0,0.0,,2021-01-15 00:45:00
,,,,0.0,0.0,,2021-01-15 01:00:00
,,,,0.0,0.0,,2021-01-15 01:15:00
,,,,0.0,0.0,,2021-01-15 01:30:00
30.4,62.1,8.34,22.47,0.71,18.73,14.0,2021-01-15 01:45:00
28.6,56.9,8.69,22.28,0.65,18.91,15.0,2021-01-15 02:00:00
28.1,55.1,8.54,22.31,0.61,18.81,12.0,2021-01-15 02:15:00
29.7,55.5,8.49,22.39,0.56,18.81,17.0,2021-01-15 02:30:00
32.7,59.8,8.59,21.98,0.48,18.68,15.0,2021-01-15 02:45:00
36.0,66.1,8.21,22.68,0.47,18.74,12.0,2021-01-15 03:00:00
38.1,70.3,8.08,22.71,0.41,18.65,13.0,2021-01-15 03:15:00
39.4,74.3,8.61,22.71,0.39,19.08,12.0,2021-01-15 03:30:00
38.9,75.7,8.17,22.8,0.36,18.76,13.0,2021-01-15 03:45:00
37.7,73.0,8.71,22.45,0.31,19.02,12.0,2021-01-15 04:00:00
36.3,70.1,9.19,22.15,0.3,19.25,11.0,2021-01-15 04:15:00
32.5,62.3,9.18,22.21,0.28,19.28,14.0,2021-01-15 04:30:00
28.6,53.7,8.96,22.48,0.3,19.25,15.0,2021-01-15 04:45:00
25.2,46.3,8.38,22.43,0.22,18.74,12.0,2021-01-15 05:00:00
23.9,43.3,7.99,22.36,0.22,18.39,11.0,2021-01-15 05:15:00
25.3,49.0,8.07,22.19,0.23,18.37,13.0,2021-01-15 05:30:00
27.8,58.0,7.86,22.63,0.22,18.43,13.0,2021-01-15 05:45:00
30.0,66.6,8.81,22.32,0.23,19.04,12.0,2021-01-15 06:00:00
31.4,72.1,8.55,22.38,0.19,18.86,10.0,2021-01-15 06:15:00
31.2,73.9,8.73,22.45,0.21,19.04,12.0,2021-01-15 06:30:00
30.8,71.3,8.63,22.05,0.19,18.75,11.0,2021-01-15 06:45:00
30.4,67.9,8.32,22.32,0.25,18.64,10.0,2021-01-15 07:00:00
30.7,66.5,7.94,22.29,0.3,18.31,10.0,2021-01-15 07:15:00
32.1,67.0,8.78,22.49,0.3,19.1,10.0,2021-01-15 07:30:00
36.0,71.6,8.97,22.51,0.35,19.27,8.0,2021-01-15 07:45:00
40.1,77.5,8.2,22.73,0.36,18.75,9.0,2021-01-15 08:00:00
42.8,81.8,8.01,22.4,0.4,18.43,9.0,2021-01-15 08:15:00
48.7,99.8,8.11,22.74,0.44,18.68,12.0,2021-01-15 08:30:00
54.4,117.0,8.86,22.81,0.48,19.34,10.0,2021-01-15 08:45:00
56.9,128.0,8.66,22.65,0.56,19.09,10.0,2021-01-15 09:00:00
58.2,134.3,8.02,22.51,0.59,18.49,11.0,2021-01-15 09:15:00
58.0,133.3,7.88,22.28,0.62,18.26,12.0,2021-01-15 09:30:00
57.3,126.0,7.95,22.04,0.67,18.19,12.0,2021-01-15 09:45:00
58.2,121.4,8.67,22.33,0.71,18.93,10.0,2021-01-15 10:00:00
61.0,120.3,8.83,22.01,0.76,18.89,13.0,2021-01-15 10:15:00
67.7,123.6,7.86,22.27,0.83,18.23,16.0,2021-01-15 10:30:00
74.7,127.6,8.41,22.81,0.87,18.97,15.0,2021-01-15 10:45:00
84.4,135.6,8.28,22.68,1.0,18.8,12.0,2021-01-15 11:00:00
89.3,141.2,8.22,22.28,1.07,18.53,13.0,2021-01-15 11:15:00
97.8,171.6,8.69,22.31,1.06,18.93,14.0,2021-01-15 11:30:00
105.6,201.2,8.14,22.08,1.08,18.36,15.0,2021-01-15 11:45:00
109.9,221.6,8.76,22.45,1.1,19.07,12.0,2021-01-15 12:00:00
110.6,230.9,9.27,22.39,1.09,19.44,12.0,2021-01-15 12:15:00
102.2,209.2,8.91,22.22,1.05,19.06,11.0,2021-01-15 12:30:00
91.4,179.1,8.52,22.29,0.95,18.78,10.0,2021-01-15 12:45:00
82.2,157.2,8.85,22.54,0.87,19.18,10.0,2021-01-15 13:00:00
73.7,141.9,8.91,22.58,0.78,19.26,11.0,2021-01-15 13:15:00
64.0,125.4,9.19,22.43,0.66,19.4,11.0,2021-01-15 13:30:00
56.9,114.9,8.79,22.37,0.6,19.05,12.0,2021-01-15 13:45:00
49.8,101.2,8.71,22.76,0.47,19.18,12.0,2021-01-15 14:00:00
46.3,92.4,8.52,22.97,0.46,19.15,10.0,2021-01-15 14:15:00
42.7,81.8,8.65,22.65,0.37,19.08,10.0,2021-01-15 14:30:00
40.7,78.0,8.72,22.28,0.33,18.94,13.0,2021-01-15 14:45:00
37.9,71.4,8.75,22.24,0.28,18.94,15.0,2021-01-15 15:00:00
35.2,65.0,9.16,22.24,0.22,19.28,12.0,2021-01-15 15:15:00
31.8,59.8,9.33,22.52,0.2,19.56,19.0,2021-01-15 15:30:00
29.2,55.5,9.04,22.16,0.16,19.14,12.0,2021-01-15 15:45:00
26.9,49.8,8.64,22.78,0.15,19.14,10.0,2021-01-15 16:00:00
25.8,47.3,9.0,22.77,0.14,19.43,17.0,2021-01-15 16:15:00
26.3,47.7,8.96,23.03,0.12,19.53,18.0,2021-01-15 16:30:00
26.8,48.3,9.0,23.02,0.12,19.57,20.0,2021-01-15 16:45:00
27.4,49.4,8.42,22.2,0.11,18.64,18.0,2021-01-15 17:00:00
28.0,51.0,8.53,22.23,0.12,18.76,21.0,2021-01-15 17:15:00
31.5,,9.1,22.48,0.12,19.36,22.0,2021-01-15 17:30:00
,79.8,8.59,22.36,0.0,18.88,24.0,2021-01-15 17:45:00
40.5,93.0,8.32,22.73,0.1,18.85,19.0,2021-01-15 18:00:00
42.0,100.1,8.39,22.74,0.14,18.92,28.0,2021-01-15 18:15:00
39.7,95.7,9.32,22.75,0.17,19.68,23.0,2021-01-15 18:30:00
33.5,81.8,9.13,22.75,0.15,19.52,24.0,2021-01-15 18:45:00
28.4,68.6,8.76,22.39,0.13,19.03,19.0,2021-01-15 19:00:00
25.9,61.5,8.49,22.54,0.16,18.89,22.0,2021-01-15 19:15:00
26.4,60.7,9.05,22.3,0.15,19.22,22.0,2021-01-15 19:30:00
28.2,64.0,8.23,22.36,0.19,18.59,19.0,2021-01-15 19:45:00
31.6,69.6,8.78,22.33,0.19,19.02,22.0,2021-01-15 20:00:00
32.9,71.7,8.3,21.94,0.17,18.42,25.0,2021-01-15 20:15:00
35.0,78.2,8.26,22.23,0.22,18.54,21.0,2021-01-15 20:30:00
36.6,83.0,8.83,22.01,0.24,18.89,22.0,2021-01-15 20:45:00
37.2,84.8,8.41,22.5,0.25,18.81,15.0,2021-01-15 21:00:00
37.1,85.3,8.83,22.37,0.25,19.08,16.0,2021-01-15 21:15:00
35.8,82.1,8.75,22.93,0.3,19.31,16.0,2021-01-15 21:30:00
34.0,76.9,8.88,22.68,0.29,19.28,16.0,2021-01-15 21:45:00
32.1,71.1,8.3,22.72,0.34,18.83,15.0,2021-01-15 22:00:00
31.6,69.3,7.96,22.86,0.37,18.63,14.0,2021-01-15 22:15:00
33.5,72.4,7.94,22.47,0.39,18.41,15.0,2021-01-15 22:30:00
36.3,75.7,8.23,22.68,0.4,18.75,13.0,2021-01-15 22:45:00
38.9,78.9,8.28,22.8,0.4,18.86,14.0,2021-01-15 23:00:00
39.9,80.4,8.25,23.15,0.42,19.02,17.0,2021-01-15 23:15:00
39.4,79.6,8.4,22.88,0.46,19.0,16.0,2021-01-15 23:30:00
,,,,0.0,0.0,,2021-01-16 00:00:00
,,,,0.0,0.0,,2021-01-16 00:15:00
,,,,0.0,0.0,,2021-01-16 00:30:00
,,,,0.0,0.0,,2021-01-16 00:45:00
,,,,0.0,0.0,,2021-01-16 01:00:00
,,,,0.0,0.0,,2021-01-16 01:15:00
,,,,0.0,0.0,,2021-01-16 01:30:00
35.6,70.8,7.87,22.11,0.25,18.16,13.0,2021-01-16 01:45:00
34.8,68.5,8.87,22.53,0.24,19.19,11.0,2021-01-16 02:00:00
34.2,67.0,9.34,22.76,0.26,19.7,13.0,2021-01-16 02:15:00
34.3,69.8,8.96,22.95,0.2,19.49,13.0,2021-01-16 02:30:00
33.9,73.0,8.54,23.09,0.21,19.22,13.0,2021-01-16 02:45:00
33.7,75.6,8.72,22.45,0.2,19.03,13.0,2021-01-16 03:00:00
33.2,76.5,8.79,22.32,0.19,19.01,13.0,2021-01-16 03:15:00
31.9,73.2,8.75,22.27,0.18,18.96,16.0,2021-01-16 03:30:00
30.5,66.6,8.7,21.92,0.21,18.73,13.0,2021-01-16 03:45:00
30.1,62.0,8.5,22.68,0.18,18.97,12.0,2021-01-16 04:00:00
30.0,59.9,8.63,22.47,0.26,18.97,11.0,2021-01-16 04:15:00
31.2,61.0,8.44,22.33,0.3,18.74,9.0,2021-01-16 04:30:00
32.9,62.1,8.24,22.58,0.29,18.71,9.0,2021-01-16 04:45:00
33.5,62.2,8.56,22.59,0.27,18.98,8.0,2021-01-16 05:00:00
34.2,63.6,8.95,22.8,0.26,19.41,10.0,2021-01-16 05:15:00
37.6,75.4,9.36,22.78,0.27,19.73,11.0,2021-01-16 05:30:00
40.4,87.5,8.67,23.1,0.26,19.34,9.0,2021-01-16 05:45:00
42.3,98.0,8.84,22.17,0.23,18.98,9.0,2021-01-16 06:00:00
43.1,103.8,8.67,22.26,0.21,18.89,12.0,2021-01-16 06:15:00
38.7,96.0,8.45,22.48,0.2,18.83,9.0,2021-01-16 06:30:00
34.0,82.7,8.34,22.45,0.17,18.72,9.0,2021-01-16 06:45:00
