pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
82.62,166.04,1.74,31.4,17.0,0.23,17.8,129.5,32.02,40.23,1.41,45.26,2023-11-14 11:00:00,23.27,9.55,2.47,29.16,2.83
80.97,164.76,2.14,34.99,22.36,0.24,20.0,126.59,32.85,37.51,1.29,40.96,2023-11-14 11:15:00,22.03,9.54,2.35,28.02,2.65
74.77,159.65,3.46,37.01,21.1,0.2,22.11,126.13,33.59,34.24,1.14,39.91,2023-11-14 11:30:00,20.63,7.15,2.05,26.38,2.22
74.77,159.65,2.15,33.72,19.98,0.2,19.34,132.61,33.76,33.47,1.26,33.45,2023-11-14 11:45:00,22.38,10.81,2.04,28.13,2.34
74.77,159.65,2.4,38.06,15.79,0.25,21.81,129.99,34.49,32.1,1.01,35.47,2023-11-14 12:00:00,19.51,9.31,1.82,27.81,2.28
73.43,160.8,2.87,46.98,16.72,0.26,26.85,124.14,35.15,32.27,0.47,124.71,2023-11-14 12:15:00,17.56,10.24,1.86,28.79,2.38
68.4,165.41,2.41,47.78,16.84,0.37,26.9,136.44,35.63,31.63,0.46,58.34,2023-11-14 12:30:00,18.2,10.36,1.77,28.59,2.44
68.4,165.41,1.9,32.56,16.45,0.25,18.54,151.36,35.87,30.62,0.58,129.21,2023-11-14 12:45:00,19.76,6.95,1.61,25.96,2.11
68.4,165.41,1.14,34.27,10.91,0.21,18.82,158.88,35.86,30.9,0.94,39.17,2023-11-14 13:00:00,18.11,6.12,1.9,26.47,2.44
69.22,167.5,1.6,33.92,15.37,0.3,19.0,160.08,35.69,30.47,0.12,109.03,2023-11-14 13:15:00,19.39,4.98,1.63,24.77,1.89
72.27,175.85,0.41,25.2,13.79,0.15,13.49,164.5,35.6,30.81,0.86,159.51,2023-11-14 13:30:00,19.4,7.03,1.69,24.13,1.85
72.27,175.85,0.43,25.15,14.95,0.4,13.49,170.5,35.81,29.66,0.78,144.38,2023-11-14 13:45:00,22.17,6.37,1.61,23.79,1.75
72.27,175.85,0.29,22.85,36.45,0.31,12.17,181.65,35.62,30.72,0.49,149.13,2023-11-14 14:00:00,21.83,4.97,1.45,23.73,1.54
70.92,175.38,3.31,59.83,52.42,0.47,33.88,159.01,35.94,31.81,0.75,173.94,2023-11-14 14:15:00,15.87,17.69,1.34,23.52,1.43
65.85,173.48,1.45,71.2,60.39,0.65,38.36,166.05,35.89,34.93,0.42,167.15,2023-11-14 14:30:00,16.22,13.78,1.62,24.59,1.9
65.85,173.48,2.09,75.33,36.09,1.06,41.03,170.14,35.49,37.75,0.41,182.1,2023-11-14 14:45:00,18.7,9.76,2.21,26.83,2.64
65.85,173.48,1.04,68.25,16.37,1.04,36.49,177.12,35.14,37.83,0.4,227.71,2023-11-14 15:00:00,20.61,12.05,3.01,32.14,3.23
69.19,177.33,0.87,60.37,17.67,0.97,32.24,172.83,34.87,37.02,0.44,207.36,2023-11-14 15:15:00,19.51,14.0,3.87,37.87,4.28
81.65,192.74,1.27,61.09,15.34,0.9,32.94,160.08,34.75,39.13,0.43,150.1,2023-11-14 15:30:00,20.19,13.66,4.1,36.94,4.69
81.65,192.74,5.78,84.0,15.24,1.26,48.52,114.73,34.22,39.73,0.67,193.04,2023-11-14 15:45:00,18.75,12.84,4.47,35.47,5.5
81.65,192.74,3.88,72.5,12.49,1.05,40.99,124.28,33.79,39.71,0.52,188.83,2023-11-14 16:00:00,17.48,13.22,4.42,34.2,4.8
83.07,199.85,2.44,77.84,18.18,2.21,42.62,126.68,33.58,41.52,0.41,199.43,2023-11-14 16:15:00,29.03,14.91,5.08,40.05,5.39
88.36,228.32,2.54,76.1,19.56,1.65,41.79,130.73,32.94,42.24,0.53,180.1,2023-11-14 16:30:00,23.17,14.86,4.96,41.58,5.36
88.36,228.32,3.41,88.53,19.92,1.42,48.99,118.17,32.72,42.06,0.4,199.97,2023-11-14 16:45:00,17.92,61.1,5.85,47.16,6.19
88.36,228.32,1.89,81.09,8.39,1.07,43.88,102.16,32.44,40.89,0.65,160.29,2023-11-14 17:00:00,15.15,43.45,5.23,42.83,5.54
89.13,232.45,6.0,83.96,12.12,1.22,48.68,74.95,32.2,40.56,0.53,169.94,2023-11-14 17:15:00,16.55,22.47,5.81,39.48,5.54
91.99,249.0,3.5,83.69,11.08,0.93,46.54,66.49,31.91,41.29,0.69,149.72,2023-11-14 17:30:00,14.48,16.38,8.73,50.17,6.87
91.99,249.0,3.54,86.29,9.51,1.01,47.92,62.63,31.55,42.63,0.63,154.36,2023-11-14 17:45:00,14.56,16.23,9.16,49.0,7.15
91.99,249.0,5.14,103.74,4.53,1.45,58.32,38.34,31.39,44.58,0.3,176.33,2023-11-14 18:00:00,14.6,14.91,8.65,48.31,6.68
91.82,250.2,6.42,112.18,8.56,1.54,63.76,42.42,31.05,47.34,0.3,202.36,2023-11-14 18:15:00,14.1,15.94,8.21,52.49,7.3
91.2,255.0,4.21,116.18,8.43,1.59,64.07,41.61,30.82,48.57,0.18,169.63,2023-11-14 18:30:00,12.85,18.46,10.91,62.76,9.38
91.2,255.0,8.4,129.7,10.33,1.92,74.5,34.86,30.71,48.62,0.21,132.5,2023-11-14 18:45:00,12.39,16.12,10.26,54.16,9.01
