pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,,,,,,2024-10-08 16:45:00,,2.81,,8.66
12.94,28.4,7.16,6.97,10.26,1.03,12.29,7.5,41.67,,1.33,,,2024-10-08 17:00:00,17.79,2.78,11.15,8.59
13.0,30.0,7.05,7.22,10.36,1.04,12.3,7.33,41.98,,1.34,,,2024-10-08 17:15:00,17.69,2.81,11.26,8.67
13.0,30.0,7.11,6.92,10.3,1.03,12.11,6.6,41.82,,1.33,,,2024-10-08 17:30:00,17.68,2.8,11.2,8.63
13.0,30.0,7.1,6.94,10.29,1.03,12.07,7.06,41.78,,1.33,,,2024-10-08 17:45:00,17.75,2.79,11.19,8.62
13.0,34.93,7.17,6.8,10.32,1.03,12.13,7.23,41.85,,1.33,,,2024-10-08 18:00:00,17.74,2.8,11.22,8.64
13.0,36.0,7.07,6.78,10.38,1.04,11.91,7.51,42.04,,1.34,,,2024-10-08 18:15:00,17.7,2.81,11.28,8.68
13.0,36.0,7.06,6.94,10.23,1.02,12.04,6.89,41.6,,1.32,,,2024-10-08 18:30:00,17.67,2.78,11.13,8.58
13.0,36.0,7.04,7.2,10.14,1.01,12.29,7.38,41.53,,1.32,,,2024-10-08 18:45:00,17.75,2.74,10.98,8.46
15.83,24.33,7.12,6.93,10.19,1.02,12.11,6.92,41.45,,1.32,,,2024-10-08 19:00:00,17.68,2.77,11.09,8.54
16.0,22.0,7.15,6.63,10.31,1.03,11.96,7.29,41.85,,1.33,,,2024-10-08 19:15:00,17.63,2.8,11.21,8.64
16.0,22.0,7.13,6.74,10.15,1.02,11.99,6.92,41.36,,1.32,,,2024-10-08 19:30:00,17.72,2.76,11.05,8.51
16.0,22.0,7.12,7.08,10.0,1.0,12.29,6.63,40.7,,1.29,,,2024-10-08 19:45:00,17.73,2.74,10.96,8.45
9.39,28.58,7.1,7.01,10.19,1.02,12.18,6.71,41.47,,1.32,,,2024-10-08 20:00:00,17.75,2.77,11.09,8.54
