pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,,,2.02,71.19,,2024-10-08 17:00:00,,,,
,,15.72,3.73,4.4,0.37,12.44,0.49,30.41,72.44,1.73,78.14,1009.39,2024-10-08 17:15:00,8.12,0.63,2.23,1.64
,,15.54,3.7,4.33,0.34,12.24,0.59,29.85,74.82,1.71,72.24,1009.26,2024-10-08 17:30:00,8.23,0.64,2.24,1.66
,,15.62,3.71,4.21,0.38,12.33,0.56,29.56,76.42,1.66,75.14,1009.13,2024-10-08 17:45:00,8.1,0.62,2.17,1.6
,26.0,15.51,3.68,3.86,0.33,12.2,0.62,29.34,77.11,1.48,86.4,1009.14,2024-10-08 18:00:00,8.17,0.58,2.0,1.48
,26.0,15.44,3.7,3.65,0.33,12.15,0.73,29.25,77.49,1.39,86.82,1009.1,2024-10-08 18:15:00,8.14,0.56,1.96,1.44
,26.0,15.3,3.78,3.71,0.32,12.1,0.62,29.26,77.37,1.39,104.66,1009.17,2024-10-08 18:30:00,8.15,0.55,1.89,1.39
,26.14,15.26,3.68,3.96,0.29,11.96,0.57,29.28,78.52,1.52,80.52,1009.36,2024-10-08 18:45:00,8.2,0.59,2.08,1.53
12.0,32.0,15.24,3.62,3.67,0.32,11.86,0.66,29.14,79.7,1.39,117.97,1009.47,2024-10-08 19:00:00,8.13,0.54,1.84,1.36
12.0,32.0,15.18,3.58,3.25,0.28,11.77,0.6,29.0,80.05,1.17,76.17,1009.85,2024-10-08 19:15:00,8.19,0.5,1.71,1.26
12.0,32.0,15.25,3.57,3.39,0.3,11.8,0.57,28.97,80.54,1.25,70.45,1010.29,2024-10-08 19:30:00,8.38,0.51,1.76,1.29
12.17,31.64,15.4,3.62,3.08,0.28,12.04,0.64,28.91,80.55,1.1,71.71,1010.7,2024-10-08 19:45:00,8.31,0.47,1.6,1.17
14.0,17.0,15.61,3.67,3.35,0.27,12.27,0.52,28.94,80.66,1.23,47.1,1010.9,2024-10-08 20:00:00,8.32,0.51,1.73,1.27
14.0,17.0,15.8,3.64,3.5,0.31,12.43,0.52,28.96,80.26,1.3,61.04,1011.08,2024-10-08 20:15:00,8.21,0.52,1.8,1.32
14.0,17.0,15.74,3.59,3.48,0.29,12.33,0.55,29.01,80.24,1.3,45.74,1011.15,2024-10-08 20:30:00,8.17,0.52,1.79,1.32
13.47,16.89,15.65,3.77,3.55,0.3,12.41,0.58,29.03,80.39,1.33,53.81,1011.24,2024-10-08 20:45:00,8.07,0.53,1.83,1.34
8.0,14.0,15.79,3.8,3.35,0.3,12.58,0.62,29.0,80.66,1.23,50.98,1011.28,2024-10-08 21:00:00,8.18,0.51,1.72,1.27
8.0,14.0,15.66,3.85,3.27,0.3,12.53,0.38,28.96,80.9,1.18,43.74,1011.35,2024-10-08 21:15:00,8.18,0.5,1.72,1.26
8.0,14.0,15.7,3.77,3.41,0.28,12.5,0.5,28.86,81.43,1.26,63.37,1011.42,2024-10-08 21:30:00,8.07,0.51,1.73,1.27
8.17,13.83,15.94,3.85,3.27,0.31,12.79,0.65,28.82,81.58,1.19,51.63,1011.26,2024-10-08 21:45:00,8.16,0.49,1.66,1.22
,,15.99,3.74,3.48,0.34,12.73,0.62,28.76,82.14,1.29,60.12,1011.25,2024-10-08 22:00:00,8.13,0.53,1.81,1.33
,,15.9,3.7,3.5,0.32,12.62,0.42,28.69,82.36,1.3,64.07,1011.21,2024-10-08 22:15:00,8.17,0.52,1.8,1.32
,,15.88,3.74,3.04,0.3,12.64,0.51,28.58,82.48,1.07,55.42,1011.2,2024-10-08 22:30:00,8.23,0.47,1.58,1.16
,,15.84,3.73,3.32,0.29,12.55,0.63,28.56,82.86,1.21,48.31,1011.08,2024-10-08 22:45:00,8.35,0.51,1.74,1.28
,,16.11,3.57,2.78,0.28,12.7,0.74,28.46,83.15,0.94,22.61,1011.15,2024-10-08 23:00:00,8.43,0.44,1.45,1.06
,,16.04,3.65,3.25,0.28,12.68,0.67,28.26,83.74,1.18,39.62,1010.87,2024-10-08 23:15:00,8.21,0.5,1.69,1.24
,,15.84,3.74,3.65,0.24,12.6,0.56,28.12,85.17,1.37,218.71,1010.66,2024-10-08 23:30:00,8.24,0.54,1.85,1.36
,,16.09,3.66,4.25,0.22,12.73,0.57,27.97,86.45,1.68,287.04,1010.53,2024-10-08 23:45:00,8.17,0.62,2.17,1.6
10.0,21.0,15.85,3.73,4.34,0.22,12.59,0.63,27.88,87.2,1.71,268.89,1010.23,2024-10-09 00:00:00,8.24,0.63,2.21,1.64
10.0,21.0,15.8,3.57,3.66,0.24,12.4,0.61,27.87,87.59,1.38,170.22,1009.79,2024-10-09 00:15:00,8.29,0.55,1.91,1.41
10.0,21.0,16.01,3.67,3.99,0.28,12.65,0.73,27.81,87.71,1.55,196.18,1009.52,2024-10-09 00:30:00,8.18,0.58,2.03,1.5
10.38,20.86,16.05,3.72,4.06,0.35,12.75,0.5,27.67,87.92,1.57,299.6,1009.29,2024-10-09 00:45:00,8.3,0.59,2.04,1.51
14.0,17.0,15.86,3.72,3.2,0.37,12.59,0.53,27.63,88.5,1.15,163.02,1009.12,2024-10-09 01:00:00,8.38,0.5,1.68,1.24
14.0,17.0,16.0,3.61,3.06,0.41,12.62,0.55,27.6,88.51,1.09,150.03,1008.94,2024-10-09 01:15:00,8.33,0.47,1.59,1.17
14.0,17.0,16.21,3.56,3.08,0.4,12.76,0.49,27.55,88.57,1.09,238.34,1008.83,2024-10-09 01:30:00,8.28,0.48,1.61,1.18
16.17,17.48,16.19,3.52,2.96,0.35,12.72,0.66,27.56,88.81,1.04,104.7,1008.64,2024-10-09 01:45:00,8.25,0.46,1.54,1.13
,,15.91,3.77,2.67,0.33,12.7,0.46,27.49,88.66,0.88,89.18,1008.46,2024-10-09 02:00:00,8.23,0.42,1.37,1.0
,,15.89,3.8,2.51,0.29,12.7,0.43,27.5,88.82,0.81,192.02,1008.34,2024-10-09 02:15:00,8.15,0.4,1.29,0.94
,,16.0,3.73,2.67,0.27,12.73,0.44,27.45,89.15,0.89,221.71,1008.31,2024-10-09 02:30:00,8.3,0.42,1.38,1.01
,,16.07,3.89,3.16,0.25,12.96,0.62,27.42,89.48,1.14,244.75,1008.27,2024-10-09 02:45:00,8.1,0.48,1.62,1.19
,,16.23,3.82,4.76,0.25,13.06,0.43,27.34,91.0,1.92,247.5,1008.2,2024-10-09 03:00:00,8.1,0.66,2.36,1.74
,,16.05,3.65,4.48,0.25,12.72,0.56,26.6,88.95,1.83,209.36,1008.14,2024-10-09 03:15:00,8.3,0.65,2.32,1.71
,,16.02,3.84,4.38,0.28,12.84,0.78,26.29,87.01,1.72,134.04,1008.15,2024-10-09 03:30:00,8.12,0.68,2.42,1.79
,,16.0,3.62,5.91,0.31,12.64,0.45,26.08,87.29,2.51,127.08,1007.97,2024-10-09 03:45:00,8.23,0.81,2.94,2.18
,,15.94,3.62,4.79,0.31,12.6,0.57,25.63,90.24,1.98,38.35,1007.82,2024-10-09 04:00:00,8.34,0.69,2.46,1.82
,,16.06,3.8,5.82,0.3,12.86,0.64,25.38,92.04,2.46,33.1,1007.66,2024-10-09 04:15:00,8.12,0.82,2.96,2.2
14.0,9.0,16.1,3.81,5.46,0.3,12.91,0.6,25.47,92.94,2.28,35.5,1007.66,2024-10-09 04:30:00,8.19,0.78,2.81,2.08
13.49,9.07,16.23,3.74,5.81,0.31,12.97,0.47,25.6,93.22,2.45,35.26,1007.71,2024-10-09 04:45:00,8.11,0.82,2.96,2.2
8.0,11.0,16.1,3.67,6.16,0.3,12.79,0.38,25.51,93.18,2.63,27.11,1007.83,2024-10-09 05:00:00,8.14,0.87,3.18,2.36
8.0,11.0,15.9,3.61,5.54,0.34,12.52,0.55,25.34,92.96,2.34,43.78,1007.91,2024-10-09 05:15:00,8.25,0.77,2.8,2.07
8.0,11.0,15.15,3.64,6.2,0.34,11.79,0.55,25.34,92.47,2.65,21.97,1007.85,2024-10-09 05:30:00,8.26,0.86,3.13,2.32
7.81,10.93,14.79,3.56,5.84,0.34,11.35,0.49,25.41,92.68,2.47,28.28,1007.97,2024-10-09 05:45:00,8.29,0.83,3.02,2.24
6.0,8.0,14.55,3.67,5.71,0.46,11.22,0.36,25.62,93.16,2.41,39.84,1008.33,2024-10-09 06:00:00,8.18,0.8,2.91,2.16
6.0,8.0,14.43,3.46,3.89,0.46,10.89,0.69,25.69,92.1,1.49,39.18,1008.69,2024-10-09 06:15:00,8.29,0.57,2.0,1.47
6.0,8.0,13.98,3.66,5.79,0.39,10.65,0.62,26.11,91.47,2.45,31.95,1009.07,2024-10-09 06:30:00,8.17,0.82,2.97,2.2
7.03,8.11,13.82,3.64,5.21,0.47,10.45,0.76,26.31,90.48,2.14,26.92,1009.51,2024-10-09 06:45:00,8.18,0.74,2.67,1.97
,,13.77,3.71,3.51,0.53,10.47,0.6,26.64,89.68,1.32,53.17,1009.81,2024-10-09 07:00:00,8.12,0.53,1.82,1.34
,,13.6,3.89,4.55,0.44,10.5,0.26,27.0,87.11,1.83,173.16,1010.0,2024-10-09 07:15:00,8.07,0.64,2.25,1.66
,,13.61,3.7,6.07,0.42,10.31,0.28,27.1,86.07,2.58,315.08,1010.28,2024-10-09 07:30:00,8.27,0.84,3.08,2.28
,,13.59,3.61,5.61,0.37,10.18,0.25,27.39,85.73,2.34,321.36,1010.39,2024-10-09 07:45:00,8.22,0.79,2.85,2.11
20.0,21.0,13.48,3.75,5.38,0.4,10.26,0.52,27.52,84.84,2.23,297.65,1010.48,2024-10-09 08:00:00,8.2,0.78,2.8,2.08
20.0,21.0,13.44,3.77,4.13,0.36,10.2,0.39,27.94,83.9,1.61,96.71,1010.75,2024-10-09 08:15:00,8.27,0.6,2.12,1.56
20.0,21.0,13.25,3.68,3.75,0.31,9.93,0.43,28.28,82.79,1.42,21.94,1010.84,2024-10-09 08:30:00,8.25,0.55,1.91,1.41
19.81,21.05,13.44,3.61,3.81,0.32,10.05,0.27,28.98,81.74,1.46,79.91,1010.83,2024-10-09 08:45:00,8.21,0.56,1.95,1.43
18.0,23.0,13.53,3.75,4.74,0.35,10.3,0.43,29.1,81.26,1.91,183.48,1010.96,2024-10-09 09:00:00,8.16,0.68,2.43,1.8
18.0,23.0,14.27,3.76,4.09,0.32,11.04,0.44,29.21,80.25,1.59,79.62,1011.21,2024-10-09 09:15:00,8.18,0.6,2.1,1.55
18.0,23.0,14.4,3.72,4.64,0.34,11.13,0.46,29.11,80.51,1.87,46.07,1011.39,2024-10-09 09:30:00,8.26,0.67,2.39,1.77
18.67,23.14,14.51,3.74,4.32,0.36,11.24,0.42,29.21,80.22,1.69,50.05,1011.42,2024-10-09 09:45:00,8.19,0.64,2.26,1.67
26.0,29.0,14.59,3.59,4.43,0.31,11.16,0.56,29.33,78.97,1.78,47.81,1011.41,2024-10-09 10:00:00,8.4,0.65,2.29,1.69
26.0,29.0,14.61,3.56,3.93,0.38,11.16,0.36,29.78,77.99,1.51,40.14,1011.45,2024-10-09 10:15:00,8.27,0.58,2.01,1.49
26.0,29.0,14.81,3.69,4.59,0.34,11.51,0.51,30.13,75.76,1.86,75.59,1011.62,2024-10-09 10:30:00,8.19,0.65,2.29,1.7
25.24,28.29,15.22,3.53,4.7,0.37,11.75,0.46,30.08,76.11,1.92,77.64,1011.34,2024-10-09 10:45:00,8.23,0.66,2.33,1.72
,,15.34,3.65,4.77,0.34,11.99,0.33,30.49,74.54,1.95,42.98,1011.07,2024-10-09 11:00:00,8.24,0.67,2.38,1.76
,,15.47,3.71,4.94,0.37,12.16,0.51,30.42,75.0,1.99,44.53,1010.97,2024-10-09 11:15:00,8.11,0.72,2.57,1.9
,,15.4,3.75,5.32,0.46,12.14,0.36,30.72,73.47,2.2,49.55,1010.72,2024-10-09 11:30:00,8.22,0.74,2.65,1.97
,,15.2,3.79,4.62,0.48,12.0,0.36,30.47,73.77,1.83,75.64,1010.37,2024-10-09 11:45:00,8.0,0.65,2.29,1.69
,,15.15,3.67,4.87,0.43,11.83,0.23,30.31,75.82,1.97,76.23,1009.97,2024-10-09 12:00:00,8.06,0.7,2.49,1.84
,,15.02,3.74,5.07,0.49,11.77,0.45,30.56,75.58,2.08,48.32,1009.86,2024-10-09 12:15:00,8.12,0.72,2.56,1.9
,,15.1,3.81,4.69,0.46,11.91,0.35,31.06,72.79,1.92,43.04,1009.57,2024-10-09 12:30:00,8.16,0.69,2.47,1.82
,,15.38,3.77,4.96,0.45,12.14,0.36,30.65,73.94,2.05,78.9,1009.17,2024-10-09 12:45:00,8.27,0.71,2.56,1.89
6.0,8.0,15.43,3.71,5.06,0.46,12.15,0.35,30.43,74.6,2.08,66.82,1008.63,2024-10-09 13:00:00,8.22,0.73,2.6,1.93
6.0,8.0,15.22,3.63,4.74,0.45,11.86,0.39,31.32,70.39,1.91,60.32,1008.38,2024-10-09 13:15:00,8.22,0.67,2.36,1.75
6.0,8.0,14.96,3.71,4.96,0.37,11.66,0.58,31.15,68.93,2.05,59.01,1008.23,2024-10-09 13:30:00,8.12,0.71,2.53,1.87
6.67,8.0,15.29,3.86,4.92,0.32,12.15,0.47,31.0,71.01,2.05,62.3,1008.06,2024-10-09 13:45:00,8.01,0.69,2.45,1.82
,,15.48,3.7,4.41,0.41,12.18,0.35,30.71,72.8,1.75,84.54,1007.78,2024-10-09 14:00:00,8.18,0.62,2.17,1.6
,,15.4,3.72,4.27,0.48,12.13,0.24,31.37,70.51,1.67,62.06,1007.4,2024-10-09 14:15:00,8.07,0.63,2.23,1.65
,,15.27,3.72,4.84,0.45,12.0,0.5,30.84,70.73,1.96,53.1,1007.32,2024-10-09 14:30:00,8.14,0.69,2.47,1.82
,,15.14,3.76,4.55,0.46,11.91,0.46,30.76,72.21,1.82,62.23,1007.08,2024-10-09 14:45:00,8.2,0.67,2.38,1.76
16.0,17.0,15.34,3.78,3.82,0.48,12.12,0.4,30.41,73.66,1.46,68.34,1007.0,2024-10-09 15:00:00,8.18,0.55,1.91,1.41
16.0,17.0,15.62,3.76,4.64,0.45,12.37,0.34,30.02,75.22,1.89,72.45,1007.09,2024-10-09 15:15:00,8.13,0.67,2.37,1.75
16.0,17.0,15.91,3.68,3.64,0.44,12.57,0.52,29.84,77.28,1.37,84.34,1007.04,2024-10-09 15:30:00,8.28,0.52,1.78,1.31
15.36,16.66,15.89,3.63,3.61,0.35,12.53,0.59,29.78,77.76,1.35,89.25,1006.81,2024-10-09 15:45:00,8.32,0.53,1.81,1.34
