pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene
,,,,,,,,,,1.83,91.34,,2023-03-13 15:30:00,,
33.78,,291.02,35.61,15.29,0.63,262.71,,30.6,70.55,1.8,100.19,1009.78,2023-03-13 15:45:00,44.27,0.0
33.0,,312.29,56.47,15.58,0.63,290.92,,30.42,73.23,1.65,87.54,1009.72,2023-03-13 16:00:00,46.32,0.0
33.0,,308.05,59.98,15.48,0.63,289.31,,30.42,72.12,1.63,94.13,1009.74,2023-03-13 16:15:00,43.28,0.0
33.0,,321.79,58.3,15.54,0.63,299.52,,30.38,73.17,1.34,111.82,1009.86,2023-03-13 16:30:00,48.2,0.0
27.67,,321.47,64.34,15.31,0.63,302.71,,29.89,74.28,1.92,76.54,1009.96,2023-03-13 16:45:00,43.69,0.0
27.0,,318.65,66.2,15.31,0.63,301.32,,29.43,76.02,1.87,78.89,1010.05,2023-03-13 17:00:00,44.39,0.0
27.0,,314.53,68.9,15.09,0.63,299.38,,29.13,77.57,1.68,70.89,1010.08,2023-03-13 17:15:00,49.51,0.0
27.0,,316.36,72.18,15.12,0.63,302.52,,29.03,77.93,1.68,86.32,1010.1,2023-03-13 17:30:00,51.76,0.0
26.1,,306.29,106.4,15.27,0.63,312.63,,28.82,79.27,1.5,74.44,1010.17,2023-03-13 17:45:00,46.91,0.0
26.0,,325.54,76.05,15.3,0.63,312.11,,28.47,80.0,1.32,87.42,1010.18,2023-03-13 18:00:00,48.38,0.0
26.0,,319.81,75.33,15.23,0.63,307.07,,28.22,81.13,1.09,118.91,1010.28,2023-03-13 18:15:00,48.59,0.0
26.0,,295.19,84.24,15.14,0.64,291.72,,27.99,82.59,1.34,80.82,1010.4,2023-03-13 18:30:00,48.77,0.0
33.2,,308.16,87.33,15.36,0.64,304.06,,27.89,83.12,1.5,82.28,1010.57,2023-03-13 18:45:00,51.97,0.0
34.0,,319.15,87.23,15.17,0.64,312.81,,27.77,83.39,1.02,96.44,1010.7,2023-03-13 19:00:00,52.39,0.0
34.0,,362.67,84.0,15.03,0.63,346.57,,27.73,83.67,1.34,81.31,1010.77,2023-03-13 19:15:00,47.92,0.0
34.0,,372.88,80.26,14.73,0.63,352.82,,27.66,84.2,1.67,80.33,1010.93,2023-03-13 19:30:00,51.27,0.0
34.0,,341.14,40.82,14.19,0.62,306.06,,27.59,84.35,1.27,95.78,1011.16,2023-03-13 19:45:00,52.38,0.0
34.0,,298.95,71.21,13.88,0.62,287.87,,27.56,84.46,1.81,77.22,1011.36,2023-03-13 20:00:00,47.49,0.0
34.0,,272.6,58.04,13.77,0.62,259.47,,27.52,84.55,1.23,100.34,1011.54,2023-03-13 20:15:00,54.92,0.0
34.0,,256.62,67.04,14.01,0.63,251.29,,27.5,85.29,1.33,88.11,1011.68,2023-03-13 20:30:00,46.6,0.0
32.2,,244.69,74.21,13.91,0.63,245.39,,27.48,85.69,1.45,79.48,1011.8,2023-03-13 20:45:00,39.09,0.0
32.0,,234.35,70.22,13.99,0.63,234.87,,27.39,85.86,1.34,87.9,1011.93,2023-03-13 21:00:00,38.43,0.0
32.0,,228.7,62.93,13.89,0.62,226.41,,27.34,85.67,1.58,85.81,1012.11,2023-03-13 21:15:00,44.01,0.0
32.0,,226.06,55.32,13.92,0.62,220.21,,27.33,85.88,1.42,81.8,1012.23,2023-03-13 21:30:00,45.56,0.0
28.44,,223.78,51.94,13.76,0.62,216.57,,27.28,85.78,1.81,80.93,1012.31,2023-03-13 21:45:00,43.58,0.0
28.0,,227.82,59.87,13.94,0.63,224.07,,27.24,85.96,1.34,81.12,1012.33,2023-03-13 22:00:00,40.41,0.0
28.0,,229.57,70.55,13.84,0.62,231.16,,27.19,86.02,1.38,78.92,1012.32,2023-03-13 22:15:00,38.88,0.0
28.0,,221.45,71.7,13.71,0.62,225.16,,27.12,86.34,1.58,92.04,1012.32,2023-03-13 22:30:00,37.5,0.0
32.44,,214.84,66.47,13.44,0.63,217.01,,27.1,86.71,1.45,79.66,1012.3,2023-03-13 22:45:00,35.74,0.0
33.0,,218.24,59.25,13.54,0.62,215.94,,27.01,86.83,1.26,88.45,1012.23,2023-03-13 23:00:00,37.41,0.0
33.0,,213.73,55.89,13.73,0.63,210.46,,27.0,87.17,1.13,96.87,1012.17,2023-03-13 23:15:00,42.52,0.0
33.0,,210.77,45.53,14.61,0.63,202.57,,26.87,87.5,0.81,107.55,1012.09,2023-03-13 23:30:00,45.7,0.0
34.78,,261.95,60.07,15.23,0.63,251.94,,26.81,87.85,1.08,88.62,1012.01,2023-03-13 23:45:00,39.7,0.0
35.0,,285.59,51.51,15.47,0.63,266.63,,26.81,87.7,1.3,86.44,1011.83,2023-03-14 00:00:00,47.05,0.0
35.0,,319.89,71.19,15.62,0.62,305.07,,26.84,87.77,1.13,97.74,1011.74,2023-03-14 00:15:00,46.07,0.0
35.0,,349.6,78.93,15.57,0.63,333.06,,26.7,88.17,0.84,100.24,1011.61,2023-03-14 00:30:00,47.19,0.0
30.5,,337.0,80.26,15.58,0.63,323.62,,26.56,88.5,0.73,101.44,1011.36,2023-03-14 00:45:00,43.76,0.0
30.0,,364.92,82.6,15.59,0.63,347.65,,26.54,88.74,0.83,104.56,1011.13,2023-03-14 01:00:00,50.86,0.0
30.0,,358.35,79.4,15.64,0.63,340.71,,26.57,88.89,0.86,99.86,1011.03,2023-03-14 01:15:00,55.09,0.0
30.0,,348.01,98.85,15.87,0.63,342.58,,26.55,89.08,0.9,84.55,1010.9,2023-03-14 01:30:00,48.48,0.0
36.25,,349.28,71.13,15.62,0.63,328.7,,26.52,88.9,0.91,89.79,1010.64,2023-03-14 01:45:00,51.44,0.0
37.0,,335.98,84.24,15.73,0.65,325.07,,26.46,88.83,0.78,104.62,1010.47,2023-03-14 02:00:00,52.67,0.0
37.0,,324.58,87.24,15.57,0.63,317.19,,26.39,88.58,0.72,124.7,1010.3,2023-03-14 02:15:00,57.23,0.0
37.0,,317.58,91.36,15.61,0.64,313.88,,26.27,88.37,0.67,192.44,1010.29,2023-03-14 02:30:00,51.61,0.0
39.7,,328.36,73.35,15.65,0.63,313.15,,25.37,89.39,0.53,227.03,1010.37,2023-03-14 02:45:00,51.84,0.0
40.0,,319.39,83.81,15.6,0.63,311.24,,24.67,90.81,0.46,255.08,1010.3,2023-03-14 03:00:00,51.97,0.0
40.0,,351.46,87.78,15.75,0.63,339.38,,24.24,92.12,0.47,252.06,1010.37,2023-03-14 03:15:00,59.52,0.0
40.0,,387.32,77.47,15.3,0.63,363.09,,23.97,92.89,0.5,264.87,1010.45,2023-03-14 03:30:00,60.93,0.0
50.67,,366.23,75.51,14.81,0.64,344.56,,23.71,93.47,0.55,238.48,1010.5,2023-03-14 03:45:00,54.81,0.0
52.0,,327.04,81.28,14.35,0.63,316.12,,23.53,94.04,0.57,243.65,1010.65,2023-03-14 04:00:00,60.24,0.0
52.0,,321.74,77.75,14.43,0.64,309.92,,23.37,94.46,0.58,247.7,1010.66,2023-03-14 04:15:00,46.88,0.0
52.0,,309.93,76.37,14.53,0.63,299.6,,23.27,94.82,0.55,242.29,1010.64,2023-03-14 04:30:00,46.49,0.0
61.83,,299.21,74.15,14.38,0.64,289.71,,23.15,95.05,0.52,241.77,1010.71,2023-03-14 04:45:00,46.71,0.0
63.0,,290.4,62.86,14.35,0.63,276.54,,23.02,95.16,0.39,233.26,1010.77,2023-03-14 05:00:00,50.95,0.0
63.0,,283.82,62.9,14.32,0.64,271.21,,22.93,95.3,0.39,226.79,1010.84,2023-03-14 05:15:00,49.77,0.0
63.0,,280.84,70.64,14.43,0.64,272.88,,22.82,95.4,0.35,217.87,1011.03,2023-03-14 05:30:00,44.89,0.0
56.78,,283.0,67.89,14.34,0.63,273.21,,22.78,95.6,0.42,232.84,1011.15,2023-03-14 05:45:00,45.81,0.0
56.0,,278.16,63.95,14.21,0.65,267.15,,22.74,95.77,0.4,243.41,1011.26,2023-03-14 06:00:00,47.53,0.0
56.0,,278.62,63.88,14.37,0.64,267.52,,22.64,95.84,0.36,230.09,1011.44,2023-03-14 06:15:00,45.39,0.0
56.0,,285.83,69.62,14.33,0.64,276.41,,22.61,95.96,0.38,234.36,1011.59,2023-03-14 06:30:00,42.76,0.0
52.44,,285.53,75.03,14.39,0.65,279.05,,22.69,96.15,0.56,263.87,1011.87,2023-03-14 06:45:00,44.98,0.0
52.0,,287.16,74.73,14.41,0.64,280.24,,22.85,96.26,0.69,280.53,1012.14,2023-03-14 07:00:00,46.58,0.0
52.0,,294.29,58.39,14.12,0.64,277.3,,23.07,96.15,0.82,292.55,1012.28,2023-03-14 07:15:00,52.27,0.0
52.0,,247.14,50.52,14.63,0.65,234.76,,23.36,95.66,0.88,302.18,1012.45,2023-03-14 07:30:00,55.53,0.0
58.3,,250.97,63.83,15.03,0.64,245.51,,23.98,94.61,0.91,276.13,1012.64,2023-03-14 07:45:00,39.84,0.0
59.0,,,,15.21,,,,,,,,,2023-03-14 08:00:00,,
59.0,,337.95,51.92,15.34,0.64,309.51,,25.52,89.77,1.19,266.67,1012.8,2023-03-14 08:15:00,50.66,0.0
59.0,,351.04,67.02,15.82,0.65,327.89,,,,,,,2023-03-14 08:30:00,49.57,0.0
62.56,,365.92,76.79,15.59,0.64,345.23,,26.45,86.93,1.37,258.3,1012.99,2023-03-14 08:45:00,49.4,0.0
63.0,,339.36,63.2,15.62,0.64,316.34,,27.34,84.44,1.03,233.95,1012.9,2023-03-14 09:00:00,54.58,0.0
63.0,,350.83,71.88,15.56,0.65,330.56,,27.75,82.39,1.17,247.87,1012.87,2023-03-14 09:15:00,47.61,0.0
63.0,,324.27,66.2,15.51,0.64,305.57,,28.26,81.14,1.22,216.96,1012.88,2023-03-14 09:30:00,50.26,0.0
62.1,,329.57,63.55,15.43,0.64,308.85,,28.61,79.33,1.08,211.38,1012.85,2023-03-14 09:45:00,49.17,0.0
62.0,,317.25,69.22,15.53,0.65,301.79,,29.41,76.37,1.15,160.87,1012.83,2023-03-14 10:00:00,45.78,0.0
62.0,,339.02,73.87,15.4,0.64,321.89,,30.09,71.77,1.3,125.78,1012.8,2023-03-14 10:15:00,44.54,0.0
62.0,,340.07,74.66,15.32,0.64,323.18,,29.91,72.37,1.59,115.34,1012.71,2023-03-14 10:30:00,43.27,0.0
53.9,,330.28,80.57,15.23,0.64,318.37,,29.62,74.34,1.34,91.76,1012.47,2023-03-14 10:45:00,40.67,0.0
53.0,,332.01,72.89,15.29,0.64,315.73,,30.02,73.73,1.42,120.1,1012.24,2023-03-14 11:00:00,48.11,0.0
53.0,,337.45,72.63,15.32,0.64,319.98,,29.92,73.31,1.49,130.67,1011.87,2023-03-14 11:15:00,49.86,0.0
53.0,,359.14,79.39,15.14,0.64,341.19,,30.05,72.44,1.53,91.05,1011.59,2023-03-14 11:30:00,55.18,0.0
52.1,,353.35,89.9,14.81,0.64,342.08,,29.83,73.47,1.72,89.75,1011.24,2023-03-14 11:45:00,48.92,0.0
52.0,,326.8,85.56,14.33,0.64,318.15,,29.77,73.22,1.81,78.62,1010.99,2023-03-14 12:00:00,32.8,0.0
52.0,,292.22,49.03,14.01,0.63,270.65,,29.84,74.05,1.79,92.61,1010.76,2023-03-14 12:15:00,55.42,0.0
52.0,,266.97,66.4,13.84,0.62,259.35,,29.81,73.83,1.71,101.86,1010.49,2023-03-14 12:30:00,36.36,0.0
51.11,,248.98,67.68,13.71,0.63,245.43,,30.18,72.92,1.56,90.85,1010.27,2023-03-14 12:45:00,39.86,0.0
51.0,,235.1,55.81,13.56,0.63,227.83,,30.2,73.0,1.67,105.72,1010.02,2023-03-14 13:00:00,43.37,0.0
51.0,,225.39,55.27,13.52,0.63,219.65,,29.97,73.46,1.69,99.87,1009.67,2023-03-14 13:15:00,39.09,0.0
51.0,,221.74,54.34,13.73,0.63,216.18,,30.14,73.39,1.61,92.13,1009.39,2023-03-14 13:30:00,36.59,0.0
55.44,,216.14,50.62,13.56,0.62,209.63,,29.63,74.71,1.84,84.72,1009.21,2023-03-14 13:45:00,39.54,0.0
56.0,,208.23,50.54,13.48,0.63,203.16,,29.7,74.64,1.58,107.43,1008.93,2023-03-14 14:00:00,38.88,0.0
56.0,,,,,,,,,,,,,2023-03-14 14:15:00,,
56.0,,207.51,56.18,13.47,0.63,205.6,,30.05,72.79,1.47,156.22,1008.49,2023-03-14 14:30:00,36.74,0.0
55.0,,204.88,49.13,13.57,0.63,199.67,,30.35,70.27,1.77,88.13,1008.03,2023-03-14 15:00:00,38.44,0.0
55.0,,203.4,50.84,13.48,0.63,199.4,,30.15,71.84,2.06,98.38,1007.93,2023-03-14 15:15:00,37.87,0.0
55.0,,205.11,56.23,13.75,0.63,203.66,,30.26,72.4,1.57,101.83,1007.87,2023-03-14 15:30:00,34.77,0.0
55.0,,202.97,47.05,14.25,0.65,197.04,,29.61,73.87,1.85,99.51,1007.83,2023-03-14 15:45:00,38.51,0.0
55.0,,263.59,52.77,15.09,0.63,249.76,,30.06,73.76,1.41,87.59,1007.88,2023-03-14 16:00:00,43.79,0.0
55.0,,285.65,47.98,15.39,0.64,264.38,,29.98,73.19,1.43,96.03,1007.88,2023-03-14 16:15:00,50.11,0.0
55.0,,294.45,57.47,15.24,0.64,277.09,,29.68,74.3,1.38,110.89,1007.92,2023-03-14 16:30:00,46.07,0.0
47.89,,299.85,84.11,15.35,0.63,295.62,,29.22,75.43,1.77,101.33,1007.91,2023-03-14 16:45:00,47.82,0.0
47.0,,298.79,87.94,15.4,0.64,296.73,,28.93,76.36,1.54,96.28,1008.03,2023-03-14 17:00:00,52.47,0.0
47.0,,306.42,70.79,15.35,0.63,293.9,,28.81,77.06,1.58,104.97,1008.09,2023-03-14 17:15:00,48.75,0.0
47.0,,309.43,80.13,15.33,0.64,301.2,,28.47,78.19,1.53,96.85,1008.21,2023-03-14 17:30:00,53.57,0.0
39.8,,319.62,70.49,15.47,0.64,304.35,,28.26,79.05,1.43,105.37,1008.42,2023-03-14 17:45:00,57.97,0.0
39.0,,306.88,78.72,15.12,0.63,298.45,,27.96,80.07,1.58,102.4,1008.59,2023-03-14 18:00:00,56.46,0.0
39.0,,303.45,96.61,15.35,0.64,304.92,,27.74,80.9,1.44,110.57,1008.67,2023-03-14 18:15:00,50.09,0.0
39.0,,323.03,88.56,15.28,0.65,316.78,,27.6,81.51,1.47,101.77,1008.93,2023-03-14 18:30:00,50.71,0.0
44.44,,333.8,69.81,15.06,0.64,315.51,,27.58,82.04,1.3,110.73,1009.21,2023-03-14 18:45:00,49.92,0.0
45.0,,321.53,94.65,15.32,0.63,318.65,,27.44,82.0,1.42,107.91,1009.51,2023-03-14 19:00:00,52.15,0.0
45.0,,327.16,101.23,15.18,0.64,326.79,,27.43,82.22,1.35,112.61,1009.79,2023-03-14 19:15:00,55.75,0.0
45.0,,336.35,89.98,15.15,0.63,328.25,,27.5,82.17,1.45,100.04,1010.04,2023-03-14 19:30:00,52.62,0.0
41.44,,366.34,72.74,15.06,0.63,343.52,,27.47,82.01,1.27,109.6,1010.25,2023-03-14 19:45:00,60.35,0.0
41.0,,349.04,80.68,14.49,0.63,333.67,,27.49,82.41,1.25,111.93,1010.47,2023-03-14 20:00:00,52.05,0.0
41.0,,319.29,49.54,14.06,0.64,292.88,,27.47,82.76,1.21,110.03,1010.53,2023-03-14 20:15:00,65.26,0.0
41.0,,288.44,75.72,13.85,0.63,281.76,,27.47,82.26,1.36,101.36,1010.65,2023-03-14 20:30:00,50.13,0.0
49.0,,264.08,79.39,13.72,0.62,263.89,,27.41,82.34,1.39,102.6,1010.91,2023-03-14 20:45:00,45.98,0.0
50.0,,245.55,70.13,13.64,0.63,243.95,,27.34,81.94,1.38,110.26,1010.97,2023-03-14 21:00:00,43.36,0.0
50.0,,232.85,64.55,13.67,0.64,230.64,,27.29,82.42,1.32,110.81,1011.03,2023-03-14 21:15:00,41.98,0.0
50.0,,225.86,62.88,13.59,0.62,224.06,,27.24,83.41,1.48,102.12,1011.02,2023-03-14 21:30:00,41.37,0.0
45.5,,223.28,56.56,13.65,0.63,218.62,,27.17,84.17,1.31,110.56,1011.0,2023-03-14 21:45:00,43.56,0.0
45.0,,224.62,69.74,13.7,0.62,226.71,,27.2,83.26,1.46,105.81,1011.15,2023-03-14 22:00:00,37.84,0.0
45.0,,219.45,68.69,13.91,0.63,221.95,,27.16,83.39,1.04,112.7,1011.14,2023-03-14 22:15:00,36.95,0.0
45.0,,224.8,59.6,13.91,0.63,221.47,,27.13,84.1,1.29,112.56,1011.03,2023-03-14 22:30:00,39.64,0.0
53.0,,221.14,62.0,13.8,0.63,219.75,,27.05,84.01,1.48,111.1,1010.97,2023-03-14 22:45:00,37.76,0.0
54.0,,215.75,61.08,13.82,0.63,214.89,,26.98,83.48,1.23,110.15,1010.85,2023-03-14 23:00:00,40.26,0.0
54.0,,216.88,61.64,13.71,0.63,216.13,,26.95,83.75,1.45,106.62,1010.82,2023-03-14 23:15:00,40.56,0.0
54.0,,225.46,56.48,13.65,0.65,220.37,,26.86,83.86,1.02,114.56,1010.82,2023-03-14 23:30:00,41.54,0.0
52.22,,220.2,52.34,13.69,0.63,213.85,,26.84,83.91,1.12,114.71,1010.78,2023-03-14 23:45:00,45.4,0.0
52.0,,243.22,69.56,14.71,0.64,241.98,,26.8,84.2,0.96,114.0,1010.7,2023-03-15 00:00:00,31.73,0.0
52.0,,284.9,74.32,15.17,0.64,278.16,,26.64,84.67,0.94,114.79,1010.64,2023-03-15 00:15:00,36.51,0.0
52.0,,327.67,68.49,15.54,0.65,309.68,,26.71,84.79,1.24,107.89,1010.42,2023-03-15 00:30:00,50.23,0.0
43.0,,333.95,77.35,15.59,0.62,319.58,,26.57,84.3,1.03,113.81,1010.19,2023-03-15 00:45:00,46.83,0.0
42.0,,364.26,83.54,15.44,0.64,347.57,,26.54,85.1,1.02,117.46,1009.99,2023-03-15 01:00:00,47.59,0.0
42.0,,361.79,74.17,15.67,0.64,340.29,,26.67,85.61,1.35,106.73,1009.86,2023-03-15 01:15:00,54.1,0.0
42.0,,356.73,79.54,15.63,0.64,339.42,,26.67,85.71,1.35,106.48,1009.81,2023-03-15 01:30:00,57.06,0.0
45.6,,339.85,92.01,15.39,0.64,332.29,,26.61,85.8,0.9,113.38,1009.67,2023-03-15 01:45:00,55.93,0.0
46.0,,362.2,77.27,15.52,0.64,342.51,,26.41,86.01,0.67,116.05,1009.36,2023-03-15 02:00:00,58.07,0.0
46.0,,361.7,71.73,15.36,0.64,339.32,,26.28,85.85,0.74,110.45,1009.16,2023-03-15 02:15:00,51.4,0.0
46.0,,,,,,,,,,,,,2023-03-15 02:30:00,,
46.0,,344.31,81.3,15.56,0.64,330.29,,25.49,86.74,0.41,227.69,1008.88,2023-03-15 02:45:00,54.54,0.0
46.0,,368.0,91.06,15.4,0.63,354.62,,24.42,89.66,0.33,203.04,1008.85,2023-03-15 03:15:00,52.5,0.0
55.0,,374.67,79.41,15.4,0.64,353.85,,24.08,91.88,0.45,246.02,1008.93,2023-03-15 03:45:00,58.7,0.0
56.0,,350.58,89.09,14.15,0.63,339.38,,23.82,92.53,0.48,233.85,1008.98,2023-03-15 04:15:00,55.81,0.0
56.0,,330.98,76.87,13.93,0.63,317.03,,23.66,92.88,0.47,236.04,1009.0,2023-03-15 04:30:00,55.91,0.0
75.56,,312.42,83.2,14.0,0.63,305.24,,23.56,93.22,0.44,225.15,1008.97,2023-03-15 04:45:00,50.36,0.0
78.0,,296.41,77.0,14.03,0.63,288.94,,23.51,93.62,0.78,274.0,1009.01,2023-03-15 05:00:00,50.46,0.0
78.0,,284.26,75.04,14.05,0.64,278.01,,23.37,93.77,0.5,251.77,1009.06,2023-03-15 05:15:00,50.12,0.0
78.0,,282.44,74.07,13.93,0.63,276.04,,23.24,93.95,0.49,238.18,1009.27,2023-03-15 05:30:00,45.87,0.0
76.2,,281.55,68.96,14.26,0.63,272.57,,23.15,94.25,0.52,238.12,1009.58,2023-03-15 05:45:00,45.07,0.0
76.0,,276.81,68.04,14.29,0.65,268.24,,23.08,94.51,0.49,240.45,1009.78,2023-03-15 06:00:00,45.37,0.0
76.0,,281.27,62.44,14.33,0.64,268.9,,23.04,94.69,0.44,238.88,1010.08,2023-03-15 06:15:00,47.45,0.0
76.0,,287.3,71.74,14.45,0.64,278.74,,23.12,94.92,0.34,228.07,1010.4,2023-03-15 06:30:00,50.0,0.0
83.2,,296.72,72.29,14.43,0.64,286.7,,23.26,95.02,0.37,233.24,1010.66,2023-03-15 06:45:00,46.8,0.0
84.0,,293.68,68.66,14.29,0.64,282.28,,23.5,95.05,0.47,245.14,1010.77,2023-03-15 07:00:00,46.24,0.0
84.0,,280.82,74.33,14.16,0.65,274.85,,23.75,94.71,0.67,296.28,1010.87,2023-03-15 07:15:00,46.06,0.0
84.0,,279.4,69.72,14.08,0.65,271.24,,24.37,94.12,0.72,278.06,1011.0,2023-03-15 07:30:00,47.5,0.0
96.44,,257.99,60.6,13.93,0.65,248.9,,24.95,92.4,0.76,256.8,1011.14,2023-03-15 07:45:00,47.07,0.0
98.0,,229.67,46.79,14.57,0.65,218.61,,25.61,90.53,0.63,195.03,1011.31,2023-03-15 08:00:00,47.84,0.0
98.0,,262.12,48.96,15.42,0.65,246.16,,26.39,88.41,0.7,195.83,1011.51,2023-03-15 08:15:00,45.52,0.0
98.0,,323.29,55.14,15.77,0.65,299.17,,27.12,85.97,0.74,223.68,1011.69,2023-03-15 08:30:00,47.1,0.0
97.11,,305.61,68.39,15.59,0.65,291.77,,28.15,82.55,0.71,253.58,1011.84,2023-03-15 08:45:00,45.89,0.0
97.0,,326.44,67.47,15.38,0.65,308.32,,28.85,79.07,0.88,241.54,1011.94,2023-03-15 09:00:00,47.38,0.0
97.0,,326.71,64.18,15.31,0.64,306.76,,29.27,76.92,0.83,143.52,1011.91,2023-03-15 09:15:00,46.5,0.0
97.0,,312.25,56.83,14.93,0.64,291.09,,30.42,74.3,0.53,173.48,1011.94,2023-03-15 09:30:00,48.82,0.0
64.11,,292.15,62.75,14.91,0.64,277.9,,30.63,71.59,0.92,101.56,1012.03,2023-03-15 09:45:00,44.79,0.0
60.0,,326.47,57.63,14.78,0.64,303.03,,31.39,69.48,0.96,87.62,1011.94,2023-03-15 10:00:00,49.73,0.0
60.0,,354.17,65.29,14.8,0.65,329.68,,30.99,69.24,1.13,96.34,1011.83,2023-03-15 10:15:00,55.35,0.0
60.0,,309.18,90.22,14.18,0.64,306.31,,30.66,70.76,1.86,112.69,1011.7,2023-03-15 10:30:00,39.56,0.0
58.22,,288.02,35.53,13.68,0.63,260.04,,30.75,71.71,1.78,106.19,1011.6,2023-03-15 10:45:00,51.82,0.0
58.0,,258.56,56.01,13.36,0.64,246.96,,30.53,71.41,2.13,112.04,1011.74,2023-03-15 11:00:00,37.71,0.0
58.0,,239.07,55.75,13.2,0.64,231.03,,30.5,71.06,1.95,106.93,1011.61,2023-03-15 11:15:00,42.28,0.0
58.0,,224.89,60.35,13.51,0.64,221.93,,30.83,70.91,1.92,107.3,1011.38,2023-03-15 11:30:00,38.09,0.0
58.89,,217.14,55.98,13.44,0.63,213.31,,31.15,71.06,1.49,118.11,1011.06,2023-03-15 11:45:00,38.63,0.0
59.0,,207.68,52.27,13.33,0.64,203.64,,30.83,71.32,1.89,105.77,1010.75,2023-03-15 12:00:00,35.91,0.0
59.0,,203.51,50.32,13.37,0.64,199.22,,31.34,70.63,1.58,112.16,1010.49,2023-03-15 12:15:00,35.27,0.0
59.0,,199.67,55.59,13.22,0.64,198.91,,31.3,70.1,1.89,109.23,1010.27,2023-03-15 12:30:00,32.91,0.0
58.11,,199.4,50.73,13.48,0.64,196.11,,31.09,71.3,1.96,100.69,1010.07,2023-03-15 12:45:00,33.42,0.0
58.0,,204.86,48.63,13.49,0.63,199.41,,30.9,72.1,2.45,98.45,1009.86,2023-03-15 13:00:00,32.86,0.0
58.0,,206.25,51.61,13.53,0.64,202.12,,30.75,72.77,2.06,105.55,1009.63,2023-03-15 13:15:00,33.21,0.0
58.0,,205.86,54.8,13.42,0.63,203.53,,30.66,73.46,2.17,94.15,1009.38,2023-03-15 13:30:00,33.5,0.0
60.0,,213.89,59.65,13.63,0.64,212.6,,30.65,74.27,2.17,107.64,1008.84,2023-03-15 14:00:00,36.48,0.0
60.0,,,,14.09,,,,,,,,,2023-03-15 14:15:00,,
60.0,,263.3,58.75,14.81,0.64,252.31,,30.63,75.15,2.25,104.16,1008.62,2023-03-15 14:30:00,35.96,0.0
69.9,,307.98,63.61,15.21,0.64,291.17,,,,,,,2023-03-15 14:45:00,42.99,0.0
71.0,,308.58,59.43,15.31,0.65,289.42,,30.32,75.41,2.42,104.66,1008.37,2023-03-15 15:00:00,46.38,0.0
71.0,,322.35,67.05,15.0,0.64,304.85,,30.46,75.56,2.09,103.49,1008.23,2023-03-15 15:15:00,47.21,0.0
71.0,,322.14,70.51,15.02,0.64,306.22,,30.72,74.46,1.94,107.12,1008.17,2023-03-15 15:30:00,48.05,0.0
53.0,,303.86,77.74,15.17,0.64,295.34,,30.39,75.0,1.93,111.78,1008.2,2023-03-15 15:45:00,52.36,0.0
51.0,,308.04,79.76,15.08,0.66,299.89,,30.45,74.82,1.73,105.84,1008.25,2023-03-15 16:00:00,57.14,0.0
51.0,,291.04,78.59,14.93,0.64,285.36,,30.33,74.63,1.84,112.13,1008.25,2023-03-15 16:15:00,48.02,0.0
51.0,,333.99,66.16,14.87,0.64,313.76,,29.89,75.54,2.06,108.05,1008.26,2023-03-15 16:30:00,53.2,0.0
51.0,,346.82,81.72,15.32,0.63,332.43,,29.96,76.52,1.79,110.21,1008.21,2023-03-15 16:45:00,52.8,0.0
51.0,,320.19,80.51,15.19,0.65,310.06,,29.74,77.13,1.92,109.67,1008.14,2023-03-15 17:00:00,59.45,0.0
51.0,,333.46,94.34,15.11,0.64,328.34,,29.4,78.12,1.88,111.51,1008.16,2023-03-15 17:15:00,51.52,0.0
51.0,,329.38,78.85,14.8,0.65,316.73,,29.14,78.67,1.63,119.95,1008.31,2023-03-15 17:30:00,54.89,0.0
61.8,,310.54,86.86,14.98,0.65,305.66,,28.99,78.86,1.6,113.29,1008.44,2023-03-15 17:45:00,51.2,0.0
63.0,,299.89,91.22,14.84,0.65,299.22,,28.7,79.92,1.57,104.13,1008.71,2023-03-15 18:00:00,53.61,0.0
63.0,,354.29,74.43,14.76,0.65,334.7,,28.42,80.97,1.43,105.4,1008.89,2023-03-15 18:15:00,52.06,0.0
63.0,,353.88,77.43,14.69,0.64,335.86,,28.35,82.94,1.17,112.14,1009.07,2023-03-15 18:30:00,53.14,0.0
78.11,,298.75,100.97,14.15,0.65,303.58,,28.22,84.2,1.52,98.0,1009.33,2023-03-15 18:45:00,41.85,0.0
80.0,,278.16,82.85,13.97,0.65,277.21,,28.09,84.6,1.17,108.45,1009.5,2023-03-15 19:00:00,49.45,0.0
80.0,,265.09,72.97,13.76,0.65,261.34,,28.03,84.06,1.32,112.58,1009.65,2023-03-15 19:15:00,43.68,0.0
80.0,,250.48,73.23,13.74,0.65,249.59,,28.02,84.13,1.45,106.36,1009.9,2023-03-15 19:30:00,39.39,0.0
59.76,,239.44,70.01,13.81,0.66,238.9,,27.95,83.21,1.22,118.04,1010.1,2023-03-15 19:45:00,41.52,0.0
57.0,,227.21,69.8,13.71,0.66,228.82,,27.95,83.05,1.15,113.01,1010.39,2023-03-15 20:00:00,38.85,0.0
57.0,,221.86,65.13,13.66,0.64,222.01,,27.96,82.63,1.43,114.83,1010.62,2023-03-15 20:15:00,38.59,0.0
57.0,,221.53,55.17,13.81,0.65,216.45,,27.94,83.64,1.57,113.34,1010.72,2023-03-15 20:30:00,43.15,0.0
