pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
10.18,97.1,8.56,11.43,33.2,1.83,13.03,5.42,34.34,,4.0,241.64,998.46,2022-08-08 16:15:00,14.8,,,
10.0,83.0,8.79,13.0,31.92,0.61,14.06,5.45,34.36,,3.83,239.92,998.51,2022-08-08 16:30:00,15.86,,,
10.0,83.0,9.27,12.72,31.79,1.63,14.31,5.95,34.23,,4.27,239.7,998.62,2022-08-08 16:45:00,13.0,,,
10.0,83.0,9.62,13.21,31.96,0.64,14.84,5.51,33.98,,3.61,236.85,998.7,2022-08-08 17:00:00,12.98,,,
10.0,77.74,9.79,14.02,32.24,0.28,15.43,5.26,33.57,,4.02,245.14,999.03,2022-08-08 17:15:00,17.15,,,
10.0,72.0,9.81,15.14,30.97,1.18,16.03,5.27,32.52,,3.79,239.46,999.54,2022-08-08 17:30:00,16.62,,,
10.0,72.0,11.38,17.98,30.69,2.25,18.82,5.35,30.94,,2.11,261.61,999.77,2022-08-08 17:45:00,17.75,,,
10.0,72.0,13.23,17.88,30.77,0.74,20.26,5.42,30.39,,1.26,256.01,999.82,2022-08-08 18:00:00,16.6,,,
10.82,58.31,14.98,19.54,30.28,0.83,22.57,5.83,30.21,,1.57,277.71,,2022-08-08 18:15:00,19.41,,,
11.0,44.0,17.58,20.85,29.27,0.56,25.39,5.7,30.13,,1.14,265.35,,2022-08-08 18:30:00,27.53,,,
11.0,44.0,20.39,21.3,28.79,1.28,27.9,5.62,30.16,,0.98,239.26,,2022-08-08 18:45:00,30.2,,,
11.0,44.0,23.14,22.4,29.02,0.23,30.72,5.5,30.2,,0.86,254.76,,2022-08-08 19:00:00,28.96,,,
16.83,60.24,29.9,24.8,29.48,0.52,37.52,5.7,30.21,,0.66,263.62,,2022-08-08 19:15:00,35.12,,,
18.0,78.0,28.83,36.11,28.59,0.52,42.65,5.36,30.24,,0.6,248.25,,2022-08-08 19:30:00,49.56,,,
,,,,,,,,30.21,,0.98,249.12,,2022-08-08 19:45:00,,,,
18.0,78.0,29.64,28.26,26.85,0.92,39.14,5.76,30.22,,0.62,256.82,,2022-08-08 20:00:00,40.68,,,
26.22,94.72,39.0,32.49,28.86,1.7,49.0,5.44,30.2,,0.74,253.41,,2022-08-08 20:15:00,50.22,,,
28.0,113.0,45.37,21.93,28.49,1.73,48.58,5.43,30.15,,0.61,274.49,,2022-08-08 20:30:00,48.42,,,
28.0,113.0,38.05,25.04,28.36,1.5,44.25,5.41,30.15,,0.52,241.76,,2022-08-08 20:45:00,42.46,,,
28.0,113.0,35.59,29.62,28.07,1.78,44.69,5.87,30.08,,0.58,245.24,,2022-08-08 21:00:00,44.15,,,
29.62,119.53,36.51,29.25,28.19,2.14,45.24,5.6,30.05,,0.81,239.14,,2022-08-08 21:15:00,45.15,,,
30.0,127.0,37.13,27.71,28.68,2.04,44.94,5.39,30.11,,0.42,222.73,,2022-08-08 21:30:00,49.38,,,
30.0,127.0,43.37,27.93,28.18,1.22,50.13,5.37,30.15,,0.66,235.31,,2022-08-08 21:45:00,50.66,,,
30.0,127.0,40.28,28.58,27.67,0.99,47.94,5.56,30.18,,0.8,242.89,,2022-08-08 22:00:00,45.47,,,
34.11,130.34,38.31,26.78,29.15,0.81,45.4,5.71,30.24,,1.06,244.97,,2022-08-08 22:15:00,46.16,,,
35.0,134.0,32.14,23.58,28.61,0.79,38.66,5.5,30.56,,1.6,236.77,,2022-08-08 22:30:00,38.26,,,
35.0,134.0,26.52,22.15,28.76,0.8,33.34,5.65,30.66,,1.93,243.52,,2022-08-08 22:45:00,33.41,,,
35.0,134.0,22.21,20.88,29.48,0.42,29.16,5.5,30.85,,2.47,236.42,,2022-08-08 23:00:00,30.56,,,
25.13,101.51,17.58,20.4,30.26,0.41,25.14,5.52,31.12,,2.9,229.86,,2022-08-08 23:15:00,29.12,,,
23.0,66.0,14.75,19.51,29.45,0.5,22.37,5.05,31.22,,2.99,234.93,,2022-08-08 23:30:00,23.34,,,
23.0,66.0,11.78,18.18,29.59,0.01,19.24,5.3,31.24,,3.24,234.99,,2022-08-08 23:45:00,22.46,,,
23.0,66.0,10.95,14.92,30.29,0.31,16.83,5.25,31.26,,3.35,234.58,,2022-08-09 00:00:00,17.85,,,
11.64,56.22,10.19,11.22,30.56,0.15,14.25,5.68,31.28,,3.68,237.63,,2022-08-09 00:15:00,14.84,,,
9.0,46.0,8.59,9.11,30.02,0.58,11.83,5.37,31.2,,3.57,239.8,,2022-08-09 00:30:00,12.18,,,
9.0,46.0,8.75,7.53,29.99,0.9,11.11,5.11,31.01,,3.0,232.81,,2022-08-09 00:45:00,8.4,,,
9.0,46.0,8.63,10.98,30.06,0.67,12.86,4.97,30.81,,2.95,227.84,,2022-08-09 01:00:00,13.3,,,
16.3,45.53,8.3,16.61,30.04,,15.59,5.23,30.67,,2.97,237.79,,2022-08-09 01:15:00,18.82,,,
18.0,45.0,9.49,18.2,29.65,0.04,17.38,5.18,30.68,,3.29,243.73,,2022-08-09 01:30:00,17.56,,,
18.0,45.0,7.89,12.5,29.08,,13.07,5.32,30.58,,3.0,244.11,,2022-08-09 01:45:00,17.43,,,
18.0,45.0,6.16,8.71,29.12,0.13,9.64,5.27,30.47,,3.14,246.88,,2022-08-09 02:00:00,16.71,,,
12.24,42.13,5.87,5.53,29.48,,7.72,5.28,30.37,,2.99,249.8,,2022-08-09 02:15:00,14.42,,,
11.0,39.0,6.12,6.22,28.41,,8.29,5.46,30.22,,2.81,240.71,,2022-08-09 02:30:00,14.48,,,
11.0,39.0,6.37,7.04,27.48,,8.92,5.01,30.15,,3.46,246.5,,2022-08-09 02:45:00,15.89,,,
11.0,39.0,5.74,7.84,28.81,,8.83,5.34,30.06,,3.3,245.71,,2022-08-09 03:00:00,14.92,,,
9.36,33.27,6.64,6.59,29.07,0.66,8.9,5.34,29.89,,2.86,247.34,,2022-08-09 03:15:00,11.05,,,
9.0,27.0,6.55,6.88,28.17,1.52,8.98,5.37,29.72,,2.49,253.03,,2022-08-09 03:30:00,11.15,,,
9.0,27.0,5.73,8.47,27.98,1.72,9.15,5.53,29.58,,2.34,248.93,,2022-08-09 03:45:00,11.38,,,
9.0,27.0,6.85,7.56,27.87,1.02,9.61,5.52,29.4,,2.13,248.22,,2022-08-09 04:00:00,10.44,,,
7.36,24.13,8.4,7.54,27.95,1.87,10.82,4.61,29.31,,2.46,237.35,,2022-08-09 04:15:00,12.78,,,
7.0,21.0,8.08,6.46,27.55,0.33,10.0,5.71,29.21,,2.4,228.87,,2022-08-09 04:30:00,12.73,,,
7.0,21.0,6.9,11.42,26.12,0.49,11.7,5.4,29.21,,2.54,223.56,,2022-08-09 04:45:00,14.21,,,
7.0,21.0,9.54,21.48,28.55,0.26,19.19,5.45,29.28,,3.3,228.73,,2022-08-09 05:00:00,23.26,,,
12.76,31.08,10.19,23.76,29.1,0.02,20.93,5.41,29.35,,3.15,223.44,,2022-08-09 05:15:00,26.64,,,
14.0,42.0,15.82,28.03,28.47,,27.79,5.49,29.18,,2.98,224.49,,2022-08-09 05:30:00,28.29,,,
14.0,42.0,27.17,32.33,28.4,0.24,39.31,5.5,29.05,,3.09,238.17,,2022-08-09 05:45:00,40.26,,,
14.0,42.0,19.87,29.35,29.06,0.18,31.77,5.07,28.99,,3.21,238.08,,2022-08-09 06:00:00,32.9,,,
17.29,48.84,13.06,22.43,29.24,0.09,22.56,5.31,28.99,,3.15,232.2,,2022-08-09 06:15:00,25.12,,,
18.0,56.0,17.91,26.01,28.22,0.0,28.41,5.02,28.99,,2.72,221.32,,2022-08-09 06:30:00,33.01,,,
18.0,56.0,19.66,28.5,28.12,0.02,31.13,5.05,29.06,,3.04,227.98,,2022-08-09 06:45:00,33.43,,,
18.0,56.0,14.66,24.55,28.72,0.11,24.96,5.8,29.1,,3.23,219.92,,2022-08-09 07:00:00,23.45,,,
19.64,63.47,11.75,25.91,29.26,0.61,23.33,5.16,29.24,,3.55,212.9,,2022-08-09 07:15:00,27.95,,,
20.0,72.0,17.36,32.03,28.33,1.19,31.16,5.42,29.4,,3.6,226.61,,2022-08-09 07:30:00,36.26,,,
20.0,72.0,20.82,35.62,29.02,0.72,35.86,5.03,29.61,,3.52,222.27,,2022-08-09 07:45:00,39.19,,,
20.0,72.0,18.43,35.26,29.78,0.43,33.74,5.24,29.88,,3.87,224.89,,2022-08-09 08:00:00,33.1,,,
19.18,72.0,18.91,33.03,30.12,1.03,32.94,5.44,30.09,,3.4,224.28,,2022-08-09 08:15:00,35.61,,,
19.0,72.0,20.65,32.03,29.43,0.68,33.82,5.41,30.23,,3.56,227.04,,2022-08-09 08:30:00,38.96,,,
19.0,72.0,20.7,32.25,27.89,0.69,34.0,5.33,30.89,,4.65,224.46,,2022-08-09 08:45:00,37.08,,,
19.0,72.0,16.65,29.25,28.6,0.72,29.1,5.85,31.22,,4.71,224.46,,2022-08-09 09:00:00,32.25,,,
19.81,80.12,13.12,23.76,29.68,0.54,23.31,5.67,31.5,,4.46,227.26,,2022-08-09 09:15:00,27.2,,,
20.0,89.0,,,29.18,1.3,,5.31,31.79,,4.28,238.09,,2022-08-09 09:30:00,,,,
20.0,89.0,8.04,21.2,29.22,1.09,17.8,5.5,31.99,,4.12,236.79,,2022-08-09 09:45:00,23.85,,,
20.0,89.0,8.97,19.07,29.59,1.2,17.43,5.7,32.11,,4.49,229.0,,2022-08-09 10:00:00,21.77,,,
20.0,83.87,9.48,18.26,30.61,2.04,17.42,5.54,32.09,,4.12,232.5,,2022-08-09 10:15:00,19.53,,,
20.0,78.0,8.21,18.3,29.34,1.42,16.4,5.55,32.4,,4.68,234.99,,2022-08-09 10:30:00,20.76,,,
20.0,78.0,,,29.39,,,5.42,32.75,,4.24,239.82,,2022-08-09 10:45:00,,,,
20.0,78.0,8.22,18.87,29.93,0.49,16.71,5.83,33.13,,3.92,242.33,,2022-08-09 11:00:00,18.05,,,
18.36,79.43,8.66,18.13,30.47,2.96,16.69,5.85,33.37,,4.07,249.76,,2022-08-09 11:15:00,20.19,,,
18.0,81.0,,,29.56,,,,33.38,,4.74,245.82,,2022-08-09 11:30:00,,,,
18.0,81.0,5.91,18.25,29.85,0.91,14.51,5.44,33.52,,5.07,244.85,,2022-08-09 11:45:00,20.58,,,
18.0,81.0,6.41,17.3,30.5,0.21,14.41,5.69,33.65,,4.07,249.52,,2022-08-09 12:00:00,20.79,,,
18.0,80.52,7.8,15.77,31.08,1.23,14.74,4.84,33.67,,4.65,238.38,,2022-08-09 12:15:00,17.27,,,
18.0,80.0,7.98,14.36,30.35,0.44,14.14,5.4,33.79,,3.84,239.22,,2022-08-09 12:30:00,15.37,,,
18.0,80.0,8.75,16.8,30.5,1.24,16.05,5.32,34.19,,4.06,242.17,,2022-08-09 12:45:00,17.3,,,
18.0,80.0,8.4,17.66,31.13,1.26,16.24,4.97,34.45,,3.96,235.73,,2022-08-09 13:00:00,20.41,,,
16.36,80.48,6.82,15.75,31.57,0.17,13.91,5.55,34.75,,4.17,247.08,,2022-08-09 13:15:00,18.29,,,
16.0,81.0,5.93,13.93,30.96,0.95,12.24,5.2,34.93,,3.91,239.87,,2022-08-09 13:30:00,18.1,,,
16.0,81.0,,,,,,,34.9,,4.43,234.34,,2022-08-09 13:45:00,,,,
16.0,81.0,7.49,10.75,31.29,0.02,11.82,5.45,35.09,,4.2,237.52,,2022-08-09 14:00:00,13.57,,,
19.29,77.73,8.44,11.46,31.77,0.29,12.96,5.47,34.99,,4.26,230.5,999.86,2022-08-09 14:15:00,14.33,,,
20.0,74.0,7.34,10.61,31.04,0.64,11.61,5.71,35.26,,4.27,240.62,999.59,2022-08-09 14:30:00,14.1,,,
20.0,74.0,6.72,12.05,30.7,0.77,11.87,5.61,35.18,,4.14,242.3,999.46,2022-08-09 14:45:00,15.15,,,
20.0,74.0,7.67,10.62,31.44,0.55,11.89,5.3,35.0,,4.4,236.18,999.19,2022-08-09 15:00:00,13.19,,,
15.94,72.13,7.52,10.75,31.27,0.32,11.84,5.78,35.19,,3.45,250.55,999.29,2022-08-09 15:15:00,14.05,,,
15.0,70.0,8.21,12.76,30.74,0.52,13.47,5.96,35.18,,4.17,235.83,999.17,2022-08-09 15:30:00,14.73,,,
15.0,70.0,6.82,11.53,31.76,0.99,11.67,5.69,35.26,,4.02,239.83,999.02,2022-08-09 15:45:00,16.62,,,
15.0,70.0,6.81,12.03,32.31,1.08,11.93,5.37,34.95,,3.96,246.5,998.94,2022-08-09 16:00:00,14.96,,,
15.0,81.94,8.36,11.21,32.53,0.24,12.76,5.92,34.71,,4.02,248.75,998.93,2022-08-09 16:15:00,15.34,,,
15.0,95.0,8.75,12.48,32.01,0.01,13.74,6.1,34.49,,3.8,246.54,999.01,2022-08-09 16:30:00,15.16,,,
15.0,95.0,9.21,14.66,30.72,0.06,15.29,5.72,34.48,,2.65,242.57,999.05,2022-08-09 16:45:00,17.41,,,
15.0,95.0,9.59,15.05,31.96,0.08,15.79,6.13,34.66,,3.19,237.21,999.24,2022-08-09 17:00:00,19.7,,,
