pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,7.41,,,41.78,,2023-03-13 16:00:00,,0.0,,
36.0,45.0,46.99,7.58,,,42.24,,2023-03-13 16:15:00,,0.0,,
36.0,45.0,47.33,7.26,,,42.35,,2023-03-13 16:30:00,,0.0,,
36.0,45.0,46.91,9.35,,,43.11,,2023-03-13 16:45:00,,0.0,,
33.57,42.01,46.26,11.4,,,43.66,,2023-03-13 17:00:00,,0.0,,
33.0,41.25,47.09,8.78,,,42.94,,2023-03-13 17:15:00,,0.0,,
33.0,41.25,47.82,8.58,,,43.43,,2023-03-13 17:30:00,,0.0,,
33.0,41.25,49.46,8.12,,,44.53,,2023-03-13 17:45:00,,0.0,,
34.62,43.21,48.16,10.2,,,44.59,,2023-03-13 18:00:00,,0.0,,
35.0,43.75,48.09,9.69,,,44.23,,2023-03-13 18:15:00,,0.0,,
35.0,43.75,48.25,8.78,,,43.9,,2023-03-13 18:30:00,,0.0,,
35.0,43.75,48.07,9.64,,,44.22,,2023-03-13 18:45:00,,0.0,,
32.61,40.8,49.5,7.24,,,44.1,,2023-03-13 19:00:00,,0.0,,
32.0,40.0,49.65,7.31,,,44.26,,2023-03-13 19:15:00,,0.0,,
32.0,40.0,49.45,7.69,,,44.29,,2023-03-13 19:30:00,,0.0,,
32.0,40.0,48.22,7.05,,,42.93,,2023-03-13 19:45:00,,0.0,,
27.21,34.02,47.97,7.05,,,42.73,,2023-03-13 20:00:00,,0.0,,
26.0,32.5,46.16,8.24,,,41.89,,2023-03-13 20:15:00,,0.0,,
26.0,32.5,46.68,6.41,,,41.36,,2023-03-13 20:30:00,,0.0,,
26.0,32.5,45.46,6.93,,,40.63,,2023-03-13 20:45:00,,0.0,,
28.4,35.49,44.24,7.27,,,39.84,,2023-03-13 21:00:00,,0.0,,
29.0,36.25,44.18,5.75,,,38.98,,2023-03-13 21:15:00,,0.0,,
29.0,36.25,43.51,6.16,,,38.67,,2023-03-13 21:30:00,,0.0,,
29.0,36.25,43.88,4.71,,,38.19,,2023-03-13 21:45:00,,0.0,,
27.43,34.29,43.61,5.3,,,38.26,,2023-03-13 22:00:00,,0.0,,
27.0,33.75,41.47,6.51,,,37.17,,2023-03-13 22:15:00,,0.0,,
27.0,33.75,38.67,7.38,,,35.36,,2023-03-13 22:30:00,,0.0,,
27.0,33.75,37.78,7.19,,,34.56,,2023-03-13 22:45:00,,0.0,,
22.21,27.77,38.7,3.99,,,33.61,,2023-03-13 23:00:00,,0.0,,
21.0,26.25,38.15,3.5,,,32.86,,2023-03-13 23:15:00,,0.0,,
21.0,26.25,37.53,5.43,,,33.41,,2023-03-13 23:30:00,,0.0,,
21.0,26.25,37.9,4.64,,,33.29,,2023-03-13 23:45:00,,0.0,,
26.5,33.12,37.47,4.7,,,32.98,,2023-03-14 00:00:00,,0.0,,
28.0,35.0,36.34,5.7,,,32.57,,2023-03-14 00:15:00,,0.0,,
28.0,35.0,36.56,4.75,,,32.25,,2023-03-14 00:30:00,,0.0,,
28.0,35.0,37.03,4.6,,,32.55,,2023-03-14 00:45:00,,0.0,,
27.2,34.02,37.29,4.22,,,32.56,,2023-03-14 01:00:00,,0.0,,
27.0,33.75,37.68,2.52,,,31.96,,2023-03-14 01:15:00,,0.0,,
27.0,33.75,36.73,4.46,,,32.24,,2023-03-14 01:30:00,,0.0,,
27.0,33.75,37.39,3.22,,,32.13,,2023-03-14 01:45:00,,0.0,,
27.0,33.75,37.78,2.06,,,31.82,,2023-03-14 02:00:00,,0.0,,
27.0,33.75,36.72,2.8,,,31.34,,2023-03-14 02:15:00,,0.0,,
27.0,33.75,36.83,3.7,,,31.92,,2023-03-14 02:30:00,,0.0,,
27.0,33.75,37.04,3.47,,,31.96,,2023-03-14 02:45:00,,0.0,,
34.98,43.72,37.06,3.25,,,31.85,,2023-03-14 03:00:00,,0.0,,
37.0,46.25,37.08,2.6,,,31.53,,2023-03-14 03:15:00,,0.0,,
37.0,46.25,38.01,3.44,,,32.75,,2023-03-14 03:30:00,,0.0,,
37.0,46.25,37.88,4.03,,,32.94,,2023-03-14 03:45:00,,0.0,,
46.57,58.21,38.22,2.29,,,32.28,,2023-03-14 04:00:00,,0.0,,
49.0,61.25,37.88,2.74,,,32.25,,2023-03-14 04:15:00,,0.0,,
49.0,61.25,37.8,2.62,,,32.14,,2023-03-14 04:30:00,,0.0,,
49.0,61.25,37.74,3.49,,,32.53,,2023-03-14 04:45:00,,0.0,,
49.8,62.23,37.39,3.21,,,32.08,,2023-03-14 05:00:00,,0.0,,
50.0,62.5,37.05,2.37,,,31.4,,2023-03-14 05:15:00,,0.0,,
50.0,62.5,37.43,3.67,,,32.38,,2023-03-14 05:30:00,,0.0,,
50.0,62.5,,,,,,,2023-03-14 05:45:00,,,,
45.2,56.52,38.57,2.17,,,32.51,,2023-03-14 06:00:00,,0.0,,
44.0,55.0,,,,,,,2023-03-14 06:15:00,,,,
44.0,55.0,38.79,3.68,,,33.48,,2023-03-14 06:30:00,,0.0,,
44.0,55.0,40.32,3.43,,,34.61,,2023-03-14 06:45:00,,0.0,,
68.0,84.91,40.45,3.88,,,34.96,,2023-03-14 07:00:00,,0.0,,
74.0,92.5,39.94,3.89,,,34.55,,2023-03-14 07:15:00,,0.0,,
74.0,92.5,41.6,2.73,,,35.27,,2023-03-14 07:30:00,,0.0,,
74.0,92.5,41.83,3.67,,,35.97,,2023-03-14 07:45:00,,0.0,,
69.94,87.59,42.51,4.19,,,36.79,,2023-03-14 08:00:00,,0.0,,
69.0,86.25,42.65,2.95,,,36.23,,2023-03-14 08:15:00,,0.0,,
69.0,86.25,43.73,3.36,,,37.33,,2023-03-14 08:30:00,,0.0,,
69.0,86.25,43.45,4.37,,,37.63,,2023-03-14 08:45:00,,0.0,,
70.6,88.21,42.86,5.5,,,37.78,,2023-03-14 09:00:00,,0.0,,
71.0,88.75,42.14,5.93,,,37.4,,2023-03-14 09:15:00,,0.0,,
71.0,88.75,41.45,6.74,,,37.28,,2023-03-14 09:30:00,,0.0,,
71.0,88.75,41.04,7.41,,,37.33,,2023-03-14 09:45:00,,0.0,,
64.71,80.89,40.57,7.28,,,36.84,,2023-03-14 10:00:00,,0.0,,
63.0,78.75,38.84,8.25,,,35.97,,2023-03-14 10:15:00,,0.0,,
63.0,78.75,37.48,9.47,,,35.52,,2023-03-14 10:30:00,,0.0,,
63.0,78.75,37.8,9.32,,,35.71,,2023-03-14 10:45:00,,0.0,,
59.01,73.76,37.42,9.65,,,35.57,,2023-03-14 11:00:00,,0.0,,
58.0,72.5,36.45,9.95,,,34.93,,2023-03-14 11:15:00,,0.0,,
58.0,72.5,36.77,9.58,,,34.99,,2023-03-14 11:30:00,,0.0,,
58.0,72.5,38.26,8.65,,,35.7,,2023-03-14 11:45:00,,0.0,,
49.08,61.53,38.96,8.51,,,36.19,,2023-03-14 12:00:00,,0.0,,
47.0,58.75,39.65,7.51,,,36.23,,2023-03-14 12:15:00,,0.0,,
47.0,58.75,39.94,9.63,,,37.59,,2023-03-14 12:30:00,,0.0,,
47.0,58.75,40.06,10.73,,,38.28,,2023-03-14 12:45:00,,0.0,,
49.36,61.83,40.99,8.48,,,37.83,,2023-03-14 13:00:00,,0.0,,
50.0,62.5,41.1,7.76,,,37.53,,2023-03-14 13:15:00,,0.0,,
50.0,62.5,43.42,8.47,,,39.82,,2023-03-14 13:30:00,,0.0,,
50.0,62.5,45.09,10.26,,,42.12,,2023-03-14 13:45:00,,0.0,,
46.01,57.51,44.87,9.77,,,41.68,,2023-03-14 14:00:00,,0.0,,
45.0,56.25,44.87,9.41,,,41.5,,2023-03-14 14:15:00,,0.0,,
45.0,56.25,46.18,8.36,,,41.98,,2023-03-14 14:30:00,,0.0,,
45.0,56.25,46.68,7.73,,,42.06,,2023-03-14 14:45:00,,0.0,,
45.81,57.25,47.04,8.19,,,42.6,,2023-03-14 15:00:00,,0.0,,
46.0,57.5,45.27,7.58,,,40.85,,2023-03-14 15:15:00,,0.0,,
46.0,57.5,46.21,8.43,,,42.07,,2023-03-14 15:30:00,,0.0,,
46.0,57.5,47.95,7.62,,,43.04,,2023-03-14 15:45:00,,0.0,,
47.6,59.49,48.17,7.9,,,43.35,,2023-03-14 16:00:00,,0.0,,
48.0,60.0,48.41,6.84,,,43.0,,2023-03-14 16:15:00,,0.0,,
48.0,60.0,48.1,8.5,,,43.64,,2023-03-14 16:30:00,,0.0,,
48.0,60.0,47.7,9.32,,,43.75,,2023-03-14 16:45:00,,0.0,,
42.5,53.12,47.57,9.27,,,43.62,,2023-03-14 17:00:00,,0.0,,
41.0,51.25,48.03,9.3,,,43.99,,2023-03-14 17:15:00,,0.0,,
41.0,51.25,49.25,10.25,,,45.5,,2023-03-14 17:30:00,,0.0,,
41.0,51.25,49.99,10.54,,,46.26,,2023-03-14 17:45:00,,0.0,,
52.0,65.0,50.54,9.54,,,46.17,,2023-03-14 18:00:00,,0.0,,
55.0,68.75,50.59,9.19,,,46.03,,2023-03-14 18:15:00,,0.0,,
55.0,68.75,50.14,9.97,,,46.07,,2023-03-14 18:30:00,,0.0,,
55.0,68.75,50.85,10.77,,,47.08,,2023-03-14 18:45:00,,0.0,,
48.51,60.89,50.88,9.99,,,46.68,,2023-03-14 19:00:00,,0.0,,
47.0,58.75,51.16,8.43,,,46.08,,2023-03-14 19:15:00,,0.0,,
47.0,58.75,50.88,7.66,,,45.46,,2023-03-14 19:30:00,,0.0,,
47.0,58.75,50.6,10.3,,,46.63,,2023-03-14 19:45:00,,0.0,,
47.0,58.75,49.29,10.61,,,45.71,,2023-03-14 20:00:00,,0.0,,
47.0,58.75,48.34,8.78,,,43.96,,2023-03-14 20:15:00,,0.0,,
47.0,58.75,47.64,9.67,,,43.88,,2023-03-14 20:30:00,,0.0,,
47.0,58.75,46.47,11.23,,,43.76,,2023-03-14 20:45:00,,0.0,,
50.99,63.74,45.17,11.04,,,42.58,,2023-03-14 21:00:00,,0.0,,
52.0,65.0,44.58,9.84,,,41.49,,2023-03-14 21:15:00,,0.0,,
52.0,65.0,45.35,9.51,,,41.94,,2023-03-14 21:30:00,,0.0,,
52.0,65.0,44.18,9.77,,,41.14,,2023-03-14 21:45:00,,0.0,,
52.0,65.0,,,,,,,2023-03-14 22:00:00,,,,
52.0,65.0,41.01,8.78,,,38.0,,2023-03-14 22:15:00,,0.0,,
52.0,65.0,40.01,8.83,,,37.22,,2023-03-14 22:30:00,,,,
52.0,65.0,39.6,7.66,,,36.29,,2023-03-14 22:45:00,,0.0,,
47.2,59.11,38.28,7.5,,,35.1,,2023-03-14 23:00:00,,0.0,,
46.0,57.5,37.05,7.84,,,34.29,,2023-03-14 23:15:00,,0.0,,
46.0,57.5,37.42,5.93,,,33.55,,2023-03-14 23:30:00,,0.0,,
46.0,57.5,37.78,4.97,,,33.37,,2023-03-14 23:45:00,,0.0,,
48.39,60.49,37.75,5.38,,,33.56,,2023-03-15 00:00:00,,0.0,,
49.0,61.25,37.52,4.74,,,33.02,,2023-03-15 00:15:00,,0.0,,
49.0,61.25,36.91,4.32,,,32.31,,2023-03-15 00:30:00,,0.0,,
49.0,61.25,37.22,3.02,,,31.86,,2023-03-15 00:45:00,,0.0,,
50.62,63.27,36.97,5.2,,,32.81,,2023-03-15 01:00:00,,0.0,,
51.0,63.75,36.42,5.05,,,32.29,,2023-03-15 01:15:00,,0.0,,
51.0,63.75,36.68,4.85,,,32.4,,2023-03-15 01:30:00,,0.0,,
51.0,63.75,37.96,3.38,,,32.67,,2023-03-15 01:45:00,,0.0,,
48.61,60.76,37.63,4.77,,,33.12,,2023-03-15 02:00:00,,0.0,,
48.0,60.0,37.25,3.91,,,32.35,,2023-03-15 02:15:00,,0.0,,
48.0,60.0,37.18,3.81,,,32.24,,2023-03-15 02:30:00,,0.0,,
48.0,60.0,37.71,3.95,,,32.78,,2023-03-15 02:45:00,,0.0,,
49.62,61.99,37.81,4.88,,,33.33,,2023-03-15 03:00:00,,0.0,,
50.0,62.5,37.42,4.29,,,32.7,,2023-03-15 03:15:00,,0.0,,
50.0,62.5,37.84,3.29,,,32.52,,2023-03-15 03:30:00,,0.0,,
50.0,62.5,37.24,5.12,,,33.01,,2023-03-15 03:45:00,,0.0,,
63.6,79.45,38.72,4.24,,,33.76,,2023-03-15 04:00:00,,0.0,,
67.0,83.75,39.19,3.25,,,33.6,,2023-03-15 04:15:00,,0.0,,
67.0,83.75,39.15,2.5,,,33.16,,2023-03-15 04:30:00,,0.0,,
67.0,83.75,39.16,2.92,,,33.4,,2023-03-15 04:45:00,,0.0,,
63.71,79.76,39.22,4.71,,,34.4,,2023-03-15 05:00:00,,0.0,,
63.0,78.75,38.54,3.46,,,33.18,,2023-03-15 05:15:00,,0.0,,
63.0,78.75,39.81,2.46,,,33.69,,2023-03-15 05:30:00,,0.0,,
63.0,78.75,40.99,1.84,,,34.31,,2023-03-15 05:45:00,,0.0,,
69.38,86.73,39.75,2.06,,,33.42,,2023-03-15 06:00:00,,0.0,,
71.0,88.75,39.28,3.12,,,33.59,,2023-03-15 06:15:00,,0.0,,
71.0,88.75,39.94,3.18,,,34.14,,2023-03-15 06:30:00,,0.0,,
71.0,88.75,40.95,2.99,,,34.87,,2023-03-15 06:45:00,,0.0,,
72.6,90.77,40.44,2.36,,,34.15,,2023-03-15 07:00:00,,0.0,,
73.0,91.25,39.65,1.99,,,33.29,,2023-03-15 07:15:00,,0.0,,
73.0,91.25,41.0,1.96,,,34.38,,2023-03-15 07:30:00,,0.0,,
73.0,91.25,40.19,4.22,,,34.92,,2023-03-15 07:45:00,,0.0,,
99.32,124.15,39.61,4.34,,,34.5,,2023-03-15 08:00:00,,0.0,,
106.0,132.5,38.97,3.38,,,33.49,,2023-03-15 08:15:00,,0.0,,
106.0,132.5,40.74,3.9,,,35.2,,2023-03-15 08:30:00,,0.0,,
106.0,132.5,40.45,4.26,,,35.15,,2023-03-15 08:45:00,,0.0,,
102.76,128.51,39.45,5.74,,,35.11,,2023-03-15 09:00:00,,0.0,,
102.0,127.5,38.32,5.99,,,34.33,,2023-03-15 09:15:00,,0.0,,
102.0,127.5,37.19,6.79,,,33.83,,2023-03-15 09:30:00,,0.0,,
102.0,127.5,35.2,8.69,,,33.24,,2023-03-15 09:45:00,,0.0,,
92.4,115.54,35.78,7.89,,,33.29,,2023-03-15 10:00:00,,0.0,,
90.0,112.5,35.39,8.69,,,33.39,,2023-03-15 10:15:00,,0.0,,
90.0,112.5,34.57,10.4,,,33.64,,2023-03-15 10:30:00,,0.0,,
90.0,112.5,36.18,11.66,,,35.63,,2023-03-15 10:45:00,,0.0,,
82.8,103.53,35.96,11.13,,,35.15,,2023-03-15 11:00:00,,0.0,,
81.0,101.25,36.5,10.87,,,35.46,,2023-03-15 11:15:00,,0.0,,
81.0,101.25,36.88,11.39,,,36.06,,2023-03-15 11:30:00,,0.0,,
81.0,101.25,36.82,10.47,,,35.51,,2023-03-15 11:45:00,,0.0,,
55.4,69.35,37.45,10.33,,,35.95,,2023-03-15 12:00:00,,0.0,,
49.0,61.25,38.15,10.6,,,36.67,,2023-03-15 12:15:00,,0.0,,
49.0,61.25,38.57,11.27,,,37.33,,2023-03-15 12:30:00,,0.0,,
49.0,61.25,40.51,9.25,,,37.87,,2023-03-15 12:45:00,,0.0,,
45.86,57.25,41.4,9.49,,,38.72,,2023-03-15 13:00:00,,0.0,,
45.0,56.25,42.31,10.42,,,39.93,,2023-03-15 13:15:00,,0.0,,
45.0,56.25,45.89,7.45,,,41.26,,2023-03-15 13:30:00,,0.0,,
45.0,56.25,51.2,10.75,,,47.36,,2023-03-15 13:45:00,,0.0,,
42.64,53.3,62.5,14.29,,,58.44,,2023-03-15 14:00:00,,0.0,,
42.0,52.5,73.89,12.35,,,66.63,,2023-03-15 14:15:00,,0.0,,
42.0,52.5,74.98,8.9,,,65.71,,2023-03-15 14:30:00,,0.0,,
42.0,52.5,76.68,15.69,,,70.72,,2023-03-15 14:45:00,,0.0,,
34.82,43.53,89.68,15.16,,,80.99,,2023-03-15 15:00:00,,0.0,,
33.0,41.25,96.52,15.64,,,86.8,,2023-03-15 15:15:00,,0.0,,
33.0,41.25,104.2,13.98,,,92.17,,2023-03-15 15:30:00,,0.0,,
33.0,41.25,,,,,,,2023-03-15 15:45:00,,,,
36.24,45.24,127.57,12.88,,,110.58,,2023-03-15 16:00:00,,0.0,,
37.0,46.25,137.19,16.6,,,120.34,,2023-03-15 16:15:00,,0.0,,
37.0,46.25,136.49,25.46,,,124.51,,2023-03-15 16:30:00,,0.06,0.02,0.21
37.0,46.25,144.96,20.32,,,128.66,,2023-03-15 16:45:00,0.48,0.07,0.01,0.19
42.58,53.23,115.22,,,,93.63,,2023-03-15 17:00:00,3.71,0.07,,0.15
44.0,55.0,74.47,,,,56.68,,2023-03-15 17:15:00,,0.07,,0.15
44.0,55.0,59.9,0.09,,,48.25,,2023-03-15 17:30:00,,0.07,,0.15
44.0,55.0,54.18,1.4,,,44.81,,2023-03-15 17:45:00,,0.07,,0.15
48.79,60.98,51.49,2.54,,,43.23,,2023-03-15 18:00:00,,0.07,,0.15
50.0,62.5,48.4,3.43,,,41.16,,2023-03-15 18:15:00,,0.07,,0.15
50.0,62.5,47.44,5.69,,,41.59,,2023-03-15 18:30:00,,0.07,,0.15
50.0,62.5,45.78,7.32,,,41.11,,2023-03-15 18:45:00,,0.07,,0.15
47.61,59.51,45.1,6.37,,,40.06,,2023-03-15 19:00:00,,0.07,,0.15
47.0,58.75,43.56,9.01,,,40.2,,2023-03-15 19:15:00,,0.07,,0.15
47.0,58.75,43.19,10.19,,,40.53,,2023-03-15 19:30:00,,0.07,,0.15
47.0,58.75,42.82,8.25,,,39.21,,2023-03-15 19:45:00,,0.07,,0.15
44.64,55.76,42.18,6.55,,,37.78,,2023-03-15 20:00:00,,0.07,,0.15
44.0,55.0,42.41,5.35,,,37.35,,2023-03-15 20:15:00,,0.07,,0.15
44.0,55.0,41.16,6.45,,,36.9,,2023-03-15 20:30:00,,0.07,,0.15
44.0,55.0,40.24,7.29,,,36.59,,2023-03-15 20:45:00,,0.07,,0.15
35.2,44.03,39.75,7.07,,,36.08,,2023-03-15 21:00:00,,0.07,,0.15
33.0,41.25,40.62,5.56,,,35.97,,2023-03-15 21:15:00,,0.07,,0.15
33.0,41.25,39.04,4.96,,,34.38,,2023-03-15 21:30:00,,0.07,,0.15
33.0,41.25,37.97,4.67,,,33.34,,2023-03-15 21:45:00,,0.07,,0.15
27.5,34.38,36.66,4.87,,,32.41,,2023-03-15 22:00:00,,0.07,,0.15
26.0,32.5,35.46,5.1,,,31.55,,2023-03-15 22:15:00,,0.07,,0.15
26.0,32.5,34.37,4.14,,,30.16,,2023-03-15 22:30:00,,0.07,,0.15
26.0,32.5,33.31,4.45,,,29.45,,2023-03-15 22:45:00,,0.07,,0.15
14.21,17.54,32.5,4.2,,,28.66,,2023-03-15 23:00:00,,0.07,,0.15
11.0,13.75,31.32,4.69,,,27.96,,2023-03-15 23:15:00,,0.07,,0.15
11.0,13.75,31.21,3.99,,,27.48,,2023-03-15 23:30:00,,0.07,,0.15
11.0,13.75,32.06,3.27,,,27.81,,2023-03-15 23:45:00,,0.07,,0.15
14.14,17.6,31.78,3.02,,,27.45,,2023-03-16 00:00:00,,0.07,,0.15
15.0,18.75,30.82,2.94,,,26.62,,2023-03-16 00:15:00,,0.07,,0.15
15.0,18.75,31.39,3.01,,,27.14,,2023-03-16 00:30:00,,0.07,,0.15
15.0,18.75,31.95,3.07,,,27.61,,2023-03-16 00:45:00,,0.07,,0.15
9.4,11.88,32.25,1.43,,,26.98,,2023-03-16 01:00:00,,0.07,,0.15
8.0,10.0,31.58,1.16,,,26.31,,2023-03-16 01:15:00,,0.07,,0.15
8.0,10.0,32.35,2.43,,,27.6,,2023-03-16 01:30:00,,0.07,,0.15
8.0,10.0,32.61,3.41,,,28.33,,2023-03-16 01:45:00,,0.07,,0.15
13.5,16.88,32.98,2.19,,,27.97,,2023-03-16 02:00:00,,0.07,,0.15
15.0,18.75,32.78,1.19,,,27.28,,2023-03-16 02:15:00,,0.07,,0.15
15.0,18.75,33.34,0.93,,,27.59,,2023-03-16 02:30:00,,0.07,,0.15
15.0,18.75,33.26,1.99,,,28.12,,2023-03-16 02:45:00,,0.07,,0.15
11.01,13.76,33.51,1.08,,,27.82,,2023-03-16 03:00:00,,0.07,,0.15
10.0,12.5,32.92,0.77,,,27.17,,2023-03-16 03:15:00,,0.07,,0.15
10.0,12.5,33.16,1.07,,,27.53,,2023-03-16 03:30:00,,0.07,,0.15
10.0,12.5,33.93,3.13,,,29.25,,2023-03-16 03:45:00,,0.07,,0.15
10.0,12.5,34.64,2.99,,,29.77,,2023-03-16 04:00:00,,0.07,,0.15
10.0,12.5,35.39,1.46,,,29.56,,2023-03-16 04:15:00,,0.07,,0.15
10.0,12.5,35.85,1.33,,,29.87,,2023-03-16 04:30:00,,0.07,,0.15
10.0,12.5,35.51,1.8,,,29.84,,2023-03-16 04:45:00,,0.07,,0.15
14.79,18.48,36.18,2.38,,,30.68,,2023-03-16 05:00:00,,0.07,,0.15
16.0,20.0,35.78,2.33,,,30.33,,2023-03-16 05:15:00,,0.07,,0.15
16.0,20.0,36.5,2.09,,,30.78,,2023-03-16 05:30:00,,0.07,,0.15
16.0,20.0,38.02,2.31,,,32.14,,2023-03-16 05:45:00,,0.07,,0.15
27.36,33.96,39.04,2.47,,,33.07,,2023-03-16 06:00:00,,0.07,,0.15
30.0,37.5,39.78,1.26,,,32.99,,2023-03-16 06:15:00,,0.07,,0.15
30.0,37.5,41.0,1.38,,,34.05,,2023-03-16 06:30:00,,0.07,,0.15
30.0,37.5,41.95,2.52,,,35.44,,2023-03-16 06:45:00,,0.07,,0.15
42.76,53.45,44.63,0.75,,,36.6,,2023-03-16 07:00:00,,0.07,,0.15
46.0,57.5,45.06,0.01,,,36.5,,2023-03-16 07:15:00,,0.07,,0.15
46.0,57.5,44.14,1.73,,,36.81,,2023-03-16 07:30:00,,0.07,,0.15
46.0,57.5,42.81,2.87,,,36.32,,2023-03-16 07:45:00,,0.07,,0.15
60.36,75.45,42.42,3.48,,,36.33,,2023-03-16 08:00:00,,0.07,,0.15
64.0,80.0,41.8,3.77,,,36.0,,2023-03-16 08:15:00,,0.07,,0.15
64.0,80.0,41.86,4.26,,,36.28,,2023-03-16 08:30:00,,0.07,,0.15
64.0,80.0,43.39,4.02,,,37.41,,2023-03-16 08:45:00,,0.07,,0.15
52.8,66.04,43.27,4.34,,,37.48,,2023-03-16 09:00:00,,0.07,,0.15
50.0,62.5,41.13,4.93,,,36.08,,2023-03-16 09:15:00,,0.07,,0.15
50.0,62.5,40.77,7.51,,,37.13,,2023-03-16 09:30:00,,0.07,,0.15
50.0,62.5,42.75,9.88,,,40.02,,2023-03-16 09:45:00,,0.07,,0.15
36.4,45.55,48.1,8.22,,,43.46,,2023-03-16 10:00:00,,0.07,,0.15
33.0,41.25,46.86,7.05,,,41.84,,2023-03-16 10:15:00,,0.07,,0.15
,41.25,,,,,,,2023-03-16 10:30:00,,,,
33.0,41.25,43.29,6.36,,,38.58,,2023-03-16 10:45:00,,0.07,,0.15
28.21,35.25,,,,,,,2023-03-16 11:00:00,,,,
27.0,33.75,41.72,7.23,,,37.76,,2023-03-16 11:15:00,,0.07,,0.15
27.0,33.75,41.89,5.32,,,36.89,,2023-03-16 11:30:00,,0.07,,0.15
27.0,33.75,42.51,6.22,,,37.89,,2023-03-16 11:45:00,,0.07,,0.15
21.5,26.77,42.73,7.03,,,38.47,,2023-03-16 12:00:00,,0.07,,0.15
20.0,25.0,42.27,8.28,,,38.76,,2023-03-16 12:15:00,,0.07,,0.15
20.0,25.0,43.6,7.82,,,39.62,,2023-03-16 12:30:00,,0.07,,0.15
20.0,25.0,44.26,6.97,,0.13,39.71,3.0,2023-03-16 12:45:00,2.36,0.07,,0.15
18.4,23.04,46.27,6.18,,0.12,40.92,2.65,2023-03-16 13:00:00,2.23,0.07,,0.15
18.0,22.5,46.87,5.49,,0.13,41.02,3.17,2023-03-16 13:15:00,2.03,0.07,,0.15
18.0,22.5,47.76,7.63,,0.13,42.92,3.13,2023-03-16 13:30:00,2.29,0.07,,0.15
18.0,22.5,50.95,7.64,,0.14,45.51,2.99,2023-03-16 13:45:00,2.65,0.07,,0.15
14.07,17.59,52.6,7.06,,0.13,46.51,3.18,2023-03-16 14:00:00,2.93,0.07,,0.15
13.0,16.25,51.56,8.26,,0.13,46.31,2.97,2023-03-16 14:15:00,3.37,0.07,,0.15
13.0,16.25,51.66,7.61,,0.1,46.06,4.96,2023-03-16 14:30:00,4.09,0.07,,0.15
13.0,16.25,52.48,7.15,,0.1,46.47,6.52,2023-03-16 14:45:00,4.11,0.07,,0.15
13.0,16.25,52.1,7.0,,0.11,46.09,4.4,2023-03-16 15:00:00,0.24,0.07,,0.15
13.0,16.25,51.08,8.0,,,45.78,,2023-03-16 15:15:00,,0.07,,0.15
13.0,16.25,51.56,8.09,,,46.21,,2023-03-16 15:30:00,,0.07,,0.15
13.0,16.25,53.51,5.51,,,46.43,,2023-03-16 15:45:00,,0.07,,0.15
17.79,22.23,51.88,8.13,,,46.48,,2023-03-16 16:00:00,,0.07,,0.15
19.0,23.75,50.97,6.93,,,45.13,,2023-03-16 16:15:00,,0.07,,0.15
19.0,23.75,52.71,6.13,,,46.12,,2023-03-16 16:30:00,,0.07,,0.15
19.0,23.75,53.06,9.06,,,47.96,,2023-03-16 16:45:00,,0.07,,0.15
23.79,29.73,53.8,10.3,,,49.22,,2023-03-16 17:00:00,,0.07,,0.15
25.0,31.25,55.28,8.71,,,49.58,,2023-03-16 17:15:00,,0.07,,0.15
25.0,31.25,55.0,5.45,,,47.61,,2023-03-16 17:30:00,,0.07,,0.15
25.0,31.25,54.74,5.61,,,47.51,,2023-03-16 17:45:00,,0.07,,0.15
25.0,31.25,55.31,5.57,,,47.94,,2023-03-16 18:00:00,,0.07,,0.15
25.0,31.25,55.45,6.85,,,48.72,,2023-03-16 18:15:00,,0.07,,0.15
25.0,31.25,55.41,6.92,,,48.72,,2023-03-16 18:30:00,,0.07,,0.15
25.0,31.25,55.87,6.32,,,48.79,,2023-03-16 18:45:00,,0.07,,0.15
21.81,27.32,54.63,7.38,,,48.35,,2023-03-16 19:00:00,,0.07,,0.15
21.0,26.25,51.62,7.51,,,45.97,,2023-03-16 19:15:00,,0.07,,0.15
21.0,26.25,50.2,7.1,,,44.6,,2023-03-16 19:30:00,,0.07,,0.15
21.0,26.25,49.81,6.17,,,43.75,,2023-03-16 19:45:00,,0.07,,0.15
21.79,27.25,50.91,4.57,,,43.82,,2023-03-16 20:00:00,,0.07,,0.15
22.0,27.5,49.37,8.03,,,44.4,,2023-03-16 20:15:00,,0.07,,0.15
22.0,27.5,49.1,8.56,,,44.48,,2023-03-16 20:30:00,,0.07,,0.15
22.0,27.5,47.94,6.82,,,42.61,,2023-03-16 20:45:00,,0.07,,0.15
20.44,25.58,45.52,8.46,,,41.5,,2023-03-16 21:00:00,,0.07,,0.15
20.0,25.0,45.2,7.46,,,40.7,,2023-03-16 21:15:00,,0.07,,0.15
20.0,25.0,45.39,5.35,,,39.76,,2023-03-16 21:30:00,,0.07,,0.15
20.0,25.0,45.08,4.42,,,38.98,,2023-03-16 21:45:00,,0.07,,0.15
16.8,21.07,43.32,6.39,,,38.59,,2023-03-16 22:00:00,,0.07,,0.15
16.0,20.0,40.7,7.16,,,36.91,,2023-03-16 22:15:00,,0.07,,0.15
16.0,20.0,40.05,6.44,,,35.99,,2023-03-16 22:30:00,,0.07,,0.15
