pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,wd,timestamp,nh3
22.84,29.73,2.13,5.47,12.51,0.86,7.6,0.38,34.31,63.79,126.37,2024-10-15 16:45:00,2.91
19.16,29.14,2.07,5.14,12.54,0.87,7.22,0.51,34.32,63.79,115.88,2024-10-15 17:00:00,2.63
16.28,29.63,2.07,5.1,12.38,0.89,7.16,0.3,34.34,63.8,118.08,2024-10-15 17:15:00,2.61
13.39,29.54,2.36,4.94,12.47,0.87,7.3,0.17,34.37,63.81,119.57,2024-10-15 17:30:00,2.8
11.47,29.72,2.35,4.8,12.43,0.86,7.15,0.43,34.39,63.81,119.48,2024-10-15 17:45:00,2.53
10.19,30.01,2.3,5.01,12.38,0.88,7.3,0.25,34.4,63.83,115.42,2024-10-15 18:00:00,2.61
9.16,31.18,2.42,4.89,12.28,0.89,7.31,0.27,34.43,63.85,100.29,2024-10-15 18:15:00,2.84
8.97,31.83,2.36,4.84,12.39,0.86,7.21,0.15,34.48,63.9,82.28,2024-10-15 18:30:00,2.94
9.46,32.57,2.18,5.11,12.54,0.86,7.28,0.16,34.48,63.9,59.23,2024-10-15 18:45:00,3.04
10.93,32.4,2.19,4.93,12.49,0.87,7.12,0.18,34.53,63.94,51.06,2024-10-15 19:00:00,3.01
12.66,31.88,2.15,5.08,12.12,0.87,7.23,0.18,34.53,63.93,49.45,2024-10-15 19:15:00,3.11
14.5,29.49,2.15,5.09,12.31,0.86,7.23,0.15,34.52,63.92,100.17,2024-10-15 19:30:00,3.1
16.02,27.08,2.13,4.96,12.45,0.86,7.09,0.21,34.57,63.96,120.9,2024-10-15 19:45:00,3.0
16.47,24.05,2.02,4.89,12.29,0.87,6.91,0.05,34.6,63.97,62.99,2024-10-15 20:00:00,3.06
16.79,21.49,1.98,5.15,12.18,0.86,7.13,0.14,34.62,63.98,65.2,2024-10-15 20:15:00,3.24
16.72,19.14,2.03,5.26,12.21,0.86,7.28,0.18,34.6,63.96,89.04,2024-10-15 20:30:00,3.24
16.6,17.96,2.02,5.21,12.48,0.85,7.24,0.1,34.64,63.97,30.05,2024-10-15 20:45:00,3.24
16.83,16.94,2.06,4.93,12.19,0.87,6.99,0.13,34.6,63.93,55.17,2024-10-15 21:00:00,3.45
,,2.08,5.17,12.46,0.86,7.25,0.04,34.58,63.92,74.92,2024-10-15 21:15:00,3.44
,,2.23,5.21,12.26,0.86,7.44,0.09,34.53,63.88,65.58,2024-10-15 21:30:00,3.73
,,2.23,5.28,12.08,0.86,7.51,0.04,34.53,63.89,90.16,2024-10-15 21:45:00,3.72
,,2.21,5.11,12.23,0.87,7.32,,34.54,63.9,63.59,2024-10-15 22:00:00,3.82
,,2.23,5.5,12.53,0.87,7.73,0.03,34.48,63.86,85.49,2024-10-15 22:15:00,3.79
,,2.51,5.28,12.31,0.87,7.79,,34.4,63.81,92.03,2024-10-15 22:30:00,3.91
20.76,21.3,2.82,5.35,12.29,0.87,8.17,0.01,34.39,63.82,71.05,2024-10-15 22:45:00,3.78
21.13,21.57,2.91,5.26,12.21,0.89,8.17,,34.45,63.85,46.48,2024-10-15 23:00:00,3.73
,,2.68,5.28,12.7,0.88,7.96,,34.44,63.84,46.36,2024-10-15 23:15:00,3.79
,,2.86,5.22,12.64,0.87,8.08,0.02,34.38,63.82,61.21,2024-10-15 23:30:00,3.73
,,2.96,5.43,12.54,0.88,8.39,0.03,34.37,63.81,83.3,2024-10-15 23:45:00,3.87
,,3.21,5.3,12.37,0.89,8.51,0.11,34.38,63.82,46.0,2024-10-16 00:00:00,3.9
,,3.11,5.52,12.51,0.88,8.63,0.07,34.36,63.81,47.19,2024-10-16 00:15:00,3.84
,,3.3,5.21,12.46,0.87,8.51,0.01,34.37,63.81,50.85,2024-10-16 00:30:00,3.78
,,3.38,5.12,12.45,0.89,8.5,0.02,34.37,63.81,28.98,2024-10-16 00:45:00,3.73
,,3.3,5.17,12.41,0.88,8.47,0.01,34.38,63.82,59.4,2024-10-16 01:00:00,3.58
,,3.26,5.24,12.37,0.88,8.51,0.09,34.37,63.8,77.1,2024-10-16 01:15:00,3.6
,,3.29,5.01,12.42,0.87,8.3,0.15,34.37,63.8,92.94,2024-10-16 01:30:00,3.44
,,3.06,5.0,12.33,0.88,8.06,0.08,34.38,63.81,140.78,2024-10-16 01:45:00,3.33
,,2.89,5.02,12.4,0.87,7.91,0.28,34.39,63.81,65.31,2024-10-16 02:00:00,3.14
10.12,10.73,2.9,4.72,12.49,0.86,7.62,0.16,34.36,63.79,120.98,2024-10-16 02:15:00,3.08
8.85,10.72,2.83,4.79,12.68,0.86,7.62,0.57,34.38,63.8,165.69,2024-10-16 02:30:00,2.92
7.68,10.72,2.69,4.7,12.37,0.85,7.39,0.39,34.37,63.79,172.25,2024-10-16 02:45:00,2.84
6.84,10.9,2.51,4.66,12.36,0.84,7.16,0.18,34.36,63.79,178.35,2024-10-16 03:00:00,2.74
6.32,10.56,2.51,4.45,12.83,0.81,6.96,0.32,34.34,63.78,171.66,2024-10-16 03:15:00,2.62
5.78,10.18,2.63,4.38,12.55,0.82,7.01,0.33,34.35,63.78,171.77,2024-10-16 03:30:00,2.43
5.25,9.92,2.67,4.21,12.6,0.81,6.88,0.14,34.35,63.78,172.38,2024-10-16 03:45:00,2.32
5.4,9.79,2.68,4.19,12.47,0.8,6.87,0.27,34.35,63.78,178.4,2024-10-16 04:00:00,2.27
5.56,11.01,2.61,4.31,12.35,0.78,6.92,0.24,34.35,63.78,158.36,2024-10-16 04:15:00,2.22
5.9,11.46,2.79,4.15,12.54,0.77,6.94,0.25,34.35,63.77,171.52,2024-10-16 04:30:00,2.08
6.08,11.91,2.74,4.18,12.31,0.77,6.92,0.23,34.34,63.77,178.25,2024-10-16 04:45:00,2.14
6.3,13.13,2.79,4.15,12.43,0.76,6.94,0.27,34.34,63.77,178.17,2024-10-16 05:00:00,2.05
6.63,13.77,2.79,3.97,12.34,0.73,6.77,0.18,34.33,63.77,154.22,2024-10-16 05:15:00,2.07
7.11,14.43,2.77,4.26,12.42,0.74,7.02,0.3,34.33,63.77,158.91,2024-10-16 05:30:00,2.01
8.02,15.13,2.87,4.03,12.59,0.74,6.89,0.18,34.35,63.78,67.43,2024-10-16 05:45:00,2.16
9.16,16.1,2.8,4.44,12.45,0.74,7.23,0.13,34.35,63.79,86.47,2024-10-16 06:00:00,2.2
9.81,18.84,2.98,4.31,12.43,0.72,7.29,0.07,34.34,63.79,59.39,2024-10-16 06:15:00,2.4
10.19,21.89,3.06,4.25,12.27,0.72,7.31,0.15,34.32,63.8,77.95,2024-10-16 06:30:00,2.34
10.65,24.83,3.04,4.24,12.52,0.72,7.28,0.02,34.27,63.78,150.37,2024-10-16 06:45:00,2.48
11.08,26.47,2.96,4.57,12.39,0.73,7.53,0.07,34.21,63.78,144.74,2024-10-16 07:00:00,2.62
11.56,27.09,3.12,4.45,11.98,0.72,7.56,0.08,34.14,63.78,146.64,2024-10-16 07:15:00,2.69
11.9,28.58,3.08,4.76,12.08,0.73,7.85,0.04,34.06,63.78,143.14,2024-10-16 07:30:00,2.85
12.49,30.21,3.2,4.46,11.99,0.73,7.65,0.04,34.0,63.78,144.17,2024-10-16 07:45:00,2.88
12.8,31.35,3.22,4.67,12.12,0.73,7.9,0.04,33.93,63.77,166.18,2024-10-16 08:00:00,2.8
13.04,31.86,3.34,4.51,12.12,0.71,7.85,0.03,33.93,63.78,114.19,2024-10-16 08:15:00,2.69
,,,,,0.0,0.0,,33.86,63.78,132.29,2024-10-16 08:30:00,
13.34,30.91,3.24,4.5,12.17,0.71,7.74,0.04,33.82,63.79,68.75,2024-10-16 08:45:00,2.55
13.37,29.79,3.42,4.46,12.04,0.71,7.88,0.06,33.83,63.79,67.05,2024-10-16 09:00:00,2.62
13.78,28.71,3.45,4.54,12.09,0.69,7.99,0.07,33.8,63.79,82.68,2024-10-16 09:15:00,2.72
14.36,28.54,3.63,4.59,11.84,0.7,8.23,0.05,33.76,63.79,53.16,2024-10-16 09:30:00,2.73
15.18,28.74,3.62,4.49,12.14,0.69,8.11,0.08,33.83,63.79,68.17,2024-10-16 09:45:00,2.76
15.5,29.37,3.63,4.83,11.96,0.68,8.46,0.41,33.76,63.78,60.29,2024-10-16 10:00:00,2.89
15.08,30.07,3.19,6.37,12.07,0.68,9.56,0.35,33.81,63.82,57.33,2024-10-16 10:15:00,3.66
13.3,32.49,2.31,5.22,12.01,0.69,7.53,0.06,33.94,63.88,74.07,2024-10-16 10:30:00,2.65
9.49,34.84,1.88,4.56,12.28,0.66,6.44,0.12,34.04,63.89,45.42,2024-10-16 10:45:00,2.12
4.35,36.2,1.81,4.12,12.17,0.67,5.94,0.16,33.97,63.87,68.1,2024-10-16 11:00:00,1.71
0.24,36.4,1.9,3.67,12.14,0.69,5.57,0.23,33.74,63.87,70.41,2024-10-16 11:15:00,1.55
,35.48,1.73,4.07,12.23,0.68,5.8,0.12,33.71,63.89,109.84,2024-10-16 11:30:00,1.35
,32.79,1.76,3.66,12.26,0.65,5.42,0.05,33.61,63.89,119.24,2024-10-16 11:45:00,1.44
,30.82,1.63,3.89,12.1,0.64,5.51,1.39,33.55,63.87,91.11,2024-10-16 12:00:00,1.44
,28.85,1.67,4.0,12.17,0.65,5.67,1.15,33.41,63.86,124.14,2024-10-16 12:15:00,1.31
,28.26,1.56,4.04,12.17,0.63,5.6,1.43,33.31,63.86,102.65,2024-10-16 12:30:00,1.27
,28.34,1.62,3.6,12.16,0.61,5.22,0.95,33.41,63.87,138.92,2024-10-16 12:45:00,0.98
,27.87,1.59,3.59,12.28,0.61,5.18,0.91,33.6,63.9,89.23,2024-10-16 13:00:00,0.9
,26.91,1.53,3.5,12.14,0.61,5.03,0.7,33.74,63.95,100.16,2024-10-16 13:15:00,0.93
,25.55,1.57,3.48,12.26,0.59,5.05,0.53,33.64,63.89,89.73,2024-10-16 13:30:00,0.94
,23.73,1.57,3.58,12.06,0.58,5.15,0.48,33.71,63.86,78.44,2024-10-16 13:45:00,0.88
,21.38,1.69,3.36,12.11,0.59,5.05,0.42,33.74,63.87,76.69,2024-10-16 14:00:00,0.85
,19.59,1.51,4.62,12.35,0.59,6.13,1.43,33.65,63.82,131.41,2024-10-16 14:15:00,1.76
,26.39,1.42,4.53,12.16,0.57,5.95,4.73,33.69,63.82,121.35,2024-10-16 14:30:00,3.36
,,1.45,4.09,12.38,0.56,5.54,10.27,34.32,64.06,144.46,2024-10-16 14:45:00,3.94
,,1.55,4.16,12.45,0.48,5.71,15.94,34.57,64.18,181.02,2024-10-16 15:00:00,3.92
,,1.62,3.89,12.09,0.51,5.51,13.85,34.48,64.27,172.7,2024-10-16 15:15:00,3.7
,,1.72,3.73,11.91,0.52,5.45,5.08,34.69,64.32,173.89,2024-10-16 15:30:00,3.15
,,2.04,3.58,12.4,0.53,5.62,3.76,35.04,64.36,168.38,2024-10-16 15:45:00,2.84
,,1.88,3.99,12.21,0.54,5.87,12.03,34.9,64.35,181.57,2024-10-16 16:00:00,3.37
,,1.89,4.66,12.25,0.65,6.55,12.05,34.94,64.32,164.08,2024-10-16 16:15:00,2.74
,,1.95,4.29,12.22,0.65,6.24,6.3,34.9,64.28,142.81,2024-10-16 16:30:00,2.14
,,1.88,5.5,12.27,0.65,7.38,8.25,34.97,64.25,110.62,2024-10-16 16:45:00,3.23
,,1.74,6.38,11.95,0.66,8.12,9.04,35.12,64.23,171.78,2024-10-16 17:00:00,3.7
,,1.72,5.85,12.15,0.67,7.57,10.04,35.18,64.23,172.34,2024-10-16 17:15:00,3.36
,,1.51,6.12,12.23,0.67,7.63,9.39,35.21,64.22,181.25,2024-10-16 17:30:00,3.39
,,1.56,5.08,11.86,0.67,6.64,11.9,35.2,64.21,162.28,2024-10-16 17:45:00,2.71
,,1.43,4.42,12.45,0.68,5.84,15.89,35.19,64.21,160.36,2024-10-16 18:00:00,2.26
,,1.28,4.44,12.58,0.68,5.71,14.97,35.18,64.2,163.08,2024-10-16 18:15:00,2.25
,,1.32,4.44,11.98,0.69,5.76,14.55,35.16,64.19,171.04,2024-10-16 18:30:00,2.25
,,1.32,4.72,12.14,0.69,6.04,3.82,35.08,64.16,171.85,2024-10-16 18:45:00,2.59
,,1.53,4.74,11.97,0.69,6.27,2.53,35.07,64.14,152.19,2024-10-16 19:00:00,2.82
,,1.41,4.7,12.14,0.7,6.1,1.98,35.11,64.16,162.86,2024-10-16 19:15:00,2.55
,,1.54,4.12,12.22,0.71,5.66,3.38,35.17,64.19,180.99,2024-10-16 19:30:00,2.31
,,1.6,4.11,12.03,0.71,5.71,4.59,35.19,64.19,171.99,2024-10-16 19:45:00,2.42
,,1.57,4.31,12.13,0.72,5.89,3.72,35.2,64.21,144.88,2024-10-16 20:00:00,2.63
,,1.54,4.44,11.97,0.72,5.98,3.55,35.18,64.2,163.27,2024-10-16 20:15:00,2.65
,,1.47,4.68,11.98,0.72,6.15,3.76,35.16,64.22,170.66,2024-10-16 20:30:00,2.78
,,1.65,4.45,12.28,0.72,6.1,4.74,35.2,64.23,162.38,2024-10-16 20:45:00,2.68
,,1.61,4.53,12.2,0.72,6.14,4.39,35.17,64.2,171.11,2024-10-16 21:00:00,3.07
,,1.77,4.83,12.27,0.73,6.61,4.04,35.16,64.22,181.02,2024-10-16 21:15:00,2.97
,,1.8,5.01,12.26,0.73,6.81,3.38,35.2,64.22,181.11,2024-10-16 21:30:00,3.34
,,1.9,5.11,11.78,0.72,7.01,3.62,35.16,64.2,180.83,2024-10-16 21:45:00,3.78
,,1.94,5.01,11.9,0.72,6.95,5.09,35.13,64.12,180.54,2024-10-16 22:00:00,3.68
0.02,,1.76,4.8,12.1,0.73,6.55,4.51,34.66,63.91,179.34,2024-10-16 22:15:00,3.37
0.59,,1.51,4.36,11.96,0.73,5.87,3.45,34.47,63.86,156.74,2024-10-16 22:30:00,2.96
2.62,,1.43,3.98,12.15,0.74,5.4,1.76,34.5,63.85,172.57,2024-10-16 22:45:00,3.4
5.5,,1.36,4.03,12.44,0.74,5.39,1.56,34.41,63.83,162.1,2024-10-16 23:00:00,2.46
,,1.5,3.81,12.32,0.75,5.3,1.48,34.43,63.84,160.38,2024-10-16 23:15:00,2.13
,,1.49,5.17,12.14,0.74,6.66,0.12,34.42,63.83,165.79,2024-10-16 23:30:00,3.2
,,1.39,4.54,11.97,0.74,5.93,1.57,34.37,63.8,155.25,2024-10-16 23:45:00,2.55
,,1.43,3.94,12.55,0.74,5.37,2.1,34.37,63.79,172.86,2024-10-17 00:00:00,1.98
,,1.27,3.81,12.34,0.73,5.08,2.36,34.38,63.8,178.78,2024-10-17 00:15:00,1.82
12.54,14.55,1.42,3.62,12.07,0.73,5.04,2.36,34.39,63.8,158.35,2024-10-17 00:30:00,1.7
12.49,18.37,1.41,3.29,12.44,0.73,4.7,2.11,34.39,63.8,172.66,2024-10-17 00:45:00,1.7
12.48,20.39,1.41,3.14,12.31,0.73,4.55,2.83,34.4,63.8,178.69,2024-10-17 01:00:00,1.43
12.19,22.25,1.44,3.26,12.44,0.73,4.7,2.81,34.38,63.8,165.78,2024-10-17 01:15:00,1.42
11.86,24.32,1.42,3.37,12.26,0.72,4.79,3.16,34.38,63.8,172.26,2024-10-17 01:30:00,1.3
11.35,25.27,1.34,3.32,12.13,0.72,4.66,2.94,34.38,63.79,178.61,2024-10-17 01:45:00,1.28
10.82,25.5,1.4,3.54,12.04,0.72,4.94,2.61,34.39,63.8,172.54,2024-10-17 02:00:00,1.28
10.2,25.74,1.52,3.79,12.08,0.72,5.31,2.11,34.39,63.79,171.83,2024-10-17 02:15:00,1.81
10.17,25.05,1.5,3.86,12.12,0.72,5.36,1.96,34.4,63.8,171.77,2024-10-17 02:30:00,1.68
10.25,25.27,1.45,3.6,11.78,0.71,5.05,1.96,34.41,63.81,172.23,2024-10-17 02:45:00,1.54
9.81,24.3,1.51,3.32,11.85,0.71,4.83,2.6,34.42,63.81,171.81,2024-10-17 03:00:00,1.31
9.28,23.08,1.67,4.68,11.9,0.71,6.35,0.52,34.42,63.82,162.75,2024-10-17 03:15:00,2.7
9.32,21.77,1.79,5.62,12.06,0.71,7.41,0.27,34.42,63.82,125.97,2024-10-17 03:30:00,3.4
9.11,20.3,1.62,5.16,12.13,0.71,6.77,0.64,34.43,63.82,155.11,2024-10-17 03:45:00,2.92
8.88,19.96,1.67,4.76,12.06,0.71,6.43,1.47,34.42,63.81,160.81,2024-10-17 04:00:00,2.55
8.6,18.91,1.76,5.1,11.69,0.71,6.86,0.82,34.42,63.81,158.13,2024-10-17 04:15:00,2.9
8.37,17.87,1.59,3.81,11.84,0.71,5.4,2.31,34.42,63.81,165.4,2024-10-17 04:30:00,1.73
8.48,15.88,1.55,3.5,11.67,0.71,5.05,2.32,34.43,63.83,172.19,2024-10-17 04:45:00,1.49
8.5,15.19,1.58,3.38,11.98,0.71,4.97,2.62,34.44,63.82,178.6,2024-10-17 05:00:00,1.23
8.48,14.32,1.59,3.86,12.02,0.71,5.45,2.13,34.45,63.83,154.48,2024-10-17 05:15:00,1.83
8.71,13.7,1.72,5.29,11.93,0.71,7.01,0.46,34.45,63.83,146.4,2024-10-17 05:30:00,2.77
8.9,13.81,1.82,4.83,12.35,0.71,6.64,0.57,34.45,63.83,136.79,2024-10-17 05:45:00,2.59
9.17,13.8,1.89,5.12,11.66,0.71,7.01,0.31,34.45,63.84,85.29,2024-10-17 06:00:00,3.14
9.12,13.83,1.95,5.29,12.46,0.7,7.23,0.1,34.45,63.84,104.2,2024-10-17 06:15:00,3.19
8.93,12.86,2.02,5.88,12.24,0.69,7.89,0.02,34.42,63.84,128.61,2024-10-17 06:30:00,3.96
8.67,11.57,1.94,6.47,12.0,0.69,8.4,0.07,34.38,63.82,142.71,2024-10-17 06:45:00,4.34
8.64,10.02,2.11,7.25,11.74,0.68,9.36,0.05,34.27,63.8,148.02,2024-10-17 07:00:00,5.44
8.76,8.98,2.11,6.77,12.13,0.68,8.88,0.66,34.12,63.8,160.61,2024-10-17 07:15:00,5.07
,,1.73,5.59,11.79,0.68,7.32,1.71,33.95,63.8,153.04,2024-10-17 07:30:00,3.81
,,1.51,5.07,11.83,0.68,6.58,2.77,33.85,63.8,172.75,2024-10-17 07:45:00,3.13
,,1.53,4.74,12.01,0.68,6.27,3.42,33.73,63.8,153.7,2024-10-17 08:00:00,3.03
,,1.49,4.8,12.33,0.68,6.29,3.81,33.66,63.83,153.06,2024-10-17 08:15:00,3.07
,,1.38,4.52,12.0,0.67,5.9,3.74,33.58,63.85,126.98,2024-10-17 08:30:00,3.07
,,1.39,4.21,11.96,0.66,5.6,5.88,33.35,63.81,149.74,2024-10-17 08:45:00,2.93
,,2.0,5.31,12.06,0.65,7.3,5.63,33.27,63.8,124.03,2024-10-17 09:00:00,4.07
,,2.33,4.21,11.73,0.65,6.54,7.69,33.22,63.79,159.23,2024-10-17 09:15:00,3.08
,,2.52,4.99,11.97,0.64,7.51,9.29,33.09,63.8,129.7,2024-10-17 09:30:00,3.64
,,2.51,4.03,11.52,0.65,6.53,12.09,32.98,63.79,143.47,2024-10-17 09:45:00,2.71
,,2.36,3.75,11.89,0.64,6.11,13.28,32.88,63.79,175.15,2024-10-17 10:00:00,2.3
,,1.87,3.43,11.71,0.66,5.3,15.04,32.8,63.77,171.29,2024-10-17 10:15:00,1.83
27.34,,1.51,3.34,12.02,0.68,4.85,15.96,33.06,63.84,150.47,2024-10-17 10:30:00,1.12
25.82,,1.8,4.18,11.66,0.72,5.98,17.59,33.64,64.0,148.52,2024-10-17 10:45:00,1.41
,,2.12,4.2,11.84,0.75,6.32,21.37,33.7,64.22,103.63,2024-10-17 11:00:00,1.03
,,2.27,4.11,12.17,0.76,6.38,22.31,34.07,64.29,123.36,2024-10-17 11:15:00,1.02
17.32,40.48,2.28,4.11,12.39,0.76,6.39,25.75,33.93,64.26,160.45,2024-10-17 11:30:00,0.86
13.4,58.24,2.5,3.72,12.25,0.77,6.23,23.16,34.08,64.22,131.99,2024-10-17 11:45:00,0.69
14.01,38.18,2.48,4.05,12.48,0.76,6.54,21.49,33.86,64.22,174.02,2024-10-17 12:00:00,0.68
10.86,18.25,1.78,4.33,12.62,0.71,6.12,18.46,33.69,64.0,147.05,2024-10-17 12:15:00,1.64
,,1.46,4.03,12.12,0.69,5.49,20.36,34.17,63.82,169.43,2024-10-17 12:30:00,1.65
,,1.51,5.87,11.78,0.69,7.37,15.1,34.03,63.84,145.32,2024-10-17 12:45:00,3.32
14.16,,1.58,4.76,12.21,0.69,6.34,13.23,34.18,63.87,153.6,2024-10-17 13:00:00,2.2
,,1.69,4.0,12.0,0.7,5.69,10.35,34.12,63.91,179.02,2024-10-17 13:15:00,1.4
,,1.7,4.02,12.23,0.71,5.72,9.99,34.09,63.91,178.82,2024-10-17 13:30:00,1.28
16.43,,1.78,4.3,12.38,0.7,6.08,9.76,33.91,63.88,127.31,2024-10-17 13:45:00,1.82
14.77,,1.57,4.67,11.97,0.68,6.25,10.82,34.17,63.89,165.32,2024-10-17 14:00:00,2.28
13.84,,1.32,4.69,12.1,0.64,6.01,10.26,34.25,63.91,164.48,2024-10-17 14:15:00,2.48
17.3,,1.6,5.49,11.92,0.61,7.09,7.47,34.09,63.91,111.04,2024-10-17 14:30:00,4.01
31.26,,2.49,9.31,12.01,0.6,11.81,4.29,34.15,63.88,96.17,2024-10-17 14:45:00,7.63
45.41,,2.41,5.67,11.88,0.59,8.08,9.08,34.08,63.87,148.0,2024-10-17 15:00:00,4.28
38.61,,2.56,4.3,12.01,0.58,6.85,11.39,33.89,63.89,165.26,2024-10-17 15:15:00,3.0
34.77,,2.42,4.12,12.23,0.56,6.54,11.88,34.05,63.92,171.75,2024-10-17 15:30:00,2.61
37.23,,1.95,3.97,11.92,0.58,5.93,14.75,34.06,63.77,172.6,2024-10-17 15:45:00,2.31
,,1.44,4.18,11.69,0.62,5.61,15.0,34.05,63.72,178.24,2024-10-17 16:00:00,2.28
,,1.4,4.12,11.96,0.64,5.52,12.91,34.18,63.75,178.3,2024-10-17 16:15:00,2.22
40.12,48.84,1.5,4.63,11.57,0.66,6.13,11.43,34.11,63.78,178.53,2024-10-17 16:30:00,2.28
37.88,,1.5,4.19,12.11,0.67,5.69,10.72,34.16,63.82,172.0,2024-10-17 16:45:00,2.12
,,1.28,5.64,11.95,0.66,6.93,9.2,34.18,63.74,166.13,2024-10-17 17:00:00,1.31
,,1.19,6.16,11.9,0.65,7.35,8.19,34.21,63.72,156.51,2024-10-17 17:15:00,1.72
,,1.55,8.37,11.87,0.65,9.91,4.61,34.22,63.72,115.18,2024-10-17 17:30:00,3.94
,,2.01,9.05,12.02,0.66,11.06,2.95,34.29,63.76,82.4,2024-10-17 17:45:00,4.78
20.95,32.3,2.02,8.71,12.17,0.67,10.73,2.77,34.36,63.79,66.25,2024-10-17 18:00:00,4.16
18.42,53.22,2.18,9.07,11.84,0.68,11.26,3.28,34.41,63.82,46.12,2024-10-17 18:15:00,4.26
15.75,80.52,2.04,8.59,12.07,0.67,10.64,2.39,34.4,63.81,56.61,2024-10-17 18:30:00,3.78
13.48,104.93,2.35,10.48,11.88,0.67,12.82,0.28,34.37,63.8,41.4,2024-10-17 18:45:00,5.96
11.49,121.66,1.99,9.5,12.05,0.66,11.49,0.5,34.35,63.79,60.13,2024-10-17 19:00:00,5.09
10.34,127.98,2.05,9.38,12.0,0.65,11.43,0.59,34.38,63.81,127.88,2024-10-17 19:15:00,5.3
10.18,128.2,1.26,6.75,11.77,0.64,8.01,1.81,34.41,63.83,171.9,2024-10-17 19:30:00,2.36
9.7,121.55,1.22,6.65,12.01,0.64,7.87,1.94,34.42,63.81,173.62,2024-10-17 19:45:00,2.57
9.66,105.25,1.16,6.52,11.8,0.63,7.68,1.63,34.38,63.79,172.13,2024-10-17 20:00:00,2.59
10.25,82.41,1.52,8.67,11.89,0.63,10.19,0.01,34.32,63.76,151.91,2024-10-17 20:15:00,4.77
10.64,57.33,1.51,7.59,11.61,0.63,9.11,0.21,34.27,63.73,178.29,2024-10-17 20:30:00,3.91
11.29,36.13,1.22,6.13,11.62,0.62,7.35,1.44,34.25,63.72,171.4,2024-10-17 20:45:00,2.46
11.46,19.46,1.32,6.23,11.79,0.62,7.55,1.3,34.25,63.72,159.52,2024-10-17 21:00:00,2.38
,,1.85,7.81,12.06,0.62,9.66,0.11,34.22,63.72,139.59,2024-10-17 21:15:00,4.31
,,1.98,7.51,11.89,0.62,9.49,0.02,34.22,63.72,172.6,2024-10-17 21:30:00,3.85
11.95,,1.81,6.84,11.97,0.64,8.65,0.27,34.3,63.76,171.73,2024-10-17 21:45:00,2.94
,,1.63,6.2,11.79,0.66,7.82,0.58,34.26,63.73,175.42,2024-10-17 22:00:00,2.04
11.61,18.96,1.6,5.75,11.77,0.68,7.35,0.91,34.31,63.75,172.53,2024-10-17 22:15:00,1.33
10.21,42.83,1.71,6.33,12.21,0.7,8.03,0.73,34.4,63.8,178.69,2024-10-17 22:30:00,1.66
8.19,71.83,2.04,7.7,12.22,0.7,9.74,0.01,34.38,63.78,178.56,2024-10-17 22:45:00,3.15
6.65,102.64,1.85,7.48,12.2,0.7,9.33,0.02,34.35,63.77,165.9,2024-10-17 23:00:00,2.97
5.63,123.96,1.55,8.37,12.0,0.7,9.92,,34.34,63.77,159.93,2024-10-17 23:15:00,3.4
5.56,128.02,1.58,7.96,11.99,0.69,9.54,,34.34,63.78,171.96,2024-10-17 23:30:00,3.54
6.33,119.9,1.37,7.79,12.19,0.69,9.16,0.01,34.41,63.82,135.96,2024-10-17 23:45:00,3.25
7.9,110.6,1.22,7.28,11.92,0.68,8.49,0.2,34.45,63.84,109.1,2024-10-18 00:00:00,2.98
9.04,100.5,1.15,6.75,11.97,0.68,7.9,0.29,34.44,63.83,136.57,2024-10-18 00:15:00,2.46
9.87,91.21,1.17,6.79,11.92,0.67,7.96,0.06,34.33,63.77,122.01,2024-10-18 00:30:00,2.86
10.39,80.9,1.24,6.63,11.94,0.67,7.87,0.05,34.27,63.76,103.58,2024-10-18 00:45:00,2.69
10.65,69.47,1.35,6.7,12.11,0.66,8.05,0.02,34.25,63.76,117.66,2024-10-18 01:00:00,2.71
11.13,55.45,1.78,6.52,11.88,0.65,8.3,0.03,34.25,63.75,172.03,2024-10-18 01:15:00,2.74
11.25,37.95,2.08,7.87,12.06,0.66,9.95,,34.24,63.74,139.57,2024-10-18 01:30:00,3.9
10.77,22.35,2.46,8.08,12.03,0.66,10.53,,34.24,63.74,160.77,2024-10-18 01:45:00,4.08
10.4,10.97,2.51,7.68,12.27,0.65,10.19,,34.23,63.75,94.31,2024-10-18 02:00:00,3.7
,,2.48,7.77,11.77,0.65,10.25,,34.24,63.75,142.9,2024-10-18 02:15:00,3.61
,,2.59,7.63,11.96,0.65,10.22,,34.23,63.76,122.4,2024-10-18 02:30:00,3.61
,,2.93,7.81,11.92,0.65,10.74,,34.23,63.74,159.43,2024-10-18 02:45:00,4.05
,,2.91,8.52,11.96,0.66,11.44,,34.23,63.73,158.34,2024-10-18 03:00:00,4.63
13.23,13.75,2.97,8.54,11.68,0.65,11.51,,34.23,63.74,162.93,2024-10-18 03:15:00,4.38
13.65,20.04,3.11,8.35,11.68,0.65,11.46,,34.23,63.74,141.21,2024-10-18 03:30:00,4.56
13.81,26.41,2.87,7.67,11.63,0.65,10.55,,34.23,63.74,136.56,2024-10-18 03:45:00,3.63
13.96,33.87,2.84,7.47,11.71,0.66,10.3,,34.24,63.74,159.81,2024-10-18 04:00:00,3.51
14.13,39.19,2.99,7.6,11.98,0.65,10.59,,34.23,63.74,119.84,2024-10-18 04:15:00,3.67
