pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3
,,,,47.64,,,,,,1.27,,,2022-08-08 11:00:00,
,,1.61,9.82,45.65,0.47,6.52,5.19,33.93,,1.58,232.89,997.77,2022-08-08 11:15:00,13.94
,40.0,2.49,8.41,43.36,0.46,6.49,5.67,34.09,,1.74,238.59,997.59,2022-08-08 11:30:00,13.36
,40.0,3.61,8.38,43.33,0.47,7.38,5.39,34.13,,1.75,246.76,997.3,2022-08-08 11:45:00,14.58
,40.0,2.57,9.4,47.05,0.5,7.07,5.66,34.67,,2.42,240.54,997.02,2022-08-08 12:00:00,15.42
5.0,37.1,2.08,8.9,48.87,0.49,6.43,5.51,34.48,,2.64,229.51,996.89,2022-08-08 12:15:00,15.22
,45.0,15.38,16.43,60.89,0.46,21.24,6.24,36.39,,2.41,193.09,995.23,2022-08-10 16:00:00,27.4
,,9.47,16.48,57.65,0.49,16.45,5.15,35.93,,2.14,231.39,995.26,2022-08-10 16:15:00,22.15
,,3.02,14.05,53.19,0.49,9.92,5.48,35.85,,2.1,223.82,995.16,2022-08-10 16:30:00,16.42
6.0,33.0,4.18,13.55,48.52,0.47,10.61,5.98,34.67,,2.33,228.74,,2022-08-12 10:45:00,16.6
3.29,33.0,4.84,15.57,46.91,0.46,12.24,5.3,34.93,,2.15,230.83,,2022-08-12 11:00:00,16.29
2.0,31.76,3.8,13.9,47.59,0.47,10.48,4.72,35.28,,1.68,228.08,,2022-08-12 11:15:00,16.35
2.0,29.0,2.08,12.06,48.15,0.48,8.12,4.92,35.54,,1.55,254.58,,2022-08-12 11:30:00,15.6
2.0,29.0,2.6,10.73,49.36,0.51,7.81,5.04,35.07,,2.4,244.56,,2022-08-12 11:45:00,15.71
,29.0,2.22,9.91,51.24,0.49,7.07,5.41,35.48,,2.73,237.13,,2022-08-12 12:00:00,16.24
,29.64,2.42,11.68,49.64,0.48,8.2,4.89,35.17,,2.27,240.26,,2022-08-12 12:15:00,14.5
,31.0,2.23,10.78,48.65,0.49,7.54,4.8,35.3,,2.61,236.11,,2022-08-12 12:30:00,14.5
,31.0,2.13,10.1,48.21,0.49,7.11,5.15,35.38,,2.16,222.85,,2022-08-12 12:45:00,14.35
,31.0,3.44,13.14,49.04,0.5,9.79,5.33,35.91,,1.77,239.51,999.84,2022-08-12 13:00:00,14.7
,33.8,4.68,17.63,49.02,0.5,13.16,4.89,36.3,,2.12,227.56,999.5,2022-08-12 13:15:00,13.7
,40.0,3.35,19.18,48.34,0.5,12.93,4.78,36.05,,2.52,233.11,999.31,2022-08-12 13:30:00,11.98
,40.0,4.09,13.5,48.19,0.5,10.52,5.18,35.96,,2.44,237.2,999.0,2022-08-12 13:45:00,15.23
0.36,40.0,3.36,13.77,50.44,0.51,10.04,5.21,36.18,,2.08,212.82,998.95,2022-08-12 14:00:00,15.76
1.0,37.51,3.22,13.77,49.69,0.5,9.94,4.88,35.85,,2.24,225.28,998.84,2022-08-12 14:15:00,15.8
1.0,32.0,2.97,11.25,49.52,0.47,8.4,5.07,35.91,,2.27,221.64,998.51,2022-08-12 14:30:00,16.21
1.0,32.0,2.04,9.07,48.41,0.48,6.5,4.74,36.52,,2.27,214.06,998.37,2022-08-12 14:45:00,16.39
1.67,32.0,2.09,10.07,48.46,0.5,7.05,5.5,36.76,,1.85,235.31,998.24,2022-08-12 15:00:00,15.59
2.0,34.18,3.0,9.5,48.59,0.49,7.49,5.49,36.44,,2.04,233.3,998.2,2022-08-12 15:15:00,15.28
