pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3
2.0,39.0,2.49,9.15,47.9,0.49,6.9,4.87,36.51,,2.41,228.23,998.13,2022-08-12 15:30:00,15.88
2.0,39.0,3.39,12.35,48.86,0.49,9.34,5.08,36.51,,2.42,226.43,998.2,2022-08-12 15:45:00,13.57
2.0,39.0,5.98,15.1,52.48,0.5,12.84,5.34,36.12,,2.4,228.66,998.3,2022-08-12 16:00:00,13.68
2.0,40.87,2.39,13.4,53.77,0.49,9.08,5.68,36.28,,2.06,220.62,998.25,2022-08-12 16:15:00,14.94
2.0,45.0,2.63,13.67,53.19,0.5,9.4,5.19,35.83,,2.23,236.63,998.29,2022-08-12 16:30:00,14.92
2.0,45.0,1.94,13.02,54.5,0.5,8.5,5.52,35.5,,2.36,230.23,998.28,2022-08-12 16:45:00,15.57
3.33,45.0,3.09,14.99,54.54,0.5,10.49,5.12,35.45,,2.1,224.3,998.36,2022-08-12 17:00:00,16.47
4.0,44.1,3.79,15.51,59.79,0.51,11.35,5.58,35.22,,2.01,223.89,998.47,2022-08-12 17:15:00,16.32
4.0,42.0,2.59,16.02,63.79,0.51,10.62,5.49,35.19,,1.56,211.08,998.75,2022-08-12 17:30:00,15.71
4.0,42.0,2.34,15.84,57.61,0.52,10.34,4.91,35.12,,1.53,197.38,998.91,2022-08-12 17:45:00,15.2
3.32,42.0,2.61,20.51,56.37,0.53,13.04,4.72,34.84,,1.11,223.43,999.19,2022-08-12 18:00:00,11.02
3.0,42.93,3.04,18.88,51.3,0.54,12.48,5.05,34.62,,1.27,202.95,999.31,2022-08-12 18:15:00,14.64
3.0,45.0,3.06,19.58,48.23,0.55,12.9,4.72,34.33,,1.65,200.34,999.48,2022-08-12 18:30:00,17.38
3.0,45.0,3.84,20.26,47.45,0.57,13.9,4.69,34.13,,1.57,203.39,999.61,2022-08-12 18:45:00,16.75
7.67,45.0,3.0,21.94,47.33,0.59,14.1,4.49,33.94,,1.57,196.37,999.73,2022-08-12 19:00:00,17.38
10.0,52.16,3.15,22.97,47.65,0.6,14.78,4.76,33.8,,0.93,196.41,999.9,2022-08-12 19:15:00,16.67
10.0,68.0,3.95,27.27,46.57,0.62,17.73,5.23,33.69,,0.58,207.07,999.98,2022-08-12 19:30:00,16.79
10.0,68.0,4.03,27.55,46.39,0.61,17.92,5.43,33.63,,0.53,182.08,,2022-08-12 19:45:00,16.75
19.49,68.0,5.22,31.26,46.5,0.62,20.88,5.67,33.7,,0.59,219.04,,2022-08-12 20:00:00,17.47
24.0,71.11,6.91,34.73,47.31,0.63,24.07,5.44,33.75,,0.58,184.87,,2022-08-12 20:15:00,17.84
24.0,78.0,9.09,37.18,46.76,0.64,27.18,5.69,33.69,,0.59,162.47,,2022-08-12 20:30:00,16.93
24.0,78.0,7.7,31.86,46.42,0.62,23.22,5.89,33.19,,1.32,159.91,,2022-08-12 20:45:00,17.13
23.32,78.0,5.19,20.85,46.3,0.59,15.31,5.51,32.32,,1.42,168.81,,2022-08-12 21:00:00,18.95
23.0,74.27,4.48,14.72,46.65,0.57,11.47,5.52,31.68,,1.04,151.25,,2022-08-12 21:15:00,19.55
23.0,66.0,3.54,12.22,46.26,0.53,9.38,5.11,31.4,,1.17,162.92,,2022-08-12 21:30:00,18.64
23.0,66.0,1.99,10.87,46.04,0.53,7.4,5.61,31.31,,1.18,168.14,,2022-08-12 21:45:00,17.86
13.51,66.0,1.79,12.71,46.14,0.52,8.24,5.14,31.16,,1.2,177.56,,2022-08-12 22:00:00,17.63
9.0,62.4,2.05,12.2,46.85,0.52,8.17,5.23,31.0,,0.72,169.46,,2022-08-12 22:15:00,19.28
9.0,54.0,1.45,9.45,46.01,0.49,6.21,4.89,30.79,,0.87,166.07,,2022-08-12 22:30:00,19.06
9.0,54.0,0.96,8.48,45.65,0.5,5.29,4.87,30.57,,0.82,158.37,,2022-08-12 22:45:00,18.22
9.0,54.0,1.11,8.98,45.83,0.49,5.69,5.18,30.37,,1.03,161.11,,2022-08-12 23:00:00,16.86
9.0,48.6,1.36,10.25,46.14,0.49,6.55,5.28,30.28,,0.87,177.7,,2022-08-12 23:15:00,15.99
9.0,36.0,1.56,8.56,45.11,0.48,5.83,5.4,30.21,,0.93,170.29,,2022-08-12 23:30:00,15.46
9.0,36.0,1.53,7.02,44.93,0.49,4.97,5.63,30.08,,1.04,164.97,,2022-08-12 23:45:00,16.59
5.67,36.0,1.25,6.35,45.13,0.48,4.38,5.48,30.05,,0.85,159.25,,2022-08-13 00:00:00,16.65
4.0,32.58,1.64,6.25,45.86,0.48,4.65,5.7,30.13,,0.79,163.35,,2022-08-13 00:15:00,15.68
4.0,25.0,1.93,10.25,45.22,0.48,7.02,5.44,30.2,,0.36,197.53,,2022-08-13 00:30:00,14.72
4.0,25.0,4.38,17.25,45.17,0.5,12.75,5.7,30.19,,0.65,245.42,,2022-08-13 00:45:00,16.48
3.32,25.0,6.18,22.73,45.59,0.49,17.12,5.92,30.09,,0.86,245.63,,2022-08-13 01:00:00,17.85
3.0,26.87,4.12,17.56,46.68,0.48,12.69,5.59,30.06,,0.72,219.72,,2022-08-13 01:15:00,17.68
3.0,31.0,3.2,14.64,46.46,0.45,10.39,5.92,30.07,,0.85,254.97,,2022-08-13 01:30:00,16.79
3.0,31.0,2.95,13.4,46.61,0.47,9.53,5.42,30.0,,0.93,252.58,,2022-08-13 01:45:00,16.64
4.36,31.0,3.35,12.52,47.25,0.48,9.38,6.16,30.02,,0.82,232.19,,2022-08-13 02:00:00,15.81
5.0,30.69,3.93,12.21,47.23,0.48,9.68,5.75,29.9,,0.94,237.16,,2022-08-13 02:15:00,16.61
5.0,30.0,3.86,10.8,46.95,0.48,8.87,5.84,29.92,,1.09,246.59,,2022-08-13 02:30:00,17.57
5.0,30.0,2.91,10.31,46.45,0.49,7.85,5.57,29.81,,0.97,247.18,,2022-08-13 02:45:00,16.72
6.36,30.0,3.46,10.88,47.46,0.5,8.59,5.75,29.59,,0.92,259.66,,2022-08-13 03:00:00,17.4
7.0,34.5,4.52,12.18,,0.49,10.17,6.01,29.38,,0.82,258.04,,2022-08-13 03:15:00,18.88
7.0,45.0,7.49,15.24,51.87,0.49,14.18,6.39,29.42,,0.96,258.93,,2022-08-13 03:30:00,18.04
7.0,45.0,9.32,17.91,50.77,0.5,17.09,6.0,29.67,,1.22,263.74,,2022-08-13 03:45:00,17.53
7.0,45.0,8.59,17.95,50.11,0.51,16.54,5.74,29.84,,0.89,256.28,,2022-08-13 04:00:00,16.95
7.0,46.24,8.45,16.48,49.84,0.51,15.65,5.77,29.87,,0.85,252.72,,2022-08-13 04:15:00,17.22
7.0,49.0,10.49,15.3,48.26,0.49,16.66,6.03,29.87,,0.83,246.64,,2022-08-13 04:30:00,17.49
7.0,49.0,12.97,17.62,47.59,0.51,19.93,6.14,29.8,,0.92,251.06,,2022-08-13 04:45:00,16.74
7.0,49.0,15.19,18.37,47.26,0.51,22.12,6.13,29.74,,0.69,236.78,,2022-08-13 05:00:00,15.85
7.0,45.27,24.4,12.71,47.52,0.5,26.59,5.84,29.66,,0.69,233.53,,2022-08-13 05:15:00,19.38
7.0,37.0,23.52,20.36,46.72,0.5,29.93,6.02,29.5,,0.69,241.7,,2022-08-13 05:30:00,15.75
7.0,37.0,30.31,23.01,46.49,0.54,36.9,5.81,29.41,,0.52,232.96,,2022-08-13 05:45:00,16.73
13.1,37.0,29.5,21.35,47.14,0.53,35.33,5.94,29.35,,0.83,242.48,,2022-08-13 06:00:00,17.11
16.0,38.87,20.66,18.75,47.37,0.51,26.76,5.96,29.3,,0.92,248.83,,2022-08-13 06:15:00,16.61
16.0,43.0,19.41,18.12,46.69,0.49,25.42,5.99,29.36,,0.93,255.47,,2022-08-13 06:30:00,17.36
16.0,43.0,18.02,16.33,46.78,0.51,23.34,5.86,29.52,,1.06,250.72,,2022-08-13 06:45:00,18.08
9.8,43.0,16.94,17.22,47.01,0.52,22.93,5.62,29.73,,1.15,254.09,,2022-08-13 07:00:00,17.53
7.0,44.56,13.1,16.32,47.24,0.5,19.32,5.49,30.06,,1.61,262.41,,2022-08-13 07:15:00,18.17
7.0,48.0,9.77,14.38,46.57,0.48,15.6,5.52,30.42,,1.61,260.3,,2022-08-13 07:30:00,19.88
7.0,48.0,12.32,21.23,46.18,0.5,21.3,5.64,31.11,,1.48,248.95,,2022-08-13 07:45:00,13.41
5.67,48.0,12.5,10.3,46.22,0.5,15.63,4.81,31.5,,2.0,249.37,,2022-08-13 08:00:00,24.64
5.0,46.77,9.65,15.64,46.77,0.51,16.18,4.73,31.96,,1.93,231.0,,2022-08-13 08:15:00,18.58
5.0,44.0,12.13,18.98,46.36,0.53,19.95,5.55,31.73,,2.06,231.54,,2022-08-13 08:30:00,17.27
5.0,44.0,10.72,18.76,45.9,0.53,18.69,5.4,31.98,,2.14,231.43,,2022-08-13 08:45:00,18.3
6.36,44.0,9.08,14.95,46.0,0.52,15.33,5.24,32.49,,2.24,228.49,,2022-08-13 09:00:00,19.14
7.0,46.49,7.33,16.66,47.15,0.52,14.84,4.85,33.05,,2.12,235.25,,2022-08-13 09:15:00,17.65
7.0,52.0,10.78,19.03,45.57,0.5,18.9,4.99,33.55,,2.16,244.17,,2022-08-13 09:30:00,16.98
7.0,52.0,7.97,17.81,45.94,0.51,15.93,4.79,33.65,,2.08,254.73,,2022-08-13 09:45:00,18.14
6.32,52.0,4.83,15.78,46.11,0.52,12.31,5.27,33.94,,2.18,253.87,,2022-08-13 10:00:00,18.46
6.0,50.76,5.32,15.45,46.98,0.53,12.55,4.96,34.49,,1.99,238.87,,2022-08-13 10:15:00,19.26
6.0,48.0,5.68,17.1,46.36,0.51,13.71,4.68,35.04,,2.01,231.73,,2022-08-13 10:30:00,19.31
6.0,48.0,5.18,16.34,46.1,0.49,12.91,5.13,34.58,,2.41,243.34,,2022-08-13 10:45:00,18.26
,,,,,,,5.12,,,,,,2022-08-13 11:00:00,
10.0,48.0,4.5,16.96,47.18,0.5,12.69,4.66,35.26,,2.37,235.74,,2022-08-13 11:15:00,16.68
10.0,48.0,4.41,15.87,46.47,0.5,12.01,4.63,35.7,,1.91,254.85,,2022-08-13 11:30:00,16.76
10.0,48.0,6.17,19.15,46.01,0.51,15.22,5.06,35.83,,2.18,251.25,,2022-08-13 11:45:00,16.59
7.29,48.0,4.86,19.72,46.7,0.51,14.45,4.94,35.97,,2.35,247.68,,2022-08-13 12:00:00,16.46
6.0,50.18,4.98,17.67,46.13,0.51,13.46,4.39,36.0,,2.42,243.72,999.87,2022-08-13 12:15:00,16.84
6.0,55.0,3.99,16.67,46.64,0.5,12.11,4.77,36.39,,2.47,224.32,999.59,2022-08-13 12:30:00,15.94
6.0,55.0,3.79,17.04,,0.49,12.14,4.49,36.11,,2.23,235.13,999.46,2022-08-13 12:45:00,15.79
7.33,55.0,4.51,19.71,47.96,0.52,14.14,5.63,36.71,,2.31,233.54,999.33,2022-08-13 13:00:00,16.58
8.0,51.1,3.92,18.41,48.01,0.52,13.01,5.56,36.76,,2.08,233.05,999.03,2022-08-13 13:15:00,16.22
8.0,42.0,5.39,20.33,47.5,0.52,15.2,5.83,37.28,,2.11,242.76,998.96,2022-08-13 13:30:00,18.91
8.0,42.0,4.01,17.49,47.12,0.51,12.55,4.44,37.04,,2.53,231.53,998.78,2022-08-13 13:45:00,18.72
10.03,42.0,1.69,14.23,48.36,0.51,8.93,3.07,36.85,,2.46,237.37,998.69,2022-08-13 14:00:00,17.89
11.0,41.69,1.16,13.62,47.86,0.51,8.19,4.75,37.21,,2.17,227.18,998.58,2022-08-13 14:15:00,16.88
11.0,41.0,2.39,15.14,48.1,0.52,10.01,3.59,37.54,,2.05,224.33,998.53,2022-08-13 14:30:00,18.07
11.0,41.0,3.35,23.1,47.1,0.51,15.0,4.83,37.02,,2.28,229.28,998.48,2022-08-13 14:45:00,15.13
11.0,41.0,2.95,15.95,48.36,0.51,10.89,,36.8,,1.9,228.76,998.47,2022-08-13 15:00:00,20.5
11.0,42.8,2.47,16.25,48.92,0.51,10.65,18.59,37.19,,1.76,238.97,998.47,2022-08-13 15:15:00,16.48
11.0,47.0,2.81,14.99,48.15,0.51,10.26,21.72,37.21,,1.99,232.18,998.46,2022-08-13 15:30:00,17.89
11.0,47.0,3.33,20.81,46.89,0.52,13.78,5.01,36.64,,1.75,234.87,998.34,2022-08-13 15:45:00,18.01
11.0,47.0,3.24,23.17,47.25,0.53,14.94,4.99,36.41,,1.74,219.38,998.24,2022-08-13 16:00:00,17.18
11.0,51.67,9.45,34.99,45.89,0.55,26.3,4.97,36.45,,1.49,203.34,998.28,2022-08-13 16:15:00,17.29
11.0,62.0,10.87,42.05,46.25,0.59,31.19,4.8,36.34,,1.46,206.69,998.32,2022-08-13 16:30:00,19.1
11.0,62.0,12.3,48.76,46.4,0.6,35.93,4.59,36.25,,1.16,215.91,998.3,2022-08-13 16:45:00,18.26
11.68,62.0,18.64,54.47,46.81,0.61,44.09,4.57,36.15,,0.76,208.13,998.43,2022-08-13 17:00:00,16.57
12.0,65.11,15.64,64.15,47.2,0.67,46.84,4.95,36.28,,0.47,183.82,998.52,2022-08-13 17:15:00,9.16
12.0,72.0,26.76,81.71,46.95,0.73,65.21,5.36,36.13,,0.79,200.47,998.53,2022-08-13 17:30:00,17.5
12.0,72.0,46.35,94.35,47.27,0.81,87.88,4.91,35.94,,1.3,188.28,998.68,2022-08-13 17:45:00,10.36
14.67,72.0,88.57,88.77,47.34,0.87,119.32,5.45,35.6,,1.29,187.73,998.85,2022-08-13 18:00:00,19.36
16.0,80.4,67.11,32.31,48.65,0.81,71.66,5.09,34.75,,1.94,166.37,998.96,2022-08-13 18:15:00,26.09
16.0,100.0,29.57,5.34,47.41,0.65,26.88,5.82,33.23,,1.72,169.71,999.05,2022-08-13 18:30:00,19.18
16.0,100.0,11.81,23.52,46.55,0.61,22.13,5.31,32.71,,1.47,143.95,999.21,2022-08-13 18:45:00,19.58
10.58,100.0,7.04,19.96,46.71,0.57,16.33,5.48,32.16,,1.79,150.49,999.39,2022-08-13 19:00:00,19.72
8.0,82.58,5.76,21.89,46.52,0.57,16.33,5.58,31.91,,0.78,119.63,999.56,2022-08-13 19:15:00,25.47
8.0,44.0,6.32,23.76,45.86,0.55,17.78,5.35,31.7,,1.02,140.88,999.65,2022-08-13 19:30:00,22.37
8.0,44.0,2.75,15.65,45.66,0.51,10.55,5.6,31.46,,1.23,152.21,999.77,2022-08-13 19:45:00,20.24
20.0,44.0,1.62,11.16,46.43,0.53,7.25,5.25,31.39,,1.26,175.48,,2022-08-13 20:00:00,19.01
14.45,,3.1,13.37,44.87,0.48,9.61,6.13,32.02,,2.05,182.2,,2022-08-16 09:00:00,15.31
14.0,,3.0,13.87,45.44,0.49,9.81,5.77,32.82,,2.08,177.8,,2022-08-16 09:15:00,14.78
14.0,,3.57,13.59,47.04,0.49,10.12,5.68,33.7,,1.71,183.88,,2022-08-16 09:30:00,15.45
14.0,,3.56,13.26,46.97,0.51,9.96,4.4,33.81,,1.73,206.39,,2022-08-16 09:45:00,15.1
20.1,,2.55,14.85,48.11,0.51,9.96,4.3,33.74,,1.72,181.78,,2022-08-16 10:00:00,16.19
23.0,,2.35,14.81,46.83,0.49,9.78,6.29,34.39,,2.08,173.76,,2022-08-16 10:15:00,14.77
23.0,49.0,2.51,13.84,48.47,0.49,9.4,7.13,34.73,,2.1,183.33,,2022-08-16 10:30:00,13.21
23.0,49.0,2.69,13.06,50.29,0.51,9.13,6.87,34.76,,1.62,183.4,,2022-08-16 10:45:00,13.86
17.58,49.0,2.6,13.52,52.63,0.5,9.31,6.07,35.11,,1.52,179.71,,2022-08-16 11:00:00,14.55
15.0,49.62,2.16,14.06,49.73,0.48,9.24,8.52,35.48,,1.72,176.41,,2022-08-16 11:15:00,13.55
15.0,51.0,2.44,13.56,49.09,0.49,9.2,4.28,35.14,,1.45,196.4,,2022-08-16 11:30:00,14.2
15.0,51.0,2.33,13.86,46.87,0.47,9.26,7.4,35.3,,1.7,196.3,,2022-08-16 11:45:00,12.52
16.33,51.0,2.35,13.01,47.65,0.43,8.82,5.7,35.99,,1.67,187.53,,2022-08-16 12:00:00,13.54
17.0,54.11,1.55,12.48,47.72,0.4,7.9,7.38,36.46,,1.91,172.8,,2022-08-16 12:15:00,12.7
17.0,61.0,0.99,11.13,46.95,0.44,6.72,5.87,35.57,,2.48,168.35,,2022-08-16 12:30:00,11.36
17.0,61.0,1.57,10.57,48.11,0.4,6.92,5.54,36.31,,2.27,176.01,,2022-08-16 12:45:00,13.4
17.68,61.0,2.2,10.38,48.2,0.4,7.31,6.2,36.1,,2.09,165.65,,2022-08-16 13:00:00,13.34
18.0,59.76,3.39,12.27,48.4,0.4,9.29,6.07,36.9,,1.93,170.66,,2022-08-16 13:15:00,13.02
18.0,57.0,3.46,13.68,48.2,0.41,10.1,6.0,36.68,,2.25,176.74,,2022-08-16 13:30:00,13.49
18.0,57.0,3.07,13.1,47.05,0.38,9.47,6.18,35.39,,3.23,149.06,,2022-08-16 13:45:00,14.0
16.62,57.0,3.77,12.37,47.39,0.46,9.67,6.02,35.1,,3.29,161.15,,2022-08-16 14:00:00,14.49
16.0,57.62,3.09,11.38,46.48,0.45,8.56,6.05,35.21,,3.04,160.15,,2022-08-16 14:15:00,14.67
16.0,59.0,2.04,8.05,46.26,0.44,5.93,5.59,35.18,,3.18,162.53,,2022-08-16 14:30:00,14.61
16.0,59.0,1.94,6.26,45.48,0.44,4.9,5.82,34.96,,3.07,155.94,,2022-08-16 14:45:00,14.85
8.54,59.0,1.83,6.39,45.64,0.43,4.88,5.68,34.79,,2.46,153.29,,2022-08-16 15:00:00,15.8
5.0,53.4,1.41,6.02,45.75,0.44,4.36,5.3,34.46,,2.73,143.76,,2022-08-16 15:15:00,15.78
5.0,41.0,2.0,6.64,45.8,0.43,5.17,5.58,34.22,,2.86,161.94,,2022-08-16 15:30:00,16.52
5.0,41.0,1.9,6.84,45.38,0.43,5.18,5.43,33.52,,2.72,160.54,,2022-08-16 15:45:00,14.56
9.07,41.0,1.12,6.46,44.17,0.44,4.35,5.61,33.0,,2.42,159.0,,2022-08-16 16:00:00,14.32
11.0,45.98,2.63,9.64,45.36,0.47,7.28,5.6,32.61,,1.59,141.52,,2022-08-16 16:15:00,13.92
11.0,57.0,4.96,13.32,45.12,0.49,11.11,5.66,32.55,,1.83,169.08,,2022-08-16 16:30:00,14.23
11.0,57.0,3.33,11.54,44.97,0.42,8.84,5.4,32.26,,2.27,161.02,,2022-08-16 16:45:00,15.03
11.68,57.0,1.41,6.87,44.6,0.36,4.79,5.07,31.93,,1.93,144.32,,2022-08-16 17:00:00,14.21
12.0,54.9,1.23,6.64,45.22,0.37,4.53,5.02,31.79,,1.64,134.08,,2022-08-16 17:15:00,13.81
12.0,50.0,1.3,5.55,44.68,0.4,4.01,5.79,31.56,,1.89,141.78,,2022-08-16 17:30:00,13.83
12.0,50.0,2.17,6.0,44.57,0.4,4.95,5.2,31.37,,1.98,146.68,,2022-08-16 17:45:00,12.67
8.61,50.0,1.92,6.03,44.74,0.4,4.75,5.62,31.12,,2.17,155.69,,2022-08-16 18:00:00,13.15
7.0,43.7,1.6,5.02,44.83,0.4,3.97,5.41,30.83,,1.98,146.82,,2022-08-16 18:15:00,14.12
7.0,29.0,0.99,4.49,44.5,0.39,3.21,5.41,30.59,,1.82,139.94,,2022-08-16 18:30:00,12.4
7.0,29.0,1.14,3.93,44.33,0.4,3.01,5.39,30.39,,1.83,146.46,,2022-08-16 18:45:00,13.58
4.29,29.0,1.7,3.62,44.5,0.4,3.31,5.28,30.26,,1.98,145.39,,2022-08-16 19:00:00,14.82
3.0,26.82,1.32,6.0,44.91,0.4,4.27,5.68,30.12,,1.55,151.07,,2022-08-16 19:15:00,11.63
3.0,22.0,0.95,6.1,44.96,0.4,4.02,5.59,30.12,,1.38,147.53,,2022-08-16 19:30:00,10.94
3.0,22.0,1.89,4.78,44.88,0.4,4.08,5.26,30.0,,1.48,149.62,,2022-08-16 19:45:00,12.82
1.64,22.0,1.95,5.71,44.7,0.41,4.64,5.45,29.85,,1.5,142.83,,2022-08-16 20:00:00,11.92
1.0,23.2,1.94,6.18,45.1,0.41,4.85,5.51,29.76,,1.59,144.93,,2022-08-16 20:15:00,11.04
1.0,26.0,1.86,4.48,44.95,0.41,3.9,5.72,29.68,,1.52,141.43,,2022-08-16 20:30:00,13.2
1.0,26.0,1.68,3.9,44.74,0.41,3.43,5.76,29.7,,1.27,150.24,,2022-08-16 20:45:00,13.77
2.36,26.0,1.5,4.39,44.52,0.41,3.54,5.72,29.74,,1.08,151.35,,2022-08-16 21:00:00,12.77
3.0,25.1,1.12,4.63,44.93,0.41,3.37,5.66,29.76,,1.17,149.58,,2022-08-16 21:15:00,13.25
3.0,23.0,1.02,4.38,44.95,0.41,3.12,6.01,29.72,,1.18,151.57,,2022-08-16 21:30:00,12.85
3.0,23.0,0.61,5.39,,,3.37,5.74,,,,,,2022-08-16 21:45:00,11.25
3.68,23.0,1.17,4.85,44.66,0.42,3.52,5.39,29.8,,1.01,152.24,,2022-08-16 22:00:00,11.9
4.0,25.26,1.47,5.08,44.03,0.41,3.93,5.91,29.74,,1.06,155.35,,2022-08-16 22:15:00,12.48
4.0,30.0,1.19,5.02,44.84,0.42,3.64,5.72,29.6,,1.3,150.98,,2022-08-16 22:30:00,12.25
4.0,30.0,1.78,5.23,45.21,0.42,4.24,5.92,29.56,,0.95,155.17,,2022-08-16 22:45:00,12.34
3.32,30.0,2.59,5.1,45.15,0.42,4.82,5.75,29.57,,0.86,159.9,,2022-08-16 23:00:00,12.44
3.0,27.0,2.33,5.26,45.07,0.42,4.7,5.76,29.59,,0.95,160.35,,2022-08-16 23:15:00,12.67
3.0,20.0,2.39,5.82,44.88,0.42,5.04,5.29,29.52,,1.11,154.8,,2022-08-16 23:30:00,12.55
3.0,20.0,1.77,6.82,44.85,0.43,5.07,5.65,29.46,,0.96,149.48,,2022-08-16 23:45:00,13.36
4.36,20.0,2.04,7.13,44.98,0.43,5.46,5.73,29.42,,0.81,162.96,,2022-08-17 00:00:00,14.46
5.0,24.5,2.06,6.47,45.04,0.42,5.12,5.82,29.37,,1.07,155.13,,2022-08-17 00:15:00,13.19
5.0,35.0,1.56,5.61,45.0,0.42,4.26,5.76,29.3,,0.88,145.61,,2022-08-17 00:30:00,13.79
5.0,35.0,1.85,5.86,,,4.62,5.5,,,,,,2022-08-17 00:45:00,14.19
3.64,35.0,1.7,5.95,44.58,0.41,4.54,5.6,29.18,,0.98,139.9,,2022-08-17 01:00:00,14.37
3.0,32.2,1.95,5.62,45.32,0.42,4.58,5.63,29.05,,0.84,124.95,,2022-08-17 01:15:00,14.61
3.0,26.0,2.86,7.13,45.12,0.42,6.13,6.03,28.9,,0.9,130.19,,2022-08-17 01:30:00,14.86
3.0,26.0,2.18,6.15,45.14,0.42,5.05,5.69,28.93,,0.65,146.2,,2022-08-17 01:45:00,14.75
4.33,26.0,1.37,6.31,44.66,0.42,4.46,5.78,29.09,,0.57,153.83,,2022-08-17 02:00:00,14.01
5.0,26.0,1.36,7.3,44.89,0.42,4.99,5.52,29.21,,0.6,184.06,,2022-08-17 02:15:00,13.74
5.0,26.0,1.62,9.05,44.89,0.42,6.12,5.52,29.27,,0.9,147.06,,2022-08-17 02:30:00,14.56
5.0,26.0,1.96,8.27,45.26,0.42,6.0,5.61,29.4,,0.68,145.18,,2022-08-17 02:45:00,15.72
5.68,26.0,1.93,7.9,45.15,0.42,5.77,5.47,29.44,,0.96,151.62,,2022-08-17 03:00:00,14.66
6.0,,1.94,6.72,,,5.15,5.65,,,,,,2022-08-17 03:15:00,14.9
6.0,32.0,2.47,7.51,45.36,0.42,5.99,6.09,29.19,,0.59,136.52,,2022-08-17 03:30:00,15.76
6.0,32.0,3.45,10.0,45.38,0.43,8.12,6.1,29.06,,0.73,120.86,,2022-08-17 03:45:00,14.9
6.67,32.0,5.75,13.23,45.26,0.43,11.72,5.98,28.77,,0.73,132.88,,2022-08-17 04:00:00,17.59
