pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,,,1.4,170.28,,2024-08-09 17:00:00,,,,
27.0,44.29,4.47,8.26,8.38,0.59,8.02,6.17,33.9,91.3,1.44,221.15,1001.38,2024-08-09 17:15:00,4.08,,,
27.0,41.0,5.06,8.2,8.8,0.59,8.47,6.09,33.61,91.46,1.5,247.69,1001.42,2024-08-09 17:30:00,3.78,,,
27.0,41.0,5.49,8.88,9.01,0.59,9.18,6.13,33.42,91.22,1.42,244.3,1001.47,2024-08-09 17:45:00,3.9,,,
23.5,41.0,6.58,10.86,9.41,0.59,11.14,6.37,33.19,91.14,1.73,211.13,1001.64,2024-08-09 18:00:00,4.51,,,
18.0,32.33,6.84,10.05,10.49,0.59,10.89,5.69,32.85,91.04,1.56,237.95,1001.91,2024-08-09 18:15:00,5.2,,,
18.0,26.0,6.98,9.87,11.35,0.6,10.91,6.14,32.53,90.97,1.02,237.94,1002.18,2024-08-09 18:30:00,5.62,,,
18.0,26.0,9.08,11.64,11.81,0.6,13.57,6.09,32.33,90.95,1.27,252.14,1002.34,2024-08-09 18:45:00,6.6,,,
17.22,26.0,10.3,13.13,11.75,0.61,15.35,6.25,32.13,90.94,1.2,257.13,1002.47,2024-08-09 19:00:00,7.23,,,
16.0,26.0,13.52,14.39,12.29,0.62,18.65,6.25,31.91,90.91,1.16,236.1,1002.7,2024-08-09 19:15:00,9.0,,,
16.0,26.0,17.32,14.46,12.62,0.62,21.77,6.22,31.75,90.9,1.35,233.05,1002.87,2024-08-09 19:30:00,10.6,,,
16.0,26.0,14.04,11.01,13.31,0.59,17.27,6.22,31.47,90.78,1.82,256.02,1003.01,2024-08-09 19:45:00,8.67,,,
16.0,26.0,10.47,7.98,13.48,0.59,12.76,6.58,31.23,90.59,1.29,255.19,1003.14,2024-08-09 20:00:00,6.33,,,
16.0,25.42,10.41,8.35,13.71,0.59,12.9,6.72,31.3,90.38,1.54,256.83,1003.3,2024-08-09 20:15:00,6.2,,,
16.0,25.0,9.91,6.65,13.55,0.59,11.61,6.52,31.13,90.14,1.76,268.6,1003.4,2024-08-09 20:30:00,6.07,,,
16.0,25.0,9.22,6.01,14.11,0.59,10.7,6.72,31.0,90.14,1.38,260.8,1003.63,2024-08-09 20:45:00,5.69,,,
13.28,25.0,10.54,7.72,15.31,0.59,12.67,6.27,30.99,90.14,1.12,253.48,1003.78,2024-08-09 21:00:00,6.17,,,
9.0,18.64,10.39,6.49,16.2,0.59,11.9,6.31,30.81,90.22,1.59,257.18,1004.0,2024-08-09 21:15:00,5.93,,,
9.0,14.0,9.89,5.94,17.13,0.59,11.19,6.82,30.66,90.16,1.84,250.85,1004.12,2024-08-09 21:30:00,5.48,,,
9.0,14.0,9.83,6.42,17.16,0.59,11.41,6.26,30.52,90.16,1.8,256.43,1004.22,2024-08-09 21:45:00,5.58,,,
9.0,14.0,9.75,5.23,17.2,0.58,10.71,6.27,30.35,90.18,1.83,261.3,1004.35,2024-08-09 22:00:00,5.55,,,
9.0,11.69,8.88,5.35,16.88,0.58,10.07,6.11,30.16,90.17,1.82,254.4,1004.36,2024-08-09 22:15:00,4.84,,,
9.0,10.0,8.64,5.47,16.34,0.58,9.92,6.51,30.05,89.79,1.51,255.44,1004.3,2024-08-09 22:30:00,4.77,,,
