pm2.5,pm10,no,no2,so2,co,nox,at,rh,ws,wd,bp,timestamp,nh3
51.14,109.0,5.68,4.03,4.4,,4.64,24.74,81.65,1.47,91.13,1005.19,2023-12-21 03:45:00,11.7
49.63,105.78,5.68,3.99,4.44,,4.6,24.79,81.47,1.21,138.27,1005.21,2023-12-21 04:00:00,11.7
48.84,104.0,5.66,3.99,4.43,,4.6,24.82,81.28,1.29,68.45,1005.26,2023-12-21 04:15:00,11.71
48.84,104.0,5.66,3.92,4.33,,4.56,24.83,81.18,1.25,106.92,1005.27,2023-12-21 04:30:00,11.71
48.84,104.0,5.72,4.08,4.32,,4.7,24.83,81.06,1.1,68.82,1005.3,2023-12-21 04:45:00,11.69
50.62,107.87,5.59,4.13,4.48,,4.65,24.88,80.73,1.38,86.88,1005.35,2023-12-21 05:00:00,11.7
51.6,110.0,5.71,3.98,4.51,,4.64,24.93,80.39,1.01,101.74,1005.6,2023-12-21 05:15:00,11.7
51.6,110.0,5.66,4.1,4.29,,4.67,24.93,80.42,1.03,67.01,1005.79,2023-12-21 05:30:00,11.7
51.6,110.0,5.64,4.03,4.5,,4.6,24.97,80.35,0.83,104.32,1005.9,2023-12-21 05:45:00,11.71
51.6,110.0,5.57,4.12,4.57,,4.67,25.02,80.13,0.77,122.84,1006.04,2023-12-21 06:00:00,11.7
51.6,110.0,5.71,3.96,4.55,,4.6,25.04,79.99,1.26,52.54,1006.21,2023-12-21 06:15:00,11.7
51.6,110.0,5.66,4.06,4.37,,4.63,25.08,80.03,1.32,52.34,1006.45,2023-12-21 06:30:00,11.7
51.6,110.0,5.8,3.96,4.45,,4.69,25.08,80.01,1.6,65.51,1006.71,2023-12-21 06:45:00,11.69
51.3,109.34,5.69,4.06,4.34,,4.69,25.01,80.32,2.03,65.69,1006.92,2023-12-21 07:00:00,11.7
51.14,109.0,5.66,4.05,4.33,,4.61,24.84,81.22,1.34,60.7,1007.05,2023-12-21 07:15:00,11.7
51.14,109.0,5.66,4.12,4.3,,4.7,24.62,82.22,1.32,48.07,1007.3,2023-12-21 07:30:00,11.69
51.14,109.0,5.65,4.1,4.61,,4.66,24.08,85.4,0.68,111.93,1007.51,2023-12-21 07:45:00,11.7
54.76,116.73,5.76,3.97,4.53,,4.66,24.27,85.56,1.07,91.6,1007.82,2023-12-21 08:00:00,11.69
