pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
18.5,40.0,,,,,,,,,,,,2024-10-08 16:00:00,,,,
18.5,40.0,15.94,13.12,10.2,0.25,19.17,5.51,30.72,58.61,2.34,270.14,970.59,2024-10-08 16:15:00,8.06,0.62,6.03,3.05
20.1,43.2,15.95,12.44,10.2,0.25,19.53,5.51,30.57,58.67,2.19,285.37,970.66,2024-10-08 16:30:00,8.14,0.62,6.03,3.05
23.0,49.0,16.13,12.49,10.2,0.26,19.81,5.51,30.4,59.08,2.09,276.83,970.77,2024-10-08 16:45:00,8.18,0.63,6.04,3.06
12.73,28.47,17.74,12.74,13.02,0.54,22.37,6.14,30.17,59.96,2.08,255.64,970.96,2024-10-08 17:00:00,8.22,0.62,6.03,3.05
12.0,27.0,17.89,12.66,13.82,0.54,22.65,6.27,30.19,60.14,1.55,272.05,971.13,2024-10-08 17:15:00,8.25,0.63,6.04,3.06
13.42,29.84,17.92,12.26,13.81,0.56,22.9,5.94,29.9,60.87,2.34,286.77,971.27,2024-10-08 17:30:00,8.27,0.63,6.04,3.06
16.0,35.0,17.82,12.21,13.05,0.55,22.76,6.05,29.72,61.48,2.15,304.69,971.45,2024-10-08 17:45:00,8.32,0.62,6.03,3.05
16.0,35.0,17.94,12.62,13.01,0.57,22.76,6.18,29.73,61.34,1.4,246.42,971.52,2024-10-08 18:00:00,8.28,0.62,6.03,3.05
16.0,35.0,18.03,13.19,13.1,0.57,22.62,6.15,29.62,61.51,1.64,271.9,971.59,2024-10-08 18:15:00,8.23,0.62,6.03,3.05
14.72,30.92,17.95,12.97,12.78,0.55,22.59,5.98,29.62,61.6,1.78,264.27,971.54,2024-10-08 18:30:00,8.24,0.63,6.03,3.05
11.45,21.0,17.6,12.54,12.81,0.57,22.23,5.91,29.34,62.49,2.11,275.51,971.7,2024-10-08 18:45:00,8.31,0.62,6.03,3.05
11.45,21.0,17.62,13.02,12.54,0.57,22.01,6.55,28.85,63.87,1.92,286.01,972.12,2024-10-08 19:00:00,8.23,0.62,6.03,3.05
11.45,21.0,17.38,12.68,11.93,0.56,21.78,6.64,28.86,63.77,1.75,284.3,972.24,2024-10-08 19:15:00,8.27,0.63,6.04,3.06
11.02,20.03,17.32,12.79,11.92,0.56,21.64,5.47,29.03,63.29,1.22,267.8,972.33,2024-10-08 19:30:00,8.27,0.63,6.03,3.05
10.1,18.0,17.4,13.02,12.17,0.55,21.65,5.96,29.57,62.0,1.74,250.44,971.96,2024-10-08 19:45:00,8.13,0.62,6.03,3.05
10.1,18.0,17.59,13.17,12.33,0.54,21.9,5.95,28.63,63.29,1.82,227.43,973.13,2024-10-08 20:00:00,8.23,0.63,6.04,3.06
10.1,18.0,17.39,13.17,12.87,0.54,21.57,5.88,28.64,63.27,1.43,270.18,973.49,2024-10-08 20:15:00,8.19,0.63,6.03,3.05
11.3,20.67,17.12,12.55,12.51,0.54,21.43,5.8,28.61,63.37,1.22,245.34,973.63,2024-10-08 20:30:00,8.13,0.62,6.03,3.05
13.7,26.0,17.3,12.62,13.04,0.54,21.7,6.48,28.45,63.67,1.49,221.78,973.73,2024-10-08 20:45:00,8.19,0.62,6.03,3.05
13.7,26.0,17.08,12.55,12.78,0.54,21.35,5.81,28.82,62.83,1.64,210.87,973.11,2024-10-08 21:00:00,8.26,0.62,6.03,3.05
13.7,26.0,17.12,12.69,12.95,0.53,21.35,5.41,28.95,62.65,2.08,244.7,972.79,2024-10-08 21:15:00,8.16,0.62,6.03,3.05
12.69,23.74,17.14,12.32,10.97,0.57,21.57,6.25,28.05,64.59,2.61,206.03,974.01,2024-10-08 21:30:00,8.22,0.62,6.03,3.05
10.55,19.0,17.34,12.68,10.83,0.55,21.71,6.06,27.97,65.17,2.23,210.84,974.06,2024-10-08 21:45:00,8.24,0.62,6.03,3.05
10.55,19.0,17.27,12.87,10.94,0.55,21.5,6.23,27.9,65.69,2.02,214.48,974.05,2024-10-08 22:00:00,8.23,0.62,6.03,3.05
10.55,19.0,17.06,12.7,11.74,0.55,21.25,5.9,27.82,66.24,1.12,243.52,974.22,2024-10-08 22:15:00,8.24,0.62,6.03,3.05
10.4,18.67,17.0,12.62,13.11,0.56,21.18,6.2,27.75,66.75,1.11,237.65,974.28,2024-10-08 22:30:00,8.09,0.62,6.03,3.05
10.1,18.0,17.03,12.75,13.44,0.55,21.18,6.63,27.66,67.24,1.1,255.27,974.25,2024-10-08 22:45:00,8.22,0.63,6.03,3.05
10.1,18.0,17.63,12.64,13.55,0.55,22.22,6.09,29.34,62.68,1.56,250.99,972.16,2024-10-08 23:00:00,8.28,0.63,6.03,3.05
10.1,18.0,17.48,12.88,13.95,0.55,21.86,6.39,27.55,67.92,1.01,249.3,974.02,2024-10-08 23:15:00,8.19,0.62,6.03,3.05
14.45,28.0,17.4,13.05,13.41,0.55,21.63,6.4,27.57,67.91,1.08,239.4,974.05,2024-10-08 23:30:00,8.12,0.62,6.03,3.05
23.6,48.0,17.45,13.12,13.45,0.56,21.69,6.63,27.55,67.89,1.07,227.59,973.89,2024-10-08 23:45:00,8.22,0.63,6.03,3.05
15.68,30.4,17.3,12.96,13.89,0.56,21.52,6.04,27.5,68.05,1.18,247.92,973.91,2024-10-09 00:00:00,8.19,0.62,6.03,3.05
8.75,15.0,17.26,12.51,13.68,0.53,21.67,5.92,27.45,68.36,1.28,287.72,973.99,2024-10-09 00:15:00,8.15,0.63,6.03,3.05
9.59,17.0,17.12,12.68,14.18,0.56,21.36,5.84,27.32,69.06,0.66,251.28,973.87,2024-10-09 00:30:00,8.12,0.62,6.03,3.05
