pm2.5,pm10,no,no2,so2,nox,timestamp
13.0,111.38,6.5,6.81,11.79,7.96,2023-03-30 06:15:00
13.0,111.38,6.96,6.64,7.91,8.21,2023-03-30 06:30:00
13.0,111.38,8.67,6.09,14.23,9.19,2023-03-30 06:45:00
14.0,111.38,8.4,6.25,11.09,9.08,2023-03-30 07:00:00
14.0,111.38,6.71,7.45,12.6,8.42,2023-03-30 07:15:00
14.0,111.38,6.64,6.55,5.02,7.93,2023-03-30 07:30:00
14.0,111.38,8.17,6.57,3.76,9.06,2023-03-30 07:45:00
15.0,111.38,7.97,6.75,9.01,9.0,2023-03-30 08:00:00
15.0,111.38,7.47,6.39,4.69,8.47,2023-03-30 08:15:00
15.0,111.38,6.09,6.95,5.55,7.73,2023-03-30 08:30:00
15.0,111.38,7.2,6.35,7.19,8.25,2023-03-30 08:45:00
15.0,111.38,7.18,6.57,11.84,8.34,2023-03-30 09:00:00
15.0,111.38,6.21,6.58,7.14,7.64,2023-03-30 09:15:00
15.0,111.38,6.07,6.05,10.38,7.28,2023-03-30 09:30:00
15.0,111.38,6.1,6.88,12.3,7.92,2023-03-30 09:45:00
10.0,111.38,5.74,6.92,12.03,7.69,2023-03-30 10:00:00
10.0,111.38,7.3,6.39,11.12,8.34,2023-03-30 10:15:00
10.0,111.38,7.46,6.4,11.54,8.46,2023-03-30 10:30:00
10.0,111.38,7.23,7.21,3.58,8.68,2023-03-30 10:45:00
13.0,111.38,8.22,6.5,5.09,9.06,2023-03-30 11:00:00
13.0,111.38,6.74,7.07,8.39,8.25,2023-03-30 11:15:00
13.0,111.38,7.52,6.02,6.48,8.32,2023-03-30 11:30:00
13.0,111.38,7.12,5.92,8.95,7.99,2023-03-30 11:45:00
14.0,111.38,5.21,6.33,10.46,6.8,2023-03-30 12:00:00
14.0,111.38,5.64,6.47,9.71,7.18,2023-03-30 12:15:00
14.0,111.38,6.45,6.28,9.64,7.67,2023-03-30 12:30:00
14.0,111.38,6.37,6.78,13.53,7.85,2023-03-30 12:45:00
14.0,111.38,6.98,6.81,12.37,8.31,2023-03-30 13:00:00
14.0,111.38,5.34,6.58,11.7,7.01,2023-03-30 13:15:00
14.0,111.38,6.75,6.55,11.87,8.02,2023-03-30 13:30:00
14.0,111.38,5.9,6.43,7.42,7.34,2023-03-30 13:45:00
10.0,111.38,6.82,7.08,7.09,8.32,2023-03-30 14:00:00
10.0,111.38,7.05,6.03,11.89,7.99,2023-03-30 14:15:00
10.0,111.38,6.79,6.35,8.31,7.95,2023-03-30 14:30:00
10.0,111.38,6.83,7.26,7.83,8.41,2023-03-30 14:45:00
11.0,111.38,7.37,6.74,11.66,8.56,2023-03-30 15:00:00
11.0,111.38,8.32,6.51,11.8,9.14,2023-03-30 15:15:00
11.0,111.38,7.85,6.41,10.79,8.75,2023-03-30 15:30:00
11.0,111.38,9.14,7.32,10.88,10.12,2023-03-30 15:45:00
11.0,111.38,8.63,7.27,6.55,9.73,2023-03-30 16:00:00
11.0,111.38,8.87,6.4,12.19,9.48,2023-03-30 16:15:00
11.0,111.38,7.78,5.86,6.95,8.44,2023-03-30 16:30:00
11.0,111.38,7.61,7.11,9.27,8.53,2023-03-30 16:45:00
15.0,111.38,9.3,6.51,10.81,9.85,2023-03-30 17:00:00
15.0,111.38,9.47,6.84,11.19,10.13,2023-03-30 17:15:00
15.0,111.38,7.12,7.0,10.87,8.5,2023-03-30 17:30:00
15.0,111.38,7.95,6.91,13.7,9.06,2023-03-30 17:45:00
14.0,111.38,8.17,6.3,11.82,8.93,2023-03-30 18:00:00
14.0,111.38,9.02,6.57,7.39,9.68,2023-03-30 18:15:00
14.0,111.38,9.03,6.31,5.53,9.56,2023-03-30 18:30:00
14.0,111.38,8.0,6.73,8.8,9.01,2023-03-30 18:45:00
14.0,111.38,6.07,7.29,12.46,7.87,2023-03-30 19:00:00
14.0,111.38,7.3,6.37,9.7,8.33,2023-03-30 19:15:00
14.0,111.38,7.06,6.82,5.76,8.37,2023-03-30 19:30:00
14.0,111.38,8.74,5.69,11.53,9.06,2023-03-30 19:45:00
14.0,111.38,9.2,5.94,12.67,9.51,2023-03-30 20:00:00
14.0,111.38,7.45,6.65,5.63,8.57,2023-03-30 20:15:00
14.0,111.38,9.03,6.77,9.39,9.78,2023-03-30 20:30:00
14.0,111.38,8.29,6.7,7.55,9.21,2023-03-30 20:45:00
14.0,111.38,7.92,6.2,5.21,8.7,2023-03-30 21:00:00
14.0,111.38,8.68,6.51,7.32,9.4,2023-03-30 21:15:00
14.0,111.38,8.13,6.31,12.43,8.9,2023-03-30 21:30:00
14.0,111.38,7.76,6.17,8.15,8.57,2023-03-30 21:45:00
14.0,111.38,7.39,6.64,7.52,8.53,2023-03-30 22:00:00
14.0,111.38,5.59,7.01,13.59,7.39,2023-03-30 22:15:00
14.0,111.38,5.08,6.96,6.88,7.0,2023-03-30 22:30:00
14.0,111.38,3.94,6.57,11.38,5.98,2023-03-30 22:45:00
11.0,111.38,4.72,6.7,6.85,6.61,2023-03-30 23:00:00
11.0,111.38,5.04,6.25,6.17,6.63,2023-03-30 23:15:00
11.0,111.38,4.24,7.04,6.31,6.43,2023-03-30 23:30:00
11.0,111.38,4.53,6.25,6.62,6.26,2023-03-30 23:45:00
15.0,111.38,4.01,6.75,4.46,6.12,2023-03-31 00:00:00
15.0,111.38,4.08,6.29,11.14,5.95,2023-03-31 00:15:00
15.0,111.38,4.55,6.53,12.06,6.41,2023-03-31 00:30:00
15.0,111.38,5.43,5.85,9.13,6.73,2023-03-31 00:45:00
10.0,111.38,6.34,7.19,5.65,8.03,2023-03-31 01:00:00
10.0,111.38,6.79,6.49,10.56,8.02,2023-03-31 01:15:00
10.0,111.38,6.59,6.36,8.84,7.81,2023-03-31 01:30:00
10.0,111.38,5.47,6.9,5.83,7.25,2023-03-31 01:45:00
14.0,111.38,7.46,5.88,9.08,8.22,2023-03-31 02:00:00
14.0,111.38,8.77,6.22,9.01,9.33,2023-03-31 02:15:00
14.0,111.38,7.18,6.33,7.16,8.22,2023-03-31 02:30:00
14.0,111.38,6.91,6.37,9.08,8.05,2023-03-31 02:45:00
15.0,111.38,6.51,7.08,12.63,8.09,2023-03-31 03:00:00
15.0,111.38,4.71,6.33,8.74,6.43,2023-03-31 03:15:00
15.0,111.38,5.17,6.53,4.87,6.85,2023-03-31 03:30:00
15.0,111.38,5.89,6.2,8.43,7.23,2023-03-31 03:45:00
10.0,111.38,6.28,6.69,9.16,7.74,2023-03-31 04:00:00
10.0,111.38,5.33,6.6,5.29,7.01,2023-03-31 04:15:00
10.0,111.38,5.96,6.16,9.6,7.26,2023-03-31 04:30:00
10.0,111.38,4.97,6.87,9.15,6.87,2023-03-31 04:45:00
14.0,111.38,2.72,6.3,13.15,4.97,2023-03-31 05:00:00
14.0,111.38,2.2,6.43,5.68,4.65,2023-03-31 05:15:00
14.0,111.38,1.56,7.05,11.0,4.48,2023-03-31 05:30:00
14.0,111.38,2.15,6.32,7.84,4.57,2023-03-31 05:45:00
13.0,111.38,2.72,6.6,8.48,5.11,2023-03-31 06:00:00
13.0,111.38,3.53,7.15,12.19,5.97,2023-03-31 06:15:00
13.0,111.38,4.01,6.78,10.82,6.14,2023-03-31 06:30:00
13.0,111.38,3.5,6.6,11.2,5.68,2023-03-31 06:45:00
11.0,111.38,2.24,6.91,7.15,4.91,2023-03-31 07:00:00
11.0,111.38,1.62,6.54,5.69,4.28,2023-03-31 07:15:00
11.0,111.38,1.98,5.68,12.8,4.14,2023-03-31 07:30:00
11.0,111.38,2.61,7.22,6.36,5.33,2023-03-31 07:45:00
15.0,111.38,2.69,6.77,10.47,5.18,2023-03-31 08:00:00
15.0,111.38,2.36,6.53,12.69,4.82,2023-03-31 08:15:00
15.0,111.38,2.14,7.13,7.26,4.94,2023-03-31 08:30:00
15.0,111.38,4.18,7.08,3.78,6.4,2023-03-31 08:45:00
14.0,111.38,6.43,6.98,7.4,7.99,2023-03-31 09:00:00
14.0,111.38,6.29,6.83,13.45,7.82,2023-03-31 09:15:00
14.0,111.38,6.81,6.32,11.44,7.95,2023-03-31 09:30:00
14.0,111.38,8.16,6.96,5.83,9.24,2023-03-31 09:45:00
13.0,111.38,8.58,6.48,4.53,9.32,2023-03-31 10:00:00
13.0,111.38,7.58,6.78,8.78,8.73,2023-03-31 10:15:00
13.0,111.38,7.95,6.01,5.66,8.63,2023-03-31 10:30:00
13.0,111.38,8.37,7.11,5.39,9.46,2023-03-31 10:45:00
12.0,111.38,8.79,7.11,13.19,9.77,2023-03-31 11:00:00
12.0,111.38,8.71,6.15,8.49,9.25,2023-03-31 11:15:00
12.0,111.38,8.97,7.07,5.33,9.88,2023-03-31 11:30:00
12.0,111.38,7.52,6.53,6.86,8.56,2023-03-31 11:45:00
12.0,111.38,7.44,6.94,5.84,8.71,2023-03-31 12:00:00
12.0,111.38,7.45,6.63,4.59,8.56,2023-03-31 12:15:00
12.0,111.38,7.58,6.67,9.85,8.68,2023-03-31 12:30:00
12.0,111.38,8.64,6.46,10.33,9.35,2023-03-31 12:45:00
10.0,111.38,6.68,6.37,13.85,7.88,2023-03-31 13:00:00
10.0,111.38,5.64,6.94,13.59,7.39,2023-03-31 13:15:00
10.0,111.38,6.09,7.05,6.52,7.78,2023-03-31 13:30:00
10.0,111.38,5.23,6.91,4.66,7.08,2023-03-31 13:45:00
13.0,111.38,6.91,6.33,5.91,8.03,2023-03-31 14:00:00
13.0,111.38,7.12,6.03,8.79,8.04,2023-03-31 14:15:00
13.0,111.38,6.85,6.55,6.05,8.09,2023-03-31 14:30:00
13.0,111.38,6.9,6.17,7.73,7.94,2023-03-31 14:45:00
14.0,111.38,5.73,6.24,10.38,7.13,2023-03-31 15:00:00
14.0,111.38,6.96,6.51,10.39,8.15,2023-03-31 15:15:00
14.0,111.38,6.4,6.78,7.66,7.87,2023-03-31 15:30:00
14.0,111.38,7.56,6.72,7.26,8.69,2023-03-31 15:45:00
11.0,111.38,7.72,6.55,10.29,8.72,2023-03-31 16:00:00
11.0,111.38,6.76,5.76,8.18,7.65,2023-03-31 16:15:00
11.0,111.38,6.73,6.69,5.73,8.07,2023-03-31 16:30:00
11.0,111.38,7.41,6.19,8.47,8.32,2023-03-31 16:45:00
10.0,111.38,8.21,6.38,12.36,9.0,2023-03-31 17:00:00
10.0,111.38,7.85,6.75,9.87,8.92,2023-03-31 17:15:00
10.0,111.38,8.92,6.47,6.45,9.55,2023-03-31 17:30:00
10.0,111.38,7.45,6.77,4.31,8.63,2023-03-31 17:45:00
11.0,111.38,6.09,5.98,10.52,7.27,2023-03-31 18:00:00
11.0,111.38,6.74,6.92,11.43,8.18,2023-03-31 18:15:00
11.0,111.38,8.29,6.6,11.48,9.16,2023-03-31 18:30:00
11.0,111.38,7.78,6.75,9.5,8.86,2023-03-31 18:45:00
11.0,111.38,7.43,6.9,7.95,8.68,2023-03-31 19:00:00
11.0,111.38,8.53,6.73,5.96,9.39,2023-03-31 19:15:00
11.0,111.38,8.3,6.58,9.53,9.16,2023-03-31 19:30:00
11.0,111.38,7.11,6.46,10.25,8.23,2023-03-31 19:45:00
11.0,111.38,7.9,6.71,6.87,8.93,2023-03-31 20:00:00
11.0,111.38,7.79,7.33,4.38,9.14,2023-03-31 20:15:00
11.0,111.38,10.2,6.59,8.93,10.55,2023-03-31 20:30:00
11.0,111.38,8.39,7.05,12.43,9.44,2023-03-31 20:45:00
15.0,111.38,7.01,6.54,8.97,8.2,2023-03-31 21:00:00
15.0,111.38,5.99,7.15,10.62,7.75,2023-03-31 21:15:00
15.0,111.38,9.04,6.49,12.65,9.66,2023-03-31 21:30:00
15.0,111.38,11.33,6.31,8.04,11.23,2023-03-31 21:45:00
14.0,111.38,8.96,6.61,7.57,9.65,2023-03-31 22:00:00
14.0,111.38,6.75,6.8,9.18,8.13,2023-03-31 22:15:00
14.0,111.38,8.14,6.48,8.53,9.0,2023-03-31 22:30:00
14.0,111.38,7.27,5.92,7.89,8.09,2023-03-31 22:45:00
11.0,111.38,10.02,6.72,7.75,10.47,2023-03-31 23:00:00
11.0,111.38,10.53,6.83,8.26,10.9,2023-03-31 23:15:00
11.0,111.38,9.36,5.85,9.45,9.58,2023-03-31 23:30:00
11.0,111.38,7.96,7.13,8.02,9.17,2023-03-31 23:45:00
13.0,111.38,9.81,6.15,10.64,10.05,2023-04-01 00:00:00
13.0,111.38,9.34,6.22,5.92,9.75,2023-04-01 00:15:00
13.0,111.38,8.09,6.96,5.22,9.45,2023-04-01 00:30:00
13.0,111.38,9.76,6.47,8.63,10.17,2023-04-01 00:45:00
14.0,111.38,9.76,6.28,5.31,10.08,2023-04-01 01:00:00
14.0,111.38,8.24,6.47,9.22,9.06,2023-04-01 01:15:00
14.0,111.38,9.06,6.47,12.52,9.66,2023-04-01 01:30:00
14.0,111.38,8.02,6.39,6.13,8.86,2023-04-01 01:45:00
13.0,111.38,7.8,6.5,8.79,8.76,2023-04-01 02:00:00
13.0,111.38,7.64,6.33,8.28,8.56,2023-04-01 02:15:00
13.0,111.38,7.13,6.11,6.11,8.08,2023-04-01 02:30:00
13.0,111.38,7.49,6.97,8.73,8.75,2023-04-01 02:45:00
14.0,111.38,7.54,6.45,12.49,8.54,2023-04-01 03:00:00
14.0,111.38,8.09,7.09,6.13,9.25,2023-04-01 03:15:00
14.0,111.38,7.79,6.55,8.07,8.77,2023-04-01 03:30:00
14.0,111.38,8.53,6.0,10.49,9.05,2023-04-01 03:45:00
14.0,111.38,9.16,7.13,9.21,10.04,2023-04-01 04:00:00
14.0,111.38,10.52,6.57,7.97,10.76,2023-04-01 04:15:00
14.0,111.38,8.25,6.63,4.96,9.14,2023-04-01 04:30:00
14.0,111.38,6.7,6.95,5.42,8.17,2023-04-01 04:45:00
13.0,111.38,7.8,6.11,6.0,8.57,2023-04-01 05:00:00
13.0,111.38,7.36,6.05,6.09,8.22,2023-04-01 05:15:00
13.0,111.38,7.42,6.58,9.7,8.52,2023-04-01 05:30:00
13.0,111.38,7.91,6.14,8.36,8.66,2023-04-01 05:45:00
10.0,111.38,8.14,6.66,5.41,9.08,2023-04-01 06:00:00
10.0,111.38,8.11,7.16,10.83,9.29,2023-04-01 06:15:00
10.0,111.38,8.6,6.49,8.18,9.33,2023-04-01 06:30:00
10.0,111.38,7.49,6.48,3.98,8.52,2023-04-01 06:45:00
12.0,111.38,8.13,6.5,10.07,9.0,2023-04-01 07:00:00
12.0,111.38,7.34,6.71,9.94,8.52,2023-04-01 07:15:00
12.0,111.38,7.88,6.63,10.98,8.88,2023-04-01 07:30:00
12.0,111.38,8.13,6.43,12.65,8.96,2023-04-01 07:45:00
10.0,111.38,7.86,6.91,7.38,9.0,2023-04-01 08:00:00
10.0,111.38,7.83,6.59,6.4,8.82,2023-04-01 08:15:00
10.0,111.38,7.37,6.61,7.52,8.5,2023-04-01 08:30:00
10.0,111.38,8.12,6.3,5.13,8.9,2023-04-01 08:45:00
14.0,111.38,7.48,6.42,8.33,8.49,2023-04-01 09:00:00
14.0,111.38,6.55,6.86,9.7,8.02,2023-04-01 09:15:00
14.0,111.38,6.52,6.66,6.81,7.9,2023-04-01 09:30:00
14.0,111.38,6.46,6.68,8.53,7.87,2023-04-01 09:45:00
12.0,111.38,5.44,6.55,8.35,7.07,2023-04-01 10:00:00
12.0,111.38,4.8,6.73,9.09,6.69,2023-04-01 10:15:00
12.0,111.38,4.08,7.01,8.97,6.3,2023-04-01 10:30:00
12.0,111.38,3.66,6.7,10.97,5.84,2023-04-01 10:45:00
13.0,111.38,3.97,6.78,6.25,6.11,2023-04-01 11:00:00
13.0,111.38,4.4,5.96,7.28,6.03,2023-04-01 11:15:00
13.0,111.38,4.84,6.12,10.92,6.43,2023-04-01 11:30:00
13.0,111.38,4.92,6.68,10.95,6.74,2023-04-01 11:45:00
12.0,111.38,4.54,6.88,11.45,6.57,2023-04-01 12:00:00
12.0,90.5,4.09,6.46,9.86,6.04,2023-04-01 12:15:00
12.0,69.61,4.02,6.16,6.83,5.85,2023-04-01 12:30:00
12.0,69.61,4.74,6.78,7.24,6.66,2023-04-01 12:45:00
14.0,69.61,5.47,6.3,7.41,6.97,2023-04-01 13:00:00
14.0,69.61,6.83,6.63,8.68,8.11,2023-04-01 13:15:00
14.0,69.61,8.01,7.14,12.29,9.22,2023-04-01 13:30:00
14.0,69.61,8.01,6.48,8.8,8.9,2023-04-01 13:45:00
15.0,69.61,6.95,6.55,7.68,8.16,2023-04-01 14:00:00
15.0,69.61,6.74,6.67,7.65,8.07,2023-04-01 14:15:00
15.0,69.61,8.35,6.81,10.77,9.3,2023-04-01 14:30:00
15.0,69.61,9.52,6.09,10.46,9.81,2023-04-01 14:45:00
15.0,69.61,8.55,6.81,8.91,9.45,2023-04-01 15:00:00
15.0,69.61,7.16,6.22,9.13,8.16,2023-04-01 15:15:00
15.0,69.61,8.34,5.94,8.88,8.89,2023-04-01 15:30:00
15.0,69.61,7.24,6.78,11.63,8.48,2023-04-01 15:45:00
11.0,69.61,8.49,6.28,7.69,9.15,2023-04-01 16:00:00
11.0,69.61,7.09,6.23,5.37,8.11,2023-04-01 16:15:00
11.0,69.61,7.32,6.7,4.88,8.5,2023-04-01 16:30:00
11.0,69.61,8.42,6.04,9.79,8.98,2023-04-01 16:45:00
11.0,69.61,6.79,6.76,7.76,8.14,2023-04-01 17:00:00
11.0,69.61,7.25,6.41,6.57,8.31,2023-04-01 17:15:00
11.0,69.61,7.21,6.85,11.55,8.5,2023-04-01 17:30:00
11.0,69.61,7.05,6.69,8.7,8.3,2023-04-01 17:45:00
12.0,69.61,7.73,6.55,5.75,8.73,2023-04-01 18:00:00
12.0,69.61,6.39,6.48,9.79,7.72,2023-04-01 18:15:00
12.0,69.61,6.45,6.61,11.98,8.01,2023-04-01 18:30:00
12.0,69.61,7.18,6.27,11.06,7.79,2023-04-01 18:45:00
13.0,69.61,7.22,7.19,11.52,8.88,2023-04-01 19:00:00
13.0,69.61,7.41,6.98,13.08,9.0,2023-04-01 19:15:00
13.0,69.61,7.97,6.4,10.96,8.49,2023-04-01 19:30:00
13.0,69.61,7.49,6.12,12.98,8.68,2023-04-01 19:45:00
13.0,69.61,9.5,6.53,12.65,10.37,2023-04-01 20:00:00
13.0,69.61,8.67,6.72,6.76,9.49,2023-04-01 20:15:00
13.0,69.61,7.09,6.84,8.35,8.4,2023-04-01 20:30:00
13.0,69.61,8.01,6.99,10.44,9.14,2023-04-01 20:45:00
14.0,69.61,7.84,7.14,9.94,9.09,2023-04-01 21:00:00
14.0,69.61,6.35,6.31,5.8,7.62,2023-04-01 21:15:00
14.0,69.61,8.81,6.39,5.15,9.44,2023-04-01 21:30:00
14.0,69.61,8.76,6.9,6.55,9.65,2023-04-01 21:45:00
15.0,69.61,9.0,7.02,10.54,9.87,2023-04-01 22:00:00
15.0,69.61,9.89,6.55,8.84,10.3,2023-04-01 22:15:00
15.0,69.61,10.96,6.62,9.1,11.11,2023-04-01 22:30:00
15.0,69.61,8.86,7.25,10.55,9.89,2023-04-01 22:45:00
10.0,69.61,10.36,6.39,7.59,10.56,2023-04-01 23:00:00
10.0,69.61,8.35,6.45,6.67,9.13,2023-04-01 23:15:00
10.0,69.61,8.65,6.74,8.42,9.49,2023-04-01 23:30:00
10.0,69.61,9.15,6.39,10.38,9.69,2023-04-01 23:45:00
11.0,69.61,7.73,6.02,11.94,8.48,2023-04-02 00:00:00
11.0,69.61,9.09,6.4,8.39,9.65,2023-04-02 00:15:00
11.0,69.61,9.74,6.58,6.09,10.2,2023-04-02 00:30:00
11.0,69.61,9.37,6.53,7.64,9.91,2023-04-02 00:45:00
12.0,69.61,9.05,6.39,7.77,9.61,2023-04-02 01:00:00
12.0,69.61,9.86,6.08,5.24,10.05,2023-04-02 01:15:00
12.0,69.61,7.9,6.37,6.6,8.74,2023-04-02 01:30:00
12.0,69.61,5.88,6.42,7.67,7.32,2023-04-02 01:45:00
12.0,69.61,6.96,6.6,5.46,8.19,2023-04-02 02:00:00
12.0,69.61,6.77,6.71,5.32,8.11,2023-04-02 02:15:00
12.0,69.61,7.34,6.69,6.97,8.51,2023-04-02 02:30:00
12.0,69.61,6.84,6.66,8.41,8.13,2023-04-02 02:45:00
13.0,69.61,6.5,5.88,8.03,7.51,2023-04-02 03:00:00
13.0,69.61,6.28,6.59,9.57,7.69,2023-04-02 03:15:00
13.0,69.61,6.68,6.5,8.98,7.94,2023-04-02 03:30:00
13.0,69.61,6.32,6.42,7.48,7.64,2023-04-02 03:45:00
14.0,69.61,8.67,6.34,7.53,9.32,2023-04-02 04:00:00
14.0,69.61,7.33,6.72,9.31,8.52,2023-04-02 04:15:00
14.0,69.61,7.17,6.44,11.47,8.27,2023-04-02 04:30:00
14.0,69.61,8.12,6.1,11.39,8.79,2023-04-02 04:45:00
14.0,69.61,7.62,6.42,12.92,8.3,2023-04-02 05:00:00
14.0,69.61,6.69,6.71,11.87,8.05,2023-04-02 05:15:00
14.0,69.61,7.14,6.55,12.59,8.3,2023-04-02 05:30:00
14.0,69.61,7.34,7.25,9.94,8.78,2023-04-02 05:45:00
15.0,69.61,6.55,6.23,8.91,7.72,2023-04-02 06:00:00
15.0,69.61,7.53,6.18,10.36,8.41,2023-04-02 06:15:00
15.0,69.61,6.76,7.07,10.49,8.27,2023-04-02 06:30:00
15.0,69.61,6.47,6.57,11.49,7.82,2023-04-02 06:45:00
11.0,69.61,6.59,6.27,12.11,7.76,2023-04-02 07:00:00
11.0,69.61,8.47,6.45,12.71,9.22,2023-04-02 07:15:00
11.0,69.61,6.84,6.37,8.09,8.0,2023-04-02 07:30:00
11.0,69.61,6.13,7.02,7.95,7.79,2023-04-02 07:45:00
11.0,69.61,6.69,6.36,9.02,7.89,2023-04-02 08:00:00
11.0,69.61,7.41,6.23,5.99,8.35,2023-04-02 08:15:00
11.0,69.61,7.52,6.52,4.41,8.56,2023-04-02 08:30:00
11.0,69.61,7.08,6.52,5.14,8.44,2023-04-02 08:45:00
12.0,69.61,7.53,6.44,7.88,8.53,2023-04-02 09:00:00
12.0,69.61,9.19,6.67,10.46,9.85,2023-04-02 09:15:00
12.0,69.61,7.28,7.09,7.33,8.66,2023-04-02 09:30:00
12.0,69.61,6.6,6.88,7.93,8.06,2023-04-02 09:45:00
13.0,69.61,6.5,6.69,9.34,7.9,2023-04-02 10:00:00
13.0,69.61,8.68,5.78,9.8,9.06,2023-04-02 10:15:00
13.0,69.61,8.26,6.01,12.08,8.86,2023-04-02 10:30:00
13.0,69.61,8.2,6.64,8.61,9.11,2023-04-02 10:45:00
13.0,69.61,8.57,6.73,4.72,9.43,2023-04-02 11:00:00
13.0,69.61,7.32,7.0,5.15,8.64,2023-04-02 11:15:00
13.0,69.61,7.12,6.7,6.47,8.36,2023-04-02 11:30:00
13.0,69.61,7.04,6.37,8.62,8.14,2023-04-02 11:45:00
13.12,81.39,8.84,6.38,8.12,9.45,2023-04-02 12:00:00
13.0,83.53,7.6,6.62,5.19,8.67,2023-04-02 12:15:00
13.0,83.53,7.74,6.68,9.33,8.8,2023-04-02 12:30:00
13.0,83.53,8.66,6.42,12.95,9.34,2023-04-02 12:45:00
17.0,83.53,6.58,6.58,8.17,7.91,2023-04-02 13:00:00
17.0,83.53,7.06,6.41,5.62,8.17,2023-04-02 13:15:00
17.0,83.53,7.53,5.91,6.0,8.28,2023-04-02 13:30:00
17.0,83.53,8.04,6.13,4.6,8.76,2023-04-02 13:45:00
19.0,83.53,8.18,6.48,7.93,9.02,2023-04-02 14:00:00
19.0,83.53,6.43,6.24,11.83,7.64,2023-04-02 14:15:00
19.0,83.53,6.51,6.49,12.04,7.81,2023-04-02 14:30:00
19.0,83.53,9.25,6.9,12.59,10.0,2023-04-02 14:45:00
16.0,83.53,9.44,6.91,7.99,10.15,2023-04-02 15:00:00
16.0,83.53,8.63,6.81,6.04,9.51,2023-04-02 15:15:00
16.0,83.53,8.34,6.74,10.51,9.27,2023-04-02 15:30:00
16.0,83.53,7.35,6.41,10.94,8.72,2023-04-02 15:45:00
18.0,83.53,6.59,6.61,9.91,8.16,2023-04-02 16:00:00
18.0,83.53,7.88,6.66,5.54,8.89,2023-04-02 16:15:00
18.0,83.53,7.79,6.91,4.43,8.95,2023-04-02 16:30:00
18.0,83.53,6.84,6.63,7.29,8.12,2023-04-02 16:45:00
20.0,83.53,7.43,7.0,10.62,8.73,2023-04-02 17:00:00
20.0,83.53,10.64,6.54,9.42,10.85,2023-04-02 17:15:00
20.0,83.53,9.77,6.6,10.04,10.24,2023-04-02 17:30:00
20.0,83.53,8.67,6.68,9.67,9.47,2023-04-02 17:45:00
14.5,83.53,6.96,7.05,7.16,8.41,2023-04-02 18:00:00
14.5,83.53,6.95,6.6,3.8,8.18,2023-04-02 18:15:00
14.5,83.53,7.35,6.37,6.4,8.37,2023-04-02 18:30:00
14.5,83.53,7.95,7.0,10.66,9.1,2023-04-02 18:45:00
17.5,83.53,8.4,7.12,10.45,9.49,2023-04-02 19:00:00
17.5,83.53,9.84,6.61,11.23,10.29,2023-04-02 19:15:00
17.5,83.53,12.53,6.85,13.32,12.85,2023-04-02 19:30:00
17.5,83.53,12.65,6.19,13.56,12.13,2023-04-02 19:45:00
15.0,83.53,11.69,6.54,10.32,11.61,2023-04-02 20:00:00
15.0,83.53,12.4,7.18,7.86,12.42,2023-04-02 20:15:00
15.0,83.53,11.32,6.99,8.79,11.55,2023-04-02 20:30:00
15.0,83.53,9.1,6.63,8.83,9.76,2023-04-02 20:45:00
17.0,83.53,9.97,6.99,5.03,10.57,2023-04-02 21:00:00
17.0,83.53,12.17,6.73,6.91,12.04,2023-04-02 21:15:00
17.0,83.53,9.69,7.24,11.92,10.48,2023-04-02 21:30:00
17.0,83.53,9.85,6.22,10.54,10.11,2023-04-02 21:45:00
19.0,83.53,10.03,6.64,10.15,10.45,2023-04-02 22:00:00
19.0,83.53,11.39,6.98,12.27,11.59,2023-04-02 22:15:00
19.0,83.53,11.36,6.37,9.32,11.28,2023-04-02 22:30:00
19.0,83.53,10.22,6.71,6.63,10.62,2023-04-02 22:45:00
13.5,83.53,11.12,6.66,9.11,11.19,2023-04-02 23:00:00
13.5,83.53,10.34,6.49,10.43,10.6,2023-04-02 23:15:00
13.5,83.53,8.81,6.72,9.02,9.59,2023-04-02 23:30:00
13.5,83.53,9.95,6.45,12.44,10.3,2023-04-02 23:45:00
15.5,83.53,11.48,6.1,10.04,11.24,2023-04-03 00:00:00
15.5,83.53,11.05,6.82,6.81,11.27,2023-04-03 00:15:00
15.5,83.53,10.14,6.6,6.92,10.5,2023-04-03 00:30:00
15.5,83.53,9.49,6.36,9.77,9.92,2023-04-03 00:45:00
17.5,83.53,10.69,6.74,8.45,10.97,2023-04-03 01:00:00
17.5,83.53,10.8,6.43,4.59,10.91,2023-04-03 01:15:00
17.5,83.53,11.24,6.38,7.32,11.2,2023-04-03 01:30:00
17.5,83.53,9.67,6.53,8.06,10.13,2023-04-03 01:45:00
19.5,83.53,9.42,6.97,8.14,10.16,2023-04-03 02:00:00
19.5,83.53,10.1,6.84,9.57,10.59,2023-04-03 02:15:00
19.5,83.53,10.7,6.17,10.95,10.71,2023-04-03 02:30:00
19.5,83.53,12.12,6.06,9.07,11.69,2023-04-03 02:45:00
14.0,83.53,10.24,6.51,10.04,10.54,2023-04-03 03:00:00
14.0,83.53,11.11,6.36,10.52,11.1,2023-04-03 03:15:00
14.0,83.53,9.52,7.03,8.95,10.26,2023-04-03 03:30:00
14.0,83.53,10.07,6.91,6.66,10.6,2023-04-03 03:45:00
16.0,83.53,10.3,6.84,8.44,10.73,2023-04-03 04:00:00
16.0,83.53,10.49,6.76,8.77,10.83,2023-04-03 04:15:00
