pm2.5,pm10,no,no2,so2,nox,timestamp
8.0,109.71,11.91,6.56,5.5,11.77,2023-03-14 10:15:00
8.0,109.71,12.17,6.28,7.45,11.83,2023-03-14 10:30:00
8.0,109.71,11.55,6.96,7.62,11.7,2023-03-14 10:45:00
12.0,72.72,10.1,6.66,5.74,10.5,2023-03-14 11:00:00
12.0,62.63,11.11,6.66,5.49,11.24,2023-03-14 11:15:00
12.0,62.63,11.47,6.62,4.73,11.49,2023-03-14 11:30:00
12.0,62.63,12.64,6.95,9.72,12.49,2023-03-14 11:45:00
12.0,117.39,13.55,6.34,13.85,12.86,2023-03-14 12:00:00
12.0,132.33,12.21,6.58,9.14,12.0,2023-03-14 12:15:00
12.0,132.33,11.35,7.59,9.24,11.85,2023-03-14 12:30:00
12.0,132.33,13.49,6.19,7.5,12.75,2023-03-14 12:45:00
13.0,120.1,12.74,6.77,10.22,12.47,2023-03-14 13:00:00
13.0,115.21,10.93,6.74,5.94,11.15,2023-03-14 13:15:00
13.0,115.21,11.31,6.68,3.46,11.39,2023-03-14 13:30:00
13.0,115.21,14.11,6.63,8.01,13.4,2023-03-14 13:45:00
14.0,77.0,12.27,6.76,13.18,12.12,2023-03-14 14:00:00
14.0,66.58,11.93,5.8,5.86,11.43,2023-03-14 14:15:00
14.0,66.58,12.11,6.62,4.34,11.95,2023-03-14 14:30:00
14.0,66.58,13.28,7.23,9.14,13.09,2023-03-14 14:45:00
14.0,84.47,14.29,6.33,5.94,13.39,2023-03-14 15:00:00
14.0,89.35,14.56,6.74,14.3,13.78,2023-03-14 15:15:00
14.0,89.35,12.65,6.91,8.43,12.48,2023-03-14 15:30:00
14.0,89.35,12.11,6.38,4.17,11.83,2023-03-14 15:45:00
15.0,54.57,11.33,6.49,4.22,11.32,2023-03-14 16:00:00
15.0,45.08,11.27,6.64,3.66,11.35,2023-03-14 16:15:00
15.0,45.08,11.64,6.47,11.11,11.53,2023-03-14 16:30:00
15.0,45.08,13.25,6.63,5.22,12.78,2023-03-14 16:45:00
11.0,41.0,12.14,6.05,6.72,11.7,2023-03-14 17:00:00
11.0,39.37,12.46,6.59,8.7,12.18,2023-03-14 17:15:00
11.0,39.37,13.4,7.15,7.98,13.14,2023-03-14 17:30:00
11.0,39.37,14.06,7.13,5.9,13.61,2023-03-14 17:45:00
11.0,48.32,10.44,6.3,5.72,10.58,2023-03-14 18:00:00
11.0,50.76,14.31,6.53,10.49,13.5,2023-03-14 18:15:00
11.0,50.76,12.23,6.81,9.66,12.12,2023-03-14 18:30:00
11.0,50.76,10.72,6.46,13.0,10.86,2023-03-14 18:45:00
12.0,79.56,11.78,6.96,14.02,11.87,2023-03-14 19:00:00
12.0,87.41,13.41,6.59,9.19,12.88,2023-03-14 19:15:00
12.0,87.41,12.96,6.68,5.2,12.59,2023-03-14 19:30:00
12.0,87.41,13.58,6.47,9.71,12.94,2023-03-14 19:45:00
13.0,112.97,12.09,6.45,14.32,12.5,2023-03-14 20:00:00
13.0,123.19,11.11,7.01,8.42,11.4,2023-03-14 20:15:00
13.0,123.19,11.71,6.82,11.4,10.98,2023-03-14 20:30:00
13.0,123.19,12.74,6.68,14.38,11.77,2023-03-14 20:45:00
13.0,130.62,12.21,6.38,9.01,12.45,2023-03-14 21:00:00
13.0,132.64,10.99,6.29,11.21,11.47,2023-03-14 21:15:00
13.0,132.64,11.37,6.88,11.88,10.88,2023-03-14 21:30:00
13.0,132.64,12.71,6.38,8.8,11.65,2023-03-14 21:45:00
14.0,149.5,11.78,6.22,5.26,12.02,2023-03-14 22:00:00
14.0,154.56,11.28,6.68,7.67,11.87,2023-03-14 22:15:00
14.0,154.56,12.01,6.7,9.51,11.91,2023-03-14 22:30:00
14.0,154.56,13.02,7.21,5.52,12.89,2023-03-14 22:45:00
15.0,154.8,13.66,7.03,4.75,13.27,2023-03-14 23:00:00
15.0,154.87,13.17,6.85,6.8,12.82,2023-03-14 23:15:00
15.0,154.87,12.65,6.81,6.79,11.68,2023-03-14 23:30:00
15.0,154.87,12.34,6.48,9.81,11.28,2023-03-14 23:45:00
10.0,128.69,13.34,6.71,7.18,12.89,2023-03-15 00:00:00
10.0,121.55,10.34,6.77,8.76,10.74,2023-03-15 00:15:00
10.0,121.55,10.75,7.03,9.47,11.15,2023-03-15 00:30:00
10.0,121.55,9.74,6.1,10.42,9.97,2023-03-15 00:45:00
12.0,100.44,12.46,6.42,13.58,12.11,2023-03-15 01:00:00
12.0,96.22,13.31,6.56,5.46,12.8,2023-03-15 01:15:00
12.0,96.22,10.66,6.37,6.31,10.77,2023-03-15 01:30:00
12.0,96.22,12.85,6.09,9.0,12.24,2023-03-15 01:45:00
13.0,99.58,13.24,6.62,10.8,12.77,2023-03-15 02:00:00
13.0,100.59,16.24,6.04,8.5,14.67,2023-03-15 02:15:00
13.0,100.59,13.57,6.44,7.6,12.92,2023-03-15 02:30:00
13.0,100.59,13.06,6.45,4.71,12.56,2023-03-15 02:45:00
14.0,95.22,11.65,6.83,5.97,11.04,2023-03-15 03:00:00
14.0,93.27,13.19,6.41,4.64,12.63,2023-03-15 03:15:00
14.0,93.27,12.3,6.04,7.75,11.82,2023-03-15 03:30:00
14.0,93.27,12.51,6.36,7.1,12.11,2023-03-15 03:45:00
14.0,70.14,10.96,6.45,8.69,11.03,2023-03-15 04:00:00
14.0,63.2,11.18,6.97,10.33,11.44,2023-03-15 04:15:00
14.0,63.2,12.4,6.71,8.44,12.2,2023-03-15 04:30:00
14.0,63.2,12.9,6.36,8.4,12.4,2023-03-15 04:45:00
,117.85,12.51,6.05,11.93,11.96,2023-03-15 05:15:00
,117.85,11.36,6.82,12.0,11.49,2023-03-15 05:30:00
,117.85,10.65,6.63,10.89,10.89,2023-03-15 05:45:00
,154.97,12.17,6.61,9.72,11.98,2023-03-15 06:00:00
,166.11,9.98,7.05,14.11,10.6,2023-03-15 06:15:00
,166.11,11.85,6.49,9.12,11.7,2023-03-15 06:30:00
,166.11,11.83,6.59,5.98,11.73,2023-03-15 06:45:00
,139.66,12.48,6.33,5.15,12.07,2023-03-15 07:00:00
,132.44,11.78,6.81,7.29,11.79,2023-03-15 07:15:00
,132.44,10.62,7.15,9.47,11.12,2023-03-15 07:30:00
,132.44,12.73,6.19,12.1,12.19,2023-03-15 07:45:00
,125.91,13.8,6.68,12.21,13.2,2023-03-15 08:00:00
,124.13,12.38,6.87,10.79,12.26,2023-03-15 08:15:00
,124.13,12.03,6.63,5.16,11.9,2023-03-15 08:30:00
,124.13,10.55,6.6,3.76,10.8,2023-03-15 08:45:00
,115.88,11.85,6.46,5.4,11.68,2023-03-15 09:00:00
,113.63,12.78,6.87,5.37,12.55,2023-03-15 09:15:00
,113.63,12.98,6.29,11.5,12.42,2023-03-15 09:30:00
,113.63,15.3,6.85,5.87,14.37,2023-03-15 09:45:00
,91.63,13.54,6.75,10.3,13.05,2023-03-15 10:00:00
,82.83,12.79,6.66,10.17,12.46,2023-03-15 10:15:00
,82.83,11.67,6.63,9.25,11.63,2023-03-15 10:30:00
,82.83,10.73,7.1,9.6,11.17,2023-03-15 10:45:00
,68.94,10.25,6.26,11.52,10.42,2023-03-15 11:00:00
,65.15,11.2,6.31,11.7,11.14,2023-03-15 11:15:00
,65.15,12.16,6.96,11.02,12.15,2023-03-15 11:30:00
,65.15,13.53,6.51,12.5,12.92,2023-03-15 11:45:00
,57.5,11.99,6.42,7.62,11.76,2023-03-15 12:00:00
,55.41,11.01,6.84,10.79,11.25,2023-03-15 12:15:00
,55.41,12.29,6.8,11.01,12.16,2023-03-15 12:30:00
,55.41,14.75,6.12,13.03,13.63,2023-03-15 12:45:00
,46.07,8.19,6.09,12.17,8.85,2023-03-15 13:00:00
,42.34,8.95,6.86,8.88,9.76,2023-03-15 13:15:00
,42.34,10.31,6.66,10.94,10.65,2023-03-15 13:30:00
,42.34,11.94,6.69,9.2,11.85,2023-03-15 13:45:00
,30.13,13.25,6.38,12.38,12.66,2023-03-15 14:00:00
,26.8,12.31,6.1,7.95,11.84,2023-03-15 14:15:00
,26.8,11.68,6.76,6.42,11.7,2023-03-15 14:30:00
,26.8,14.32,7.08,5.2,13.77,2023-03-15 14:45:00
,27.78,14.42,6.09,10.14,13.37,2023-03-15 15:00:00
,28.05,10.29,6.65,11.06,10.63,2023-03-15 15:15:00
,28.05,11.38,6.51,6.84,11.37,2023-03-15 15:30:00
,28.05,10.97,7.12,8.76,11.36,2023-03-15 15:45:00
,33.7,10.6,6.19,11.49,10.64,2023-03-15 16:00:00
,35.24,10.71,6.11,7.46,10.69,2023-03-15 16:15:00
,35.24,12.09,6.57,7.12,11.9,2023-03-15 16:30:00
,35.24,13.02,6.32,8.74,12.46,2023-03-15 16:45:00
,43.89,12.34,6.57,6.38,12.09,2023-03-15 17:00:00
,48.21,13.04,5.87,8.51,12.27,2023-03-15 17:15:00
,48.21,11.39,6.02,5.9,11.13,2023-03-15 17:30:00
,48.21,11.48,6.63,3.77,11.5,2023-03-15 17:45:00
,62.63,9.41,5.99,6.58,9.69,2023-03-15 18:00:00
